candidate,office,district,party,county,precinct,votes,
Under votes,Governor,,REP,Jefferson,No. 2 Crooked River,6,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 2 Crooked River,477,
Write Ins,State Senate,30,REP,Jefferson,No. 2 Crooked River,5,
Over Votes,State Senate,30,REP,Jefferson,No. 2 Crooked River,0,
Under votes,State Senate,30,REP,Jefferson,No. 2 Crooked River,244,
Daniel G Bonham,State House,59,REP,Jefferson,No. 2 Crooked River,484,
Write Ins,State House,59,REP,Jefferson,No. 2 Crooked River,4,
Over votes,State House,59,REP,Jefferson,No. 2 Crooked River,0,
Under votes,State House,59,REP,Jefferson,No. 2 Crooked River,238,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 2 Crooked River,414,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 2 Crooked River,370,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 2 Crooked River,186,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 2 Crooked River,3,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 2 Crooked River,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 2 Crooked River,266,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 5 Ashwood,0,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 5 Ashwood,0,
Tim S White,U.S. House,2,DEM,Jefferson,No. 5 Ashwood,1,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 5 Ashwood,0,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 5 Ashwood,0,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 5 Ashwood,1,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 5 Ashwood,2,
Write Ins,U.S. House,2,DEM,Jefferson,No. 5 Ashwood,1,
Over Votes,U.S. House,2,DEM,Jefferson,No. 5 Ashwood,0,
Under votes,U.S. House,2,DEM,Jefferson,No. 5 Ashwood,3,
Ed Jones,Governor,,DEM,Jefferson,No. 5 Ashwood,3,
Kate Brown,Governor,,DEM,Jefferson,No. 5 Ashwood,3,
Candace Neville,Governor,,DEM,Jefferson,No. 5 Ashwood,0,
Write-Ins,Governor,,DEM,Jefferson,No. 5 Ashwood,1,
Over votes,Governor,,DEM,Jefferson,No. 5 Ashwood,0,
Under votes,Governor,,DEM,Jefferson,No. 5 Ashwood,1,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 5 Ashwood,3,
Write In,State Senate,30,DEM,Jefferson,No. 5 Ashwood,1,
Over votes,State Senate,30,DEM,Jefferson,No. 5 Ashwood,0,
Under votes,State Senate,30,DEM,Jefferson,No. 5 Ashwood,4,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 5 Ashwood,3,
Write In,State House,59,DEM,Jefferson,No. 5 Ashwood,1,
Over votes,State House,59,DEM,Jefferson,No. 5 Ashwood,0,
Under votes,State House,59,DEM,Jefferson,No. 5 Ashwood,4,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 5 Ashwood,0,
Write In,U.S. House,2,IND,Jefferson,No. 5 Ashwood,1,
Over votes,U.S. House,2,IND,Jefferson,No. 5 Ashwood,0,
Under votes,U.S. House,2,IND,Jefferson,No. 5 Ashwood,1,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 5 Ashwood,0,
Skye J Allen,Governor,,IND,Jefferson,No. 5 Ashwood,0,
Patrick Starnes,Governor,,IND,Jefferson,No. 5 Ashwood,0,
Over votes,Governor,,IND,Jefferson,No. 5 Ashwood,0,
Under votes,Governor,,IND,Jefferson,No. 5 Ashwood,1,
Over Votes,State House,59,IND,Jefferson,No. 5 Ashwood,0,
Under votes,State House,59,IND,Jefferson,No. 5 Ashwood,2,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 5 Ashwood,0,
Greg Walden,U.S. House,2,REP,Jefferson,No. 5 Ashwood,10,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 5 Ashwood,4,
Write In,U.S. House,2,REP,Jefferson,No. 5 Ashwood,1,
Over votes,U.S. House,2,REP,Jefferson,No. 5 Ashwood,0,
Under votes,U.S. House,2,REP,Jefferson,No. 5 Ashwood,1,
Knute Buehler,Governor,,REP,Jefferson,No. 5 Ashwood,3,
Keenen W Bohach,Governor,,REP,Jefferson,No. 5 Ashwood,0,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 5 Ashwood,2,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 5 Ashwood,0,
David W Stauffer,Governor,,REP,Jefferson,No. 5 Ashwood,0,
Jeff Smith,Governor,,REP,Jefferson,No. 5 Ashwood,0,
Jack W Tacy ,Governor,,REP,Jefferson,No. 5 Ashwood,0,
Brett Hyland,Governor,,REP,Jefferson,No. 5 Ashwood,0,
Bruce Cuff,Governor,,REP,Jefferson,No. 5 Ashwood,0,
Sam Carpenter,Governor,,REP,Jefferson,No. 5 Ashwood,10,
Write In,Governor,,REP,Jefferson,No. 5 Ashwood,1,
Over votes,Governor,,REP,Jefferson,No. 5 Ashwood,0,
Under votes,Governor,,REP,Jefferson,No. 5 Ashwood,0,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 5 Ashwood,13,
Write Ins,State Senate,30,REP,Jefferson,No. 5 Ashwood,0,
Over Votes,State Senate,30,REP,Jefferson,No. 5 Ashwood,0,
Under votes,State Senate,30,REP,Jefferson,No. 5 Ashwood,3,
Daniel G Bonham,State House,59,REP,Jefferson,No. 5 Ashwood,13,
Write Ins,State House,59,REP,Jefferson,No. 5 Ashwood,0,
Over votes,State House,59,REP,Jefferson,No. 5 Ashwood,0,
Under votes,State House,59,REP,Jefferson,No. 5 Ashwood,3,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 5 Ashwood,9,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 5 Ashwood,4,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 5 Ashwood,5,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 5 Ashwood,0,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 5 Ashwood,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 5 Ashwood,10,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 6 Kutcher,2,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 6 Kutcher,1,
Tim S White,U.S. House,2,DEM,Jefferson,No. 6 Kutcher,2,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 6 Kutcher,1,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 6 Kutcher,6,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 6 Kutcher,10,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 6 Kutcher,16,
Write Ins,U.S. House,2,DEM,Jefferson,No. 6 Kutcher,0,
Over Votes,U.S. House,2,DEM,Jefferson,No. 6 Kutcher,0,
Under votes,U.S. House,2,DEM,Jefferson,No. 6 Kutcher,5,
Ed Jones,Governor,,DEM,Jefferson,No. 6 Kutcher,4,
Kate Brown,Governor,,DEM,Jefferson,No. 6 Kutcher,33,
Candace Neville,Governor,,DEM,Jefferson,No. 6 Kutcher,2,
Write-Ins,Governor,,DEM,Jefferson,No. 6 Kutcher,1,
Over votes,Governor,,DEM,Jefferson,No. 6 Kutcher,0,
Under votes,Governor,,DEM,Jefferson,No. 6 Kutcher,3,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 6 Kutcher,29,
Write In,State Senate,30,DEM,Jefferson,No. 6 Kutcher,0,
Over votes,State Senate,30,DEM,Jefferson,No. 6 Kutcher,0,
Under votes,State Senate,30,DEM,Jefferson,No. 6 Kutcher,14,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 6 Kutcher,29,
Write In,State House,59,DEM,Jefferson,No. 6 Kutcher,0,
Over votes,State House,59,DEM,Jefferson,No. 6 Kutcher,0,
Under votes,State House,59,DEM,Jefferson,No. 6 Kutcher,14,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 6 Kutcher,6,
Write In,U.S. House,2,IND,Jefferson,No. 6 Kutcher,3,
Over votes,U.S. House,2,IND,Jefferson,No. 6 Kutcher,0,
Under votes,U.S. House,2,IND,Jefferson,No. 6 Kutcher,0,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 6 Kutcher,0,
Skye J Allen,Governor,,IND,Jefferson,No. 6 Kutcher,2,
Patrick Starnes,Governor,,IND,Jefferson,No. 6 Kutcher,4,
Over votes,Governor,,IND,Jefferson,No. 6 Kutcher,0,
Under votes,Governor,,IND,Jefferson,No. 6 Kutcher,0,
Over Votes,State House,59,IND,Jefferson,No. 6 Kutcher,0,
Under votes,State House,59,IND,Jefferson,No. 6 Kutcher,6,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 6 Kutcher,9,
Greg Walden,U.S. House,2,REP,Jefferson,No. 6 Kutcher,88,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 6 Kutcher,8,
Write In,U.S. House,2,REP,Jefferson,No. 6 Kutcher,0,
Over votes,U.S. House,2,REP,Jefferson,No. 6 Kutcher,0,
Under votes,U.S. House,2,REP,Jefferson,No. 6 Kutcher,5,
Knute Buehler,Governor,,REP,Jefferson,No. 6 Kutcher,69,
Keenen W Bohach,Governor,,REP,Jefferson,No. 6 Kutcher,0,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 6 Kutcher,8,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 6 Kutcher,0,
David W Stauffer,Governor,,REP,Jefferson,No. 6 Kutcher,1,
Jeff Smith,Governor,,REP,Jefferson,No. 6 Kutcher,0,
Jack W Tacy ,Governor,,REP,Jefferson,No. 6 Kutcher,0,
Brett Hyland,Governor,,REP,Jefferson,No. 6 Kutcher,0,
Bruce Cuff,Governor,,REP,Jefferson,No. 6 Kutcher,2,
Sam Carpenter,Governor,,REP,Jefferson,No. 6 Kutcher,27,
Write In,Governor,,REP,Jefferson,No. 6 Kutcher,0,
Over votes,Governor,,REP,Jefferson,No. 6 Kutcher,0,
Under votes,Governor,,REP,Jefferson,No. 6 Kutcher,3,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 6 Kutcher,71,
Write Ins,State Senate,30,REP,Jefferson,No. 6 Kutcher,0,
Over Votes,State Senate,30,REP,Jefferson,No. 6 Kutcher,0,
Under votes,State Senate,30,REP,Jefferson,No. 6 Kutcher,39,
Daniel G Bonham,State House,59,REP,Jefferson,No. 6 Kutcher,70,
Write Ins,State House,59,REP,Jefferson,No. 6 Kutcher,0,
Over votes,State House,59,REP,Jefferson,No. 6 Kutcher,0,
Under votes,State House,59,REP,Jefferson,No. 6 Kutcher,40,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 6 Kutcher,65,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 6 Kutcher,42,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 6 Kutcher,32,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 6 Kutcher,0,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 6 Kutcher,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 6 Kutcher,53,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 8 Lyle Gap,1,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 8 Lyle Gap,0,
Tim S White,U.S. House,2,DEM,Jefferson,No. 8 Lyle Gap,1,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 8 Lyle Gap,0,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 8 Lyle Gap,0,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 8 Lyle Gap,6,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 8 Lyle Gap,0,
Write Ins,U.S. House,2,DEM,Jefferson,No. 8 Lyle Gap,0,
Over Votes,U.S. House,2,DEM,Jefferson,No. 8 Lyle Gap,0,
Under votes,U.S. House,2,DEM,Jefferson,No. 8 Lyle Gap,2,
Ed Jones,Governor,,DEM,Jefferson,No. 8 Lyle Gap,1,
Kate Brown,Governor,,DEM,Jefferson,No. 8 Lyle Gap,7,
Candace Neville,Governor,,DEM,Jefferson,No. 8 Lyle Gap,1,
Write-Ins,Governor,,DEM,Jefferson,No. 8 Lyle Gap,1,
Over votes,Governor,,DEM,Jefferson,No. 8 Lyle Gap,0,
Under votes,Governor,,DEM,Jefferson,No. 8 Lyle Gap,0,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 8 Lyle Gap,5,
Write In,State Senate,30,DEM,Jefferson,No. 8 Lyle Gap,0,
Over votes,State Senate,30,DEM,Jefferson,No. 8 Lyle Gap,0,
Under votes,State Senate,30,DEM,Jefferson,No. 8 Lyle Gap,5,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 8 Lyle Gap,6,
Write In,State House,59,DEM,Jefferson,No. 8 Lyle Gap,0,
Over votes,State House,59,DEM,Jefferson,No. 8 Lyle Gap,0,
Under votes,State House,59,DEM,Jefferson,No. 8 Lyle Gap,4,
Mark R Roberts,U.S. House,2,IND,Jefferson,No. 8 Lyle Gap,0,
Write In,U.S. House,2,IND,Jefferson,No. 8 Lyle Gap,1,
Over votes,U.S. House,2,IND,Jefferson,No. 8 Lyle Gap,0,
Under votes,U.S. House,2,IND,Jefferson,No. 8 Lyle Gap,1,
Dan (Mr. P) Pistoresi ,Governor,,IND,Jefferson,No. 8 Lyle Gap,0,
Skye J Allen,Governor,,IND,Jefferson,No. 8 Lyle Gap,0,
Patrick Starnes,Governor,,IND,Jefferson,No. 8 Lyle Gap,0,
Over votes,Governor,,IND,Jefferson,No. 8 Lyle Gap,0,
Under votes,Governor,,IND,Jefferson,No. 8 Lyle Gap,0,
Over Votes,State House,59,IND,Jefferson,No. 8 Lyle Gap,0,
Under votes,State House,59,IND,Jefferson,No. 8 Lyle Gap,2,
Randy Pollock,U.S. House,2,REP,Jefferson,No. 8 Lyle Gap,2,
Greg Walden,U.S. House,2,REP,Jefferson,No. 8 Lyle Gap,23,
Paul J Romero Jr. ,U.S. House,2,REP,Jefferson,No. 8 Lyle Gap,8,
Write In,U.S. House,2,REP,Jefferson,No. 8 Lyle Gap,0,
Over votes,U.S. House,2,REP,Jefferson,No. 8 Lyle Gap,0,
Under votes,U.S. House,2,REP,Jefferson,No. 8 Lyle Gap,2,
Knute Buehler,Governor,,REP,Jefferson,No. 8 Lyle Gap,23,
Keenen W Bohach,Governor,,REP,Jefferson,No. 8 Lyle Gap,0,
Greg C Wooldridge,Governor,,REP,Jefferson,No. 8 Lyle Gap,2,
Jonathan I Edwards III,Governor,,REP,Jefferson,No. 8 Lyle Gap,0,
David W Stauffer,Governor,,REP,Jefferson,No. 8 Lyle Gap,1,
Jeff Smith,Governor,,REP,Jefferson,No. 8 Lyle Gap,1,
Jack W Tacy ,Governor,,REP,Jefferson,No. 8 Lyle Gap,0,
Brett Hyland,Governor,,REP,Jefferson,No. 8 Lyle Gap,0,
Bruce Cuff,Governor,,REP,Jefferson,No. 8 Lyle Gap,0,
Sam Carpenter,Governor,,REP,Jefferson,No. 8 Lyle Gap,7,
Write In,Governor,,REP,Jefferson,No. 8 Lyle Gap,0,
Over votes,Governor,,REP,Jefferson,No. 8 Lyle Gap,0,
Under votes,Governor,,REP,Jefferson,No. 8 Lyle Gap,1,
Cliff Bentz,State Senate,30,REP,Jefferson,No. 8 Lyle Gap,22,
Write Ins,State Senate,30,REP,Jefferson,No. 8 Lyle Gap,0,
Over Votes,State Senate,30,REP,Jefferson,No. 8 Lyle Gap,0,
Under votes,State Senate,30,REP,Jefferson,No. 8 Lyle Gap,13,
Daniel G Bonham,State House,59,REP,Jefferson,No. 8 Lyle Gap,21,
Write Ins,State House,59,REP,Jefferson,No. 8 Lyle Gap,0,
Over votes,State House,59,REP,Jefferson,No. 8 Lyle Gap,0,
Under votes,State House,59,REP,Jefferson,No. 8 Lyle Gap,14,
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 8 Lyle Gap,13,
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 8 Lyle Gap,15,
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 8 Lyle Gap,10,
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 8 Lyle Gap,0,
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 8 Lyle Gap,0,
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Jefferson,No. 8 Lyle Gap,18,
Eric Burnetter,U.S. House,2,DEM,Jefferson,No. 11 Metolius,3,
Michael Byrne,U.S. House,2,DEM,Jefferson,No. 11 Metolius,0,
Tim S White,U.S. House,2,DEM,Jefferson,No. 11 Metolius,5,
Raz Mason,U.S. House,2,DEM,Jefferson,No. 11 Metolius,0,
Jamie McLeod-Skinner,U.S. House,2,DEM,Jefferson,No. 11 Metolius,5,
James (Jim) Crary,U.S. House,2,DEM,Jefferson,No. 11 Metolius,4,
Jennifer (Jenni) Neahring,U.S. House,2,DEM,Jefferson,No. 11 Metolius,15,
Write Ins,U.S. House,2,DEM,Jefferson,No. 11 Metolius,0,
Over Votes,U.S. House,2,DEM,Jefferson,No. 11 Metolius,0,
Under votes,U.S. House,2,DEM,Jefferson,No. 11 Metolius,3,
Ed Jones,Governor,,DEM,Jefferson,No. 11 Metolius,9,
Kate Brown,Governor,,DEM,Jefferson,No. 11 Metolius,21,
Candace Neville,Governor,,DEM,Jefferson,No. 11 Metolius,3,
Write-Ins,Governor,,DEM,Jefferson,No. 11 Metolius,1,
Over votes,Governor,,DEM,Jefferson,No. 11 Metolius,0,
Under votes,Governor,,DEM,Jefferson,No. 11 Metolius,1,
Solea Kabakov,State Senate,30,DEM,Jefferson,No. 11 Metolius,25,
Write In,State Senate,30,DEM,Jefferson,No. 11 Metolius,0,
Over votes,State Senate,30,DEM,Jefferson,No. 11 Metolius,0,
Under votes,State Senate,30,DEM,Jefferson,No. 11 Metolius,10,
Darcy Long-Curtiss,State House,59,DEM,Jefferson,No. 11 Metolius,25,
