precinct,office,district,party,candidate,votes
10,President,,R,Mitt Romney,215
11,President,,R,Mitt Romney,357
12,President,,R,Mitt Romney,106
13,President,,R,Mitt Romney,145
14,President,,R,Mitt Romney,196
15,President,,R,Mitt Romney,203
16,President,,R,Mitt Romney,612
17,President,,R,Mitt Romney,672
18,President,,R,Mitt Romney,206
19,President,,R,Mitt Romney,325
20,President,,R,Mitt Romney,182
21,President,,R,Mitt Romney,132
22,President,,R,Mitt Romney,261
24,President,,R,Mitt Romney,265
25,President,,R,Mitt Romney,212
26,President,,R,Mitt Romney,393
27,President,,R,Mitt Romney,173
2,President,,R,Mitt Romney,241
23,President,,R,Mitt Romney,203
1,President,,I,Will Christensen,0
3,President,,I,Will Christensen,0
4,President,,I,Will Christensen,0
5,President,,I,Will Christensen,1
6,President,,I,Will Christensen,2
7,President,,I,Will Christensen,1
8,President,,I,Will Christensen,2
9,President,,I,Will Christensen,3
10,President,,I,Will Christensen,1
11,President,,I,Will Christensen,4
12,President,,I,Will Christensen,0
13,President,,I,Will Christensen,0
14,President,,I,Will Christensen,0
15,President,,I,Will Christensen,3
16,President,,I,Will Christensen,8
17,President,,I,Will Christensen,6
18,President,,I,Will Christensen,3
19,President,,I,Will Christensen,3
20,President,,I,Will Christensen,0
21,President,,I,Will Christensen,0
22,President,,I,Will Christensen,0
24,President,,I,Will Christensen,0
25,President,,I,Will Christensen,0
26,President,,I,Will Christensen,4
27,President,,I,Will Christensen,1
2,President,,I,Will Christensen,6
23,President,,I,Will Christensen,0
1,President,,,Write-in,0
3,President,,,Write-in,0
4,President,,,Write-in,1
5,President,,,Write-in,5
6,President,,,Write-in,2
7,President,,,Write-in,8
8,President,,,Write-in,2
9,President,,,Write-in,12
10,President,,,Write-in,5
11,President,,,Write-in,5
12,President,,,Write-in,1
13,President,,,Write-in,1
14,President,,,Write-in,3
15,President,,,Write-in,4
16,President,,,Write-in,9
17,President,,,Write-in,10
18,President,,,Write-in,4
19,President,,,Write-in,3
20,President,,,Write-in,6
21,President,,,Write-in,1
22,President,,,Write-in,3
24,President,,,Write-in,8
25,President,,,Write-in,1
26,President,,,Write-in,12
27,President,,,Write-in,3
2,President,,,Write-in,0
23,President,,,Write-in,2
1,U.S. House,4,D,Peter DeFazio,40
3,U.S. House,4,D,Peter DeFazio,188
4,U.S. House,4,D,Peter DeFazio,58
5,U.S. House,4,D,Peter DeFazio,334
6,U.S. House,4,D,Peter DeFazio,221
7,U.S. House,4,D,Peter DeFazio,120
8,U.S. House,4,D,Peter DeFazio,196
9,U.S. House,4,D,Peter DeFazio,280
10,U.S. House,4,D,Peter DeFazio,235
11,U.S. House,4,D,Peter DeFazio,307
12,U.S. House,4,D,Peter DeFazio,108
13,U.S. House,4,D,Peter DeFazio,84
14,U.S. House,4,D,Peter DeFazio,116
15,U.S. House,4,D,Peter DeFazio,157
16,U.S. House,4,D,Peter DeFazio,435
17,U.S. House,4,D,Peter DeFazio,514
18,U.S. House,4,D,Peter DeFazio,189
19,U.S. House,4,D,Peter DeFazio,238
20,U.S. House,4,D,Peter DeFazio,153
21,U.S. House,4,D,Peter DeFazio,96
22,U.S. House,4,D,Peter DeFazio,180
24,U.S. House,4,D,Peter DeFazio,171
25,U.S. House,4,D,Peter DeFazio,177
26,U.S. House,4,D,Peter DeFazio,290
27,U.S. House,4,D,Peter DeFazio,108
2,U.S. House,4,D,Peter DeFazio,152
23,U.S. House,4,D,Peter DeFazio,168
1,U.S. House,4,L,Chuck Huntting,0
3,U.S. House,4,L,Chuck Huntting,2
4,U.S. House,4,L,Chuck Huntting,1
5,U.S. House,4,L,Chuck Huntting,10
6,U.S. House,4,L,Chuck Huntting,9
7,U.S. House,4,L,Chuck Huntting,0
8,U.S. House,4,L,Chuck Huntting,6
9,U.S. House,4,L,Chuck Huntting,6
10,U.S. House,4,L,Chuck Huntting,5
11,U.S. House,4,L,Chuck Huntting,6
12,U.S. House,4,L,Chuck Huntting,4
13,U.S. House,4,L,Chuck Huntting,8
14,U.S. House,4,L,Chuck Huntting,6
15,U.S. House,4,L,Chuck Huntting,7
16,U.S. House,4,L,Chuck Huntting,12
17,U.S. House,4,L,Chuck Huntting,20
18,U.S. House,4,L,Chuck Huntting,7
19,U.S. House,4,L,Chuck Huntting,5
20,U.S. House,4,L,Chuck Huntting,5
21,U.S. House,4,L,Chuck Huntting,0
22,U.S. House,4,L,Chuck Huntting,10
24,U.S. House,4,L,Chuck Huntting,4
25,U.S. House,4,L,Chuck Huntting,8
26,U.S. House,4,L,Chuck Huntting,6
27,U.S. House,4,L,Chuck Huntting,3
2,U.S. House,4,L,Chuck Huntting,10
23,U.S. House,4,L,Chuck Huntting,6
1,U.S. House,4,R,Art Robinson,30
3,U.S. House,4,R,Art Robinson,181
4,U.S. House,4,R,Art Robinson,108
5,U.S. House,4,R,Art Robinson,217
6,U.S. House,4,R,Art Robinson,154
7,U.S. House,4,R,Art Robinson,80
8,U.S. House,4,R,Art Robinson,218
9,U.S. House,4,R,Art Robinson,390
10,U.S. House,4,R,Art Robinson,193
11,U.S. House,4,R,Art Robinson,322
12,U.S. House,4,R,Art Robinson,95
13,U.S. House,4,R,Art Robinson,132
14,U.S. House,4,R,Art Robinson,179
15,U.S. House,4,R,Art Robinson,192
16,U.S. House,4,R,Art Robinson,554
17,U.S. House,4,R,Art Robinson,620
18,U.S. House,4,R,Art Robinson,190
19,U.S. House,4,R,Art Robinson,307
20,U.S. House,4,R,Art Robinson,155
21,U.S. House,4,R,Art Robinson,128
22,U.S. House,4,R,Art Robinson,226
24,U.S. House,4,R,Art Robinson,260
25,U.S. House,4,R,Art Robinson,185
26,U.S. House,4,R,Art Robinson,387
27,U.S. House,4,R,Art Robinson,161
2,U.S. House,4,R,Art Robinson,230
23,U.S. House,4,R,Art Robinson,188
1,U.S. House,4,,Write-in,1
3,U.S. House,4,,Write-in,0
4,U.S. House,4,,Write-in,0
5,U.S. House,4,,Write-in,0
6,U.S. House,4,,Write-in,0
7,U.S. House,4,,Write-in,0
8,U.S. House,4,,Write-in,0
9,U.S. House,4,,Write-in,1
10,U.S. House,4,,Write-in,0
11,U.S. House,4,,Write-in,0
12,U.S. House,4,,Write-in,0
13,U.S. House,4,,Write-in,0
14,U.S. House,4,,Write-in,0
15,U.S. House,4,,Write-in,0
16,U.S. House,4,,Write-in,0
17,U.S. House,4,,Write-in,2
18,U.S. House,4,,Write-in,0
19,U.S. House,4,,Write-in,5
20,U.S. House,4,,Write-in,0
21,U.S. House,4,,Write-in,0
22,U.S. House,4,,Write-in,1
24,U.S. House,4,,Write-in,0
25,U.S. House,4,,Write-in,0
26,U.S. House,4,,Write-in,0
27,U.S. House,4,,Write-in,0
2,U.S. House,4,,Write-in,0
23,U.S. House,4,,Write-in,0
1,Secretary of State,,G,Seth Woolley,4
3,Secretary of State,,G,Seth Woolley,5
4,Secretary of State,,G,Seth Woolley,2
5,Secretary of State,,G,Seth Woolley,18
6,Secretary of State,,G,Seth Woolley,3
7,Secretary of State,,G,Seth Woolley,4
8,Secretary of State,,G,Seth Woolley,7
9,Secretary of State,,G,Seth Woolley,13
10,Secretary of State,,G,Seth Woolley,8
11,Secretary of State,,G,Seth Woolley,14
12,Secretary of State,,G,Seth Woolley,4
13,Secretary of State,,G,Seth Woolley,6
14,Secretary of State,,G,Seth Woolley,2
15,Secretary of State,,G,Seth Woolley,2
16,Secretary of State,,G,Seth Woolley,14
17,Secretary of State,,G,Seth Woolley,14
18,Secretary of State,,G,Seth Woolley,4
19,Secretary of State,,G,Seth Woolley,14
20,Secretary of State,,G,Seth Woolley,8
21,Secretary of State,,G,Seth Woolley,2
22,Secretary of State,,G,Seth Woolley,1
24,Secretary of State,,G,Seth Woolley,2
25,Secretary of State,,G,Seth Woolley,8
26,Secretary of State,,G,Seth Woolley,13
27,Secretary of State,,G,Seth Woolley,0
2,Secretary of State,,G,Seth Woolley,9
23,Secretary of State,,G,Seth Woolley,4
1,Secretary of State,,P,Robert Wolfe,0
3,Secretary of State,,P,Robert Wolfe,3
4,Secretary of State,,P,Robert Wolfe,0
5,Secretary of State,,P,Robert Wolfe,9
6,Secretary of State,,P,Robert Wolfe,7
7,Secretary of State,,P,Robert Wolfe,3
8,Secretary of State,,P,Robert Wolfe,2
9,Secretary of State,,P,Robert Wolfe,7
10,Secretary of State,,P,Robert Wolfe,3
11,Secretary of State,,P,Robert Wolfe,7
12,Secretary of State,,P,Robert Wolfe,2
13,Secretary of State,,P,Robert Wolfe,0
14,Secretary of State,,P,Robert Wolfe,6
15,Secretary of State,,P,Robert Wolfe,3
16,Secretary of State,,P,Robert Wolfe,9
17,Secretary of State,,P,Robert Wolfe,8
18,Secretary of State,,P,Robert Wolfe,8
19,Secretary of State,,P,Robert Wolfe,6
20,Secretary of State,,P,Robert Wolfe,3
21,Secretary of State,,P,Robert Wolfe,4
22,Secretary of State,,P,Robert Wolfe,6
24,Secretary of State,,P,Robert Wolfe,5
25,Secretary of State,,P,Robert Wolfe,7
26,Secretary of State,,P,Robert Wolfe,12
27,Secretary of State,,P,Robert Wolfe,1
2,Secretary of State,,P,Robert Wolfe,2
23,Secretary of State,,P,Robert Wolfe,3
1,Secretary of State,,L,Bruce Knight,1
3,Secretary of State,,L,Bruce Knight,4
4,Secretary of State,,L,Bruce Knight,2
5,Secretary of State,,L,Bruce Knight,10
6,Secretary of State,,L,Bruce Knight,4
7,Secretary of State,,L,Bruce Knight,7
8,Secretary of State,,L,Bruce Knight,5
9,Secretary of State,,L,Bruce Knight,9
10,Secretary of State,,L,Bruce Knight,7
11,Secretary of State,,L,Bruce Knight,15
12,Secretary of State,,L,Bruce Knight,1
13,Secretary of State,,L,Bruce Knight,6
14,Secretary of State,,L,Bruce Knight,6
15,Secretary of State,,L,Bruce Knight,13
16,Secretary of State,,L,Bruce Knight,13
17,Secretary of State,,L,Bruce Knight,14
18,Secretary of State,,L,Bruce Knight,7
19,Secretary of State,,L,Bruce Knight,10
20,Secretary of State,,L,Bruce Knight,9
21,Secretary of State,,L,Bruce Knight,5
22,Secretary of State,,L,Bruce Knight,8
24,Secretary of State,,L,Bruce Knight,1
25,Secretary of State,,L,Bruce Knight,10
26,Secretary of State,,L,Bruce Knight,15
27,Secretary of State,,L,Bruce Knight,4
2,Secretary of State,,L,Bruce Knight,7
23,Secretary of State,,L,Bruce Knight,5
1,Secretary of State,,D,Kate Brown,35
3,Secretary of State,,D,Kate Brown,161
4,Secretary of State,,D,Kate Brown,58
5,Secretary of State,,D,Kate Brown,299
6,Secretary of State,,D,Kate Brown,197
7,Secretary of State,,D,Kate Brown,98
8,Secretary of State,,D,Kate Brown,174
9,Secretary of State,,D,Kate Brown,232
10,Secretary of State,,D,Kate Brown,208
11,Secretary of State,,D,Kate Brown,268
12,Secretary of State,,D,Kate Brown,99
13,Secretary of State,,D,Kate Brown,70
14,Secretary of State,,D,Kate Brown,101
15,Secretary of State,,D,Kate Brown,155
16,Secretary of State,,D,Kate Brown,372
17,Secretary of State,,D,Kate Brown,451
18,Secretary of State,,D,Kate Brown,161
19,Secretary of State,,D,Kate Brown,205
20,Secretary of State,,D,Kate Brown,123
21,Secretary of State,,D,Kate Brown,84
22,Secretary of State,,D,Kate Brown,152
24,Secretary of State,,D,Kate Brown,162
25,Secretary of State,,D,Kate Brown,147
26,Secretary of State,,D,Kate Brown,261
27,Secretary of State,,D,Kate Brown,94
2,Secretary of State,,D,Kate Brown,128
23,Secretary of State,,D,Kate Brown,140
1,Secretary of State,,R,Knute Buehler,27
3,Secretary of State,,R,Knute Buehler,179
4,Secretary of State,,R,Knute Buehler,100
5,Secretary of State,,R,Knute Buehler,208
6,Secretary of State,,R,Knute Buehler,157
7,Secretary of State,,R,Knute Buehler,80
8,Secretary of State,,R,Knute Buehler,221
9,Secretary of State,,R,Knute Buehler,390
10,Secretary of State,,R,Knute Buehler,189
11,Secretary of State,,R,Knute Buehler,310
12,Secretary of State,,R,Knute Buehler,89
13,Secretary of State,,R,Knute Buehler,132
14,Secretary of State,,R,Knute Buehler,177
15,Secretary of State,,R,Knute Buehler,170
16,Secretary of State,,R,Knute Buehler,563
17,Secretary of State,,R,Knute Buehler,636
18,Secretary of State,,R,Knute Buehler,192
19,Secretary of State,,R,Knute Buehler,308
20,Secretary of State,,R,Knute Buehler,153
21,Secretary of State,,R,Knute Buehler,119
22,Secretary of State,,R,Knute Buehler,233
24,Secretary of State,,R,Knute Buehler,250
25,Secretary of State,,R,Knute Buehler,183
26,Secretary of State,,R,Knute Buehler,367
27,Secretary of State,,R,Knute Buehler,164
2,Secretary of State,,R,Knute Buehler,220
23,Secretary of State,,R,Knute Buehler,196
1,Secretary of State,,,Write-in,0
3,Secretary of State,,,Write-in,2
4,Secretary of State,,,Write-in,0
5,Secretary of State,,,Write-in,1
6,Secretary of State,,,Write-in,1
7,Secretary of State,,,Write-in,0
8,Secretary of State,,,Write-in,1
9,Secretary of State,,,Write-in,1
10,Secretary of State,,,Write-in,0
11,Secretary of State,,,Write-in,0
12,Secretary of State,,,Write-in,0
13,Secretary of State,,,Write-in,0
14,Secretary of State,,,Write-in,0
15,Secretary of State,,,Write-in,0
16,Secretary of State,,,Write-in,0
17,Secretary of State,,,Write-in,1
18,Secretary of State,,,Write-in,0
19,Secretary of State,,,Write-in,1
20,Secretary of State,,,Write-in,0
21,Secretary of State,,,Write-in,0
22,Secretary of State,,,Write-in,1
24,Secretary of State,,,Write-in,0
25,Secretary of State,,,Write-in,1
26,Secretary of State,,,Write-in,0
27,Secretary of State,,,Write-in,0
2,Secretary of State,,,Write-in,0
23,Secretary of State,,,Write-in,1
1,Treasurer,,D,Ted Wheeler,33
3,Treasurer,,D,Ted Wheeler,161
4,Treasurer,,D,Ted Wheeler,59
5,Treasurer,,D,Ted Wheeler,297
6,Treasurer,,D,Ted Wheeler,192
7,Treasurer,,D,Ted Wheeler,101
8,Treasurer,,D,Ted Wheeler,176
9,Treasurer,,D,Ted Wheeler,250
10,Treasurer,,D,Ted Wheeler,207
11,Treasurer,,D,Ted Wheeler,258
12,Treasurer,,D,Ted Wheeler,103
13,Treasurer,,D,Ted Wheeler,74
14,Treasurer,,D,Ted Wheeler,102
15,Treasurer,,D,Ted Wheeler,145
16,Treasurer,,D,Ted Wheeler,384
17,Treasurer,,D,Ted Wheeler,475
18,Treasurer,,D,Ted Wheeler,156
19,Treasurer,,D,Ted Wheeler,220
20,Treasurer,,D,Ted Wheeler,133
21,Treasurer,,D,Ted Wheeler,85
22,Treasurer,,D,Ted Wheeler,153
24,Treasurer,,D,Ted Wheeler,167
25,Treasurer,,D,Ted Wheeler,153
26,Treasurer,,D,Ted Wheeler,255
27,Treasurer,,D,Ted Wheeler,97
2,Treasurer,,D,Ted Wheeler,132
23,Treasurer,,D,Ted Wheeler,153
1,Treasurer,,P,Cameron Whitten,5
3,Treasurer,,P,Cameron Whitten,7
4,Treasurer,,P,Cameron Whitten,2
5,Treasurer,,P,Cameron Whitten,15
6,Treasurer,,P,Cameron Whitten,7
7,Treasurer,,P,Cameron Whitten,5
8,Treasurer,,P,Cameron Whitten,5
9,Treasurer,,P,Cameron Whitten,8
10,Treasurer,,P,Cameron Whitten,1
11,Treasurer,,P,Cameron Whitten,17
12,Treasurer,,P,Cameron Whitten,3
13,Treasurer,,P,Cameron Whitten,5
14,Treasurer,,P,Cameron Whitten,4
15,Treasurer,,P,Cameron Whitten,7
16,Treasurer,,P,Cameron Whitten,20
17,Treasurer,,P,Cameron Whitten,13
18,Treasurer,,P,Cameron Whitten,16
19,Treasurer,,P,Cameron Whitten,14
20,Treasurer,,P,Cameron Whitten,6
21,Treasurer,,P,Cameron Whitten,3
22,Treasurer,,P,Cameron Whitten,6
24,Treasurer,,P,Cameron Whitten,9
25,Treasurer,,P,Cameron Whitten,7
26,Treasurer,,P,Cameron Whitten,23
27,Treasurer,,P,Cameron Whitten,3
2,Treasurer,,P,Cameron Whitten,6
23,Treasurer,,P,Cameron Whitten,4
1,Treasurer,,L,John F Mahler,0
3,Treasurer,,L,John F Mahler,6
4,Treasurer,,L,John F Mahler,5
5,Treasurer,,L,John F Mahler,14
6,Treasurer,,L,John F Mahler,7
7,Treasurer,,L,John F Mahler,8
8,Treasurer,,L,John F Mahler,10
9,Treasurer,,L,John F Mahler,12
10,Treasurer,,L,John F Mahler,7
11,Treasurer,,L,John F Mahler,19
12,Treasurer,,L,John F Mahler,2
13,Treasurer,,L,John F Mahler,9
14,Treasurer,,L,John F Mahler,9
15,Treasurer,,L,John F Mahler,13
16,Treasurer,,L,John F Mahler,19
17,Treasurer,,L,John F Mahler,19
18,Treasurer,,L,John F Mahler,9
19,Treasurer,,L,John F Mahler,12
20,Treasurer,,L,John F Mahler,11
21,Treasurer,,L,John F Mahler,7
22,Treasurer,,L,John F Mahler,13
24,Treasurer,,L,John F Mahler,5
25,Treasurer,,L,John F Mahler,11
26,Treasurer,,L,John F Mahler,17
27,Treasurer,,L,John F Mahler,8
2,Treasurer,,L,John F Mahler,12
23,Treasurer,,L,John F Mahler,3
1,Treasurer,,C,Michael Marsh,1
3,Treasurer,,C,Michael Marsh,7
4,Treasurer,,C,Michael Marsh,2
5,Treasurer,,C,Michael Marsh,8
6,Treasurer,,C,Michael Marsh,8
7,Treasurer,,C,Michael Marsh,5
8,Treasurer,,C,Michael Marsh,2
9,Treasurer,,C,Michael Marsh,9
10,Treasurer,,C,Michael Marsh,7
11,Treasurer,,C,Michael Marsh,11
12,Treasurer,,C,Michael Marsh,2
13,Treasurer,,C,Michael Marsh,5
14,Treasurer,,C,Michael Marsh,3
15,Treasurer,,C,Michael Marsh,4
16,Treasurer,,C,Michael Marsh,22
17,Treasurer,,C,Michael Marsh,11
18,Treasurer,,C,Michael Marsh,5
19,Treasurer,,C,Michael Marsh,9
20,Treasurer,,C,Michael Marsh,5
21,Treasurer,,C,Michael Marsh,4
22,Treasurer,,C,Michael Marsh,7
24,Treasurer,,C,Michael Marsh,6
25,Treasurer,,C,Michael Marsh,4
26,Treasurer,,C,Michael Marsh,9
27,Treasurer,,C,Michael Marsh,6
2,Treasurer,,C,Michael Marsh,13
23,Treasurer,,C,Michael Marsh,4
1,Treasurer,,R,Tom Cox,28
3,Treasurer,,R,Tom Cox,159
4,Treasurer,,R,Tom Cox,91
5,Treasurer,,R,Tom Cox,198
6,Treasurer,,R,Tom Cox,143
7,Treasurer,,R,Tom Cox,71
8,Treasurer,,R,Tom Cox,197
9,Treasurer,,R,Tom Cox,348
10,Treasurer,,R,Tom Cox,174
11,Treasurer,,R,Tom Cox,293
12,Treasurer,,R,Tom Cox,85
13,Treasurer,,R,Tom Cox,120
14,Treasurer,,R,Tom Cox,163
15,Treasurer,,R,Tom Cox,170
16,Treasurer,,R,Tom Cox,512
17,Treasurer,,R,Tom Cox,577
18,Treasurer,,R,Tom Cox,180
19,Treasurer,,R,Tom Cox,280
20,Treasurer,,R,Tom Cox,130
21,Treasurer,,R,Tom Cox,109
22,Treasurer,,R,Tom Cox,214
24,Treasurer,,R,Tom Cox,225
25,Treasurer,,R,Tom Cox,166
26,Treasurer,,R,Tom Cox,344
27,Treasurer,,R,Tom Cox,141
2,Treasurer,,R,Tom Cox,199
23,Treasurer,,R,Tom Cox,179
1,Treasurer,,,Write-in,0
3,Treasurer,,,Write-in,2
4,Treasurer,,,Write-in,0
5,Treasurer,,,Write-in,1
6,Treasurer,,,Write-in,0
7,Treasurer,,,Write-in,0
8,Treasurer,,,Write-in,0
9,Treasurer,,,Write-in,0
10,Treasurer,,,Write-in,0
11,Treasurer,,,Write-in,0
12,Treasurer,,,Write-in,0
13,Treasurer,,,Write-in,0
14,Treasurer,,,Write-in,0
15,Treasurer,,,Write-in,0
16,Treasurer,,,Write-in,0
17,Treasurer,,,Write-in,2
18,Treasurer,,,Write-in,0
19,Treasurer,,,Write-in,1
20,Treasurer,,,Write-in,0
21,Treasurer,,,Write-in,0
22,Treasurer,,,Write-in,1
24,Treasurer,,,Write-in,0
25,Treasurer,,,Write-in,1
26,Treasurer,,,Write-in,0
27,Treasurer,,,Write-in,0
2,Treasurer,,,Write-in,0
23,Treasurer,,,Write-in,1
1,Attorney General,,P,Chris Henry,2
3,Attorney General,,P,Chris Henry,2
4,Attorney General,,P,Chris Henry,2
5,Attorney General,,P,Chris Henry,12
6,Attorney General,,P,Chris Henry,5
7,Attorney General,,P,Chris Henry,5
8,Attorney General,,P,Chris Henry,1
9,Attorney General,,P,Chris Henry,13
10,Attorney General,,P,Chris Henry,10
11,Attorney General,,P,Chris Henry,8
12,Attorney General,,P,Chris Henry,4
13,Attorney General,,P,Chris Henry,2
14,Attorney General,,P,Chris Henry,3
15,Attorney General,,P,Chris Henry,4
16,Attorney General,,P,Chris Henry,21
17,Attorney General,,P,Chris Henry,11
18,Attorney General,,P,Chris Henry,6
19,Attorney General,,P,Chris Henry,14
20,Attorney General,,P,Chris Henry,8
21,Attorney General,,P,Chris Henry,1
22,Attorney General,,P,Chris Henry,4
24,Attorney General,,P,Chris Henry,7
25,Attorney General,,P,Chris Henry,8
26,Attorney General,,P,Chris Henry,6
27,Attorney General,,P,Chris Henry,6
2,Attorney General,,P,Chris Henry,11
23,Attorney General,,P,Chris Henry,3
1,Attorney General,,R,James Buchal,26
3,Attorney General,,R,James Buchal,157
4,Attorney General,,R,James Buchal,96
5,Attorney General,,R,James Buchal,197
6,Attorney General,,R,James Buchal,146
7,Attorney General,,R,James Buchal,71
8,Attorney General,,R,James Buchal,207
9,Attorney General,,R,James Buchal,363
10,Attorney General,,R,James Buchal,179
11,Attorney General,,R,James Buchal,315
12,Attorney General,,R,James Buchal,85
13,Attorney General,,R,James Buchal,121
14,Attorney General,,R,James Buchal,166
15,Attorney General,,R,James Buchal,176
16,Attorney General,,R,James Buchal,531
17,Attorney General,,R,James Buchal,598
18,Attorney General,,R,James Buchal,174
19,Attorney General,,R,James Buchal,291
20,Attorney General,,R,James Buchal,143
21,Attorney General,,R,James Buchal,111
22,Attorney General,,R,James Buchal,205
24,Attorney General,,R,James Buchal,219
25,Attorney General,,R,James Buchal,167
26,Attorney General,,R,James Buchal,354
27,Attorney General,,R,James Buchal,150
2,Attorney General,,R,James Buchal,210
23,Attorney General,,R,James Buchal,175
1,Attorney General,,L,James Leuenberger,1
3,Attorney General,,L,James Leuenberger,15
4,Attorney General,,L,James Leuenberger,2
5,Attorney General,,L,James Leuenberger,24
6,Attorney General,,L,James Leuenberger,13
7,Attorney General,,L,James Leuenberger,11
8,Attorney General,,L,James Leuenberger,14
9,Attorney General,,L,James Leuenberger,15
10,Attorney General,,L,James Leuenberger,10
11,Attorney General,,L,James Leuenberger,20
12,Attorney General,,L,James Leuenberger,5
13,Attorney General,,L,James Leuenberger,15
14,Attorney General,,L,James Leuenberger,4
15,Attorney General,,L,James Leuenberger,15
16,Attorney General,,L,James Leuenberger,36
17,Attorney General,,L,James Leuenberger,26
18,Attorney General,,L,James Leuenberger,11
19,Attorney General,,L,James Leuenberger,16
20,Attorney General,,L,James Leuenberger,19
21,Attorney General,,L,James Leuenberger,9
22,Attorney General,,L,James Leuenberger,19
24,Attorney General,,L,James Leuenberger,14
25,Attorney General,,L,James Leuenberger,16
26,Attorney General,,L,James Leuenberger,31
27,Attorney General,,L,James Leuenberger,11
2,Attorney General,,L,James Leuenberger,18
23,Attorney General,,L,James Leuenberger,16
1,Attorney General,,D,Ellen Rosenblum,39
3,Attorney General,,D,Ellen Rosenblum,166
4,Attorney General,,D,Ellen Rosenblum,55
5,Attorney General,,D,Ellen Rosenblum,297
6,Attorney General,,D,Ellen Rosenblum,194
7,Attorney General,,D,Ellen Rosenblum,103
8,Attorney General,,D,Ellen Rosenblum,176
9,Attorney General,,D,Ellen Rosenblum,246
10,Attorney General,,D,Ellen Rosenblum,199
11,Attorney General,,D,Ellen Rosenblum,251
12,Attorney General,,D,Ellen Rosenblum,99
13,Attorney General,,D,Ellen Rosenblum,74
14,Attorney General,,D,Ellen Rosenblum,105
15,Attorney General,,D,Ellen Rosenblum,145
16,Attorney General,,D,Ellen Rosenblum,361
