candidate,office,party,incumbent,votes,county,district,chamber
"Johnson, Elizabeth (Betsy)","STATE REPRESENTATIVE, 1ST DISTRICT",DEM,TRUE,10813,Columbia,1,R
"McDaniel, Don","STATE REPRESENTATIVE, 1ST DISTRICT",LIB,FALSE,483,Clatsop,1,R
"McDaniel, Don","STATE REPRESENTATIVE, 1ST DISTRICT",LIB,FALSE,1105,Columbia,1,R
Other,"STATE REPRESENTATIVE, 1ST DISTRICT",OTH,FALSE,14,Clatsop,1,R
Other,"STATE REPRESENTATIVE, 1ST DISTRICT",OTH,FALSE,53,Columbia,1,R
"Minnis, Karen","STATE REPRESENTATIVE, 20TH DISTRICT",REP,TRUE,12666,Multnomah,20,R
"Weatherby, Mike","STATE REPRESENTATIVE, 20TH DISTRICT",DEM,FALSE,9822,Multnomah,20,R
Other,"STATE REPRESENTATIVE, 20TH DISTRICT",OTH,FALSE,93,Multnomah,20,R
"Leonard, Randy","STATE REPRESENTATIVE, 21ST DISTRICT",DEM,TRUE,11300,Multnomah,21,R
Other,"STATE REPRESENTATIVE, 21ST DISTRICT",OTH,FALSE,687,Multnomah,21,R
"Golobay, Edwin","STATE REPRESENTATIVE, 22ND DISTRICT",REP,FALSE,11493,Multnomah,22,R
"Anderson, Laurie Monnes","STATE REPRESENTATIVE, 22ND DISTRICT",DEM,TRUE,13100,Multnomah,22,R
Other,"STATE REPRESENTATIVE, 22ND DISTRICT",OTH,FALSE,77,Multnomah,22,R
"Wallace, Marvin","STATE REPRESENTATIVE, 23RD DISTRICT",CON,FALSE,4754,Clackamas,23,R
"Schrader, Kurt","STATE REPRESENTATIVE, 23RD DISTRICT",DEM,TRUE,15732,Clackamas,23,R
Other,"STATE REPRESENTATIVE, 23RD DISTRICT",OTH,FALSE,3,Clackamas,23,R
"Devlin, Richard","STATE REPRESENTATIVE, 24TH DISTRICT",DEM,TRUE,11885,Clackamas,24,R
"Devlin, Richard","STATE REPRESENTATIVE, 24TH DISTRICT",DEM,TRUE,2297,Washington,24,R
"Hansen, Jim","STATE REPRESENTATIVE, 24TH DISTRICT",REP,FALSE,9536,Clackamas,24,R
"Hansen, Jim","STATE REPRESENTATIVE, 24TH DISTRICT",REP,FALSE,1915,Washington,24,R
Other,"STATE REPRESENTATIVE, 24TH DISTRICT",OTH,FALSE,2,Clackamas,24,R
Other,"STATE REPRESENTATIVE, 24TH DISTRICT",OTH,FALSE,0,Washington,24,R
"Jones, Dick","STATE REPRESENTATIVE, 25TH DISTRICT",REP,FALSE,8675,Clackamas,25,R
"Tomei, Carolyn","STATE REPRESENTATIVE, 25TH DISTRICT",DEM,TRUE,12241,Clackamas,25,R
Other,"STATE REPRESENTATIVE, 25TH DISTRICT",OTH,FALSE,2,Clackamas,25,R
"Lowe, Kathy","STATE REPRESENTATIVE, 26TH DISTRICT",DEM,TRUE,14550,Clackamas,26,R
"Ritter, Almon S.","STATE REPRESENTATIVE, 26TH DISTRICT",REP,FALSE,7674,Clackamas,26,R
Other,"STATE REPRESENTATIVE, 26TH DISTRICT",OTH,FALSE,3,Clackamas,26,R
"Krummel, Jerry","STATE REPRESENTATIVE, 27TH DISTRICT",REP,TRUE,10823,Clackamas,27,R
"Krummel, Jerry","STATE REPRESENTATIVE, 27TH DISTRICT",REP,TRUE,7882,Washington,27,R
"Thorn, Jill","STATE REPRESENTATIVE, 27TH DISTRICT",DEM,FALSE,8067,Clackamas,27,R
"Thorn, Jill","STATE REPRESENTATIVE, 27TH DISTRICT",DEM,FALSE,5915,Washington,27,R
Other,"STATE REPRESENTATIVE, 27TH DISTRICT",OTH,FALSE,16,Clackamas,27,R
Other,"STATE REPRESENTATIVE, 27TH DISTRICT",OTH,FALSE,4,Washington,27,R
"Clarke, Mike A.","STATE REPRESENTATIVE, 28TH DISTRICT",DEM,FALSE,4089,Clackamas ,28,R
"Clarke, Mike A.","STATE REPRESENTATIVE, 28TH DISTRICT",DEM,FALSE,902,Linn ,28,R
"Clarke, Mike A.","STATE REPRESENTATIVE, 28TH DISTRICT",DEM,FALSE,3975,Marion ,28,R
"Clarke, Mike A.","STATE REPRESENTATIVE, 28TH DISTRICT",DEM,FALSE,8966,TOTAL ,28,R
"Smith, Tootie","STATE REPRESENTATIVE, 28TH DISTRICT",REP,TRUE,5517,Clackamas ,28,R
"Smith, Tootie","STATE REPRESENTATIVE, 28TH DISTRICT",REP,TRUE,1587,Linn ,28,R
"Smith, Tootie","STATE REPRESENTATIVE, 28TH DISTRICT",REP,TRUE,6244,Marion ,28,R
"Smith, Tootie","STATE REPRESENTATIVE, 28TH DISTRICT",REP,TRUE,13348,TOTAL ,28,R
Other,"STATE REPRESENTATIVE, 28TH DISTRICT",OTH,FALSE,1,Clackamas ,28,R
Other,"STATE REPRESENTATIVE, 28TH DISTRICT",OTH,FALSE,0,Linn ,28,R
Other,"STATE REPRESENTATIVE, 28TH DISTRICT",OTH,FALSE,33,Marion ,28,R
Other,"STATE REPRESENTATIVE, 28TH DISTRICT",OTH,FALSE,34,TOTAL ,28,R
"Nelson, Donna G.","STATE REPRESENTATIVE, 29TH DISTRICT",REP,TRUE,13782,Yamhill,29,R
"Nelson, Frank G.","STATE REPRESENTATIVE, 29TH DISTRICT",DEM,FALSE,11193,Yamhill,29,R
Other,"STATE REPRESENTATIVE, 29TH DISTRICT",OTH,FALSE,137,Yamhill,29,R
"Waldron, Diane","STATE REPRESENTATIVE, 2ND DISTRICT",REP,FALSE,3864,Clatsop ,2,R
"Waldron, Diane","STATE REPRESENTATIVE, 2ND DISTRICT",REP,FALSE,987,Columbia ,2,R
"Waldron, Diane","STATE REPRESENTATIVE, 2ND DISTRICT",REP,FALSE,4490,Tillamook ,2,R
"Waldron, Diane","STATE REPRESENTATIVE, 2ND DISTRICT",REP,FALSE,706,Washington ,2,R
"Waldron, Diane","STATE REPRESENTATIVE, 2ND DISTRICT",REP,FALSE,10047,TOTAL ,2,R
"Hopson, Elaine M.","STATE REPRESENTATIVE, 2ND DISTRICT",DEM,TRUE,5672,Clatsop ,2,R
"Hopson, Elaine M.","STATE REPRESENTATIVE, 2ND DISTRICT",DEM,TRUE,965,Columbia ,2,R
"Hopson, Elaine M.","STATE REPRESENTATIVE, 2ND DISTRICT",DEM,TRUE,6716,Tillamook ,2,R
"Hopson, Elaine M.","STATE REPRESENTATIVE, 2ND DISTRICT",DEM,TRUE,596,Washington ,2,R
"Hopson, Elaine M.","STATE REPRESENTATIVE, 2ND DISTRICT",DEM,TRUE,13949,TOTAL ,2,R
Other,"STATE REPRESENTATIVE, 2ND DISTRICT",OTH,FALSE,46,Clatsop ,2,R
Other,"STATE REPRESENTATIVE, 2ND DISTRICT",OTH,FALSE,15,Columbia ,2,R
Other,"STATE REPRESENTATIVE, 2ND DISTRICT",OTH,FALSE,110,Tillamook ,2,R
Other,"STATE REPRESENTATIVE, 2ND DISTRICT",OTH,FALSE,1,Washington ,2,R
Other,"STATE REPRESENTATIVE, 2ND DISTRICT",OTH,FALSE,172,TOTAL ,2,R
"Doyle, Dan","STATE REPRESENTATIVE, 30TH DISTRICT",REP,TRUE,16062,Marion,30,R
"McCormick, Colby","STATE REPRESENTATIVE, 30TH DISTRICT",DEM,FALSE,9274,Marion,30,R
Other,"STATE REPRESENTATIVE, 30TH DISTRICT",OTH,FALSE,109,Marion,30,R
"Kumley, Lloyd","STATE REPRESENTATIVE, 31ST DISTRICT",DEM,FALSE,6979,Marion,31,R
"Kumley, Lloyd","STATE REPRESENTATIVE, 31ST DISTRICT",DEM,FALSE,3041,Polk,31,R
"Winters, Jackie","STATE REPRESENTATIVE, 31ST DISTRICT",REP,TRUE,11071,Marion,31,R
"Winters, Jackie","STATE REPRESENTATIVE, 31ST DISTRICT",REP,TRUE,6092,Polk,31,R
Other,"STATE REPRESENTATIVE, 31ST DISTRICT",OTH,FALSE,52,Marion,31,R
Other,"STATE REPRESENTATIVE, 31ST DISTRICT",OTH,FALSE,6,Polk,31,R
"Bell, George","STATE REPRESENTATIVE, 32ND DISTRICT",DEM,FALSE,9384,Marion,32,R
"Carlson, Janet","STATE REPRESENTATIVE, 32ND DISTRICT",REP,TRUE,9564,Marion,32,R
Other,"STATE REPRESENTATIVE, 32ND DISTRICT",OTH,FALSE,48,Marion,32,R
"Backlund, Vic","STATE REPRESENTATIVE, 33RD DISTRICT",REP,TRUE,17269,Marion,33,R
Other,"STATE REPRESENTATIVE, 33RD DISTRICT",OTH,FALSE,652,Marion,33,R
"Barrie, J. T.","STATE REPRESENTATIVE, 34TH DISTRICT",LIB,FALSE,225,Benton,34,R
"Barrie, J. T.","STATE REPRESENTATIVE, 34TH DISTRICT",LIB,FALSE,254,Polk,34,R
"Walker, Steve","STATE REPRESENTATIVE, 34TH DISTRICT",CON,FALSE,252,Benton,34,R
"Walker, Steve","STATE REPRESENTATIVE, 34TH DISTRICT",CON,FALSE,1049,Polk,34,R
"Slizeski, Marilyn L.","STATE REPRESENTATIVE, 34TH DISTRICT",DEM,FALSE,3345,Benton,34,R
"Slizeski, Marilyn L.","STATE REPRESENTATIVE, 34TH DISTRICT",DEM,FALSE,4162,Polk,34,R
"Shetterly, Lane","STATE REPRESENTATIVE, 34TH DISTRICT",REP,TRUE,4488,Benton,34,R
"Shetterly, Lane","STATE REPRESENTATIVE, 34TH DISTRICT",REP,TRUE,10090,Polk,34,R
Other,"STATE REPRESENTATIVE, 34TH DISTRICT",OTH,FALSE,18,Benton,34,R
Other,"STATE REPRESENTATIVE, 34TH DISTRICT",OTH,FALSE,7,Polk,34,R
"Ringold, Debra","STATE REPRESENTATIVE, 35TH DISTRICT",REP,FALSE,9174,Benton,35,R
"Wirth, Kelley","STATE REPRESENTATIVE, 35TH DISTRICT",DEM,TRUE,12958,Benton,35,R
Other,"STATE REPRESENTATIVE, 35TH DISTRICT",OTH,FALSE,67,Benton,35,R
"Donovan, John","STATE REPRESENTATIVE, 36TH DISTRICT",DEM,FALSE,2378,Benton,36,R
"Donovan, John","STATE REPRESENTATIVE, 36TH DISTRICT",DEM,FALSE,7983,Linn,36,R
"Close, Betsy L.","STATE REPRESENTATIVE, 36TH DISTRICT",REP,TRUE,3307,Benton,36,R
"Close, Betsy L.","STATE REPRESENTATIVE, 36TH DISTRICT",REP,TRUE,9899,Linn,36,R
Other,"STATE REPRESENTATIVE, 36TH DISTRICT",OTH,FALSE,13,Benton,36,R
Other,"STATE REPRESENTATIVE, 36TH DISTRICT",OTH,FALSE,0,Linn,36,R
"Kropf, Jeff","STATE REPRESENTATIVE, 37TH DISTRICT",REP,TRUE,14865,Linn,37,R
"Workman, Lori","STATE REPRESENTATIVE, 37TH DISTRICT",DEM,FALSE,6768,Linn,37,R
Other,"STATE REPRESENTATIVE, 37TH DISTRICT",OTH,FALSE,3,Linn,37,R
"Zauner, Cliff","STATE REPRESENTATIVE, 38TH DISTRICT",REP,TRUE,7854,Marion,38,R
"Zauner, Cliff","STATE REPRESENTATIVE, 38TH DISTRICT",REP,TRUE,3152,Yamhill,38,R
"Fletcher, Irv","STATE REPRESENTATIVE, 38TH DISTRICT",DEM,FALSE,5460,Marion,38,R
"Fletcher, Irv","STATE REPRESENTATIVE, 38TH DISTRICT",DEM,FALSE,2561,Yamhill,38,R
Other,"STATE REPRESENTATIVE, 38TH DISTRICT",OTH,FALSE,35,Marion,38,R
Other,"STATE REPRESENTATIVE, 38TH DISTRICT",OTH,FALSE,26,Yamhill,38,R
"Bevans, Christopher D.","STATE REPRESENTATIVE, 39TH DISTRICT",REP,FALSE,9854,Lane,39,R
"Ackerman, Robert L.","STATE REPRESENTATIVE, 39TH DISTRICT",DEM,TRUE,13930,Lane,39,R
Other,"STATE REPRESENTATIVE, 39TH DISTRICT",OTH,FALSE,2,Lane,39,R
"Lamb- Mullin, Cathy","STATE REPRESENTATIVE, 3RD DISTRICT",DEM,FALSE,10418,Washington,3,R
"Hintz, David","STATE REPRESENTATIVE, 3RD DISTRICT",LIB,FALSE,1050,Washington,3,R
"Starr, Bruce","STATE REPRESENTATIVE, 3RD DISTRICT",REP,TRUE,14810,Washington,3,R
Other,"STATE REPRESENTATIVE, 3RD DISTRICT",OTH,FALSE,1,Washington,3,R
"Barnhart, Phil","STATE REPRESENTATIVE, 40TH DISTRICT",DEM,TRUE,17806,Lane,40,R
"Young, William D","STATE REPRESENTATIVE, 40TH DISTRICT",REP,FALSE,5827,Lane,40,R
"Sorg, Karl G.","STATE REPRESENTATIVE, 40TH DISTRICT",SOC,FALSE,1155,Lane,40,R
Other,"STATE REPRESENTATIVE, 40TH DISTRICT",OTH,FALSE,9,Lane,40,R
"Miller, Jeff R.","STATE REPRESENTATIVE, 41ST DISTRICT",REP,FALSE,12190,Lane,41,R
"Walker, Vicki L.","STATE REPRESENTATIVE, 41ST DISTRICT",DEM,TRUE,13827,Lane,41,R
Other,"STATE REPRESENTATIVE, 41ST DISTRICT",OTH,FALSE,7,Lane,41,R
"Morrisette, Bill","STATE REPRESENTATIVE, 42ND DISTRICT",DEM,TRUE,15295,Lane,42,R
Other,"STATE REPRESENTATIVE, 42ND DISTRICT",OTH,FALSE,53,Lane,42,R
"Johnson, Francisca","STATE REPRESENTATIVE, 43RD DISTRICT",DEM,FALSE,2023,Douglas,43,R
"Johnson, Francisca","STATE REPRESENTATIVE, 43RD DISTRICT",DEM,FALSE,7807,Lane,43,R
"Hayden, Cedric","STATE REPRESENTATIVE, 43RD DISTRICT",REP,TRUE,4355,Douglas,43,R
"Hayden, Cedric","STATE REPRESENTATIVE, 43RD DISTRICT",REP,TRUE,9385,Lane,43,R
Other,"STATE REPRESENTATIVE, 43RD DISTRICT",OTH,FALSE,21,Douglas,43,R
Other,"STATE REPRESENTATIVE, 43RD DISTRICT",OTH,FALSE,5,Lane,43,R
"Kemp, Ed","STATE REPRESENTATIVE, 44TH DISTRICT",REP,FALSE,10889,Lane,44,R
"King, Al","STATE REPRESENTATIVE, 44TH DISTRICT",DEM,TRUE,12056,Lane,44,R
Other,"STATE REPRESENTATIVE, 44TH DISTRICT",OTH,FALSE,3,Lane,44,R
"Lee, Charles","STATE REPRESENTATIVE, 45TH DISTRICT",DEM,FALSE,7678,Douglas,45,R
"Kruse, Jeff","STATE REPRESENTATIVE, 45TH DISTRICT",REP,TRUE,16639,Douglas,45,R
Other,"STATE REPRESENTATIVE, 45TH DISTRICT",OTH,FALSE,31,Douglas,45,R
"Morgan, County Susan","STATE REPRESENTATIVE, 46TH DISTRICT",REP,TRUE,9062,Douglas ,46,R
"Morgan, County Susan","STATE REPRESENTATIVE, 46TH DISTRICT",REP,TRUE,4087,Jackson ,46,R
"Morgan, County Susan","STATE REPRESENTATIVE, 46TH DISTRICT",REP,TRUE,4321,Josephine ,46,R
"Morgan, County Susan","STATE REPRESENTATIVE, 46TH DISTRICT",REP,TRUE,17470,TOTAL ,46,R
"Calhoun, W. Earl","STATE REPRESENTATIVE, 46TH DISTRICT",DEM,FALSE,3082,Douglas ,46,R
"Calhoun, W. Earl","STATE REPRESENTATIVE, 46TH DISTRICT",DEM,FALSE,1826,Jackson ,46,R
"Calhoun, W. Earl","STATE REPRESENTATIVE, 46TH DISTRICT",DEM,FALSE,1662,Josephine ,46,R
"Calhoun, W. Earl","STATE REPRESENTATIVE, 46TH DISTRICT",DEM,FALSE,6570,TOTAL ,46,R
Other,"STATE REPRESENTATIVE, 46TH DISTRICT",OTH,FALSE,42,Douglas ,46,R
Other,"STATE REPRESENTATIVE, 46TH DISTRICT",OTH,FALSE,17,Jackson ,46,R
Other,"STATE REPRESENTATIVE, 46TH DISTRICT",OTH,FALSE,37,Josephine ,46,R
Other,"STATE REPRESENTATIVE, 46TH DISTRICT",OTH,FALSE,96,TOTAL ,46,R
"Alexander, Christina","STATE REPRESENTATIVE, 47TH DISTRICT",PAC,FALSE,3628,Coos,47,R
"Alexander, Christina","STATE REPRESENTATIVE, 47TH DISTRICT",PAC,FALSE,393,Douglas,47,R
"Alexander, Christina","STATE REPRESENTATIVE, 47TH DISTRICT",PAC,FALSE,1415,Lane,47,R
"Verger, Joanne","STATE REPRESENTATIVE, 47TH DISTRICT",DEM,TRUE,8306,Coos,47,R
"Verger, Joanne","STATE REPRESENTATIVE, 47TH DISTRICT",DEM,TRUE,1670,Douglas,47,R
"Verger, Joanne","STATE REPRESENTATIVE, 47TH DISTRICT",DEM,TRUE,3798,Lane,47,R
Other,"STATE REPRESENTATIVE, 47TH DISTRICT",OTH,FALSE,1680,Coos,47,R
Other,"STATE REPRESENTATIVE, 47TH DISTRICT",OTH,FALSE,145,Douglas,47,R
Other,"STATE REPRESENTATIVE, 47TH DISTRICT",OTH,FALSE,25,Lane,47,R
"Dodrill, Barbara","STATE REPRESENTATIVE, 48TH DISTRICT",DEM,FALSE,6917,Coos,48,R
"Dodrill, Barbara","STATE REPRESENTATIVE, 48TH DISTRICT",DEM,FALSE,4421,Curry,48,R
"Krieger, Wayne","STATE REPRESENTATIVE, 48TH DISTRICT",REP,TRUE,7464,Coos,48,R
"Krieger, Wayne","STATE REPRESENTATIVE, 48TH DISTRICT",REP,TRUE,6808,Curry,48,R
Other,"STATE REPRESENTATIVE, 48TH DISTRICT",OTH,FALSE,61,Coos,48,R
Other,"STATE REPRESENTATIVE, 48TH DISTRICT",OTH,FALSE,39,Curry,48,R
"Wilson, Carl","STATE REPRESENTATIVE, 49TH DISTRICT",REP,TRUE,18173,Josephine,49,R
"Toler, Dave","STATE REPRESENTATIVE, 49TH DISTRICT",IND,FALSE,7462,Josephine,49,R
Other,"STATE REPRESENTATIVE, 49TH DISTRICT",OTH,FALSE,95,Josephine,49,R
"Brown, Alan","STATE REPRESENTATIVE, 4TH DISTRICT",REP,TRUE,383,Lane,4,R
"Brown, Alan","STATE REPRESENTATIVE, 4TH DISTRICT",REP,TRUE,10404,Lincoln,4,R
"Brown, Alan","STATE REPRESENTATIVE, 4TH DISTRICT",REP,TRUE,181,Polk,4,R
"Brown, Alan","STATE REPRESENTATIVE, 4TH DISTRICT",REP,TRUE,193,Tillamook,4,R
"Brown, Alan","STATE REPRESENTATIVE, 4TH DISTRICT",REP,TRUE,1487,Yamhill,4,R
"Branstiter, Sharon","STATE REPRESENTATIVE, 4TH DISTRICT",DEM,FALSE,358,Lane,4,R
"Branstiter, Sharon","STATE REPRESENTATIVE, 4TH DISTRICT",DEM,FALSE,10050,Lincoln,4,R
"Branstiter, Sharon","STATE REPRESENTATIVE, 4TH DISTRICT",DEM,FALSE,188,Polk,4,R
"Branstiter, Sharon","STATE REPRESENTATIVE, 4TH DISTRICT",DEM,FALSE,195,Tillamook,4,R
"Branstiter, Sharon","STATE REPRESENTATIVE, 4TH DISTRICT",DEM,FALSE,1013,Yamhill,4,R
Other,"STATE REPRESENTATIVE, 4TH DISTRICT",OTH,FALSE,0,Lane,4,R
Other,"STATE REPRESENTATIVE, 4TH DISTRICT",OTH,FALSE,61,Lincoln,4,R
Other,"STATE REPRESENTATIVE, 4TH DISTRICT",OTH,FALSE,0,Polk,4,R
Other,"STATE REPRESENTATIVE, 4TH DISTRICT",OTH,FALSE,0,Tillamook,4,R
Other,"STATE REPRESENTATIVE, 4TH DISTRICT",OTH,FALSE,15,Yamhill,4,R
"Davidson, Barbara","STATE REPRESENTATIVE, 50TH DISTRICT",DEM,FALSE,9324,Jackson,50,R
"Patridge, Rob","STATE REPRESENTATIVE, 50TH DISTRICT",REP,TRUE,15378,Jackson,50,R
Other,"STATE REPRESENTATIVE, 50TH DISTRICT",OTH,FALSE,26,Jackson,50,R
"Walker, Cherryl","STATE REPRESENTATIVE, 51ST DISTRICT",REP,TRUE,14132,Jackson,51,R
"Walker, Cherryl","STATE REPRESENTATIVE, 51ST DISTRICT",REP,TRUE,2060,Josephine,51,R
"Holston, Lon","STATE REPRESENTATIVE, 51ST DISTRICT",DEM,FALSE,7269,Jackson,51,R
"Holston, Lon","STATE REPRESENTATIVE, 51ST DISTRICT",DEM,FALSE,958,Josephine,51,R
Other,"STATE REPRESENTATIVE, 51ST DISTRICT",OTH,FALSE,64,Jackson,51,R
Other,"STATE REPRESENTATIVE, 51ST DISTRICT",OTH,FALSE,19,Josephine,51,R
"Bates, Alan C.","STATE REPRESENTATIVE, 52ND DISTRICT",DEM,TRUE,17032,Jackson,52,R
"Hunts, Jane","STATE REPRESENTATIVE, 52ND DISTRICT",REP,FALSE,11216,Jackson,52,R
Other,"STATE REPRESENTATIVE, 52ND DISTRICT",OTH,FALSE,46,Jackson,52,R
"Snoozy, Wayne P.","STATE REPRESENTATIVE, 53RD DISTRICT",DEM,FALSE,9333,Klamath,53,R
"Garrard, Bill","STATE REPRESENTATIVE, 53RD DISTRICT",REP,TRUE,12143,Klamath,53,R
Other,"STATE REPRESENTATIVE, 53RD DISTRICT",OTH,FALSE,34,Klamath,53,R
"Cooper, Ken","STATE REPRESENTATIVE, 54TH DISTRICT",DEM,FALSE,12469,Deschutes,54,R
"Cooper, Ken","STATE REPRESENTATIVE, 54TH DISTRICT",DEM,FALSE,574,Klamath,54,R
"Knopp, Tim","STATE REPRESENTATIVE, 54TH DISTRICT",REP,TRUE,19762,Deschutes,54,R
"Knopp, Tim","STATE REPRESENTATIVE, 54TH DISTRICT",REP,TRUE,977,Klamath,54,R
Other,"STATE REPRESENTATIVE, 54TH DISTRICT",OTH,FALSE,61,Deschutes,54,R
Other,"STATE REPRESENTATIVE, 54TH DISTRICT",OTH,FALSE,2,Klamath,54,R
"Dunlap, Douglas","STATE REPRESENTATIVE, 55TH DISTRICT",DEM,FALSE,5567,Deschutes,55,R
"Dunlap, Douglas","STATE REPRESENTATIVE, 55TH DISTRICT",DEM,FALSE,1876,Jefferson,55,R
"Dunlap, Douglas","STATE REPRESENTATIVE, 55TH DISTRICT",DEM,FALSE,443,Wasco,55,R
"Westlund, Ben","STATE REPRESENTATIVE, 55TH DISTRICT",REP,TRUE,16708,Deschutes,55,R
"Westlund, Ben","STATE REPRESENTATIVE, 55TH DISTRICT",REP,TRUE,4774,Jefferson,55,R
"Westlund, Ben","STATE REPRESENTATIVE, 55TH DISTRICT",REP,TRUE,679,Wasco,55,R
Other,"STATE REPRESENTATIVE, 55TH DISTRICT",OTH,FALSE,48,Deschutes,55,R
Other,"STATE REPRESENTATIVE, 55TH DISTRICT",OTH,FALSE,20,Jefferson,55,R
Other,"STATE REPRESENTATIVE, 55TH DISTRICT",OTH,FALSE,1,Wasco,55,R
"Zastrow, County Paul","STATE REPRESENTATIVE, 56TH DISTRICT",DEM,FALSE,1582,Clackamas ,56,R
"Zastrow, County Paul","STATE REPRESENTATIVE, 56TH DISTRICT",DEM,FALSE,3667,Hood River ,56,R
"Zastrow, County Paul","STATE REPRESENTATIVE, 56TH DISTRICT",DEM,FALSE,1296,Multnomah ,56,R
"Zastrow, County Paul","STATE REPRESENTATIVE, 56TH DISTRICT",DEM,FALSE,3736,Wasco ,56,R
"Zastrow, County Paul","STATE REPRESENTATIVE, 56TH DISTRICT",DEM,FALSE,10281,TOTAL ,56,R
"Smith, Patti","STATE REPRESENTATIVE, 56TH DISTRICT",REP,TRUE,2123,Clackamas ,56,R
"Smith, Patti","STATE REPRESENTATIVE, 56TH DISTRICT",REP,TRUE,4592,Hood River ,56,R
"Smith, Patti","STATE REPRESENTATIVE, 56TH DISTRICT",REP,TRUE,2189,Multnomah ,56,R
"Smith, Patti","STATE REPRESENTATIVE, 56TH DISTRICT",REP,TRUE,4689,Wasco ,56,R
"Smith, Patti","STATE REPRESENTATIVE, 56TH DISTRICT",REP,TRUE,13593,TOTAL ,56,R
