precinct,office,district,party,candidate,votes
PRECINCT 15 ,U.S. Senate,,,Over Votes,0
PRECINCT 16 ,U.S. Senate,,,Over Votes,0
PRECINCT 17 ,U.S. Senate,,,Over Votes,0
PRECINCT 02 ,U.S. Senate,,,Over Votes,1
PRECINCT 03 ,U.S. Senate,,,Over Votes,1
PRECINCT 04 ,U.S. Senate,,,Over Votes,0
PRECINCT 05 ,U.S. Senate,,,Over Votes,0
PRECINCT 06 ,U.S. Senate,,,Over Votes,0
PRECINCT 07 ,U.S. Senate,,,Over Votes,0
PRECINCT 01 ,U.S. Senate,,,Under Votes,9
PRECINCT 10 ,U.S. Senate,,,Under Votes,15
PRECINCT 11 ,U.S. Senate,,,Under Votes,38
PRECINCT 12 ,U.S. Senate,,,Under Votes,5
PRECINCT 13 ,U.S. Senate,,,Under Votes,24
PRECINCT 14 ,U.S. Senate,,,Under Votes,11
PRECINCT 15 ,U.S. Senate,,,Under Votes,22
PRECINCT 16 ,U.S. Senate,,,Under Votes,21
PRECINCT 17 ,U.S. Senate,,,Under Votes,57
PRECINCT 02 ,U.S. Senate,,,Under Votes,12
PRECINCT 03 ,U.S. Senate,,,Under Votes,7
PRECINCT 04 ,U.S. Senate,,,Under Votes,31
PRECINCT 05 ,U.S. Senate,,,Under Votes,58
PRECINCT 06 ,U.S. Senate,,,Under Votes,21
PRECINCT 07 ,U.S. Senate,,,Under Votes,2
PRECINCT 08 ,U.S. Senate,,CON,James E. Leuenberger,14
PRECINCT 09 ,U.S. Senate,,CON,James E. Leuenberger,7
PRECINCT 08 ,U.S. Senate,,PGP,Christina Jean Lugo,9
PRECINCT 09 ,U.S. Senate,,PGP,Christina Jean Lugo,0
PRECINCT 08 ,U.S. Senate,,DEM,Jeff Merkley,140
PRECINCT 09 ,U.S. Senate,,DEM,Jeff Merkley,33
PRECINCT 08 ,U.S. Senate,,NAV,Mike Montchalin,20
PRECINCT 09 ,U.S. Senate,,NAV,Mike Montchalin,5
PRECINCT 08 ,U.S. Senate,,REP,Monica Wehby,164
PRECINCT 09 ,U.S. Senate,,REP,Monica Wehby,79
PRECINCT 08 ,U.S. Senate,,,Write-ins,1
PRECINCT 09 ,U.S. Senate,,,Write-ins,1
PRECINCT 08 ,U.S. Senate,,,Over Votes,0
PRECINCT 09 ,U.S. Senate,,,Over Votes,0
PRECINCT 08 ,U.S. Senate,,,Under Votes,21
PRECINCT 09 ,U.S. Senate,,,Under Votes,3
PRECINCT 01 ,U.S. House,2,DEM,Aelea Christofferson,66
PRECINCT 10 ,U.S. House,2,DEM,Aelea Christofferson,47
PRECINCT 11 ,U.S. House,2,DEM,Aelea Christofferson,187
PRECINCT 12 ,U.S. House,2,DEM,Aelea Christofferson,11
PRECINCT 13 ,U.S. House,2,DEM,Aelea Christofferson,76
PRECINCT 14 ,U.S. House,2,DEM,Aelea Christofferson,65
PRECINCT 15 ,U.S. House,2,DEM,Aelea Christofferson,117
PRECINCT 16 ,U.S. House,2,DEM,Aelea Christofferson,46
PRECINCT 17 ,U.S. House,2,DEM,Aelea Christofferson,262
PRECINCT 02 ,U.S. House,2,DEM,Aelea Christofferson,58
PRECINCT 03 ,U.S. House,2,DEM,Aelea Christofferson,44
PRECINCT 04 ,U.S. House,2,DEM,Aelea Christofferson,104
PRECINCT 05 ,U.S. House,2,DEM,Aelea Christofferson,170
PRECINCT 06 ,U.S. House,2,DEM,Aelea Christofferson,103
PRECINCT 07 ,U.S. House,2,DEM,Aelea Christofferson,22
PRECINCT 08 ,U.S. House,2,DEM,Aelea Christofferson,55
PRECINCT 09 ,U.S. House,2,DEM,Aelea Christofferson,13
PRECINCT 01 ,U.S. House,2,LBT,Sharon L. Durbin,21
PRECINCT 10 ,U.S. House,2,LBT,Sharon L. Durbin,10
PRECINCT 11 ,U.S. House,2,LBT,Sharon L. Durbin,35
PRECINCT 12 ,U.S. House,2,LBT,Sharon L. Durbin,0
PRECINCT 13 ,U.S. House,2,LBT,Sharon L. Durbin,14
PRECINCT 14 ,U.S. House,2,LBT,Sharon L. Durbin,21
PRECINCT 15 ,U.S. House,2,LBT,Sharon L. Durbin,24
PRECINCT 16 ,U.S. House,2,LBT,Sharon L. Durbin,20
PRECINCT 17 ,U.S. House,2,LBT,Sharon L. Durbin,60
PRECINCT 02 ,U.S. House,2,LBT,Sharon L. Durbin,20
PRECINCT 03 ,U.S. House,2,LBT,Sharon L. Durbin,10
PRECINCT 04 ,U.S. House,2,LBT,Sharon L. Durbin,16
PRECINCT 05 ,U.S. House,2,LBT,Sharon L. Durbin,35
PRECINCT 06 ,U.S. House,2,LBT,Sharon L. Durbin,8
PRECINCT 07 ,U.S. House,2,LBT,Sharon L. Durbin,7
PRECINCT 08 ,U.S. House,2,LBT,Sharon L. Durbin,15
PRECINCT 09 ,U.S. House,2,LBT,Sharon L. Durbin,4
PRECINCT 01 ,U.S. House,2,REP,Greg Walden,257
PRECINCT 10 ,U.S. House,2,REP,Greg Walden,213
PRECINCT 11 ,U.S. House,2,REP,Greg Walden,1040
PRECINCT 12 ,U.S. House,2,REP,Greg Walden,73
PRECINCT 13 ,U.S. House,2,REP,Greg Walden,412
PRECINCT 14 ,U.S. House,2,REP,Greg Walden,165
PRECINCT 15 ,U.S. House,2,REP,Greg Walden,546
PRECINCT 16 ,U.S. House,2,REP,Greg Walden,341
PRECINCT 17 ,U.S. House,2,REP,Greg Walden,1267
PRECINCT 02 ,U.S. House,2,REP,Greg Walden,204
PRECINCT 03 ,U.S. House,2,REP,Greg Walden,99
PRECINCT 04 ,U.S. House,2,REP,Greg Walden,608
PRECINCT 05 ,U.S. House,2,REP,Greg Walden,984
PRECINCT 06 ,U.S. House,2,REP,Greg Walden,319
PRECINCT 07 ,U.S. House,2,REP,Greg Walden,158
PRECINCT 08 ,U.S. House,2,REP,Greg Walden,274
PRECINCT 09 ,U.S. House,2,REP,Greg Walden,1
PRECINCT 01 ,U.S. House,2,,Write-ins,4
PRECINCT 10 ,U.S. House,2,,Write-ins,0
PRECINCT 11 ,U.S. House,2,,Write-ins,2
PRECINCT 12 ,U.S. House,2,,Write-ins,0
PRECINCT 13 ,U.S. House,2,,Write-ins,1
PRECINCT 14 ,U.S. House,2,,Write-ins,3
PRECINCT 15 ,U.S. House,2,,Write-ins,0
PRECINCT 16 ,U.S. House,2,,Write-ins,2
PRECINCT 17 ,U.S. House,2,,Write-ins,1
PRECINCT 02 ,U.S. House,2,,Write-ins,2
PRECINCT 03 ,U.S. House,2,,Write-ins,0
PRECINCT 04 ,U.S. House,2,,Write-ins,1
PRECINCT 05 ,U.S. House,2,,Write-ins,2
PRECINCT 06 ,U.S. House,2,,Write-ins,0
PRECINCT 07 ,U.S. House,2,,Write-ins,0
PRECINCT 08 ,U.S. House,2,,Write-ins,1
PRECINCT 09 ,U.S. House,2,,Write-ins,0
PRECINCT 01 ,U.S. House,2,,Over Votes,0
PRECINCT 10 ,U.S. House,2,,Over Votes,0
PRECINCT 11 ,U.S. House,2,,Over Votes,0
PRECINCT 12 ,U.S. House,2,,Over Votes,0
PRECINCT 13 ,U.S. House,2,,Over Votes,0
PRECINCT 14 ,U.S. House,2,,Over Votes,0
PRECINCT 15 ,U.S. House,2,,Over Votes,0
PRECINCT 16 ,U.S. House,2,,Over Votes,0
PRECINCT 17 ,U.S. House,2,,Over Votes,0
PRECINCT 02 ,U.S. House,2,,Over Votes,0
PRECINCT 03 ,U.S. House,2,,Over Votes,0
PRECINCT 04 ,U.S. House,2,,Over Votes,0
PRECINCT 05 ,U.S. House,2,,Over Votes,2
PRECINCT 06 ,U.S. House,2,,Over Votes,0
PRECINCT 07 ,U.S. House,2,,Over Votes,0
PRECINCT 08 ,U.S. House,2,,Over Votes,0
PRECINCT 09 ,U.S. House,2,,Over Votes,0
PRECINCT 01 ,U.S. House,2,,Under Votes,14
PRECINCT 10 ,U.S. House,2,,Under Votes,16
PRECINCT 11 ,U.S. House,2,,Under Votes,26
PRECINCT 12 ,U.S. House,2,,Under Votes,1
PRECINCT 13 ,U.S. House,2,,Under Votes,21
PRECINCT 14 ,U.S. House,2,,Under Votes,14
PRECINCT 15 ,U.S. House,2,,Under Votes,20
PRECINCT 16 ,U.S. House,2,,Under Votes,15
PRECINCT 17 ,U.S. House,2,,Under Votes,57
PRECINCT 02 ,U.S. House,2,,Under Votes,19
PRECINCT 03 ,U.S. House,2,,Under Votes,9
PRECINCT 04 ,U.S. House,2,,Under Votes,24
PRECINCT 05 ,U.S. House,2,,Under Votes,41
PRECINCT 06 ,U.S. House,2,,Under Votes,20
PRECINCT 07 ,U.S. House,2,,Under Votes,3
PRECINCT 08 ,U.S. House,2,,Under Votes,24
PRECINCT 09 ,U.S. House,2,,Under Votes,4
PRECINCT 01 ,Governor,,CON,Aaron Auer,10
PRECINCT 10 ,Governor,,CON,Aaron Auer,6
PRECINCT 11 ,Governor,,CON,Aaron Auer,11
PRECINCT 12 ,Governor,,CON,Aaron Auer,0
PRECINCT 13 ,Governor,,CON,Aaron Auer,6
PRECINCT 14 ,Governor,,CON,Aaron Auer,12
PRECINCT 15 ,Governor,,CON,Aaron Auer,15
PRECINCT 16 ,Governor,,CON,Aaron Auer,7
PRECINCT 17 ,Governor,,CON,Aaron Auer,28
PRECINCT 02 ,Governor,,CON,Aaron Auer,10
PRECINCT 03 ,Governor,,CON,Aaron Auer,4
PRECINCT 04 ,Governor,,CON,Aaron Auer,9
PRECINCT 05 ,Governor,,CON,Aaron Auer,25
PRECINCT 06 ,Governor,,CON,Aaron Auer,2
PRECINCT 07 ,Governor,,CON,Aaron Auer,3
PRECINCT 08 ,Governor,,CON,Aaron Auer,1
PRECINCT 09 ,Governor,,CON,Aaron Auer,6
PRECINCT 01 ,Governor,,LBT,Paul Grad,6
PRECINCT 10 ,Governor,,LBT,Paul Grad,4
PRECINCT 11 ,Governor,,LBT,Paul Grad,26
PRECINCT 12 ,Governor,,LBT,Paul Grad,1
PRECINCT 13 ,Governor,,LBT,Paul Grad,6
PRECINCT 14 ,Governor,,LBT,Paul Grad,10
PRECINCT 15 ,Governor,,LBT,Paul Grad,17
PRECINCT 16 ,Governor,,LBT,Paul Grad,6
PRECINCT 17 ,Governor,,LBT,Paul Grad,27
PRECINCT 02 ,Governor,,LBT,Paul Grad,12
PRECINCT 03 ,Governor,,LBT,Paul Grad,3
PRECINCT 04 ,Governor,,LBT,Paul Grad,11
PRECINCT 05 ,Governor,,LBT,Paul Grad,13
PRECINCT 06 ,Governor,,LBT,Paul Grad,2
PRECINCT 07 ,Governor,,LBT,Paul Grad,5
PRECINCT 08 ,Governor,,LBT,Paul Grad,10
PRECINCT 09 ,Governor,,LBT,Paul Grad,2
PRECINCT 01 ,Governor,,PRO,Chris Henry,3
PRECINCT 10 ,Governor,,PRO,Chris Henry,2
PRECINCT 11 ,Governor,,PRO,Chris Henry,5
PRECINCT 12 ,Governor,,PRO,Chris Henry,0
PRECINCT 13 ,Governor,,PRO,Chris Henry,3
PRECINCT 14 ,Governor,,PRO,Chris Henry,4
PRECINCT 15 ,Governor,,PRO,Chris Henry,6
PRECINCT 16 ,Governor,,PRO,Chris Henry,1
PRECINCT 17 ,Governor,,PRO,Chris Henry,16
PRECINCT 02 ,Governor,,PRO,Chris Henry,6
PRECINCT 03 ,Governor,,PRO,Chris Henry,2
PRECINCT 04 ,Governor,,PRO,Chris Henry,3
PRECINCT 05 ,Governor,,PRO,Chris Henry,5
PRECINCT 06 ,Governor,,PRO,Chris Henry,6
PRECINCT 07 ,Governor,,PRO,Chris Henry,0
PRECINCT 08 ,Governor,,PRO,Chris Henry,4
PRECINCT 09 ,Governor,,PRO,Chris Henry,0
PRECINCT 01 ,Governor,,DEM,John Kitzhaber,123
PRECINCT 10 ,Governor,,DEM,John Kitzhaber,104
PRECINCT 11 ,Governor,,DEM,John Kitzhaber,322
PRECINCT 12 ,Governor,,DEM,John Kitzhaber,11
PRECINCT 13 ,Governor,,DEM,John Kitzhaber,149
PRECINCT 14 ,Governor,,DEM,John Kitzhaber,94
PRECINCT 15 ,Governor,,DEM,John Kitzhaber,196
PRECINCT 16 ,Governor,,DEM,John Kitzhaber,103
PRECINCT 17 ,Governor,,DEM,John Kitzhaber,459
PRECINCT 02 ,Governor,,DEM,John Kitzhaber,102
PRECINCT 03 ,Governor,,DEM,John Kitzhaber,67
PRECINCT 04 ,Governor,,DEM,John Kitzhaber,191
PRECINCT 05 ,Governor,,DEM,John Kitzhaber,300
PRECINCT 06 ,Governor,,DEM,John Kitzhaber,178
PRECINCT 07 ,Governor,,DEM,John Kitzhaber,45
PRECINCT 08 ,Governor,,DEM,John Kitzhaber,123
PRECINCT 09 ,Governor,,DEM,John Kitzhaber,34
PRECINCT 01 ,Governor,,PGP,Jason Levin,1
PRECINCT 10 ,Governor,,PGP,Jason Levin,8
PRECINCT 11 ,Governor,,PGP,Jason Levin,13
PRECINCT 12 ,Governor,,PGP,Jason Levin,2
PRECINCT 13 ,Governor,,PGP,Jason Levin,2
PRECINCT 14 ,Governor,,PGP,Jason Levin,5
PRECINCT 15 ,Governor,,PGP,Jason Levin,4
PRECINCT 16 ,Governor,,PGP,Jason Levin,3
PRECINCT 17 ,Governor,,PGP,Jason Levin,13
PRECINCT 02 ,Governor,,PGP,Jason Levin,0
PRECINCT 03 ,Governor,,PGP,Jason Levin,4
PRECINCT 04 ,Governor,,PGP,Jason Levin,5
PRECINCT 05 ,Governor,,PGP,Jason Levin,10
PRECINCT 06 ,Governor,,PGP,Jason Levin,5
PRECINCT 07 ,Governor,,PGP,Jason Levin,1
PRECINCT 08 ,Governor,,PGP,Jason Levin,5
PRECINCT 09 ,Governor,,PGP,Jason Levin,0
PRECINCT 01 ,Governor,,REP,Dennis Richardson,207
PRECINCT 10 ,Governor,,REP,Dennis Richardson,143
PRECINCT 11 ,Governor,,REP,Dennis Richardson,874
PRECINCT 12 ,Governor,,REP,Dennis Richardson,71
PRECINCT 13 ,Governor,,REP,Dennis Richardson,339
PRECINCT 14 ,Governor,,REP,Dennis Richardson,133
PRECINCT 15 ,Governor,,REP,Dennis Richardson,440
PRECINCT 16 ,Governor,,REP,Dennis Richardson,288
PRECINCT 17 ,Governor,,REP,Dennis Richardson,1041
PRECINCT 02 ,Governor,,REP,Dennis Richardson,157
PRECINCT 03 ,Governor,,REP,Dennis Richardson,73
PRECINCT 04 ,Governor,,REP,Dennis Richardson,509
PRECINCT 05 ,Governor,,REP,Dennis Richardson,824
PRECINCT 06 ,Governor,,REP,Dennis Richardson,235
PRECINCT 07 ,Governor,,REP,Dennis Richardson,131
PRECINCT 08 ,Governor,,REP,Dennis Richardson,207
PRECINCT 09 ,Governor,,REP,Dennis Richardson,81
PRECINCT 01 ,Governor,,,Write-ins,4
PRECINCT 10 ,Governor,,,Write-ins,4
PRECINCT 11 ,Governor,,,Write-ins,5
PRECINCT 12 ,Governor,,,Write-ins,0
PRECINCT 13 ,Governor,,,Write-ins,2
PRECINCT 14 ,Governor,,,Write-ins,2
PRECINCT 15 ,Governor,,,Write-ins,2
PRECINCT 16 ,Governor,,,Write-ins,0
PRECINCT 17 ,Governor,,,Write-ins,8
PRECINCT 02 ,Governor,,,Write-ins,3
PRECINCT 03 ,Governor,,,Write-ins,1
PRECINCT 04 ,Governor,,,Write-ins,1
PRECINCT 05 ,Governor,,,Write-ins,8
PRECINCT 06 ,Governor,,,Write-ins,2
PRECINCT 07 ,Governor,,,Write-ins,0
PRECINCT 08 ,Governor,,,Write-ins,0
PRECINCT 09 ,Governor,,,Write-ins,0
PRECINCT 01 ,Governor,,,Over Votes,0
PRECINCT 10 ,Governor,,,Over Votes,0
PRECINCT 11 ,Governor,,,Over Votes,0
PRECINCT 12 ,Governor,,,Over Votes,0
PRECINCT 13 ,Governor,,,Over Votes,1
PRECINCT 14 ,Governor,,,Over Votes,0
PRECINCT 15 ,Governor,,,Over Votes,0
PRECINCT 16 ,Governor,,,Over Votes,0
PRECINCT 17 ,Governor,,,Over Votes,0
PRECINCT 02 ,Governor,,,Over Votes,0
PRECINCT 03 ,Governor,,,Over Votes,1
PRECINCT 04 ,Governor,,,Over Votes,0
PRECINCT 05 ,Governor,,,Over Votes,0
PRECINCT 06 ,Governor,,,Over Votes,0
PRECINCT 07 ,Governor,,,Over Votes,0
PRECINCT 08 ,Governor,,,Over Votes,0
PRECINCT 09 ,Governor,,,Over Votes,5
PRECINCT 01 ,Governor,,,Under Votes,8
PRECINCT 10 ,Governor,,,Under Votes,15
PRECINCT 11 ,Governor,,,Under Votes,34
PRECINCT 12 ,Governor,,,Under Votes,0
PRECINCT 13 ,Governor,,,Under Votes,16
PRECINCT 14 ,Governor,,,Under Votes,8
PRECINCT 15 ,Governor,,,Under Votes,27
PRECINCT 16 ,Governor,,,Under Votes,16
PRECINCT 17 ,Governor,,,Under Votes,55
PRECINCT 02 ,Governor,,,Under Votes,13
PRECINCT 03 ,Governor,,,Under Votes,7
PRECINCT 04 ,Governor,,,Under Votes,24
PRECINCT 05 ,Governor,,,Under Votes,49
PRECINCT 06 ,Governor,,,Under Votes,17
PRECINCT 07 ,Governor,,,Under Votes,5
PRECINCT 08 ,Governor,,,Under Votes,19
PRECINCT 09 ,Governor,,,Under Votes,0
PRECINCT 01 ,State House,55,LBT,Frank W. Brannen,25
PRECINCT 10 ,State House,55,LBT,Frank W. Brannen,13
PRECINCT 11 ,State House,55,LBT,Frank W. Brannen,48
PRECINCT 12 ,State House,55,LBT,Frank W. Brannen,3
PRECINCT 13 ,State House,55,LBT,Frank W. Brannen,20
PRECINCT 14 ,State House,55,LBT,Frank W. Brannen,22
PRECINCT 15 ,State House,55,LBT,Frank W. Brannen,33
PRECINCT 16 ,State House,55,LBT,Frank W. Brannen,19
PRECINCT 17 ,State House,55,LBT,Frank W. Brannen,80
PRECINCT 02 ,State House,55,LBT,Frank W. Brannen,14
PRECINCT 03 ,State House,55,LBT,Frank W. Brannen,9
PRECINCT 04 ,State House,55,LBT,Frank W. Brannen,25
PRECINCT 05 ,State House,55,LBT,Frank W. Brannen,31
PRECINCT 06 ,State House,55,LBT,Frank W. Brannen,15
PRECINCT 07 ,State House,55,LBT,Frank W. Brannen,10
PRECINCT 08 ,State House,55,LBT,Frank W. Brannen,25
PRECINCT 09 ,State House,55,LBT,Frank W. Brannen,10
PRECINCT 01 ,State House,55,REP,Mike McLane,233
PRECINCT 10 ,State House,55,REP,Mike McLane,185
PRECINCT 11 ,State House,55,REP,Mike McLane,986
PRECINCT 12 ,State House,55,REP,Mike McLane,70
PRECINCT 13 ,State House,55,REP,Mike McLane,390
PRECINCT 14 ,State House,55,REP,Mike McLane,149
PRECINCT 15 ,State House,55,REP,Mike McLane,496
PRECINCT 16 ,State House,55,REP,Mike McLane,307
PRECINCT 17 ,State House,55,REP,Mike McLane,1148
PRECINCT 02 ,State House,55,REP,Mike McLane,184
PRECINCT 03 ,State House,55,REP,Mike McLane,88
PRECINCT 04 ,State House,55,REP,Mike McLane,559
PRECINCT 05 ,State House,55,REP,Mike McLane,932
PRECINCT 06 ,State House,55,REP,Mike McLane,292
PRECINCT 07 ,State House,55,REP,Mike McLane,142
PRECINCT 08 ,State House,55,REP,Mike McLane,228
PRECINCT 09 ,State House,55,REP,Mike McLane,98
PRECINCT 01 ,State House,55,DEM,Richard V. Phay,79
PRECINCT 10 ,State House,55,DEM,Richard V. Phay,66
PRECINCT 11 ,State House,55,DEM,Richard V. Phay,166
PRECINCT 12 ,State House,55,DEM,Richard V. Phay,9
PRECINCT 13 ,State House,55,DEM,Richard V. Phay,81
PRECINCT 14 ,State House,55,DEM,Richard V. Phay,75
PRECINCT 15 ,State House,55,DEM,Richard V. Phay,134
PRECINCT 16 ,State House,55,DEM,Richard V. Phay,69
PRECINCT 17 ,State House,55,DEM,Richard V. Phay,290
PRECINCT 02 ,State House,55,DEM,Richard V. Phay,73
PRECINCT 03 ,State House,55,DEM,Richard V. Phay,47
PRECINCT 04 ,State House,55,DEM,Richard V. Phay,116
PRECINCT 05 ,State House,55,DEM,Richard V. Phay,201
PRECINCT 06 ,State House,55,DEM,Richard V. Phay,115
PRECINCT 07 ,State House,55,DEM,Richard V. Phay,26
PRECINCT 08 ,State House,55,DEM,Richard V. Phay,74
PRECINCT 09 ,State House,55,DEM,Richard V. Phay,13
PRECINCT 01 ,State House,55,,Write-ins,2
PRECINCT 10 ,State House,55,,Write-ins,0
PRECINCT 11 ,State House,55,,Write-ins,0
PRECINCT 12 ,State House,55,,Write-ins,0
PRECINCT 13 ,State House,55,,Write-ins,2
PRECINCT 14 ,State House,55,,Write-ins,2
PRECINCT 15 ,State House,55,,Write-ins,0
PRECINCT 16 ,State House,55,,Write-ins,0
PRECINCT 17 ,State House,55,,Write-ins,2
PRECINCT 02 ,State House,55,,Write-ins,3
PRECINCT 03 ,State House,55,,Write-ins,0
PRECINCT 04 ,State House,55,,Write-ins,3
PRECINCT 05 ,State House,55,,Write-ins,3
PRECINCT 06 ,State House,55,,Write-ins,0
PRECINCT 07 ,State House,55,,Write-ins,0
PRECINCT 08 ,State House,55,,Write-ins,0
PRECINCT 09 ,State House,55,,Write-ins,0
PRECINCT 01 ,State House,55,,Over Votes,1
PRECINCT 10 ,State House,55,,Over Votes,0
PRECINCT 11 ,State House,55,,Over Votes,0
PRECINCT 12 ,State House,55,,Over Votes,0
PRECINCT 13 ,State House,55,,Over Votes,0
PRECINCT 14 ,State House,55,,Over Votes,0
PRECINCT 15 ,State House,55,,Over Votes,0
