candidate,votes,pct,office,precinct,district,party
Under Votes: ,74,3.46%,U.S. Senate,002,,
Raymond Baldwin,53,2.60%,U.S. House,002,5,
Daniel K Souza,54,2.64%,U.S. House,002,5,
Kurt Schrader,1137,55.68%,U.S. House,002,5,
Tootie Smith,731,35.80%,U.S. House,002,5,
Marvin Sannes,63,3.09%,U.S. House,002,5,
Write-in,4,0.20%,U.S. House,002,5,
Cast Votes: ,2042,95.38%,U.S. House,002,5,
Over Votes: ,0,0.00%,U.S. House,002,5,
Under Votes: ,99,4.62%,U.S. House,002,5,
Dennis Richardson,938,45.51%,Governor,002,,
Chris Henry,18,0.87%,Governor,002,,
Aaron Auer,29,1.41%,Governor,002,,
John  Kitzhaber,989,47.99%,Governor,002,,
Paul Grad,32,1.55%,Governor,002,,
Jason  Levin,42,2.04%,Governor,002,,
Write-in,13,0.63%,Governor,002,,
Cast Votes: ,2061,96.26%,Governor,002,,
Over Votes: ,0,0.00%,Governor,002,,
Under Votes: ,80,3.74%,Governor,002,,
Alan R Olsen,887,44.71%,State Senate,002,20,
Jamie Damon,1091,54.99%,State Senate,002,20,
Write-in,6,0.30%,State Senate,002,20,
Cast Votes: ,1984,92.67%,State Senate,002,20,
Over Votes: ,0,0.00%,State Senate,002,20,
Under Votes: ,157,7.33%,State Senate,002,20,
Steve Newgard,877,44.27%,State House,002,40,
Brent Barton,1098,55.43%,State House,002,40,
Write-in,6,0.30%,State House,002,40,
Cast Votes: ,1981,92.53%,State House,002,40,
Over Votes: ,0,0.00%,State House,002,40,
Under Votes: ,160,7.47%,State House,002,40,
Mike Montchalin,50,3.18%,U.S. Senate,003,,
Jeff Merkley,863,54.97%,U.S. Senate,003,,
Christina Jean Lugo,36,2.29%,U.S. Senate,003,,
James E Leuenberger,33,2.10%,U.S. Senate,003,,
Monica Wehby,573,36.50%,U.S. Senate,003,,
Write-in,15,0.96%,U.S. Senate,003,,
Cast Votes: ,1570,94.35%,U.S. Senate,003,,
Over Votes: ,0,0.00%,U.S. Senate,003,,
Under Votes: ,94,5.65%,U.S. Senate,003,,
Raymond Baldwin,37,2.35%,U.S. House,003,5,
Daniel K Souza,31,1.97%,U.S. House,003,5,
Kurt Schrader,895,56.75%,U.S. House,003,5,
Tootie Smith,569,36.08%,U.S. House,003,5,
Marvin Sannes,39,2.47%,U.S. House,003,5,
Write-in,6,0.38%,U.S. House,003,5,
Cast Votes: ,1577,94.77%,U.S. House,003,5,
Over Votes: ,0,0.00%,U.S. House,003,5,
Under Votes: ,87,5.23%,U.S. House,003,5,
Dennis Richardson,727,45.72%,Governor,003,,
Chris Henry,15,0.94%,Governor,003,,
Aaron Auer,22,1.38%,Governor,003,,
John  Kitzhaber,754,47.42%,Governor,003,,
Paul Grad,28,1.76%,Governor,003,,
Jason  Levin,27,1.70%,Governor,003,,
Write-in,17,1.07%,Governor,003,,
Cast Votes: ,1590,95.55%,Governor,003,,
Over Votes: ,0,0.00%,Governor,003,,
Under Votes: ,74,4.45%,Governor,003,,
Alan R Olsen,662,43.07%,State Senate,003,20,
Jamie Damon,869,56.54%,State Senate,003,20,
Write-in,6,0.39%,State Senate,003,20,
Cast Votes: ,1537,92.37%,State Senate,003,20,
Over Votes: ,0,0.00%,State Senate,003,20,
Under Votes: ,127,7.63%,State Senate,003,20,
Steve Newgard,666,43.36%,State House,003,40,
Brent Barton,862,56.12%,State House,003,40,
Write-in,8,0.52%,State House,003,40,
Cast Votes: ,1536,92.31%,State House,003,40,
Over Votes: ,0,0.00%,State House,003,40,
Under Votes: ,128,7.69%,State House,003,40,
Mike Montchalin,1,4.00%,U.S. Senate,004,,
Jeff Merkley,13,52.00%,U.S. Senate,004,,
Christina Jean Lugo,0,0.00%,U.S. Senate,004,,
James E Leuenberger,0,0.00%,U.S. Senate,004,,
Monica Wehby,11,44.00%,U.S. Senate,004,,
Write-in,0,0.00%,U.S. Senate,004,,
Cast Votes: ,25,100.00%,U.S. Senate,004,,
Over Votes: ,0,0.00%,U.S. Senate,004,,
Under Votes: ,0,0.00%,U.S. Senate,004,,
Raymond Baldwin,1,4.00%,U.S. House,004,5,
Daniel K Souza,0,0.00%,U.S. House,004,5,
Kurt Schrader,13,52.00%,U.S. House,004,5,
Tootie Smith,10,40.00%,U.S. House,004,5,
Marvin Sannes,1,4.00%,U.S. House,004,5,
Write-in,0,0.00%,U.S. House,004,5,
Cast Votes: ,25,100.00%,U.S. House,004,5,
Over Votes: ,0,0.00%,U.S. House,004,5,
Under Votes: ,0,0.00%,U.S. House,004,5,
Dennis Richardson,11,45.83%,Governor,004,,
Chris Henry,1,4.17%,Governor,004,,
Aaron Auer,0,0.00%,Governor,004,,
John  Kitzhaber,12,50.00%,Governor,004,,
Paul Grad,0,0.00%,Governor,004,,
Jason  Levin,0,0.00%,Governor,004,,
Write-in,0,0.00%,Governor,004,,
Cast Votes: ,24,96.00%,Governor,004,,
Over Votes: ,0,0.00%,Governor,004,,
Under Votes: ,1,4.00%,Governor,004,,
Alan R Olsen,16,69.57%,State Senate,004,20,
Jamie Damon,7,30.43%,State Senate,004,20,
Write-in,0,0.00%,State Senate,004,20,
Cast Votes: ,23,92.00%,State Senate,004,20,
Over Votes: ,0,0.00%,State Senate,004,20,
Under Votes: ,2,8.00%,State Senate,004,20,
Bill Kennemer ,19,100.00%,State House,004,39,
Write-in ,0,0.00%,State House,004,39,
Cast Votes: ,19,76.00%,State House,004,39,
Over Votes: ,0,0.00%,State House,004,39,
Under Votes: ,6,24.00%,State House,004,39,
Mike Montchalin,101,4.13%,U.S. Senate,005,,
Jeff Merkley,1246,50.90%,U.S. Senate,005,,
Christina Jean Lugo,40,1.63%,U.S. Senate,005,,
James E Leuenberger,35,1.43%,U.S. Senate,005,,
Monica Wehby,1007,41.14%,U.S. Senate,005,,
Write-in,19,0.78%,U.S. Senate,005,,
Cast Votes: ,2448,94.74%,U.S. Senate,005,,
Over Votes: ,0,0.00%,U.S. Senate,005,,
Under Votes: ,136,5.26%,U.S. Senate,005,,
Raymond Baldwin,72,2.99%,U.S. House,005,5,
Daniel K Souza,66,2.74%,U.S. House,005,5,
Kurt Schrader,1263,52.41%,U.S. House,005,5,
Tootie Smith,927,38.46%,U.S. House,005,5,
Marvin Sannes,65,2.70%,U.S. House,005,5,
Write-in,17,0.71%,U.S. House,005,5,
Cast Votes: ,2410,93.27%,U.S. House,005,5,
Over Votes: ,2,0.08%,U.S. House,005,5,
Under Votes: ,172,6.66%,U.S. House,005,5,
Dennis Richardson,1194,48.26%,Governor,005,,
Chris Henry,30,1.21%,Governor,005,,
Aaron Auer,26,1.05%,Governor,005,,
John  Kitzhaber,1109,44.83%,Governor,005,,
Paul Grad,47,1.90%,Governor,005,,
Jason  Levin,48,1.94%,Governor,005,,
Write-in,20,0.81%,Governor,005,,
Cast Votes: ,2474,95.74%,Governor,005,,
Over Votes: ,0,0.00%,Governor,005,,
Under Votes: ,110,4.26%,Governor,005,,
Alan R Olsen,1094,46.65%,State Senate,005,20,
Jamie Damon,1239,52.84%,State Senate,005,20,
Write-in,12,0.51%,State Senate,005,20,
Cast Votes: ,2345,90.75%,State Senate,005,20,
Over Votes: ,0,0.00%,State Senate,005,20,
Under Votes: ,239,9.25%,State Senate,005,20,
Steve Newgard,1094,46.43%,State House,005,40,
Brent Barton,1246,52.89,State House,005,40,
Write-in,16,0.68%,State House,005,40,
Cast Votes: ,2356,91.18%,State House,005,40,
Over Votes: ,0,0.00%,State House,005,40,
Under Votes: ,228,8.82%,State House,005,40,
Mike Montchalin,42,2.39%,U.S. Senate,006,,
Jeff Merkley,806,45.80%,U.S. Senate,006,,
Christina Jean Lugo,7,0.40%,U.S. Senate,006,,
James E Leuenberger,23,1.31%,U.S. Senate,006,,
Monica Wehby,868,49.32%,U.S. Senate,006,,
Write-in,14,0.80%,U.S. Senate,006,,
Cast Votes: ,1760,95.70%,U.S. Senate,006,,
Over Votes: ,0,0.00%,U.S. Senate,006,,
Under Votes: ,79,4.30%,U.S. Senate,006,,
Raymond Baldwin,36,2.07%,U.S. House,006,5,
Daniel K Souza,18,1.03%,U.S. House,006,5,
Kurt Schrader,861,49.45%,U.S. House,006,5,
Tootie Smith,797,45.78%,U.S. House,006,5,
Marvin Sannes,26,1.49%,U.S. House,006,5,
Write-in,3,0.17%,U.S. House,006,5,
Cast Votes: ,1741,94.67%,U.S. House,006,5,
Over Votes: ,0,0.00%,U.S. House,006,5,
Under Votes: ,98,5.33%,U.S. House,006,5,
Dennis Richardson,1031,59.02%,Governor,006,,
Chris Henry,10,0.57%,Governor,006,,
Aaron Auer,18,1.03%,Governor,006,,
John  Kitzhaber,649,37.15%,Governor,006,,
Paul Grad,19,1.09%,Governor,006,,
Jason  Levin,12,0.69%,Governor,006,,
Write-in,8,0.46%,Governor,006,,
Cast Votes: ,1747,95.00%,Governor,006,,
Over Votes: ,0,0.00%,Governor,006,,
Under Votes: ,92,5.00%,Governor,006,,
Alan R Olsen,925,54.83%,State Senate,006,20,
Jamie Damon,755,44.75%,State Senate,006,20,
Write-in,7,0.41%,State Senate,006,20,
Cast Votes: ,1687,91.73%,State Senate,006,20,
Over Votes: ,0,0.00%,State Senate,006,20,
Under Votes: ,152,8.27%,State Senate,006,20,
Steve Newgard,930,54.45%,State House,006,40,
Brent Barton,774,45.32%,State House,006,40,
Write-in,4,0.23%,State House,006,40,
Cast Votes: ,1708,92.88%,State House,006,40,
Over Votes: ,0,0.00%,State House,006,40,
Under Votes: ,131,7.12%,State House,006,40,
Mike Montchalin,74,4.24%,U.S. Senate,007,,
Jeff Merkley,840,48.08%,U.S. Senate,007,,
Christina Jean Lugo,20,1.14%,U.S. Senate,007,,
James E Leuenberger,36,2.06%,U.S. Senate,007,,
Monica Wehby,766,43.85%,U.S. Senate,007,,
Write-in,11,0.63%,U.S. Senate,007,,
Cast Votes: ,1747,94.53%,U.S. Senate,007,,
Over Votes: ,1,0.05%,U.S. Senate,007,,
Under Votes: ,100,5.41%,U.S. Senate,007,,
Raymond Baldwin,46,2.66%,U.S. House,007,5,
Daniel K Souza,41,2.37%,U.S. House,007,5,
Kurt Schrader,876,50.64%,U.S. House,007,5,
Tootie Smith,707,40.87%,U.S. House,007,5,
Marvin Sannes,46,2.66%,U.S. House,007,5,
Write-in,14,0.81%,U.S. House,007,5,
Cast Votes: ,1730,93.61%,U.S. House,007,5,
Over Votes: ,0,0.00%,U.S. House,007,5,
Under Votes: ,118,6.39%,U.S. House,007,5,
Dennis Richardson,951,54.06%,Governor,007,,
Chris Henry,14,0.80%,Governor,007,,
Aaron Auer,28,1.59%,Governor,007,,
John  Kitzhaber,683,38.83%,Governor,007,,
Paul Grad,37,2.10%,Governor,007,,
Jason  Levin,37,2.10%,Governor,007,,
Write-in,9,0.51%,Governor,007,,
Cast Votes: ,1759,95.18%,Governor,007,,
Over Votes: ,0,0.00%,Governor,007,,
Under Votes: ,89,4.82%,Governor,007,,
Alan R Olsen,873,52.15%,State Senate,007,20,
Jamie Damon,792,47.31%,State Senate,007,20,
Write-in,9,0.54%,State Senate,007,20,
Cast Votes: ,1674,90.58%,State Senate,007,20,
Over Votes: ,0,0.00%,State Senate,007,20,
Under Votes: ,174,9.42%,State Senate,007,20,
Steve Newgard,851,50.96%,State House,007,40,
Brent Barton,807,48.32%,State House,007,40,
Write-in,12,0.72%,State House,007,40,
Cast Votes: ,1670,90.37%,State House,007,40,
Over Votes: ,0,0.00%,State House,007,40,
Under Votes: ,178,9.63%,State House,007,40,
Mike Montchalin,1,5.88%,U.S. Senate,010,,
Jeff Merkley,2,11.76%,U.S. Senate,010,,
Christina Jean Lugo,0,0.00%,U.S. Senate,010,,
James E Leuenberger,0,0.00%,U.S. Senate,010,,
Monica Wehby,14,82.35%,U.S. Senate,010,,
Write-in,0,0.00%,U.S. Senate,010,,
Cast Votes: ,17,85.00%,U.S. Senate,010,,
Over Votes: ,0,0.00%,U.S. Senate,010,,
Under Votes: ,3,15.00%,U.S. Senate,010,,
Michael Meo,1,6.67%,U.S. House,010,3,
James Buchal,10,66.67%,U.S. House,010,3,
Earl Blumenauer,3,20.00%,U.S. House,010,3,
Jeffrey J Langan,1,6.67%,U.S. House,010,3,
David Walker,0,0.00%,U.S. House,010,3,
Write-in,0,0.00%,U.S. House,010,3,
Cast Votes: ,15,75.00%,U.S. House,010,3,
Over Votes: ,0,0.00%,U.S. House,010,3,
Under Votes: ,5,25.00%,U.S. House,010,3,
Dennis Richardson,15,83.33%,Governor,010,,
Chris Henry,1,5.56%,Governor,010,,
Aaron Auer,0,0.00%,Governor,010,,
John  Kitzhaber,0,0.00%,Governor,010,,
Paul Grad,1,5.56%,Governor,010,,
Jason  Levin,0,0.00%,Governor,010,,
Write-in,1,5.56%,Governor,010,,
Cast Votes: ,18,90.00%,Governor,010,,
Over Votes: ,0,0.00%,Governor,010,,
Under Votes: ,2,10.00%,Governor,010,,
Alan R Olsen,13,76.47%,State Senate,010,20,
Jamie Damon,3,17.65%,State Senate,010,20,
Write-in,1,5.88%,State Senate,010,20,
Cast Votes: ,17,85.00%,State Senate,010,20,
Over Votes: ,0,0.00%,State Senate,010,20,
Under Votes: ,3,15.00%,State Senate,010,20,
Steve Newgard,12,66.67%,State House,010,40,
Brent Barton,5,27.78%,State House,010,40,
Write-in,1,5.56%,State House,010,40,
Cast Votes: ,18,90.00%,State House,010,40,
Over Votes: ,0,0.00%,State House,010,40,
Under Votes: ,2,10.00%,State House,010,40,
Mike Montchalin,68,4.93%,U.S. Senate,031,,
Jeff Merkley,724,52.54%,U.S. Senate,031,,
Christina Jean Lugo,30,2.18%,U.S. Senate,031,,
James E Leuenberger,32,2.32%,U.S. Senate,031,,
Monica Wehby,519,37.66%,U.S. Senate,031,,
Write-in,5,0.36%,U.S. Senate,031,,
Cast Votes: ,1378,94.38%,U.S. Senate,031,,
Over Votes: ,1,0.07%,U.S. Senate,031,,
Under Votes: ,81,5.55%,U.S. Senate,031,,
Raymond Baldwin,46,3.39%,U.S. House,031,5,
Daniel K Souza,37,2.72%,U.S. House,031,5,
Kurt Schrader,740,54.49%,U.S. House,031,5,
Tootie Smith,496,36.52%,U.S. House,031,5,
Marvin Sannes,35,2.58%,U.S. House,031,5,
Write-in,4,0.29%,U.S. House,031,5,
Cast Votes: ,1358,93.01%,U.S. House,031,5,
Over Votes: ,0,0.00%,U.S. House,031,5,
Under Votes: ,102,6.99%,U.S. House,031,5,
Dennis Richardson,646,46.68%,Governor,031,,
Chris Henry,10,0.72%,Governor,031,,
Aaron Auer,12,0.87%,Governor,031,,
John  Kitzhaber,647,46.75%,Governor,031,,
Paul Grad,25,1.81%,Governor,031,,
Jason  Levin,37,2.67%,Governor,031,,
Write-in,7,0.51%,Governor,031,,
Cast Votes: ,1384,94.79%,Governor,031,,
Over Votes: ,0,0.00%,Governor,031,,
Under Votes: ,76,5.21%,Governor,031,,
Alan R Olsen,603,45.61%,State Senate,031,20,
Jamie Damon,712,53.86%,State Senate,031,20,
Write-in,7,0.53%,State Senate,031,20,
Cast Votes: ,1322,90.55%,State Senate,031,20,
Over Votes: ,0,0.00%,State Senate,031,20,
Under Votes: ,138,9.45%,State Senate,031,20,
Steve Newgard,607,45.47%,State House,031,40,
Brent Barton,723,54.16%,State House,031,40,
Write-in,5,0.37%,State House,031,40,
Cast Votes: ,1335,91.44%,State House,031,40,
Over Votes: ,0,0.00%,State House,031,40,
Under Votes: ,125,8.56%,State House,031,40,
Mike Montchalin,78,5.36%,U.S. Senate,032,,
Jeff Merkley,819,56.29%,U.S. Senate,032,,
Christina Jean Lugo,33,2.27%,U.S. Senate,032,,
James E Leuenberger,31,2.13%,U.S. Senate,032,,
Monica Wehby,481,33.06%,U.S. Senate,032,,
Write-in,13,0.89%,U.S. Senate,032,,
Cast Votes: ,1455,93.69%,U.S. Senate,032,,
Over Votes: ,0,0.00%,U.S. Senate,032,,
Under Votes: ,98,6.31%,U.S. Senate,032,,
Raymond Baldwin,37,2.56%,U.S. House,032,5,
Daniel K Souza,31,2.14%,U.S. House,032,5,
Kurt Schrader,840,58.05%,U.S. House,032,5,
Tootie Smith,478,33.03%,U.S. House,032,5,
Marvin Sannes,55,3.80%,U.S. House,032,5,
Write-in,6,0.41%,U.S. House,032,5,
Cast Votes: ,1447,93.17%,U.S. House,032,5,
Over Votes: ,0,0.00%,U.S. House,032,5,
Under Votes: ,106,6.83%,U.S. House,032,5,
Dennis Richardson,652,44.32%,Governor,032,,
Chris Henry,17,1.16%,Governor,032,,
Aaron Auer,23,1.56%,Governor,032,,
John  Kitzhaber,720,48.95%,Governor,032,,
Paul Grad,17,1.16%,Governor,032,,
Jason  Levin,31,2.11%,Governor,032,,
Write-in,11,0.75%,Governor,032,,
Cast Votes: ,1471,94.72%,Governor,032,,
Over Votes: ,0,0.00%,Governor,032,,
Under Votes: ,82,5.28%,Governor,032,,
Alan R Olsen,597,42.61%,State Senate,032,20,
Jamie Damon,798,56.96%,State Senate,032,20,
Write-in,6,0.43%,State Senate,032,20,
Cast Votes: ,1401,90.21%,State Senate,032,20,
Over Votes: ,0,0.00%,State Senate,032,20,
Under Votes: ,152,9.79%,State Senate,032,20,
Steve Newgard,593,42.06%,State House,032,40,
Brent Barton,809,57.38%,State House,032,40,
Write-in,8,0.57%,State House,032,40,
Cast Votes: ,1410,90.79%,State House,032,40,
Over Votes: ,0,0.00%,State House,032,40,
Under Votes: ,143,9.21%,State House,032,40,
Mike Montchalin,46,2.97%,U.S. Senate,033,,
Jeff Merkley,815,52.68%,U.S. Senate,033,,
Christina Jean Lugo,28,1.81%,U.S. Senate,033,,
James E Leuenberger,27,1.75%,U.S. Senate,033,,
Monica Wehby,612,39.56%,U.S. Senate,033,,
Write-in,19,1.23%,U.S. Senate,033,,
Cast Votes: ,1547,95.61%,U.S. Senate,033,,
Over Votes: ,0,0.00%,U.S. Senate,033,,
Under Votes: ,71,4.39%,U.S. Senate,033,,
Raymond Baldwin,42,2.75%,U.S. House,033,5,
Daniel K Souza,31,2.03%,U.S. House,033,5,
Kurt Schrader,861,56.46%,U.S. House,033,5,
Tootie Smith,546,35.80%,U.S. House,033,5,
Marvin Sannes,38,2.49%,U.S. House,033,5,
Write-in,7,0.46%,U.S. House,033,5,
Cast Votes: ,1525,94.25%,U.S. House,033,5,
Over Votes: ,0,0.00%,U.S. House,033,5,
Under Votes: ,93,5.75%,U.S. House,033,5,
Dennis Richardson,730,46.95%,Governor,033,,
Chris Henry,13,0.84%,Governor,033,,
Aaron Auer,20,1.29%,Governor,033,,
John  Kitzhaber,745,47.91%,Governor,033,,
Paul Grad,18,1.16%,Governor,033,,
Jason  Levin,17,1.09%,Governor,033,,
Write-in,12,0.77%,Governor,033,,
Cast Votes: ,1555,96.11%,Governor,033,,
Over Votes: ,0,0.00%,Governor,033,,
Under Votes: ,63,3.89%,Governor,033,,
Alan R Olsen,682,46.27%,State Senate,033,20,
Jamie Damon,784,53.19%,State Senate,033,20,
Write-in,8,0.54%,State Senate,033,20,
Cast Votes: ,1474,91.10%,State Senate,033,20,
Over Votes: ,0,0.00%,State Senate,033,20,
Under Votes: ,144,8.90%,State Senate,033,20,
Steve Newgard,667,44.95%,State House,033,40,
Brent Barton,807,54.38%,State House,033,40,
Write-in,10,0.67%,State House,033,40,
Cast Votes: ,1484,91.72%,State House,033,40,
Over Votes: ,0,0.00%,State House,033,40,
Under Votes: ,134,8.28%,State House,033,40,
Mike Montchalin,77,4.44%,U.S. Senate,051,,
Jeff Merkley,1188,68.51%,U.S. Senate,051,,
Christina Jean Lugo,69,3.98%,U.S. Senate,051,,
James E Leuenberger,23,1.33%,U.S. Senate,051,,
Monica Wehby,367,21.16%,U.S. Senate,051,,
Write-in,10,0.58%,U.S. Senate,051,,
Cast Votes: ,1734,95.91%,U.S. Senate,051,,
Over Votes: ,0,0.00%,U.S. Senate,051,,
Under Votes: ,74,4.09%,U.S. Senate,051,,
Raymond Baldwin,49,2.90%,U.S. House,051,5,
Daniel K Souza,43,2.55%,U.S. House,051,5,
Kurt Schrader,1185,70.24%,U.S. House,051,5,
Tootie Smith,348,20.63%,U.S. House,051,5,
Marvin Sannes,56,3.32%,U.S. House,051,5,
Write-in,6,0.36%,U.S. House,051,5,
Cast Votes: ,1687,93.31%,U.S. House,051,5,
Over Votes: ,0,0.00%,U.S. House,051,5,
Under Votes: ,121,6.69%,U.S. House,051,5,
Dennis Richardson,474,27.38%,Governor,051,,
Chris Henry,18,1.04%,Governor,051,,
Aaron Auer,22,1.27%,Governor,051,,
John  Kitzhaber,1114,64.36%,Governor,051,,
Paul Grad,34,1.96%,Governor,051,,
Jason  Levin,58,3.35%,Governor,051,,
Write-in,11,0.64%,Governor,051,,
Cast Votes: ,1731,95.74%,Governor,051,,
Over Votes: ,0,0.00%,Governor,051,,
Under Votes: ,77,4.26%,Governor,051,,
Timothy E McMenamin,493,30.06%,State House,051,41,
Kathleen Taylor,1141,69.57%,State House,051,41,
Write-in,6,0.37%,State House,051,41,
Cast Votes: ,1640,90.71%,State House,051,41,
Over Votes: ,0,0.00%,State House,051,41,
Under Votes: ,168,9.29%,State House,051,41,
Mike Montchalin,62,3.40%,U.S. Senate,052,,
Jeff Merkley,1198,65.72%,U.S. Senate,052,,
Christina Jean Lugo,47,2.58%,U.S. Senate,052,,
James E Leuenberger,22,1.21%,U.S. Senate,052,,
Monica Wehby,488,26.77%,U.S. Senate,052,,
Write-in,6,0.33%,U.S. Senate,052,,
Cast Votes: ,1823,95.05%,U.S. Senate,052,,
Over Votes: ,0,0.00%,U.S. Senate,052,,
Under Votes: ,95,4.95%,U.S. Senate,052,,
Raymond Baldwin,46,2.59%,U.S. House,052,5,
Daniel K Souza,32,1.80%,U.S. House,052,5,
Kurt Schrader,1175,66.20%,U.S. House,052,5,
Tootie Smith,456,25.69%,U.S. House,052,5,
Marvin Sannes,62,3.49%,U.S. House,052,5,
Write-in,4,0.23%,U.S. House,052,5,
Cast Votes: ,1775,92.54%,U.S. House,052,5,
Over Votes: ,0,0.00%,U.S. House,052,5,
Under Votes: ,143,7.46%,U.S. House,052,5,
Dennis Richardson,619,34.14%,Governor,052,,
Chris Henry,12,0.66%,Governor,052,,
Aaron Auer,10,0.55%,Governor,052,,
John  Kitzhaber,1070,59.02%,Governor,052,,
Paul Grad,36,1.99%,Governor,052,,
Jason  Levin,60,3.31%,Governor,052,,
Write-in,6,0.33%,Governor,052,,
Cast Votes: ,1813,94.53%,Governor,052,,
Over Votes: ,0,0.00%,Governor,052,,
Under Votes: ,105,5.47%,Governor,052,,
Timothy E McMenamin,582,33.98%,State House,052,41,
Kathleen Taylor,1128,65.85%,State House,052,41,
Write-in,3,0.18%,State House,052,41,
Cast Votes: ,1713,89.31%,State House,052,41,
Over Votes: ,1,0.05%,State House,052,41,
Under Votes: ,204,10.64%,State House,052,41,
Mike Montchalin,52,3.64%,U.S. Senate,053,,
Jeff Merkley,921,64.50%,U.S. Senate,053,,
Christina Jean Lugo,41,2.87%,U.S. Senate,053,,
James E Leuenberger,26,1.82%,U.S. Senate,053,,
Monica Wehby,383,26.82%,U.S. Senate,053,,
Write-in,5,0.35%,U.S. Senate,053,,
Cast Votes: ,1428,95.71%,U.S. Senate,053,,
Over Votes: ,0,0.00%,U.S. Senate,053,,
Under Votes: ,64,4.29%,U.S. Senate,053,,
Raymond Baldwin,34,2.49%,U.S. House,053,5,
Daniel K Souza,33,2.41%,U.S. House,053,5,
Kurt Schrader,883,64.59%,U.S. House,053,5,
Tootie Smith,354,25.90%,U.S. House,053,5,
Marvin Sannes,59,4.32%,U.S. House,053,5,
Write-in,4,0.29%,U.S. House,053,5,
Cast Votes: ,1367,91.62%,U.S. House,053,5,
Over Votes: ,0,0.00%,U.S. House,053,5,
Under Votes: ,125,8.38%,U.S. House,053,5,
Dennis Richardson,478,33.59%,Governor,053,,
Chris Henry,10,0.70%,Governor,053,,
Aaron Auer,17,1.19%,Governor,053,,
John  Kitzhaber,832,58.47%,Governor,053,,
Paul Grad,36,2.53%,Governor,053,,
Jason  Levin,33,2.32%,Governor,053,,
Write-in,17,1.19%,Governor,053,,
Cast Votes: ,1423,95.38%,Governor,053,,
Over Votes: ,0,0.00%,Governor,053,,
Under Votes: ,69,4.62%,Governor,053,,
Timothy E McMenamin,477,35.89%,State House,053,41,
Kathleen  Taylor,847,63.73%,State House,053,41,
Write-in,5,0.38%,State House,053,41,
Cast Votes: ,1329,89.08%,State House,053,41,
Over Votes: ,0,0.00%,State House,053,41,
Under Votes: ,163,10.92%,State House,053,41,
Mike Montchalin,48,3.16%,U.S. Senate,054,,
Jeff Merkley,950,62.58%,U.S. Senate,054,,
Christina Jean Lugo,40,2.64%,U.S. Senate,054,,
James E Leuenberger,20,1.32%,U.S. Senate,054,,
Monica Wehby,448,29.51%,U.S. Senate,054,,
Write-in,12,0.79%,U.S. Senate,054,,
Cast Votes: ,1518,94.76%,U.S. Senate,054,,
Over Votes: ,1,0.06%,U.S. Senate,054,,
Under Votes: ,83,5.18%,U.S. Senate,054,,
Raymond Baldwin,17,1.15%,U.S. House,054,5,
Daniel K Souza,30,2.02%,U.S. House,054,5,
Kurt Schrader,960,64.73%,U.S. House,054,5,
Tootie Smith,429,28.93%,U.S. House,054,5,
Marvin Sannes,41,2.76%,U.S. House,054,5,
Write-in,6,0.40%,U.S. House,054,5,
