id,county,precinct,office,district,party,candidate,votes
123,Polk,102,Polk County Treasurer POLK,,,Steve Milligan,555
124,Polk,102,Polk County Treasurer POLK,,,Write-In Totals,4
126,Polk,102,Polk County Treasurer POLK,,,Over Votes,0
127,Polk,102,Polk County Treasurer POLK,,,Under Votes,307
130,Polk,102,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Pryor Garnett,547
131,Polk,102,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Write-In Totals,8
133,Polk,102,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Over Votes,0
134,Polk,102,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Under Votes,311
137,Polk,102,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,John (Jock) Dalton,542
138,Polk,102,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,Write-In Totals,4
140,Polk,102,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,Over Votes,0
141,Polk,102,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,Under Votes,320
145,Polk,102,Polk Soil and Water Conservation District Director At Large 1 Polk Soil and Water Conservation District,,,Chad Woods,532
146,Polk,102,Polk Soil and Water Conservation District Director At Large 1 Polk Soil and Water Conservation District,,,Write-In Totals,4
148,Polk,102,Polk Soil and Water Conservation District Director At Large 1 Polk Soil and Water Conservation District,,,Over Votes,0
149,Polk,102,Polk Soil and Water Conservation District Director At Large 1 Polk Soil and Water Conservation District,,,Under Votes,330
152,Polk,102,State Measure 107,,,Yes,585
153,Polk,102,State Measure 107,,,No,226
155,Polk,102,State Measure 107,,,Over Votes,0
156,Polk,102,State Measure 107,,,Under Votes,55
159,Polk,102,State Measure 108,,,Yes,475
160,Polk,102,State Measure 108,,,No,361
162,Polk,102,State Measure 108,,,Over Votes,2
163,Polk,102,State Measure 108,,,Under Votes,28
166,Polk,102,State Measure 109,,,Yes,339
167,Polk,102,State Measure 109,,,No,485
169,Polk,102,State Measure 109,,,Over Votes,0
170,Polk,102,State Measure 109,,,Under Votes,42
173,Polk,102,State Measure 110,,,Yes,346
174,Polk,102,State Measure 110,,,No,480
176,Polk,102,State Measure 110,,,Over Votes,0
177,Polk,102,State Measure 110,,,Under Votes,40
181,Polk,102,27-132 Perrydale School District 21,,,Yes,68
182,Polk,102,27-132 Perrydale School District 21,,,No,33
184,Polk,102,27-132 Perrydale School District 21,,,Over Votes,0
185,Polk,102,27-132 Perrydale School District 21,,,Under Votes,3
188,Polk,106,Registered Voters,,,,2114
189,Polk,106,Ballots Cast,,,,1625
190,Polk,106,Ballots Cast - Blank,,,,0
193,Polk,106,President,,REP,Donald J Trump / Michael R,1066
194,Polk,106,President,,DEM,Joseph R Biden / Kamala D,507
195,Polk,106,President,,LBT,Jo Jorgensen / Jeremy (Spike),27
196,Polk,106,President,,PGP,Howie Hawkins / Angela Walker,1
197,Polk,106,President,,PRO,Dario Hunter / Dawn Neptune,0
198,Polk,106,President,,,Write-In Totals,7
200,Polk,106,President,,,Over Votes,0
201,Polk,106,President,,,Under Votes,17
204,Polk,106,U.S. Senate,,REP,Jo Rae Perkins,1014
205,Polk,106,U.S. Senate,,DEM,Jeff Merkley,521
206,Polk,106,U.S. Senate,,PGP,Ibrahim A Taher,11
207,Polk,106,U.S. Senate,,LBT,Gary Dye,40
208,Polk,106,U.S. Senate,,,Write-In Totals,0
210,Polk,106,U.S. Senate,,,Over Votes,0
211,Polk,106,U.S. Senate,,,Under Votes,39
214,Polk,106,U.S. House,5,LBT,Matthew James Rix,56
215,Polk,106,U.S. House,5,REP,Amy Ryan Courser,1022
216,Polk,106,U.S. House,5,DEM,Kurt Schrader,503
217,Polk,106,U.S. House,5,,Write-In Totals,1
219,Polk,106,U.S. House,5,,Over Votes,0
220,Polk,106,U.S. House,5,,Under Votes,43
224,Polk,106,Secretary of State,,PGP,Nathalie Paravicini,27
225,Polk,106,Secretary of State,,LBT,Kyle Markley,53
226,Polk,106,Secretary of State,,REP,Kim Thatcher,1049
227,Polk,106,Secretary of State,,DEM,Shemia Fagan,442
228,Polk,106,Secretary of State,,,Write-In Totals,1
230,Polk,106,Secretary of State,,,Over Votes,0
231,Polk,106,Secretary of State,,,Under Votes,53
234,Polk,106,State Treasurer,,CON,Michael P Marsh,41
235,Polk,106,State Treasurer,,DEM,Tobias Read,448
236,Polk,106,State Treasurer,,IND,Chris Henry,58
237,Polk,106,State Treasurer,,REP,Jeff Gudman,1015
238,Polk,106,State Treasurer,,,Write-In Totals,1
240,Polk,106,State Treasurer,,,Over Votes,0
241,Polk,106,State Treasurer,,,Under Votes,62
244,Polk,106,Attorney General,,DEM,Ellen Rosenblum,490
245,Polk,106,Attorney General,,LBT,Lars D H Hedbor,60
246,Polk,106,Attorney General,,REP,Michael Cross,1005
247,Polk,106,Attorney General,,,Write-In Totals,12
249,Polk,106,Attorney General,,,Over Votes,1
250,Polk,106,Attorney General,,,Under Votes,57
253,Polk,106,State Senate,12,REP,Brian J Boquist,1091
254,Polk,106,State Senate,12,DEM,Bernadette Hansen,469
255,Polk,106,State Senate,12,,Write-In Totals,1
257,Polk,106,State Senate,12,,Over Votes,0
258,Polk,106,State Senate,12,,Under Votes,64
262,Polk,106,State House,23,PGP,Alex Polikoff,52
263,Polk,106,State House,23,LBT,Scott D Clawson,44
264,Polk,106,State House,23,REP,Mike Nearman,1042
265,Polk,106,State House,23,DEM,Sean K Scorvo,418
266,Polk,106,State House,23,,Write-In Totals,2
268,Polk,106,State House,23,,Over Votes,0
269,Polk,106,State House,23,,Under Votes,67
272,Polk,106,Judge of the Supreme Court Position 4,,,Christopher L Garrett,1014
273,Polk,106,Judge of the Supreme Court Position 4,,,Write-In Totals,50
275,Polk,106,Judge of the Supreme Court Position 4,,,Over Votes,0
276,Polk,106,Judge of the Supreme Court Position 4,,,Under Votes,561
279,Polk,106,Judge of the Court of Appeals Position 9,,,Jacqueline S Kamins,1003
280,Polk,106,Judge of the Court of Appeals Position 9,,,Write-In Totals,44
282,Polk,106,Judge of the Court of Appeals Position 9,,,Over Votes,1
283,Polk,106,Judge of the Court of Appeals Position 9,,,Under Votes,577
286,Polk,106,Polk County Commissioner Position 1 POLK,,,Lyle R Mordhorst,736
287,Polk,106,Polk County Commissioner Position 1 POLK,,,Danny Jaffer,531
288,Polk,106,Polk County Commissioner Position 1 POLK,,,Write-In Totals,8
290,Polk,106,Polk County Commissioner Position 1 POLK,,,Over Votes,1
291,Polk,106,Polk County Commissioner Position 1 POLK,,,Under Votes,349
295,Polk,106,Polk County Clerk POLK,,,Valerie Unger,1140
296,Polk,106,Polk County Clerk POLK,,,Write-In Totals,10
298,Polk,106,Polk County Clerk POLK,,,Over Votes,1
299,Polk,106,Polk County Clerk POLK,,,Under Votes,474
302,Polk,106,Polk County Sheriff POLK,,,Mark Garton,1115
303,Polk,106,Polk County Sheriff POLK,,,Write-In Totals,23
305,Polk,106,Polk County Sheriff POLK,,,Over Votes,0
306,Polk,106,Polk County Sheriff POLK,,,Under Votes,487
309,Polk,106,Polk County Treasurer POLK,,,Steve Milligan,1057
310,Polk,106,Polk County Treasurer POLK,,,Write-In Totals,17
312,Polk,106,Polk County Treasurer POLK,,,Over Votes,0
313,Polk,106,Polk County Treasurer POLK,,,Under Votes,551
316,Polk,106,City of Willamina Mayor City of Willamina,,,Bob Burr,231
317,Polk,106,City of Willamina Mayor City of Willamina,,,George Young,115
318,Polk,106,City of Willamina Mayor City of Willamina,,,Write-In Totals,7
320,Polk,106,City of Willamina Mayor City of Willamina,,,Over Votes,0
321,Polk,106,City of Willamina Mayor City of Willamina,,,Under Votes,61
326,Polk,106,City of Willamina Council Members City of Willamina,,,Barry Wilson,185
327,Polk,106,City of Willamina Council Members City of Willamina,,,Rita Baller,209
328,Polk,106,City of Willamina Council Members City of Willamina,,,Craig Johnson,202
329,Polk,106,City of Willamina Council Members City of Willamina,,,Tyler Crook,141
330,Polk,106,City of Willamina Council Members City of Willamina,,,James Daley,168
331,Polk,106,City of Willamina Council Members City of Willamina,,,Write-In Totals,15
333,Polk,106,City of Willamina Council Members City of Willamina,,,Over Votes,0
334,Polk,106,City of Willamina Council Members City of Willamina,,,Under Votes,322
337,Polk,106,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Pryor Garnett,1054
338,Polk,106,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Write-In Totals,11
340,Polk,106,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Over Votes,0
341,Polk,106,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Under Votes,560
344,Polk,106,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,John (Jock) Dalton,1052
345,Polk,106,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,Write-In Totals,11
347,Polk,106,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,Over Votes,1
348,Polk,106,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,Under Votes,561
351,Polk,106,Polk Soil and Water Conservation District Director At Large 1 Polk Soil and Water Conservation District,,,Chad Woods,1039
352,Polk,106,Polk Soil and Water Conservation District Director At Large 1 Polk Soil and Water Conservation District,,,Write-In Totals,13
354,Polk,106,Polk Soil and Water Conservation District Director At Large 1 Polk Soil and Water Conservation District,,,Over Votes,0
355,Polk,106,Polk Soil and Water Conservation District Director At Large 1 Polk Soil and Water Conservation District,,,Under Votes,573
359,Polk,106,State Measure 107,,,Yes,1019
360,Polk,106,State Measure 107,,,No,523
362,Polk,106,State Measure 107,,,Over Votes,1
363,Polk,106,State Measure 107,,,Under Votes,82
366,Polk,106,State Measure 108,,,Yes,746
367,Polk,106,State Measure 108,,,No,843
369,Polk,106,State Measure 108,,,Over Votes,1
370,Polk,106,State Measure 108,,,Under Votes,35
373,Polk,106,State Measure 109,,,Yes,664
374,Polk,106,State Measure 109,,,No,900
376,Polk,106,State Measure 109,,,Over Votes,0
377,Polk,106,State Measure 109,,,Under Votes,61
380,Polk,106,State Measure 110,,,Yes,663
381,Polk,106,State Measure 110,,,No,908
383,Polk,106,State Measure 110,,,Over Votes,1
384,Polk,106,State Measure 110,,,Under Votes,53
387,Polk,106,27-132 Perrydale School District 21,,,Yes,311
388,Polk,106,27-132 Perrydale School District 21,,,No,247
390,Polk,106,27-132 Perrydale School District 21,,,Over Votes,1
391,Polk,106,27-132 Perrydale School District 21,,,Under Votes,10
394,Polk,110,Registered Voters,,,,1214
395,Polk,110,Ballots Cast,,,,758
396,Polk,110,Ballots Cast - Blank,,,,0
399,Polk,110,President,,REP,Donald J Trump / Michael R,441
400,Polk,110,President,,DEM,Joseph R Biden / Kamala D,290
401,Polk,110,President,,LBT,Jo Jorgensen / Jeremy (Spike),11
402,Polk,110,President,,PGP,Howie Hawkins / Angela Walker,4
403,Polk,110,President,,PRO,Dario Hunter / Dawn Neptune,2
404,Polk,110,President,,,Write-In Totals,6
406,Polk,110,President,,,Over Votes,2
407,Polk,110,President,,,Under Votes,2
410,Polk,110,U.S. Senate,,REP,Jo Rae Perkins,412
411,Polk,110,U.S. Senate,,DEM,Jeff Merkley,303
412,Polk,110,U.S. Senate,,PGP,Ibrahim A Taher,9
413,Polk,110,U.S. Senate,,LBT,Gary Dye,14
414,Polk,110,U.S. Senate,,,Write-In Totals,3
416,Polk,110,U.S. Senate,,,Over Votes,0
417,Polk,110,U.S. Senate,,,Under Votes,17
420,Polk,110,U.S. House,5,LBT,Matthew James Rix,18
421,Polk,110,U.S. House,5,REP,Amy Ryan Courser,413
422,Polk,110,U.S. House,5,DEM,Kurt Schrader,296
423,Polk,110,U.S. House,5,,Write-In Totals,1
425,Polk,110,U.S. House,5,,Over Votes,2
426,Polk,110,U.S. House,5,,Under Votes,28
430,Polk,110,Secretary of State,,PGP,Nathalie Paravicini,15
431,Polk,110,Secretary of State,,LBT,Kyle Markley,20
432,Polk,110,Secretary of State,,REP,Kim Thatcher,413
433,Polk,110,Secretary of State,,DEM,Shemia Fagan,282
434,Polk,110,Secretary of State,,,Write-In Totals,3
436,Polk,110,Secretary of State,,,Over Votes,0
437,Polk,110,Secretary of State,,,Under Votes,25
440,Polk,110,State Treasurer,,CON,Michael P Marsh,21
441,Polk,110,State Treasurer,,DEM,Tobias Read,277
442,Polk,110,State Treasurer,,IND,Chris Henry,33
443,Polk,110,State Treasurer,,REP,Jeff Gudman,394
444,Polk,110,State Treasurer,,,Write-In Totals,2
446,Polk,110,State Treasurer,,,Over Votes,0
447,Polk,110,State Treasurer,,,Under Votes,31
450,Polk,110,Attorney General,,DEM,Ellen Rosenblum,303
451,Polk,110,Attorney General,,LBT,Lars D H Hedbor,15
452,Polk,110,Attorney General,,REP,Michael Cross,406
453,Polk,110,Attorney General,,,Write-In Totals,1
455,Polk,110,Attorney General,,,Over Votes,0
456,Polk,110,Attorney General,,,Under Votes,33
460,Polk,110,State Senate,5,REP,Dick Anderson,423
461,Polk,110,State Senate,5,PGP,Shauleen Higgins,24
462,Polk,110,State Senate,5,DEM,Melissa T Cribbins,287
463,Polk,110,State Senate,5,,Write-In Totals,1
465,Polk,110,State Senate,5,,Over Votes,0
466,Polk,110,State Senate,5,,Under Votes,23
469,Polk,110,State House,10,DEM,David Gomberg,291
470,Polk,110,State House,10,REP,Max Sherman,433
471,Polk,110,State House,10,,Write-In Totals,3
473,Polk,110,State House,10,,Over Votes,0
474,Polk,110,State House,10,,Under Votes,31
477,Polk,110,Judge of the Supreme Court Position 4,,,Christopher L Garrett,505
478,Polk,110,Judge of the Supreme Court Position 4,,,Write-In Totals,14
480,Polk,110,Judge of the Supreme Court Position 4,,,Over Votes,0
481,Polk,110,Judge of the Supreme Court Position 4,,,Under Votes,239
484,Polk,110,Judge of the Court of Appeals Position 9,,,Jacqueline S Kamins,506
485,Polk,110,Judge of the Court of Appeals Position 9,,,Write-In Totals,15
487,Polk,110,Judge of the Court of Appeals Position 9,,,Over Votes,0
488,Polk,110,Judge of the Court of Appeals Position 9,,,Under Votes,237
492,Polk,110,Polk County Commissioner Position 1 POLK,,,Lyle R Mordhorst,283
493,Polk,110,Polk County Commissioner Position 1 POLK,,,Danny Jaffer,316
494,Polk,110,Polk County Commissioner Position 1 POLK,,,Write-In Totals,9
496,Polk,110,Polk County Commissioner Position 1 POLK,,,Over Votes,2
497,Polk,110,Polk County Commissioner Position 1 POLK,,,Under Votes,148
500,Polk,110,Polk County Clerk POLK,,,Valerie Unger,549
501,Polk,110,Polk County Clerk POLK,,,Write-In Totals,8
503,Polk,110,Polk County Clerk POLK,,,Over Votes,0
504,Polk,110,Polk County Clerk POLK,,,Under Votes,201
507,Polk,110,Polk County Sheriff POLK,,,Mark Garton,540
508,Polk,110,Polk County Sheriff POLK,,,Write-In Totals,12
510,Polk,110,Polk County Sheriff POLK,,,Over Votes,0
511,Polk,110,Polk County Sheriff POLK,,,Under Votes,206
514,Polk,110,Polk County Treasurer POLK,,,Steve Milligan,526
515,Polk,110,Polk County Treasurer POLK,,,Write-In Totals,8
517,Polk,110,Polk County Treasurer POLK,,,Over Votes,1
518,Polk,110,Polk County Treasurer POLK,,,Under Votes,223
522,Polk,110,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Pryor Garnett,529
523,Polk,110,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Write-In Totals,8
525,Polk,110,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Over Votes,0
526,Polk,110,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Under Votes,221
529,Polk,110,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,John (Jock) Dalton,509
530,Polk,110,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,Write-In Totals,8
532,Polk,110,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,Over Votes,1
533,Polk,110,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,Under Votes,240
536,Polk,110,Polk Soil and Water Conservation District Director At Large 1 Polk Soil and Water Conservation District,,,Chad Woods,498
537,Polk,110,Polk Soil and Water Conservation District Director At Large 1 Polk Soil and Water Conservation District,,,Write-In Totals,8
539,Polk,110,Polk Soil and Water Conservation District Director At Large 1 Polk Soil and Water Conservation District,,,Over Votes,0
540,Polk,110,Polk Soil and Water Conservation District Director At Large 1 Polk Soil and Water Conservation District,,,Under Votes,252
543,Polk,110,State Measure 107,,,Yes,530
544,Polk,110,State Measure 107,,,No,190
546,Polk,110,State Measure 107,,,Over Votes,0
547,Polk,110,State Measure 107,,,Under Votes,38
550,Polk,110,State Measure 108,,,Yes,358
551,Polk,110,State Measure 108,,,No,373
553,Polk,110,State Measure 108,,,Over Votes,0
554,Polk,110,State Measure 108,,,Under Votes,27
558,Polk,110,State Measure 109,,,Yes,380
559,Polk,110,State Measure 109,,,No,350
561,Polk,110,State Measure 109,,,Over Votes,1
562,Polk,110,State Measure 109,,,Under Votes,27
565,Polk,110,State Measure 110,,,Yes,369
566,Polk,110,State Measure 110,,,No,369
568,Polk,110,State Measure 110,,,Over Votes,0
569,Polk,110,State Measure 110,,,Under Votes,20
572,Polk,118,Registered Voters,,,,3432
573,Polk,118,Ballots Cast,,,,2957
574,Polk,118,Ballots Cast - Blank,,,,0
577,Polk,118,President,,REP,Donald J Trump / Michael R,1577
578,Polk,118,President,,DEM,Joseph R Biden / Kamala D,1283
579,Polk,118,President,,LBT,Jo Jorgensen / Jeremy (Spike),40
580,Polk,118,President,,PGP,Howie Hawkins / Angela Walker,7
581,Polk,118,President,,PRO,Dario Hunter / Dawn Neptune,6
582,Polk,118,President,,,Write-In Totals,11
584,Polk,118,President,,,Over Votes,0
585,Polk,118,President,,,Under Votes,33
588,Polk,118,U.S. Senate,,REP,Jo Rae Perkins,1558
589,Polk,118,U.S. Senate,,DEM,Jeff Merkley,1261
590,Polk,118,U.S. Senate,,PGP,Ibrahim A Taher,34
591,Polk,118,U.S. Senate,,LBT,Gary Dye,38
592,Polk,118,U.S. Senate,,,Write-In Totals,1
594,Polk,118,U.S. Senate,,,Over Votes,1
595,Polk,118,U.S. Senate,,,Under Votes,64
598,Polk,118,U.S. House,5,LBT,Matthew James Rix,54
599,Polk,118,U.S. House,5,REP,Amy Ryan Courser,1618
600,Polk,118,U.S. House,5,DEM,Kurt Schrader,1201
601,Polk,118,U.S. House,5,,Write-In Totals,1
603,Polk,118,U.S. House,5,,Over Votes,0
604,Polk,118,U.S. House,5,,Under Votes,83
608,Polk,118,Secretary of State,,PGP,Nathalie Paravicini,69
609,Polk,118,Secretary of State,,LBT,Kyle Markley,73
610,Polk,118,Secretary of State,,REP,Kim Thatcher,1659
611,Polk,118,Secretary of State,,DEM,Shemia Fagan,1048
612,Polk,118,Secretary of State,,,Write-In Totals,2
614,Polk,118,Secretary of State,,,Over Votes,1
615,Polk,118,Secretary of State,,,Under Votes,105
618,Polk,118,State Treasurer,,CON,Michael P Marsh,57
619,Polk,118,State Treasurer,,DEM,Tobias Read,1114
620,Polk,118,State Treasurer,,IND,Chris Henry,81
621,Polk,118,State Treasurer,,REP,Jeff Gudman,1579
622,Polk,118,State Treasurer,,,Write-In Totals,0
624,Polk,118,State Treasurer,,,Over Votes,0
625,Polk,118,State Treasurer,,,Under Votes,126
628,Polk,118,Attorney General,,DEM,Ellen Rosenblum,1174
629,Polk,118,Attorney General,,LBT,Lars D H Hedbor,53
630,Polk,118,Attorney General,,REP,Michael Cross,1584
631,Polk,118,Attorney General,,,Write-In Totals,4
633,Polk,118,Attorney General,,,Over Votes,0
634,Polk,118,Attorney General,,,Under Votes,142
637,Polk,118,State Senate,12,REP,Brian J Boquist,1730
638,Polk,118,State Senate,12,DEM,Bernadette Hansen,1078
639,Polk,118,State Senate,12,,Write-In Totals,2
641,Polk,118,State Senate,12,,Over Votes,0
642,Polk,118,State Senate,12,,Under Votes,147
646,Polk,118,State House,23,PGP,Alex Polikoff,73
647,Polk,118,State House,23,LBT,Scott D Clawson,53
648,Polk,118,State House,23,REP,Mike Nearman,1616
649,Polk,118,State House,23,DEM,Sean K Scorvo,1069
650,Polk,118,State House,23,,Write-In Totals,0
652,Polk,118,State House,23,,Over Votes,0
653,Polk,118,State House,23,,Under Votes,146
656,Polk,118,Judge of the Supreme Court Position 4,,,Christopher L Garrett,1749
657,Polk,118,Judge of the Supreme Court Position 4,,,Write-In Totals,45
659,Polk,118,Judge of the Supreme Court Position 4,,,Over Votes,2
660,Polk,118,Judge of the Supreme Court Position 4,,,Under Votes,1161
663,Polk,118,Judge of the Court of Appeals Position 9,,,Jacqueline S Kamins,1745
664,Polk,118,Judge of the Court of Appeals Position 9,,,Write-In Totals,39
666,Polk,118,Judge of the Court of Appeals Position 9,,,Over Votes,0
667,Polk,118,Judge of the Court of Appeals Position 9,,,Under Votes,1173
670,Polk,118,Polk County Commissioner Position 1 POLK,,,Lyle R Mordhorst,1397
671,Polk,118,Polk County Commissioner Position 1 POLK,,,Danny Jaffer,1145
672,Polk,118,Polk County Commissioner Position 1 POLK,,,Write-In Totals,7
674,Polk,118,Polk County Commissioner Position 1 POLK,,,Over Votes,0
675,Polk,118,Polk County Commissioner Position 1 POLK,,,Under Votes,408
679,Polk,118,Polk County Clerk POLK,,,Valerie Unger,2022
680,Polk,118,Polk County Clerk POLK,,,Write-In Totals,12
682,Polk,118,Polk County Clerk POLK,,,Over Votes,0
683,Polk,118,Polk County Clerk POLK,,,Under Votes,923
686,Polk,118,Polk County Sheriff POLK,,,Mark Garton,1985
687,Polk,118,Polk County Sheriff POLK,,,Write-In Totals,20
689,Polk,118,Polk County Sheriff POLK,,,Over Votes,0
690,Polk,118,Polk County Sheriff POLK,,,Under Votes,952
693,Polk,118,Polk County Treasurer POLK,,,Steve Milligan,1845
694,Polk,118,Polk County Treasurer POLK,,,Write-In Totals,22
696,Polk,118,Polk County Treasurer POLK,,,Over Votes,0
697,Polk,118,Polk County Treasurer POLK,,,Under Votes,1090
700,Polk,118,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Pryor Garnett,1821
701,Polk,118,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Write-In Totals,16
703,Polk,118,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Over Votes,0
704,Polk,118,Polk Soil and Water Conservation District Director Zone 1 Polk Soil and Water Conservation District,,,Under Votes,1120
707,Polk,118,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,John (Jock) Dalton,1814
708,Polk,118,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,Write-In Totals,21
710,Polk,118,Polk Soil and Water Conservation District Director Zone 4 Polk Soil and Water Conservation District,,,Over Votes,1
