county,precinct,office,district,party,candidate,votes,BallotsWith Contest,Overvoted WithVote for this Choice,Undervoted WithoutVote for this Choice
Multnomah,4904,President,,DEM,Joseph R Biden / Kamala D Harris,4387,8654,3,92
Multnomah,4905,President,,DEM,Joseph R Biden / Kamala D Harris,127,319,0,1
Multnomah,4906,President,,DEM,Joseph R Biden / Kamala D Harris,828,1471,2,16
Multnomah,4907,President,,DEM,Joseph R Biden / Kamala D Harris,164,276,0,2
Multnomah,4908,President,,DEM,Joseph R Biden / Kamala D Harris,1308,2378,3,26
Multnomah,4909,President,,DEM,Joseph R Biden / Kamala D Harris,2631,4494,1,51
Multnomah,4910,President,,DEM,Joseph R Biden / Kamala D Harris,2299,3597,3,25
Multnomah,4911,President,,DEM,Joseph R Biden / Kamala D Harris,2519,4386,2,33
Multnomah,5001,President,,DEM,Joseph R Biden / Kamala D Harris,2484,4195,7,49
Multnomah,5002,President,,DEM,Joseph R Biden / Kamala D Harris,4010,7460,1,95
Multnomah,5003,President,,DEM,Joseph R Biden / Kamala D Harris,684,1157,0,13
Multnomah,5004,President,,DEM,Joseph R Biden / Kamala D Harris,3672,6527,4,70
Multnomah,5006,President,,DEM,Joseph R Biden / Kamala D Harris,1906,3790,0,39
Multnomah,5007,President,,DEM,Joseph R Biden / Kamala D Harris,2090,3740,0,41
Multnomah,5008,President,,DEM,Joseph R Biden / Kamala D Harris,1875,3577,3,36
Multnomah,5009,President,,DEM,Joseph R Biden / Kamala D Harris,580,1105,1,10
Multnomah,5101,President,,DEM,Joseph R Biden / Kamala D Harris,502,800,0,6
Multnomah,5102,President,,DEM,Joseph R Biden / Kamala D Harris,2857,4787,1,59
Multnomah,5103,President,,DEM,Joseph R Biden / Kamala D Harris,1626,2745,0,22
Multnomah,5104,President,,DEM,Joseph R Biden / Kamala D Harris,2293,3928,3,29
Multnomah,5105,President,,DEM,Joseph R Biden / Kamala D Harris,164,397,0,3
Multnomah,5106,President,,DEM,Joseph R Biden / Kamala D Harris,963,1710,2,21
Multnomah,5107,President,,DEM,Joseph R Biden / Kamala D Harris,623,1298,0,22
Multnomah,5202,President,,DEM,Joseph R Biden / Kamala D Harris,1327,2677,0,30
Multnomah,5203,President,,DEM,Joseph R Biden / Kamala D Harris,808,2079,0,16
Multnomah,5204,President,,DEM,Joseph R Biden / Kamala D Harris,1699,3526,0,39
Multnomah,2701,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,3,649,0,9
Multnomah,2702,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,16,881,0,10
Multnomah,3101,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,23,1412,0,8
Multnomah,3102,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,36,2015,0,22
Multnomah,3103,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,12,627,0,2
Multnomah,3301,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,154,13068,0,105
Multnomah,3303,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,38,3893,0,44
Multnomah,3304,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,6,623,0,4
Multnomah,3501,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,17,1021,0,11
Multnomah,3502,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,75,5036,0,37
Multnomah,3602,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,49,5913,2,49
Multnomah,3603,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,99,8100,2,78
Multnomah,3604,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,2,172,0,2
Multnomah,3605,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,24,2494,0,27
Multnomah,3606,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,20,1899,0,9
Multnomah,3607,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,52,5968,0,53
Multnomah,3608,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,70,5205,0,40
Multnomah,3609,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,6,539,0,8
Multnomah,3610,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,40,3755,1,35
Multnomah,3611,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,69,5533,1,42
Multnomah,3612,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,82,5259,1,43
Multnomah,3801,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,4,66,0,0
Multnomah,3802,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,121,9282,2,71
Multnomah,3803,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,75,6177,0,54
Multnomah,3804,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,14,1315,0,7
Multnomah,3805,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,8,833,0,3
Multnomah,3806,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,28,2079,0,23
Multnomah,3807,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,15,1156,0,17
Multnomah,3808,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,1,135,0,1
Multnomah,4101,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,84,9490,0,56
Multnomah,4102,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,56,5021,0,33
Multnomah,4103,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,33,3834,0,34
Multnomah,4203,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,84,10595,1,65
Multnomah,4204,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,56,8693,1,43
Multnomah,4205,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,46,4346,0,29
Multnomah,4207,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,33,5148,2,39
Multnomah,4208,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,33,3279,1,10
Multnomah,4209,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,77,7840,1,50
Multnomah,4210,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,102,10586,0,76
Multnomah,4301,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,69,9538,3,55
Multnomah,4302,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,103,10926,4,77
Multnomah,4304,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,43,7699,2,51
Multnomah,4305,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,65,9939,1,69
Multnomah,4306,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,10,1867,0,11
Multnomah,4310,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,54,8488,5,55
Multnomah,4401,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,155,9833,4,69
Multnomah,4402,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,129,10087,3,59
Multnomah,4403,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,53,8088,2,44
Multnomah,4404,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,106,9530,2,68
Multnomah,4409,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,24,2186,2,25
Multnomah,4501,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,78,10243,0,78
Multnomah,4502,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,49,4575,1,26
Multnomah,4503,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,36,4099,0,30
Multnomah,4505,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,76,7614,0,39
Multnomah,4506,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,30,3495,0,29
Multnomah,4508,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,53,4329,0,38
Multnomah,4509,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,42,2792,0,27
Multnomah,4510,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,27,2379,1,17
Multnomah,4511,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,36,2582,1,32
Multnomah,4512,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,10,600,0,9
Multnomah,4601,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,68,9900,3,66
Multnomah,4602,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,32,3792,0,30
Multnomah,4604,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,76,6007,0,33
Multnomah,4605,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,69,5158,1,33
Multnomah,4606,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,132,10602,0,67
Multnomah,4607,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,46,3703,1,30
Multnomah,4608,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,25,1474,0,11
Multnomah,4701,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,33,2833,5,30
Multnomah,4702,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,13,819,0,9
Multnomah,4703,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,33,2180,0,28
Multnomah,4704,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,39,4040,7,41
Multnomah,4705,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,75,5464,3,57
Multnomah,4706,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,75,3370,1,49
Multnomah,4707,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,25,1767,0,20
Multnomah,4708,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,47,3883,1,32
Multnomah,4709,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,31,1988,0,20
Multnomah,4710,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,62,3615,1,32
Multnomah,4801,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,24,1473,0,14
Multnomah,4802,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,1,44,0,0
Multnomah,4803,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,119,7396,1,50
Multnomah,4804,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,33,1662,0,16
Multnomah,4805,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,16,894,1,13
Multnomah,4806,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,27,1615,0,15
Multnomah,4807,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,46,3082,0,28
Multnomah,4901,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,1,52,0,0
Multnomah,4902,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,1,24,0,0
Multnomah,4903,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,99,4892,3,24
Multnomah,4904,President,,LBT,Jo Jorgensen / Jeremy (Spike) Cohen,183,8654,4,92
