county,candidate,votes,office,party,district
Josephine,Misc.,100,Attorney General,D,
Klamath,Misc.,80,Attorney General,D,
Lake,Misc.,10,Attorney General,D,
Lane,Misc.,411,Attorney General,D,
Lincoln,Misc.,71,Attorney General,D,
Linn,Misc.,188,Attorney General,D,
Malheur,Misc.,15,Attorney General,D,
Marion,Misc.,387,Attorney General,D,
Morrow,Misc.,10,Attorney General,D,
Multnomah,Misc.,1006,Attorney General,D,
Polk,Misc.,116,Attorney General,D,
Sherman,Misc.,3,Attorney General,D,
Tillamook,Misc.,32,Attorney General,D,
Umatilla,Misc.,60,Attorney General,D,
Union,Misc.,45,Attorney General,D,
Wallowa,Misc.,10,Attorney General,D,
Wasco,Misc.,34,Attorney General,D,
Washington,Misc.,509,Attorney General,D,
Wheeler,Misc.,7,Attorney General,D,
Yamhill,Misc.,133,Attorney General,D,
Total,Misc.,4661,Attorney General,D,
Coos,Calla Felicity,1840,State House of Representatives,D,1
Curry,Calla Felicity,2104,State House of Representatives,D,1
Douglas,Calla Felicity,880,State House of Representatives,D,1
Josephine,Calla Felicity,297,State House of Representatives,D,1
Total,Calla Felicity,5121,State House of Representatives,D,1
Coos,Misc.,62,State House of Representatives,D,1
Curry,Misc.,46,State House of Representatives,D,1
Douglas,Misc.,25,State House of Representatives,D,1
Josephine,Misc.,6,State House of Representatives,D,1
Total,Misc.,139,State House of Representatives,D,1
Lincoln,David Gomberg,7081,State House of Representatives,D,10
Polk,David Gomberg,194,State House of Representatives,D,10
Tillamook,David Gomberg,1092,State House of Representatives,D,10
Yamhill,David Gomberg,350,State House of Representatives,D,10
Total,David Gomberg,8717,State House of Representatives,D,10
Lincoln,Misc.,89,State House of Representatives,D,10
Polk,Misc.,9,State House of Representatives,D,10
Tillamook,Misc.,20,State House of Representatives,D,10
Yamhill,Misc.,21,State House of Representatives,D,10
Total,Misc.,139,State House of Representatives,D,10
Lane,Marty Wilde,7017,State House of Representatives,D,11
Linn,Marty Wilde,964,State House of Representatives,D,11
Total,Marty Wilde,7981,State House of Representatives,D,11
Lane,Misc.,64,State House of Representatives,D,11
Linn,Misc.,29,State House of Representatives,D,11
Total,Misc.,93,State House of Representatives,D,11
Lane,John Lively,6409,State House of Representatives,D,12
Lane,Misc.,88,State House of Representatives,D,12
Lane,Nancy Nathanson,10444,State House of Representatives,D,13
Lane,Misc.,69,State House of Representatives,D,13
Lane,Julie Fahey,7745,State House of Representatives,D,14
Lane,Misc.,104,State House of Representatives,D,14
Benton,Miriam G Cummins,1607,State House of Representatives,D,15
Linn,Miriam G Cummins,4763,State House of Representatives,D,15
Total,Miriam G Cummins,6370,State House of Representatives,D,15
Benton,Misc.,28,State House of Representatives,D,15
Linn,Misc.,124,State House of Representatives,D,15
Total,Misc.,152,State House of Representatives,D,15
Benton,Dan Rayfield,10800,State House of Representatives,D,16
Benton,Misc.,79,State House of Representatives,D,16
Linn,Paige Hook,3035,State House of Representatives,D,17
Marion,Paige Hook,1112,State House of Representatives,D,17
Total,Paige Hook,4147,State House of Representatives,D,17
Linn,Misc.,156,State House of Representatives,D,17
Marion,Misc.,50,State House of Representatives,D,17
Total,Misc.,206,State House of Representatives,D,17
Clackamas,Jamie Morrison,1439,State House of Representatives,D,18
Marion,Jamie Morrison,2838,State House of Representatives,D,18
Total,Jamie Morrison,4277,State House of Representatives,D,18
Clackamas,Misc.,62,State House of Representatives,D,18
Marion,Misc.,71,State House of Representatives,D,18
Total,Misc.,133,State House of Representatives,D,18
Marion,Jacqueline M Leung,4398,State House of Representatives,D,19
Marion,Sarah Landstrom,1902,State House of Representatives,D,19
Marion,Chip Davis,566,State House of Representatives,D,19
Marion,Misc.,79,State House of Representatives,D,19
Douglas,Charles F Lee,3222,State House of Representatives,D,2
Jackson,Charles F Lee,98,State House of Representatives,D,2
Josephine,Charles F Lee,321,State House of Representatives,D,2
Total,Charles F Lee,3641,State House of Representatives,D,2
Douglas,Misc.,126,State House of Representatives,D,2
Jackson,Misc.,2,State House of Representatives,D,2
Josephine,Misc.,21,State House of Representatives,D,2
Total,Misc.,149,State House of Representatives,D,2
Marion,Paul Evans,3040,State House of Representatives,D,20
Polk,Paul Evans,5241,State House of Representatives,D,20
Total,Paul Evans,8281,State House of Representatives,D,20
Marion,Misc.,43,State House of Representatives,D,20
Polk,Misc.,88,State House of Representatives,D,20
Total,Misc.,131,State House of Representatives,D,20
Marion,Brian Clem,5624,State House of Representatives,D,21
Marion,Misc.,86,State House of Representatives,D,21
Marion,Teresa Alonso Leon,3783,State House of Representatives,D,22
Marion,Misc.,63,State House of Representatives,D,22
Benton,Sean K Scorvo,1617,State House of Representatives,D,23
Marion,Sean K Scorvo,570,State House of Representatives,D,23
Polk,Sean K Scorvo,2417,State House of Representatives,D,23
Yamhill,Sean K Scorvo,1059,State House of Representatives,D,23
Total,Sean K Scorvo,5663,State House of Representatives,D,23
Benton,Misc.,21,State House of Representatives,D,23
Marion,Misc.,16,State House of Representatives,D,23
Polk,Misc.,53,State House of Representatives,D,23
Yamhill,Misc.,22,State House of Representatives,D,23
Total,Misc.,112,State House of Representatives,D,23
Washington,Lynnette Shaw,1266,State House of Representatives,D,24
Yamhill,Lynnette Shaw,4901,State House of Representatives,D,24
Total,Lynnette Shaw,6167,State House of Representatives,D,24
Washington,Misc.,22,State House of Representatives,D,24
Yamhill,Misc.,97,State House of Representatives,D,24
Total,Misc.,119,State House of Representatives,D,24
Marion,Ramiro Navarro Jr,3079,State House of Representatives,D,25
Washington,Ramiro Navarro Jr,0,State House of Representatives,D,25
Yamhill,Ramiro Navarro Jr,2015,State House of Representatives,D,25
Total,Ramiro Navarro Jr,5094,State House of Representatives,D,25
Marion,Misc.,79,State House of Representatives,D,25
Washington,Misc.,0,State House of Representatives,D,25
Yamhill,Misc.,43,State House of Representatives,D,25
Total,Misc.,122,State House of Representatives,D,25
Clackamas,Courtney Neron,2316,State House of Representatives,D,26
Washington,Courtney Neron,5604,State House of Representatives,D,26
Total,Courtney Neron,7920,State House of Representatives,D,26
Clackamas,Misc.,19,State House of Representatives,D,26
Washington,Misc.,67,State House of Representatives,D,26
Total,Misc.,86,State House of Representatives,D,26
Multnomah,Sheri Schouten,444,State House of Representatives,D,27
Washington,Sheri Schouten,8737,State House of Representatives,D,27
Total,Sheri Schouten,9181,State House of Representatives,D,27
Multnomah,Misc.,3,State House of Representatives,D,27
Washington,Misc.,73,State House of Representatives,D,27
Total,Misc.,76,State House of Representatives,D,27
Washington,Jacob M Bride,1465,State House of Representatives,D,28
Washington,Alisa Blum,2229,State House of Representatives,D,28
Washington,Wlnsvey E Campos,4531,State House of Representatives,D,28
Washington,Misc.,31,State House of Representatives,D,28
Washington,Susan McLain,5833,State House of Representatives,D,29
Washington,Misc.,69,State House of Representatives,D,29
Josephine,Jerry Morgan,4241,State House of Representatives,D,3
Josephine,Misc.,334,State House of Representatives,D,3
Washington,Janeen Sollman,7385,State House of Representatives,D,30
Washington,Misc.,65,State House of Representatives,D,30
Columbia,Brad Witt,6197,State House of Representatives,D,31
Multnomah,Brad Witt,972,State House of Representatives,D,31
Washington,Brad Witt,1197,State House of Representatives,D,31
Total,Brad Witt,8366,State House of Representatives,D,31
Columbia,Misc.,153,State House of Representatives,D,31
Multnomah,Misc.,8,State House of Representatives,D,31
Washington,Misc.,12,State House of Representatives,D,31
Total,Misc.,173,State House of Representatives,D,31
Clatsop,Debbie Boothe-Schmidt,4379,State House of Representatives,D,32
Tillamook,Debbie Boothe-Schmidt,1804,State House of Representatives,D,32
Washington,Debbie Boothe-Schmidt,692,State House of Representatives,D,32
Yamhill,Debbie Boothe-Schmidt,0,State House of Representatives,D,32
Total,Debbie Boothe-Schmidt,6875,State House of Representatives,D,32
Clatsop,George Kiepke,1532,State House of Representatives,D,32
Tillamook,George Kiepke,642,State House of Representatives,D,32
Washington,George Kiepke,473,State House of Representatives,D,32
Yamhill,George Kiepke,0,State House of Representatives,D,32
Total,George Kiepke,2647,State House of Representatives,D,32
Clatsop,Misc.,51,State House of Representatives,D,32
Tillamook,Misc.,44,State House of Representatives,D,32
Washington,Misc.,16,State House of Representatives,D,32
Yamhill,Misc.,0,State House of Representatives,D,32
Total,Misc.,111,State House of Representatives,D,32
Multnomah,Serin Bussell,1232,State House of Representatives,D,33
Washington,Serin Bussell,1048,State House of Representatives,D,33
Total,Serin Bussell,2280,State House of Representatives,D,33
Multnomah,Christina E Stephenson,1498,State House of Representatives,D,33
Washington,Christina E Stephenson,2440,State House of Representatives,D,33
Total,Christina E Stephenson,3938,State House of Representatives,D,33
Multnomah,Andy Saultz,395,State House of Representatives,D,33
Washington,Andy Saultz,1739,State House of Representatives,D,33
Total,Andy Saultz,2134,State House of Representatives,D,33
Multnomah,Maxine E Dexter,2982,State House of Representatives,D,33
Washington,Maxine E Dexter,2501,State House of Representatives,D,33
Total,Maxine E Dexter,5483,State House of Representatives,D,33
Multnomah,Misc.,7,State House of Representatives,D,33
Washington,Misc.,16,State House of Representatives,D,33
Total,Misc.,23,State House of Representatives,D,33
Washington,Ken Helm,8586,State House of Representatives,D,34
Washington,Misc.,50,State House of Representatives,D,34
Clackamas,Dacia Grayber,144,State House of Representatives,D,35
Multnomah,Dacia Grayber,2131,State House of Representatives,D,35
Washington,Dacia Grayber,8200,State House of Representatives,D,35
Total,Dacia Grayber,10475,State House of Representatives,D,35
Clackamas,Keenan B Casavant,16,State House of Representatives,D,35
Multnomah,Keenan B Casavant,87,State House of Representatives,D,35
Washington,Keenan B Casavant,665,State House of Representatives,D,35
Total,Keenan B Casavant,768,State House of Representatives,D,35
Clackamas,Misc.,0,State House of Representatives,D,35
Multnomah,Misc.,6,State House of Representatives,D,35
Washington,Misc.,43,State House of Representatives,D,35
Total,Misc.,49,State House of Representatives,D,35
Multnomah,Lisa Reynolds,7476,State House of Representatives,D,36
Multnomah,Adam Kelly Meyer,1301,State House of Representatives,D,36
Multnomah,Rob Fullmer,2288,State House of Representatives,D,36
Multnomah,Laurie Wimmer,6177,State House of Representatives,D,36
Multnomah,Misc.,35,State House of Representatives,D,36
Clackamas,Rachel Prusak,6126,State House of Representatives,D,37
Washington,Rachel Prusak,3291,State House of Representatives,D,37
Total,Rachel Prusak,9417,State House of Representatives,D,37
Clackamas,Misc.,63,State House of Representatives,D,37
Washington,Misc.,31,State House of Representatives,D,37
Total,Misc.,94,State House of Representatives,D,37
Clackamas,Andrea Salinas,6337,State House of Representatives,D,38
Multnomah,Andrea Salinas,6831,State House of Representatives,D,38
Washington,Andrea Salinas,0,State House of Representatives,D,38
Total,Andrea Salinas,13168,State House of Representatives,D,38
Clackamas,Misc.,33,State House of Representatives,D,38
Multnomah,Misc.,37,State House of Representatives,D,38
Washington,Misc.,0,State House of Representatives,D,38
Total,Misc.,70,State House of Representatives,D,38
Clackamas,Julia E Hill,2792,State House of Representatives,D,39
Marion,Julia E Hill,6,State House of Representatives,D,39
Total,Julia E Hill,2798,State House of Representatives,D,39
Clackamas,Tessah L Danel,4219,State House of Representatives,D,39
Marion,Tessah L Danel,3,State House of Representatives,D,39
Total,Tessah L Danel,4222,State House of Representatives,D,39
Clackamas,Misc.,80,State House of Representatives,D,39
Marion,Misc.,0,State House of Representatives,D,39
Total,Misc.,80,State House of Representatives,D,39
Jackson,Mary Middleton,3496,State House of Representatives,D,4
Josephine,Mary Middleton,674,State House of Representatives,D,4
Total,Mary Middleton,4170,State House of Representatives,D,4
Jackson,Misc.,57,State House of Representatives,D,4
Josephine,Misc.,21,State House of Representatives,D,4
Total,Misc.,78,State House of Representatives,D,4
Clackamas,Mark W Meek,7911,State House of Representatives,D,40
Clackamas,Misc.,79,State House of Representatives,D,40
Clackamas,Karin Power,6611,State House of Representatives,D,41
Multnomah,Karin Power,6317,State House of Representatives,D,41
Total,Karin Power,12928,State House of Representatives,D,41
Clackamas,Misc.,53,State House of Representatives,D,41
Multnomah,Misc.,35,State House of Representatives,D,41
Total,Misc.,88,State House of Representatives,D,41
Multnomah,Paige Kreisman,7704,State House of Representatives,D,42
Multnomah,Rob Nosse,14485,State House of Representatives,D,42
Multnomah,Misc.,31,State House of Representatives,D,42
Multnomah,Tawna Sanchez,17774,State House of Representatives,D,43
Multnomah,Misc.,64,State House of Representatives,D,43
Multnomah,Tina Kotek,12797,State House of Representatives,D,44
Multnomah,Misc.,190,State House of Representatives,D,44
Multnomah,Barbara Smith Warner,13943,State House of Representatives,D,45
Multnomah,Misc.,77,State House of Representatives,D,45
Multnomah,Shawn MacArthur,648,State House of Representatives,D,46
Multnomah,Khanh Pham,14056,State House of Representatives,D,46
Multnomah,Jeffrey Cogen,1461,State House of Representatives,D,46
Multnomah,Misc.,20,State House of Representatives,D,46
Multnomah,Diego Hernandez,6081,State House of Representatives,D,47
Multnomah,Misc.,154,State House of Representatives,D,47
Clackamas,Jeff Reardon,3227,State House of Representatives,D,48
Multnomah,Jeff Reardon,3567,State House of Representatives,D,48
Total,Jeff Reardon,6794,State House of Representatives,D,48
Clackamas,Misc.,16,State House of Representatives,D,48
Multnomah,Misc.,38,State House of Representatives,D,48
Total,Misc.,54,State House of Representatives,D,48
Multnomah,Zach Hudson,4765,State House of Representatives,D,49
Multnomah,Misc.,65,State House of Representatives,D,49
Jackson,Pam Marsh,12284,State House of Representatives,D,5
Klamath,Pam Marsh,0,State House of Representatives,D,5
Total,Pam Marsh,12284,State House of Representatives,D,5
Jackson,Misc.,51,State House of Representatives,D,5
Klamath,Misc.,0,State House of Representatives,D,5
Total,Misc.,51,State House of Representatives,D,5
Multnomah,Ricki Ruiz,4084,State House of Representatives,D,50
Multnomah,William Miller,2048,State House of Representatives,D,50
Multnomah,Misc.,53,State House of Representatives,D,50
Clackamas,Janelle S Bynum,3653,State House of Representatives,D,51
Multnomah,Janelle S Bynum,2954,State House of Representatives,D,51
Total,Janelle S Bynum,6607,State House of Representatives,D,51
Clackamas,Misc.,46,State House of Representatives,D,51
Multnomah,Misc.,38,State House of Representatives,D,51
Total,Misc.,84,State House of Representatives,D,51
Clackamas,Anna Williams,2905,State House of Representatives,D,52
Hood River,Anna Williams,3392,State House of Representatives,D,52
Multnomah,Anna Williams,1276,State House of Representatives,D,52
Total,Anna Williams,7573,State House of Representatives,D,52
Clackamas,Misc.,41,State House of Representatives,D,52
Hood River,Misc.,40,State House of Representatives,D,52
Multnomah,Misc.,22,State House of Representatives,D,52
Total,Misc.,103,State House of Representatives,D,52
Deschutes,Emerson Levy,7574,State House of Representatives,D,53
Deschutes,Misc.,98,State House of Representatives,D,53
Deschutes,Jason Kropf,10098,State House of Representatives,D,54
Deschutes,Misc.,93,State House of Representatives,D,54
Crook,Barbara Fontaine,1425,State House of Representatives,D,55
Deschutes,Barbara Fontaine,945,State House of Representatives,D,55
Jackson,Barbara Fontaine,1168,State House of Representatives,D,55
Klamath,Barbara Fontaine,490,State House of Representatives,D,55
Lake,Barbara Fontaine,74,State House of Representatives,D,55
Total,Barbara Fontaine,4102,State House of Representatives,D,55
Crook,Misc.,58,State House of Representatives,D,55
Deschutes,Misc.,23,State House of Representatives,D,55
Jackson,Misc.,26,State House of Representatives,D,55
Klamath,Misc.,23,State House of Representatives,D,55
Lake,Misc.,3,State House of Representatives,D,55
Total,Misc.,133,State House of Representatives,D,55
Klamath,Faith N Leith,2859,State House of Representatives,D,56
Lake,Faith N Leith,154,State House of Representatives,D,56
Total,Faith N Leith,3013,State House of Representatives,D,56
Klamath,Misc.,75,State House of Representatives,D,56
Lake,Misc.,6,State House of Representatives,D,56
Total,Misc.,81,State House of Representatives,D,56
Gilliam,Roland Ruhe,125,State House of Representatives,D,57
Morrow,Roland Ruhe,428,State House of Representatives,D,57
Sherman,Roland Ruhe,104,State House of Representatives,D,57
Umatilla,Roland Ruhe,1281,State House of Representatives,D,57
Wasco,Roland Ruhe,147,State House of Representatives,D,57
Total,Roland Ruhe,2085,State House of Representatives,D,57
Gilliam,Misc.,3,State House of Representatives,D,57
Morrow,Misc.,24,State House of Representatives,D,57
Sherman,Misc.,3,State House of Representatives,D,57
Umatilla,Misc.,39,State House of Representatives,D,57
Wasco,Misc.,8,State House of Representatives,D,57
Total,Misc.,77,State House of Representatives,D,57
Umatilla,Nolan E Bylenga,1204,State House of Representatives,D,58
Union,Nolan E Bylenga,777,State House of Representatives,D,58
Wallowa,Nolan E Bylenga,290,State House of Representatives,D,58
Total,Nolan E Bylenga,2271,State House of Representatives,D,58
Umatilla,Barbara A Wright,624,State House of Representatives,D,58
Union,Barbara A Wright,973,State House of Representatives,D,58
Wallowa,Barbara A Wright,337,State House of Representatives,D,58
Total,Barbara A Wright,1934,State House of Representatives,D,58
Umatilla,Misc.,48,State House of Representatives,D,58
Union,Misc.,62,State House of Representatives,D,58
Wallowa,Misc.,27,State House of Representatives,D,58
Total,Misc.,137,State House of Representatives,D,58
Clackamas,Arlene C Burns,0,State House of Representatives,D,59
Deschutes,Arlene C Burns,1823,State House of Representatives,D,59
Jefferson,Arlene C Burns,918,State House of Representatives,D,59
Marion,Arlene C Burns,0,State House of Representatives,D,59
Wasco,Arlene C Burns,1606,State House of Representatives,D,59
Wheeler,Arlene C Burns,58,State House of Representatives,D,59
Total,Arlene C Burns,4405,State House of Representatives,D,59
Clackamas,Tyler J Gabriel,0,State House of Representatives,D,59
Deschutes,Tyler J Gabriel,236,State House of Representatives,D,59
Jefferson,Tyler J Gabriel,255,State House of Representatives,D,59
Marion,Tyler J Gabriel,0,State House of Representatives,D,59
Wasco,Tyler J Gabriel,422,State House of Representatives,D,59
Wheeler,Tyler J Gabriel,38,State House of Representatives,D,59
Total,Tyler J Gabriel,951,State House of Representatives,D,59
Clackamas,Misc.,0,State House of Representatives,D,59
Deschutes,Misc.,35,State House of Representatives,D,59
Jefferson,Misc.,30,State House of Representatives,D,59
Marion,Misc.,0,State House of Representatives,D,59
Wasco,Misc.,66,State House of Representatives,D,59
Wheeler,Misc.,9,State House of Representatives,D,59
Total,Misc.,140,State House of Representatives,D,59
Jackson,Rick Schreffler,878,State House of Representatives,D,6
Jackson,Alberto Enriquez,4719,State House of Representatives,D,6
Jackson,Misc.,79,State House of Representatives,D,6
Baker,Beth E Spell,393,State House of Representatives,D,60
Grant,Beth E Spell,328,State House of Representatives,D,60
Harney,Beth E Spell,138,State House of Representatives,D,60
Lake,Beth E Spell,4,State House of Representatives,D,60
Malheur,Beth E Spell,392,State House of Representatives,D,60
Total,Beth E Spell,1255,State House of Representatives,D,60
Baker,Isabelle Fleuraud,334,State House of Representatives,D,60
Grant,Isabelle Fleuraud,107,State House of Representatives,D,60
Harney,Isabelle Fleuraud,227,State House of Representatives,D,60
Lake,Isabelle Fleuraud,12,State House of Representatives,D,60
Malheur,Isabelle Fleuraud,385,State House of Representatives,D,60
Total,Isabelle Fleuraud,1065,State House of Representatives,D,60
Baker,Misc.,24,State House of Representatives,D,60
Grant,Misc.,23,State House of Representatives,D,60
Harney,Misc.,52,State House of Representatives,D,60
Lake,Misc.,0,State House of Representatives,D,60
Malheur,Misc.,44,State House of Representatives,D,60
Total,Misc.,143,State House of Representatives,D,60
Douglas,Jerry M Samaniego,2087,State House of Representatives,D,7
Lane,Jerry M Samaniego,2760,State House of Representatives,D,7
Total,Jerry M Samaniego,4847,State House of Representatives,D,7
Douglas,Misc.,57,State House of Representatives,D,7
Lane,Misc.,50,State House of Representatives,D,7
Total,Misc.,107,State House of Representatives,D,7
Lane,Joseph Reilly,1641,State House of Representatives,D,8
Lane,Paul R Holvey,11588,State House of Representatives,D,8
Lane,Misc.,71,State House of Representatives,D,8
Coos,Cal Mukumoto,2598,State House of Representatives,D,9
Douglas,Cal Mukumoto,372,State House of Representatives,D,9
Lane,Cal Mukumoto,2016,State House of Representatives,D,9
Lincoln,Cal Mukumoto,207,State House of Representatives,D,9
Total,Cal Mukumoto,5193,State House of Representatives,D,9
Coos,Mark Daily,1337,State House of Representatives,D,9
Douglas,Mark Daily,214,State House of Representatives,D,9
Lane,Mark Daily,737,State House of Representatives,D,9
Lincoln,Mark Daily,71,State House of Representatives,D,9
Total,Mark Daily,2359,State House of Representatives,D,9
Coos,Misc.,82,State House of Representatives,D,9
Douglas,Misc.,4,State House of Representatives,D,9
Lane,Misc.,43,State House of Representatives,D,9
Lincoln,Misc.,1,State House of Representatives,D,9
Total,Misc.,130,State House of Representatives,D,9
Coos,Kat Stone,1599,State Senate,D,1
Curry,Kat Stone,1665,State Senate,D,1
Douglas,Kat Stone,3642,State Senate,D,1
Jackson,Kat Stone,86,State Senate,D,1
Josephine,Kat Stone,550,State Senate,D,1
Total,Kat Stone,7542,State Senate,D,1
Coos,Les Goodrich,668,State Senate,D,1
Curry,Les Goodrich,791,State Senate,D,1
Douglas,Les Goodrich,1183,State Senate,D,1
Jackson,Les Goodrich,39,State Senate,D,1
Josephine,Les Goodrich,202,State Senate,D,1
Total,Les Goodrich,2883,State Senate,D,1
Coos,Misc.,56,State Senate,D,1
Curry,Misc.,33,State Senate,D,1
Douglas,Misc.,145,State Senate,D,1
Jackson,Misc.,0,State Senate,D,1
Josephine,Misc.,19,State Senate,D,1
Total,Misc.,253,State Senate,D,1
Marion,Charles Womble,945,State Senate,D,10
Polk,Charles Womble,538,State Senate,D,10
Total,Charles Womble,1483,State Senate,D,10
Marion,Deb Patterson,9312,State Senate,D,10
Polk,Deb Patterson,4850,State Senate,D,10
Total,Deb Patterson,14162,State Senate,D,10
Marion,Misc.,115,State Senate,D,10
Polk,Misc.,44,State Senate,D,10
Total,Misc.,159,State Senate,D,10
Benton,Arianna (Ari) M Blunt,189,State Senate,D,12
Marion,Arianna (Ari) M Blunt,81,State Senate,D,12
Polk,Arianna (Ari) M Blunt,351,State Senate,D,12
Washington,Arianna (Ari) M Blunt,165,State Senate,D,12
Yamhill,Arianna (Ari) M Blunt,623,State Senate,D,12
Total,Arianna (Ari) M Blunt,1409,State Senate,D,12
Benton,Bernadette Hansen,748,State Senate,D,12
Marion,Bernadette Hansen,218,State Senate,D,12
Polk,Bernadette Hansen,880,State Senate,D,12
Washington,Bernadette Hansen,582,State Senate,D,12
Yamhill,Bernadette Hansen,2602,State Senate,D,12
Total,Bernadette Hansen,5030,State Senate,D,12
Benton,Ross Swartzendruber,681,State Senate,D,12
Marion,Ross Swartzendruber,223,State Senate,D,12
Polk,Ross Swartzendruber,1225,State Senate,D,12
Washington,Ross Swartzendruber,361,State Senate,D,12
Yamhill,Ross Swartzendruber,2060,State Senate,D,12
Total,Ross Swartzendruber,4550,State Senate,D,12
Benton,Lisa Pool,409,State Senate,D,12
Marion,Lisa Pool,154,State Senate,D,12
Polk,Lisa Pool,586,State Senate,D,12
Washington,Lisa Pool,308,State Senate,D,12
Yamhill,Lisa Pool,1848,State Senate,D,12
Total,Lisa Pool,3305,State Senate,D,12
Benton,Misc.,14,State Senate,D,12
Marion,Misc.,19,State Senate,D,12
Polk,Misc.,53,State Senate,D,12
Washington,Misc.,21,State Senate,D,12
Yamhill,Misc.,114,State Senate,D,12
Total,Misc.,221,State Senate,D,12
Multnomah,Dick Schouten,99,State Senate,D,14
Washington,Dick Schouten,4907,State Senate,D,14
Total,Dick Schouten,5006,State Senate,D,14
Multnomah,Kate Lieber,456,State Senate,D,14
Washington,Kate Lieber,13980,State Senate,D,14
Total,Kate Lieber,14436,State Senate,D,14
Multnomah,Misc.,1,State Senate,D,14
Washington,Misc.,74,State Senate,D,14
Total,Misc.,75,State Senate,D,14
Clackamas,Ben Bowman,51,State Senate,D,18
Multnomah,Ben Bowman,5043,State Senate,D,18
Washington,Ben Bowman,4044,State Senate,D,18
Total,Ben Bowman,9138,State Senate,D,18
Clackamas,Ginny Burdick,113,State Senate,D,18
Multnomah,Ginny Burdick,14949,State Senate,D,18
Washington,Ginny Burdick,5572,State Senate,D,18
Total,Ginny Burdick,20634,State Senate,D,18
Clackamas,Misc.,0,State Senate,D,18
Multnomah,Misc.,18,State Senate,D,18
Washington,Misc.,17,State Senate,D,18
Total,Misc.,35,State Senate,D,18
Jackson,Jerry Allen,3488,State Senate,D,2
Josephine,Jerry Allen,5512,State Senate,D,2
Total,Jerry Allen,9000,State Senate,D,2
Jackson,Misc.,75,State Senate,D,2
Josephine,Misc.,162,State Senate,D,2
Total,Misc.,237,State Senate,D,2
Clackamas,Kathleen Taylor,6565,State Senate,D,21
Multnomah,Kathleen Taylor,23226,State Senate,D,21
Total,Kathleen Taylor,29791,State Senate,D,21
Clackamas,Misc.,28,State Senate,D,21
Multnomah,Misc.,146,State Senate,D,21
Total,Misc.,174,State Senate,D,21
Multnomah,Lew Frederick,30110,State Senate,D,22
Multnomah,Misc.,169,State Senate,D,22
Multnomah,Michael Dembrow,26730,State Senate,D,23
Multnomah,Misc.,138,State Senate,D,23
Multnomah,Chris Gorsek,10596,State Senate,D,25
Multnomah,Misc.,159,State Senate,D,25
Deschutes,Eileen Kiely,17971,State Senate,D,27
Deschutes,Misc.,167,State Senate,D,27
Crook,Hugh Palcic,1353,State Senate,D,28
Deschutes,Hugh Palcic,948,State Senate,D,28
