county,precinct,office,district,party,candidate,votes, , , , , , , ,, ,,,,,
Baker, Haines 17,President,,Constitution,Randall Terry, 0,,,,,,,,,,,,,,
Baker, Hereford 18,President,,Constitution,Randall Terry, 0,,,,,,,,,,,,,,
Baker, Huntington 19,President,,Constitution,Randall Terry, 1,,,,,,,,,,,,,,
Baker, Irondyke 20,President,,Constitution,Randall Terry, 1,,,,,,,,,,,,,,
Baker, Keating 21,President,,Constitution,Randall Terry, 0,,,,,,,,,,,,,,
Baker, Pine Valley 22,President,,Constitution,Randall Terry, 0,,,,,,,,,,,,,,
Baker, Poca-Wing 24,President,,Constitution,Randall Terry, 0,,,,,,,,,,,,,,
Baker, Sumpter 25,President,,Constitution,Randall Terry, 0,,,,,,,,,,,,,,
Baker, Unity 26,President,,Constitution,Randall Terry, 0,,,,,,,,,,,,,,
Baker, Baker 1,President,,Republican,Donald J Trump, 642,,,,,,,,,,,,,,
Baker, Baker 2,President,,Republican,Donald J Trump, 608,,,,,,,,,,,,,,
Baker, Baker 3,President,,Republican,Donald J Trump, 698,,,,,,,,,,,,,,
Baker, Baker 4,President,,Republican,Donald J Trump, 831,,,,,,,,,,,,,,
Baker, Baker 5,President,,Republican,Donald J Trump, 930,,,,,,,,,,,,,,
Baker, Baker Country 13,President,,Republican,Donald J Trump, 596,,,,,,,,,,,,,,
Baker, Durkee 14,President,,Republican,Donald J Trump, 70,,,,,,,,,,,,,,
Baker, Eagle Valley 15,President,,Republican,Donald J Trump, 361,,,,,,,,,,,,,,
Baker, Haines 17,President,,Republican,Donald J Trump, 482,,,,,,,,,,,,,,
Baker, Hereford 18,President,,Republican,Donald J Trump, 72,,,,,,,,,,,,,,
Baker, Huntington 19,President,,Republican,Donald J Trump, 215,,,,,,,,,,,,,,
Baker, Irondyke 20,President,,Republican,Donald J Trump, 39,,,,,,,,,,,,,,
Baker, Keating 21,President,,Republican,Donald J Trump, 137,,,,,,,,,,,,,,
Baker, Pine Valley 22,President,,Republican,Donald J Trump, 458,,,,,,,,,,,,,,
Baker, Poca-Wing 24,President,,Republican,Donald J Trump, 592,,,,,,,,,,,,,,
Baker, Sumpter 25,President,,Republican,Donald J Trump, 252,,,,,,,,,,,,,,
Baker, Unity 26,President,,Republican,Donald J Trump, 77,,,,,,,,,,,,,,
Baker, Baker 1,President,,Pacific Green,Jill Stein, 1,,,,,,,,,,,,,,
Baker, Baker 2,President,,Pacific Green,Jill Stein, 7,,,,,,,,,,,,,,
Baker, Baker 3,President,,Pacific Green,Jill Stein, 6,,,,,,,,,,,,,,
Baker, Baker 4,President,,Pacific Green,Jill Stein, 6,,,,,,,,,,,,,,
Baker, Baker 5,President,,Pacific Green,Jill Stein, 3,,,,,,,,,,,,,,
Baker, Baker Country 13,President,,Pacific Green,Jill Stein, 0,,,,,,,,,,,,,,
Baker, Durkee 14,President,,Pacific Green,Jill Stein, 0,,,,,,,,,,,,,,
Baker, Eagle Valley 15,President,,Pacific Green,Jill Stein, 0,,,,,,,,,,,,,,
Baker, Haines 17,President,,Pacific Green,Jill Stein, 1,,,,,,,,,,,,,,
Baker, Hereford 18,President,,Pacific Green,Jill Stein, 1,,,,,,,,,,,,,,
Baker, Huntington 19,President,,Pacific Green,Jill Stein, 1,,,,,,,,,,,,,,
Baker, Irondyke 20,President,,Pacific Green,Jill Stein, 0,,,,,,,,,,,,,,
Baker, Keating 21,President,,Pacific Green,Jill Stein, 0,,,,,,,,,,,,,,
Baker, Pine Valley 22,President,,Pacific Green,Jill Stein, 5,,,,,,,,,,,,,,
Baker, Poca-Wing 24,President,,Pacific Green,Jill Stein, 4,,,,,,,,,,,,,,
Baker, Sumpter 25,President,,Pacific Green,Jill Stein, 0,,,,,,,,,,,,,,
Baker, Unity 26,President,,Pacific Green,Jill Stein, 1,,,,,,,,,,,,,,
Baker, Baker 1,President,,Democrat,Kamala Harris, 260,,,,,,,,,,,,,,
Baker, Baker 2,President,,Democrat,Kamala Harris, 307,,,,,,,,,,,,,,
Baker, Baker 3,President,,Democrat,Kamala Harris, 301,,,,,,,,,,,,,,
Baker, Baker 4,President,,Democrat,Kamala Harris, 299,,,,,,,,,,,,,,
Baker, Baker 5,President,,Democrat,Kamala Harris, 305,,,,,,,,,,,,,,
Baker, Baker Country 13,President,,Democrat,Kamala Harris, 127,,,,,,,,,,,,,,
Baker, Durkee 14,President,,Democrat,Kamala Harris, 3,,,,,,,,,,,,,,
Baker, Eagle Valley 15,President,,Democrat,Kamala Harris, 65,,,,,,,,,,,,,,
Baker, Haines 17,President,,Democrat,Kamala Harris, 96,,,,,,,,,,,,,,
Baker, Hereford 18,President,,Democrat,Kamala Harris, 3,,,,,,,,,,,,,,
Baker, Huntington 19,President,,Democrat,Kamala Harris, 52,,,,,,,,,,,,,,
Baker, Irondyke 20,President,,Democrat,Kamala Harris, 19,,,,,,,,,,,,,,
Baker, Keating 21,President,,Democrat,Kamala Harris, 25,,,,,,,,,,,,,,
Baker, Pine Valley 22,President,,Democrat,Kamala Harris, 188,,,,,,,,,,,,,,
Baker, Poca-Wing 24,President,,Democrat,Kamala Harris, 214,,,,,,,,,,,,,,
Baker, Sumpter 25,President,,Democrat,Kamala Harris, 64,,,,,,,,,,,,,,
Baker, Unity 26,President,,Democrat,Kamala Harris, 15,,,,,,,,,,,,,,
Baker, Baker 1,President,,,Write-In , 4,,,,,,,,,,,,,,
Baker, Baker 2,President,,,Write-In , 5,,,,,,,,,,,,,,
Baker, Baker 3,President,,,Write-In , 2,,,,,,,,,,,,,,
Baker, Baker 4,President,,,Write-In , 13,,,,,,,,,,,,,,
Baker, Baker 5,President,,,Write-In , 7,,,,,,,,,,,,,,
Baker, Baker Country 13,President,,,Write-In , 1,,,,,,,,,,,,,,
Baker, Durkee 14,President,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Eagle Valley 15,President,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Haines 17,President,,,Write-In , 4,,,,,,,,,,,,,,
Baker, Hereford 18,President,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Huntington 19,President,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Irondyke 20,President,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Keating 21,President,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Pine Valley 22,President,,,Write-In , 2,,,,,,,,,,,,,,
Baker, Poca-Wing 24,President,,,Write-In , 3,,,,,,,,,,,,,,
Baker, Sumpter 25,President,,,Write-In , 2,,,,,,,,,,,,,,
Baker, Unity 26,President,,,Write-In , 2,,,,,,,,,,,,,,
Baker, Baker 1,President,,,Total , 934,,,,,,,,,,,,,,
Baker, Baker 2,President,,,Total , 947,,,,,,,,,,,,,,
Baker, Baker 3,President,,,Total ," 1,035",,,,,,,,,,,,,,
Baker, Baker 4,President,,,Total ," 1,177",,,,,,,,,,,,,,
Baker, Baker 5,President,,,Total ," 1,275",,,,,,,,,,,,,,
Baker, Baker Country 13,President,,,Total , 732,,,,,,,,,,,,,,
Baker, Durkee 14,President,,,Total , 73,,,,,,,,,,,,,,
Baker, Eagle Valley 15,President,,,Total , 438,,,,,,,,,,,,,,
Baker, Haines 17,President,,,Total , 597,,,,,,,,,,,,,,
Baker, Hereford 18,President,,,Total , 78,,,,,,,,,,,,,,
Baker, Huntington 19,President,,,Total , 277,,,,,,,,,,,,,,
Baker, Irondyke 20,President,,,Total , 60,,,,,,,,,,,,,,
Baker, Keating 21,President,,,Total , 169,,,,,,,,,,,,,,
Baker, Pine Valley 22,President,,,Total , 658,,,,,,,,,,,,,,
Baker, Poca-Wing 24,President,,,Total , 825,,,,,,,,,,,,,,
Baker, Sumpter 25,President,,,Total , 322,,,,,,,,,,,,,,
Baker, Unity 26,President,,,Total , 97,,,,,,,,,,,,,,
Baker, Baker 1,Secretary of State,,Pacific Green,Nathalie Paravinci, 23,,,,,,,,,,,,,,
Baker, Baker 2,Secretary of State,,Pacific Green,Nathalie Paravinci, 30,,,,,,,,,,,,,,
Baker, Baker 3,Secretary of State,,Pacific Green,Nathalie Paravinci, 30,,,,,,,,,,,,,,
Baker, Baker 4,Secretary of State,,Pacific Green,Nathalie Paravinci, 29,,,,,,,,,,,,,,
Baker, Baker 5,Secretary of State,,Pacific Green,Nathalie Paravinci, 24,,,,,,,,,,,,,,
Baker, Baker Country 13,Secretary of State,,Pacific Green,Nathalie Paravinci, 8,,,,,,,,,,,,,,
Baker, Durkee 14,Secretary of State,,Pacific Green,Nathalie Paravinci, 1,,,,,,,,,,,,,,
Baker, Eagle Valley 15,Secretary of State,,Pacific Green,Nathalie Paravinci, 4,,,,,,,,,,,,,,
Baker, Haines 17,Secretary of State,,Pacific Green,Nathalie Paravinci, 2,,,,,,,,,,,,,,
Baker, Hereford 18,Secretary of State,,Pacific Green,Nathalie Paravinci, 2,,,,,,,,,,,,,,
Baker, Huntington 19,Secretary of State,,Pacific Green,Nathalie Paravinci, 8,,,,,,,,,,,,,,
Baker, Irondyke 20,Secretary of State,,Pacific Green,Nathalie Paravinci, 0,,,,,,,,,,,,,,
Baker, Keating 21,Secretary of State,,Pacific Green,Nathalie Paravinci, 2,,,,,,,,,,,,,,
Baker, Pine Valley 22,Secretary of State,,Pacific Green,Nathalie Paravinci, 8,,,,,,,,,,,,,,
Baker, Poca-Wing 24,Secretary of State,,Pacific Green,Nathalie Paravinci, 10,,,,,,,,,,,,,,
Baker, Sumpter 25,Secretary of State,,Pacific Green,Nathalie Paravinci, 2,,,,,,,,,,,,,,
Baker, Unity 26,Secretary of State,,Pacific Green,Nathalie Paravinci, 2,,,,,,,,,,,,,,
Baker, Baker 1,Secretary of State,,Republican,Dennis Linthicum, 626,,,,,,,,,,,,,,
Baker, Baker 2,Secretary of State,,Republican,Dennis Linthicum, 596,,,,,,,,,,,,,,
Baker, Baker 3,Secretary of State,,Republican,Dennis Linthicum, 680,,,,,,,,,,,,,,
Baker, Baker 4,Secretary of State,,Republican,Dennis Linthicum, 820,,,,,,,,,,,,,,
Baker, Baker 5,Secretary of State,,Republican,Dennis Linthicum, 895,,,,,,,,,,,,,,
Baker, Baker Country 13,Secretary of State,,Republican,Dennis Linthicum, 586,,,,,,,,,,,,,,
Baker, Durkee 14,Secretary of State,,Republican,Dennis Linthicum, 64,,,,,,,,,,,,,,
Baker, Eagle Valley 15,Secretary of State,,Republican,Dennis Linthicum, 363,,,,,,,,,,,,,,
Baker, Haines 17,Secretary of State,,Republican,Dennis Linthicum, 486,,,,,,,,,,,,,,
Baker, Hereford 18,Secretary of State,,Republican,Dennis Linthicum, 70,,,,,,,,,,,,,,
Baker, Huntington 19,Secretary of State,,Republican,Dennis Linthicum, 202,,,,,,,,,,,,,,
Baker, Irondyke 20,Secretary of State,,Republican,Dennis Linthicum, 40,,,,,,,,,,,,,,
Baker, Keating 21,Secretary of State,,Republican,Dennis Linthicum, 143,,,,,,,,,,,,,,
Baker, Pine Valley 22,Secretary of State,,Republican,Dennis Linthicum, 455,,,,,,,,,,,,,,
Baker, Poca-Wing 24,Secretary of State,,Republican,Dennis Linthicum, 585,,,,,,,,,,,,,,
Baker, Sumpter 25,Secretary of State,,Republican,Dennis Linthicum, 242,,,,,,,,,,,,,,
Baker, Unity 26,Secretary of State,,Republican,Dennis Linthicum, 74,,,,,,,,,,,,,,
Baker, Baker 1,Secretary of State,,Democrat,Tobias Read, 247,,,,,,,,,,,,,,
Baker, Baker 2,Secretary of State,,Democrat,Tobias Read, 292,,,,,,,,,,,,,,
Baker, Baker 3,Secretary of State,,Democrat,Tobias Read, 283,,,,,,,,,,,,,,
Baker, Baker 4,Secretary of State,,Democrat,Tobias Read, 284,,,,,,,,,,,,,,
Baker, Baker 5,Secretary of State,,Democrat,Tobias Read, 294,,,,,,,,,,,,,,
Baker, Baker Country 13,Secretary of State,,Democrat,Tobias Read, 116,,,,,,,,,,,,,,
Baker, Durkee 14,Secretary of State,,Democrat,Tobias Read, 5,,,,,,,,,,,,,,
Baker, Eagle Valley 15,Secretary of State,,Democrat,Tobias Read, 60,,,,,,,,,,,,,,
Baker, Haines 17,Secretary of State,,Democrat,Tobias Read, 99,,,,,,,,,,,,,,
Baker, Hereford 18,Secretary of State,,Democrat,Tobias Read, 3,,,,,,,,,,,,,,
Baker, Huntington 19,Secretary of State,,Democrat,Tobias Read, 55,,,,,,,,,,,,,,
Baker, Irondyke 20,Secretary of State,,Democrat,Tobias Read, 18,,,,,,,,,,,,,,
Baker, Keating 21,Secretary of State,,Democrat,Tobias Read, 21,,,,,,,,,,,,,,
Baker, Pine Valley 22,Secretary of State,,Democrat,Tobias Read, 170,,,,,,,,,,,,,,
Baker, Poca-Wing 24,Secretary of State,,Democrat,Tobias Read, 206,,,,,,,,,,,,,,
Baker, Sumpter 25,Secretary of State,,Democrat,Tobias Read, 65,,,,,,,,,,,,,,
Baker, Unity 26,Secretary of State,,Democrat,Tobias Read, 18,,,,,,,,,,,,,,
Baker, Baker 1,Secretary of State,,,Write-In , 3,,,,,,,,,,,,,,
Baker, Baker 2,Secretary of State,,,Write-In , 2,,,,,,,,,,,,,,
Baker, Baker 3,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Baker 4,Secretary of State,,,Write-In , 1,,,,,,,,,,,,,,
Baker, Baker 5,Secretary of State,,,Write-In , 1,,,,,,,,,,,,,,
Baker, Baker Country 13,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Durkee 14,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Eagle Valley 15,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Haines 17,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Hereford 18,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Huntington 19,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Irondyke 20,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Keating 21,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Pine Valley 22,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Poca-Wing 24,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Sumpter 25,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Unity 26,Secretary of State,,,Write-In , 0,,,,,,,,,,,,,,
Baker, Baker 1,Secretary of State,,,Total , 899,,,,,,,,,,,,,,
Baker, Baker 2,Secretary of State,,,Total , 920,,,,,,,,,,,,,,
Baker, Baker 3,Secretary of State,,,Total , 993,,,,,,,,,,,,,,
Baker, Baker 4,Secretary of State,,,Total ," 1,134",,,,,,,,,,,,,,
Baker, Baker 5,Secretary of State,,,Total ," 1,214",,,,,,,,,,,,,,
Baker, Baker Country 13,Secretary of State,,,Total , 710,,,,,,,,,,,,,,
Baker, Durkee 14,Secretary of State,,,Total , 70,,,,,,,,,,,,,,
Baker, Eagle Valley 15,Secretary of State,,,Total , 427,,,,,,,,,,,,,,
Baker, Haines 17,Secretary of State,,,Total , 587,,,,,,,,,,,,,,
Baker, Hereford 18,Secretary of State,,,Total , 75,,,,,,,,,,,,,,
Baker, Huntington 19,Secretary of State,,,Total , 265,,,,,,,,,,,,,,
Baker, Irondyke 20,Secretary of State,,,Total , 58,,,,,,,,,,,,,,
Baker, Keating 21,Secretary of State,,,Total , 166,,,,,,,,,,,,,,
Baker, Pine Valley 22,Secretary of State,,,Total , 633,,,,,,,,,,,,,,
Baker, Poca-Wing 24,Secretary of State,,,Total , 801,,,,,,,,,,,,,,
Baker, Sumpter 25,Secretary of State,,,Total , 309,,,,,,,,,,,,,,
Baker, Unity 26,Secretary of State,,,Total , 94,,,,,,,,,,,,,,
Baker, Baker 1,U. S. House,2,Republican,Cliff Bentz, 641,,,,,,,,,,,,,,
Baker, Baker 2,U. S. House,2,Republican,Cliff Bentz, 626,,,,,,,,,,,,,,
Baker, Baker 3,U. S. House,2,Republican,Cliff Bentz, 704,,,,,,,,,,,,,,
Baker, Baker 4,U. S. House,2,Republican,Cliff Bentz, 823,,,,,,,,,,,,,,
Baker, Baker 5,U. S. House,2,Republican,Cliff Bentz, 960,,,,,,,,,,,,,,
Baker, Baker Country 13,U. S. House,2,Republican,Cliff Bentz, 604,,,,,,,,,,,,,,
Baker, Durkee 14,U. S. House,2,Republican,Cliff Bentz, 64,,,,,,,,,,,,,,
Baker, Eagle Valley 15,U. S. House,2,Republican,Cliff Bentz, 351,,,,,,,,,,,,,,
Baker, Haines 17,U. S. House,2,Republican,Cliff Bentz, 491,,,,,,,,,,,,,,
Baker, Hereford 18,U. S. House,2,Republican,Cliff Bentz, 70,,,,,,,,,,,,,,
Baker, Huntington 19,U. S. House,2,Republican,Cliff Bentz, 204,,,,,,,,,,,,,,
Baker, Irondyke 20,U. S. House,2,Republican,Cliff Bentz, 40,,,,,,,,,,,,,,
Baker, Keating 21,U. S. House,2,Republican,Cliff Bentz, 147,,,,,,,,,,,,,,
Baker, Pine Valley 22,U. S. House,2,Republican,Cliff Bentz, 475,,,,,,,,,,,,,,
Baker, Poca-Wing 24,U. S. House,2,Republican,Cliff Bentz, 611,,,,,,,,,,,,,,
Baker, Sumpter 25,U. S. House,2,Republican,Cliff Bentz, 253,,,,,,,,,,,,,,
Baker, Unity 26,U. S. House,2,Republican,Cliff Bentz, 73,,,,,,,,,,,,,,
Baker, Baker 1,U. S. House,2,Constitution,Michael Kurt Stettler, 39,,,,,,,,,,,,,,
Baker, Baker 2,U. S. House,2,Constitution,Michael Kurt Stettler, 37,,,,,,,,,,,,,,
Baker, Baker 3,U. S. House,2,Constitution,Michael Kurt Stettler, 38,,,,,,,,,,,,,,
Baker, Baker 4,U. S. House,2,Constitution,Michael Kurt Stettler, 68,,,,,,,,,,,,,,
Baker, Baker 5,U. S. House,2,Constitution,Michael Kurt Stettler, 47,,,,,,,,,,,,,,
Baker, Baker Country 13,U. S. House,2,Constitution,Michael Kurt Stettler, 23,,,,,,,,,,,,,,
Baker, Durkee 14,U. S. House,2,Constitution,Michael Kurt Stettler, 5,,,,,,,,,,,,,,
Baker, Eagle Valley 15,U. S. House,2,Constitution,Michael Kurt Stettler, 11,,,,,,,,,,,,,,
Baker, Haines 17,U. S. House,2,Constitution,Michael Kurt Stettler, 19,,,,,,,,,,,,,,
Baker, Hereford 18,U. S. House,2,Constitution,Michael Kurt Stettler, 4,,,,,,,,,,,,,,
Baker, Huntington 19,U. S. House,2,Constitution,Michael Kurt Stettler, 11,,,,,,,,,,,,,,
Baker, Irondyke 20,U. S. House,2,Constitution,Michael Kurt Stettler, 1,,,,,,,,,,,,,,
Baker, Keating 21,U. S. House,2,Constitution,Michael Kurt Stettler, 3,,,,,,,,,,,,,,
Baker, Pine Valley 22,U. S. House,2,Constitution,Michael Kurt Stettler, 17,,,,,,,,,,,,,,
Baker, Poca-Wing 24,U. S. House,2,Constitution,Michael Kurt Stettler, 17,,,,,,,,,,,,,,
Baker, Sumpter 25,U. S. House,2,Constitution,Michael Kurt Stettler, 12,,,,,,,,,,,,,,
Baker, Unity 26,U. S. House,2,Constitution,Michael Kurt Stettler, 6,,,,,,,,,,,,,,
Baker, Baker 1,U. S. House,2,Democrat,Dan Ruby, 211,,,,,,,,,,,,,,
Baker, Baker 2,U. S. House,2,Democrat,Dan Ruby, 255,,,,,,,,,,,,,,
Baker, Baker 3,U. S. House,2,Democrat,Dan Ruby, 262,,,,,,,,,,,,,,
Baker, Baker 4,U. S. House,2,Democrat,Dan Ruby, 240,,,,,,,,,,,,,,
Baker, Baker 5,U. S. House,2,Democrat,Dan Ruby, 231,,,,,,,,,,,,,,
Baker, Baker Country 13,U. S. House,2,Democrat,Dan Ruby, 90,,,,,,,,,,,,,,
Baker, Durkee 14,U. S. House,2,Democrat,Dan Ruby, 3,,,,,,,,,,,,,,
Baker, Eagle Valley 15,U. S. House,2,Democrat,Dan Ruby, 58,,,,,,,,,,,,,,
Baker, Haines 17,U. S. House,2,Democrat,Dan Ruby, 76,,,,,,,,,,,,,,
Baker, Hereford 18,U. S. House,2,Democrat,Dan Ruby, 2,,,,,,,,,,,,,,
Baker, Huntington 19,U. S. House,2,Democrat,Dan Ruby, 47,,,,,,,,,,,,,,
Baker, Irondyke 20,U. S. House,2,Democrat,Dan Ruby, 17,,,,,,,,,,,,,,
Baker, Keating 21,U. S. House,2,Democrat,Dan Ruby, 15,,,,,,,,,,,,,,
Baker, Pine Valley 22,U. S. House,2,Democrat,Dan Ruby, 154,,,,,,,,,,,,,,
Baker, Poca-Wing 24,U. S. House,2,Democrat,Dan Ruby, 174,,,,,,,,,,,,,,
Baker, Sumpter 25,U. S. House,2,Democrat,Dan Ruby, 48,,,,,,,,,,,,,,
Baker, Unity 26,U. S. House,2,Democrat,Dan Ruby, 15,,,,,,,,,,,,,,
Baker, Baker 1,U. S. House,2,,Write-In , 2,,,,,,,,,,,,,,
Baker, Baker 2,U. S. House,2,,Write-In , 3,,,,,,,,,,,,,,
Baker, Baker 3,U. S. House,2,,Write-In , 0,,,,,,,,,,,,,,
Baker, Baker 4,U. S. House,2,,Write-In , 0,,,,,,,,,,,,,,
Baker, Baker 5,U. S. House,2,,Write-In , 0,,,,,,,,,,,,,,
Baker, Baker Country 13,U. S. House,2,,Write-In , 1,,,,,,,,,,,,,,
Baker, Durkee 14,U. S. House,2,,Write-In , 0,,,,,,,,,,,,,,
Baker, Eagle Valley 15,U. S. House,2,,Write-In , 0,,,,,,,,,,,,,,
Baker, Haines 17,U. S. House,2,,Write-In , 1,,,,,,,,,,,,,,
Baker, Hereford 18,U. S. House,2,,Write-In , 0,,,,,,,,,,,,,,
Baker, Huntington 19,U. S. House,2,,Write-In , 1,,,,,,,,,,,,,,
Baker, Irondyke 20,U. S. House,2,,Write-In , 0,,,,,,,,,,,,,,
Baker, Keating 21,U. S. House,2,,Write-In , 0,,,,,,,,,,,,,,
Baker, Pine Valley 22,U. S. House,2,,Write-In , 0,,,,,,,,,,,,,,
Baker, Poca-Wing 24,U. S. House,2,,Write-In , 1,,,,,,,,,,,,,,
Baker, Sumpter 25,U. S. House,2,,Write-In , 1,,,,,,,,,,,,,,
Baker, Unity 26,U. S. House,2,,Write-In , 0,,,,,,,,,,,,,,
Baker, Baker 1,U. S. House,2,,Total , 893,,,,,,,,,,,,,,
Baker, Baker 2,U. S. House,2,,Total , 921,,,,,,,,,,,,,,
