county,candidate,party,office,district,votes,incumbent
Grant,"Ferrioli,Ted",REP,"State Senate,28TH DISTRICT",28,3240,TRUE
Grant,Other,OTH,"State Senate,28TH DISTRICT",28,8,FALSE
Hood River,"Cook,Vern",DEM,"State Senate,28TH DISTRICT",28,3580,FALSE
Hood River,"Ferrioli,Ted",REP,"State Senate,28TH DISTRICT",28,4343,TRUE
Hood River,Other,OTH,"State Senate,28TH DISTRICT",28,15,FALSE
Morrow,"Cook,Vern",DEM,"State Senate,28TH DISTRICT",28,495,FALSE
Morrow,"Ferrioli,Ted",REP,"State Senate,28TH DISTRICT",28,1133,TRUE
Morrow,Other,OTH,"State Senate,28TH DISTRICT",28,2,FALSE
Multnomah,"Cook,Vern",DEM,"State Senate,28TH DISTRICT",28,1496,FALSE
Multnomah,"Ferrioli,Ted",REP,"State Senate,28TH DISTRICT",28,1895,TRUE
Multnomah,Other,OTH,"State Senate,28TH DISTRICT",28,9,FALSE
Sherman,"Cook,Vern",DEM,"State Senate,28TH DISTRICT",28,314,FALSE
Sherman,"Ferrioli,Ted",REP,"State Senate,28TH DISTRICT",28,713,TRUE
Sherman,Other,OTH,"State Senate,28TH DISTRICT",28,0,FALSE
Wasco,"Cook,Vern",DEM,"State Senate,28TH DISTRICT",28,3611,FALSE
Wasco,"Ferrioli,Ted",REP,"State Senate,28TH DISTRICT",28,5360,TRUE
Wasco,Other,OTH,"State Senate,28TH DISTRICT",28,11,FALSE
Wheeler,"Cook,Vern",DEM,"State Senate,28TH DISTRICT",28,198,FALSE
Wheeler,"Ferrioli,Ted",REP,"State Senate,28TH DISTRICT",28,625,TRUE
Wheeler,Other,OTH,"State Senate,28TH DISTRICT",28,2,FALSE
Morrow,"Duncan,Bill George",DEM,"State Senate,29TH DISTRICT",29,651,FALSE
Morrow,"Nelson,David",REP,"State Senate,29TH DISTRICT",29,1110,TRUE
Morrow,Other,OTH,"State Senate,29TH DISTRICT",29,7,FALSE
Umatilla,"Duncan,Bill George",DEM,"State Senate,29TH DISTRICT",29,6003,FALSE
Umatilla,"Nelson,David",REP,"State Senate,29TH DISTRICT",29,15100,TRUE
Umatilla,Other,OTH,"State Senate,29TH DISTRICT",29,1,FALSE
Union,"Duncan,Bill George",DEM,"State Senate,29TH DISTRICT",29,3180,FALSE
Union,"Nelson,David",REP,"State Senate,29TH DISTRICT",29,7646,TRUE
Union,Other,OTH,"State Senate,29TH DISTRICT",29,48,FALSE
Wallowa,"Duncan,Bill George",DEM,"State Senate,29TH DISTRICT",29,767,FALSE
Wallowa,"Nelson,David",REP,"State Senate,29TH DISTRICT",29,3269,TRUE
Wallowa,Other,OTH,"State Senate,29TH DISTRICT",29,4,FALSE
Harney,"James,Debra M.",DEM,"State Senate,30TH DISTRICT",30,1042,FALSE
Harney,"Harper,Steve",REP,"State Senate,30TH DISTRICT",30,2438,TRUE
Harney,Other,OTH,"State Senate,30TH DISTRICT",30,11,FALSE
Klamath,"James,Debra M.",DEM,"State Senate,30TH DISTRICT",30,7153,FALSE
Klamath,"Harper,Steve",REP,"State Senate,30TH DISTRICT",30,17632,TRUE
Klamath,Other,OTH,"State Senate,30TH DISTRICT",30,51,FALSE
Lake,"James,Debra M.",DEM,"State Senate,30TH DISTRICT",30,1081,FALSE
Lake,"Harper,Steve",REP,"State Senate,30TH DISTRICT",30,2450,TRUE
Lake,Other,OTH,"State Senate,30TH DISTRICT",30,7,FALSE
Malheur,"James,Debra M.",DEM,"State Senate,30TH DISTRICT",30,2565,FALSE
Malheur,"Harper,Steve",REP,"State Senate,30TH DISTRICT",30,7306,TRUE
Malheur,Other,OTH,"State Senate,30TH DISTRICT",30,13,FALSE
Clatsop,"Ekstrom,Bob",CON,"State House,1ST DISTRICT",1,1402,FALSE
Clatsop,"Johnson,Elizabeth (Betsy)",DEM,"State House,1ST DISTRICT",1,3879,TRUE
Clatsop,"McDaniel,Don",LIB,"State House,1ST DISTRICT",1,483,FALSE
Clatsop,Other,OTH,"State House,1ST DISTRICT",1,14,FALSE
Columbia,"Ekstrom,Bob",CON,"State House,1ST DISTRICT",1,5966,FALSE
Columbia,"Johnson,Elizabeth (Betsy)",DEM,"State House,1ST DISTRICT",1,10813,TRUE
Columbia,"McDaniel,Don",LIB,"State House,1ST DISTRICT",1,1105,FALSE
Columbia,Other,OTH,"State House,1ST DISTRICT",1,53,FALSE
Clatsop,"Waldron,Diane",REP,"State House,2ND DISTRICT",2,3864,FALSE
Clatsop,"Hopson,Elaine M.",DEM,"State House,2ND DISTRICT",2,5672,TRUE
Clatsop,Other,OTH,"State House,2ND DISTRICT",2,46,FALSE
Columbia,"Waldron,Diane",REP,"State House,2ND DISTRICT",2,987,FALSE
Columbia,"Hopson,Elaine M.",DEM,"State House,2ND DISTRICT",2,965,TRUE
Columbia,Other,OTH,"State House,2ND DISTRICT",2,15,FALSE
Tillamook,"Waldron,Diane",REP,"State House,2ND DISTRICT",2,4490,FALSE
Tillamook,"Hopson,Elaine M.",DEM,"State House,2ND DISTRICT",2,6716,TRUE
Tillamook,Other,OTH,"State House,2ND DISTRICT",2,110,FALSE
Washington,"Waldron,Diane",REP,"State House,2ND DISTRICT",2,706,FALSE
Washington,"Hopson,Elaine M.",DEM,"State House,2ND DISTRICT",2,596,TRUE
Washington,Other,OTH,"State House,2ND DISTRICT",2,1,FALSE
Washington,"Lamb- Mullin,Cathy",DEM,"State House,3RD DISTRICT",3,10418,FALSE
Washington,"Hintz,David",LIB,"State House,3RD DISTRICT",3,1050,FALSE
Washington,"Starr,Bruce",REP,"State House,3RD DISTRICT",3,14810,TRUE
Washington,Other,OTH,"State House,3RD DISTRICT",3,1,FALSE
Lane,"Brown,Alan",REP,"State House,4TH DISTRICT",4,383,TRUE
Lane,"Branstiter,Sharon",DEM,"State House,4TH DISTRICT",4,358,FALSE
Lane,Other,OTH,"State House,4TH DISTRICT",4,0,FALSE
Lincoln,"Brown,Alan",REP,"State House,4TH DISTRICT",4,10404,TRUE
Lincoln,"Branstiter,Sharon",DEM,"State House,4TH DISTRICT",4,10050,FALSE
Lincoln,Other,OTH,"State House,4TH DISTRICT",4,61,FALSE
Polk,"Brown,Alan",REP,"State House,4TH DISTRICT",4,181,TRUE
Polk,"Branstiter,Sharon",DEM,"State House,4TH DISTRICT",4,188,FALSE
Polk,Other,OTH,"State House,4TH DISTRICT",4,0,FALSE
Tillamook,"Brown,Alan",REP,"State House,4TH DISTRICT",4,193,TRUE
Tillamook,"Branstiter,Sharon",DEM,"State House,4TH DISTRICT",4,195,FALSE
Tillamook,Other,OTH,"State House,4TH DISTRICT",4,0,FALSE
Yamhill,"Brown,Alan",REP,"State House,4TH DISTRICT",4,1487,TRUE
Yamhill,"Branstiter,Sharon",DEM,"State House,4TH DISTRICT",4,1013,FALSE
Yamhill,Other,OTH,"State House,4TH DISTRICT",4,15,FALSE
Washington,"Draznin,James",DEM,"State House,5TH DISTRICT",5,9241,FALSE
Washington,"Hill,Jim",REP,"State House,5TH DISTRICT",5,9671,TRUE
Washington,Other,OTH,"State House,5TH DISTRICT",5,4,FALSE
Washington,"Ringo,Charlie",DEM,"State House,6TH DISTRICT",6,10733,TRUE
Washington,"Scruggs,John",REP,"State House,6TH DISTRICT",6,9327,FALSE
Washington,"Schaumleffle,Kevin C.",LIB,"State House,6TH DISTRICT",6,925,FALSE
Washington,Other,OTH,"State House,6TH DISTRICT",6,0,FALSE
Columbia,"Witt,Bill",REP,"State House,7TH DISTRICT",7,16,TRUE
Columbia,"Greenlick,Mitch",DEM,"State House,7TH DISTRICT",7,13,FALSE
Columbia,Other,OTH,"State House,7TH DISTRICT",7,0,FALSE
Multnomah,"Witt,Bill",REP,"State House,7TH DISTRICT",7,2258,TRUE
Multnomah,"Greenlick,Mitch",DEM,"State House,7TH DISTRICT",7,2924,FALSE
Multnomah,Other,OTH,"State House,7TH DISTRICT",7,12,FALSE
Washington,"Witt,Bill",REP,"State House,7TH DISTRICT",7,14397,TRUE
Washington,"Greenlick,Mitch",DEM,"State House,7TH DISTRICT",7,13212,FALSE
Washington,Other,OTH,"State House,7TH DISTRICT",7,7,FALSE
Washington,"Michaels,Lisa",REP,"State House,8TH DISTRICT",8,8114,FALSE
Washington,"Hass,Mark",DEM,"State House,8TH DISTRICT",8,14476,TRUE
Washington,Other,OTH,"State House,8TH DISTRICT",8,3,FALSE
Washington,"Williams,Max",REP,"State House,9TH DISTRICT",9,19112,TRUE
Washington,"Velji,Raman",DEM,"State House,9TH DISTRICT",9,7933,FALSE
Washington,Other,OTH,"State House,9TH DISTRICT",9,3,FALSE
Clackamas,"Lee,Jan",REP,"State House,10TH DISTRICT",10,12592,TRUE
Clackamas,"Smith,Mike",DEM,"State House,10TH DISTRICT",10,11790,FALSE
Clackamas,Other,OTH,"State House,10TH DISTRICT",10,8,FALSE
Multnomah,"Lee,Jan",REP,"State House,10TH DISTRICT",10,1554,TRUE
Multnomah,"Smith,Mike",DEM,"State House,10TH DISTRICT",10,1768,FALSE
Multnomah,Other,OTH,"State House,10TH DISTRICT",10,10,FALSE
Multnomah,"Nolan,Mary",DEM,"State House,11TH DISTRICT",11,18008,TRUE
Multnomah,"Gardner,Joan",REP,"State House,11TH DISTRICT",11,7752,FALSE
Multnomah,Other,OTH,"State House,11TH DISTRICT",11,102,FALSE
Multnomah,"Beck,Chris",DEM,"State House,12TH DISTRICT",12,18066,TRUE
Multnomah,"Tabor,H. Joe",LIB,"State House,12TH DISTRICT",12,1320,FALSE
Multnomah,"Schoel,Jeanne",REP,"State House,12TH DISTRICT",12,5383,FALSE
Multnomah,Other,OTH,"State House,12TH DISTRICT",12,97,FALSE
Multnomah,"Gardner,Dan",DEM,"State House,13TH DISTRICT",13,15434,TRUE
Multnomah,Other,OTH,"State House,13TH DISTRICT",13,684,FALSE
Multnomah,"McEnroe,John",LIB,"State House,14TH DISTRICT",14,2747,FALSE
Multnomah,"Rosenbaum,Diane",DEM,"State House,14TH DISTRICT",14,19531,TRUE
Multnomah,Other,OTH,"State House,14TH DISTRICT",14,200,FALSE
Multnomah,"March,Steve",DEM,"State House,15TH DISTRICT",15,14932,TRUE
Multnomah,"Lutz,Scott",REP,"State House,15TH DISTRICT",15,5058,FALSE
Multnomah,Other,OTH,"State House,15TH DISTRICT",15,128,FALSE
Multnomah,"Merkley,Jeff",DEM,"State House,16TH DISTRICT",16,14084,TRUE
Multnomah,"Tillemans,David",PAC,"State House,16TH DISTRICT",16,2774,FALSE
Multnomah,Other,OTH,"State House,16TH DISTRICT",16,367,FALSE
Multnomah,"Hansen,Gary D.",DEM,"State House,17TH DISTRICT",17,14859,TRUE
Multnomah,"Albright,Thomas W.",SOC,"State House,17TH DISTRICT",17,1933,FALSE
Multnomah,Other,OTH,"State House,17TH DISTRICT",17,350,FALSE
Multnomah,"Kafoury,Deborah",DEM,"State House,18TH DISTRICT",18,15748,TRUE
Multnomah,"Stull,Barry Joe",PAC,"State House,18TH DISTRICT",18,2250,FALSE
Multnomah,"Shipman,Roger",CON,"State House,18TH DISTRICT",18,640,FALSE
Multnomah,"Guillebeau,Victoria P.",SOC,"State House,18TH DISTRICT",18,597,FALSE
Multnomah,Other,OTH,"State House,18TH DISTRICT",18,123,FALSE
Multnomah,"Bowman,Jo Ann A.",DEM,"State House,19TH DISTRICT",19,18506,TRUE
Multnomah,"Bitans,Ivars",REP,"State House,19TH DISTRICT",19,4281,FALSE
Multnomah,Other,OTH,"State House,19TH DISTRICT",19,100,FALSE
Multnomah,"Minnis,Karen",REP,"State House,20TH DISTRICT",20,12666,TRUE
Multnomah,"Weatherby,Mike",DEM,"State House,20TH DISTRICT",20,9822,FALSE
Multnomah,Other,OTH,"State House,20TH DISTRICT",20,93,FALSE
Multnomah,"Leonard,Randy",DEM,"State House,21ST DISTRICT",21,11300,TRUE
Multnomah,Other,OTH,"State House,21ST DISTRICT",21,687,FALSE
Multnomah,"Golobay,Edwin",REP,"State House,22ND DISTRICT",22,11493,FALSE
Multnomah,"Anderson,Laurie Monnes",DEM,"State House,22ND DISTRICT",22,13100,TRUE
Multnomah,Other,OTH,"State House,22ND DISTRICT",22,77,FALSE
Clackamas,"Wallace,Marvin",CON,"State House,23RD DISTRICT",23,4754,FALSE
Clackamas,"Schrader,Kurt",DEM,"State House,23RD DISTRICT",23,15732,TRUE
Clackamas,Other,OTH,"State House,23RD DISTRICT",23,3,FALSE
Clackamas,"Devlin,Richard",DEM,"State House,24TH DISTRICT",24,11885,TRUE
Clackamas,"Hansen,Jim",REP,"State House,24TH DISTRICT",24,9536,FALSE
Clackamas,Other,OTH,"State House,24TH DISTRICT",24,2,FALSE
Washington,"Devlin,Richard",DEM,"State House,24TH DISTRICT",24,2297,TRUE
Washington,"Hansen,Jim",REP,"State House,24TH DISTRICT",24,1915,FALSE
Washington,Other,OTH,"State House,24TH DISTRICT",24,0,FALSE
Clackamas,"Jones,Dick",REP,"State House,25TH DISTRICT",25,8675,FALSE
Clackamas,"Tomei,Carolyn",DEM,"State House,25TH DISTRICT",25,12241,TRUE
Clackamas,Other,OTH,"State House,25TH DISTRICT",25,2,FALSE
Clackamas,"Lowe,Kathy",DEM,"State House,26TH DISTRICT",26,14550,TRUE
Clackamas,"Ritter,Almon S.",REP,"State House,26TH DISTRICT",26,7674,FALSE
Clackamas,Other,OTH,"State House,26TH DISTRICT",26,3,FALSE
Clackamas,"Krummel,Jerry",REP,"State House,27TH DISTRICT",27,10823,TRUE
Clackamas,"Thorn,Jill",DEM,"State House,27TH DISTRICT",27,8067,FALSE
Clackamas,Other,OTH,"State House,27TH DISTRICT",27,16,FALSE
Washington,"Krummel,Jerry",REP,"State House,27TH DISTRICT",27,7882,TRUE
Washington,"Thorn,Jill",DEM,"State House,27TH DISTRICT",27,5915,FALSE
Washington,Other,OTH,"State House,27TH DISTRICT",27,4,FALSE
Clackamas,"Clarke,Mike A.",DEM,"State House,28TH DISTRICT",28,4089,FALSE
Clackamas,"Smith,Tootie",REP,"State House,28TH DISTRICT",28,5517,TRUE
Clackamas,Other,OTH,"State House,28TH DISTRICT",28,1,FALSE
Linn,"Clarke,Mike A.",DEM,"State House,28TH DISTRICT",28,902,FALSE
Linn,"Smith,Tootie",REP,"State House,28TH DISTRICT",28,1587,TRUE
Linn,Other,OTH,"State House,28TH DISTRICT",28,0,FALSE
Marion,"Clarke,Mike A.",DEM,"State House,28TH DISTRICT",28,3975,FALSE
Marion,"Smith,Tootie",REP,"State House,28TH DISTRICT",28,6244,TRUE
Marion,Other,OTH,"State House,28TH DISTRICT",28,33,FALSE
Yamhill,"Nelson,Donna G.",REP,"State House,29TH DISTRICT",29,13782,TRUE
Yamhill,"Nelson,Frank G.",DEM,"State House,29TH DISTRICT",29,11193,FALSE
Yamhill,Other,OTH,"State House,29TH DISTRICT",29,137,FALSE
Marion,"Doyle,Dan",REP,"State House,30TH DISTRICT",30,16062,TRUE
Marion,"McCormick,Colby",DEM,"State House,30TH DISTRICT",30,9274,FALSE
Marion,Other,OTH,"State House,30TH DISTRICT",30,109,FALSE
Marion,"Kumley,Lloyd",DEM,"State House,31ST DISTRICT",31,6979,FALSE
Marion,"Winters,Jackie",REP,"State House,31ST DISTRICT",31,11071,TRUE
Marion,Other,OTH,"State House,31ST DISTRICT",31,52,FALSE
Polk,"Kumley,Lloyd",DEM,"State House,31ST DISTRICT",31,3041,FALSE
Polk,"Winters,Jackie",REP,"State House,31ST DISTRICT",31,6092,TRUE
Polk,Other,OTH,"State House,31ST DISTRICT",31,6,FALSE
Marion,"Bell,George",DEM,"State House,32ND DISTRICT",32,9384,FALSE
Marion,"Carlson,Janet",REP,"State House,32ND DISTRICT",32,9564,TRUE
Marion,Other,OTH,"State House,32ND DISTRICT",32,48,FALSE
Marion,"Backlund,Vic",REP,"State House,33RD DISTRICT",33,17269,TRUE
Marion,Other,OTH,"State House,33RD DISTRICT",33,652,FALSE
Benton,"Barrie,J. T.",LIB,"State House,34TH DISTRICT",34,225,FALSE
Benton,"Walker,Steve",CON,"State House,34TH DISTRICT",34,252,FALSE
Benton,"Slizeski,Marilyn L.",DEM,"State House,34TH DISTRICT",34,3345,FALSE
Benton,"Shetterly,Lane",REP,"State House,34TH DISTRICT",34,4488,TRUE
Benton,Other,OTH,"State House,34TH DISTRICT",34,18,FALSE
Polk,"Barrie,J. T.",LIB,"State House,34TH DISTRICT",34,254,FALSE
Polk,"Walker,Steve",CON,"State House,34TH DISTRICT",34,1049,FALSE
Polk,"Slizeski,Marilyn L.",DEM,"State House,34TH DISTRICT",34,4162,FALSE
Polk,"Shetterly,Lane",REP,"State House,34TH DISTRICT",34,10090,TRUE
Polk,Other,OTH,"State House,34TH DISTRICT",34,7,FALSE
Benton,"Ringold,Debra",REP,"State House,35TH DISTRICT",35,9174,FALSE
Benton,"Wirth,Kelley",DEM,"State House,35TH DISTRICT",35,12958,TRUE
Benton,Other,OTH,"State House,35TH DISTRICT",35,67,FALSE
Benton,"Donovan,John",DEM,"State House,36TH DISTRICT",36,2378,FALSE
Benton,"Close,Betsy L.",REP,"State House,36TH DISTRICT",36,3307,TRUE
Benton,Other,OTH,"State House,36TH DISTRICT",36,13,FALSE
Linn,"Donovan,John",DEM,"State House,36TH DISTRICT",36,7983,FALSE
Linn,"Close,Betsy L.",REP,"State House,36TH DISTRICT",36,9899,TRUE
Linn,Other,OTH,"State House,36TH DISTRICT",36,0,FALSE
Linn,"Kropf,Jeff",REP,"State House,37TH DISTRICT",37,14865,TRUE
Linn,"Workman,Lori",DEM,"State House,37TH DISTRICT",37,6768,FALSE
Linn,Other,OTH,"State House,37TH DISTRICT",37,3,FALSE
Marion,"Zauner,Cliff",REP,"State House,38TH DISTRICT",38,7854,TRUE
Marion,"Fletcher,Irv",DEM,"State House,38TH DISTRICT",38,5460,FALSE
Marion,Other,OTH,"State House,38TH DISTRICT",38,35,FALSE
Yamhill,"Zauner,Cliff",REP,"State House,38TH DISTRICT",38,3152,TRUE
Yamhill,"Fletcher,Irv",DEM,"State House,38TH DISTRICT",38,2561,FALSE
Yamhill,Other,OTH,"State House,38TH DISTRICT",38,26,FALSE
Lane,"Bevans,Christopher D.",REP,"State House,39TH DISTRICT",39,9854,FALSE
Lane,"Ackerman,Robert L.",DEM,"State House,39TH DISTRICT",39,13930,TRUE
Lane,Other,OTH,"State House,39TH DISTRICT",39,2,FALSE
Lane,"Barnhart,Phil",DEM,"State House,40TH DISTRICT",40,17806,TRUE
Lane,"Young,William D",REP,"State House,40TH DISTRICT",40,5827,FALSE
Lane,"Sorg,Karl G.",SOC,"State House,40TH DISTRICT",40,1155,FALSE
Lane,Other,OTH,"State House,40TH DISTRICT",40,9,FALSE
Lane,"Miller,Jeff R.",REP,"State House,41ST DISTRICT",41,12190,FALSE
Lane,"Walker,Vicki L.",DEM,"State House,41ST DISTRICT",41,13827,TRUE
Lane,Other,OTH,"State House,41ST DISTRICT",41,7,FALSE
Lane,"Morrisette,Bill",DEM,"State House,42ND DISTRICT",42,15295,TRUE
Lane,Other,OTH,"State House,42ND DISTRICT",42,53,FALSE
Douglas,"Johnson,Francisca",DEM,"State House,43RD DISTRICT",43,2023,FALSE
Douglas,"Hayden,Cedric",REP,"State House,43RD DISTRICT",43,4355,TRUE
Douglas,Other,OTH,"State House,43RD DISTRICT",43,21,FALSE
Lane,"Johnson,Francisca",DEM,"State House,43RD DISTRICT",43,7807,FALSE
Lane,"Hayden,Cedric",REP,"State House,43RD DISTRICT",43,9385,TRUE
Lane,Other,OTH,"State House,43RD DISTRICT",43,5,FALSE
Lane,"Kemp,Ed",REP,"State House,44TH DISTRICT",44,10889,FALSE
