county,precinct,office,district,party,candidate,votes,Percent
Benton,PRECINCT 089,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 089,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 089,President,,DEM,AL GORE/LIEBERMAN,156,56.12%
Benton,PRECINCT 089,President,,,Write-ins,4,1.44%
Benton,PRECINCT 089,President,,,Total,277,
Benton,PRECINCT 089,President,,,Under Votes,1,0.36%
Benton,PRECINCT 089,President,,,Over Votes,0,0.00%
Benton,PRECINCT 089,President,,,Total Votes Cast,278,
Benton,PRECINCT 091,President,,LIB,HARRY BROWNE/OLIVIER,0,0.00%
Benton,PRECINCT 091,President,,IND,PATRICK J. BUCHANAN/FOSTER,0,0.00%
Benton,PRECINCT 091,President,,REP,GEORGE W. BUSH/CHENEY,15,40.54%
Benton,PRECINCT 091,President,,PG,RALPH NADER/LADUKE,2,5.41%
Benton,PRECINCT 091,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 091,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 091,President,,DEM,AL GORE/LIEBERMAN,20,54.05%
Benton,PRECINCT 091,President,,,Write-ins,0,0.00%
Benton,PRECINCT 091,President,,,Total,37,
Benton,PRECINCT 091,President,,,Under Votes,0,0.00%
Benton,PRECINCT 091,President,,,Over Votes,0,0.00%
Benton,PRECINCT 091,President,,,Total Votes Cast,37,
Benton,PRECINCT 092,President,,LIB,HARRY BROWNE/OLIVIER,3,0.25%
Benton,PRECINCT 092,President,,IND,PATRICK J. BUCHANAN/FOSTER,2,0.17%
Benton,PRECINCT 092,President,,REP,GEORGE W. BUSH/CHENEY,521,43.13%
Benton,PRECINCT 092,President,,PG,RALPH NADER/LADUKE,71,5.88%
Benton,PRECINCT 092,President,,REF,JOHN HAGELIN/GOLDHABER,2,0.17%
Benton,PRECINCT 092,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 092,President,,DEM,AL GORE/LIEBERMAN,591,48.92%
Benton,PRECINCT 092,President,,,Write-ins,1,0.08%
Benton,PRECINCT 092,President,,,Total,"1,191",
Benton,PRECINCT 092,President,,,Under Votes,9,0.75%
Benton,PRECINCT 092,President,,,Over Votes,8,0.66%
Benton,PRECINCT 092,President,,,Total Votes Cast,"1,208",
Benton,PRECINCT 093,President,,LIB,HARRY BROWNE/OLIVIER,2,0.54%
Benton,PRECINCT 093,President,,IND,PATRICK J. BUCHANAN/FOSTER,0,0.00%
Benton,PRECINCT 093,President,,REP,GEORGE W. BUSH/CHENEY,162,43.78%
Benton,PRECINCT 093,President,,PG,RALPH NADER/LADUKE,15,4.05%
Benton,PRECINCT 093,President,,REF,JOHN HAGELIN/GOLDHABER,2,0.54%
Benton,PRECINCT 093,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 093,President,,DEM,AL GORE/LIEBERMAN,188,50.81%
Benton,PRECINCT 093,President,,,Write-ins,0,0.00%
Benton,PRECINCT 093,President,,,Total,369,
Benton,PRECINCT 093,President,,,Under Votes,1,0.27%
Benton,PRECINCT 093,President,,,Over Votes,0,0.00%
Benton,PRECINCT 093,President,,,Total Votes Cast,370,
Benton,PRECINCT 094,President,,LIB,HARRY BROWNE/OLIVIER,2,0.20%
Benton,PRECINCT 094,President,,IND,PATRICK J. BUCHANAN/FOSTER,0,0.00%
Benton,PRECINCT 094,President,,REP,GEORGE W. BUSH/CHENEY,409,41.44%
Benton,PRECINCT 094,President,,PG,RALPH NADER/LADUKE,49,4.96%
Benton,PRECINCT 094,President,,REF,JOHN HAGELIN/GOLDHABER,4,0.41%
Benton,PRECINCT 094,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 094,President,,DEM,AL GORE/LIEBERMAN,518,52.48%
Benton,PRECINCT 094,President,,,Write-ins,3,0.30%
Benton,PRECINCT 094,President,,,Total,985,
Benton,PRECINCT 094,President,,,Under Votes,1,0.10%
Benton,PRECINCT 094,President,,,Over Votes,1,0.10%
Benton,PRECINCT 094,President,,,Total Votes Cast,987,
Benton,PRECINCT 095,President,,LIB,HARRY BROWNE/OLIVIER,0,0.00%
Benton,PRECINCT 095,President,,IND,PATRICK J. BUCHANAN/FOSTER,0,0.00%
Benton,PRECINCT 095,President,,REP,GEORGE W. BUSH/CHENEY,4,57.14%
Benton,PRECINCT 095,President,,PG,RALPH NADER/LADUKE,0,0.00%
Benton,PRECINCT 095,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 095,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 095,President,,DEM,AL GORE/LIEBERMAN,3,42.86%
Benton,PRECINCT 095,President,,,Write-ins,0,0.00%
Benton,PRECINCT 095,President,,,Total,7,
Benton,PRECINCT 095,President,,,Under Votes,0,0.00%
Benton,PRECINCT 095,President,,,Over Votes,0,0.00%
Benton,PRECINCT 095,President,,,Total Votes Cast,7,
Benton,PRECINCT 096,President,,LIB,HARRY BROWNE/OLIVIER,1,0.16%
Benton,PRECINCT 096,President,,IND,PATRICK J. BUCHANAN/FOSTER,0,0.00%
Benton,PRECINCT 096,President,,REP,GEORGE W. BUSH/CHENEY,234,38.05%
Benton,PRECINCT 096,President,,PG,RALPH NADER/LADUKE,32,5.20%
Benton,PRECINCT 096,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 096,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 096,President,,DEM,AL GORE/LIEBERMAN,345,56.10%
Benton,PRECINCT 096,President,,,Write-ins,2,0.33%
Benton,PRECINCT 096,President,,,Total,614,
Benton,PRECINCT 096,President,,,Under Votes,1,0.16%
Benton,PRECINCT 096,President,,,Over Votes,0,0.00%
Benton,PRECINCT 096,President,,,Total Votes Cast,615,
Benton,PRECINCT 097,President,,LIB,HARRY BROWNE/OLIVIER,4,0.60%
Benton,PRECINCT 097,President,,IND,PATRICK J. BUCHANAN/FOSTER,0,0.00%
Benton,PRECINCT 097,President,,REP,GEORGE W. BUSH/CHENEY,278,41.43%
Benton,PRECINCT 097,President,,PG,RALPH NADER/LADUKE,32,4.77%
Benton,PRECINCT 097,President,,REF,JOHN HAGELIN/GOLDHABER,1,0.15%
Benton,PRECINCT 097,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 097,President,,DEM,AL GORE/LIEBERMAN,351,52.31%
Benton,PRECINCT 097,President,,,Write-ins,0,0.00%
Benton,PRECINCT 097,President,,,Total,666,
Benton,PRECINCT 097,President,,,Under Votes,5,0.75%
Benton,PRECINCT 097,President,,,Over Votes,0,0.00%
Benton,PRECINCT 097,President,,,Total Votes Cast,671,
Benton,PRECINCT 098,President,,LIB,HARRY BROWNE/OLIVIER,4,1.10%
Benton,PRECINCT 098,President,,IND,PATRICK J. BUCHANAN/FOSTER,2,0.55%
Benton,PRECINCT 098,President,,REP,GEORGE W. BUSH/CHENEY,133,36.74%
Benton,PRECINCT 098,President,,PG,RALPH NADER/LADUKE,16,4.42%
Benton,PRECINCT 098,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 098,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 098,President,,DEM,AL GORE/LIEBERMAN,205,56.63%
Benton,PRECINCT 098,President,,,Write-ins,1,0.28%
Benton,PRECINCT 098,President,,,Total,361,
Benton,PRECINCT 098,President,,,Under Votes,0,0.00%
Benton,PRECINCT 098,President,,,Over Votes,1,0.28%
Benton,PRECINCT 098,President,,,Total Votes Cast,362,
Benton,PRECINCT 099,President,,LIB,HARRY BROWNE/OLIVIER,4,0.79%
Benton,PRECINCT 099,President,,IND,PATRICK J. BUCHANAN/FOSTER,6,1.18%
Benton,PRECINCT 099,President,,REP,GEORGE W. BUSH/CHENEY,169,33.20%
Benton,PRECINCT 099,President,,PG,RALPH NADER/LADUKE,39,7.66%
Benton,PRECINCT 099,President,,REF,JOHN HAGELIN/GOLDHABER,2,0.39%
Benton,PRECINCT 099,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 099,President,,DEM,AL GORE/LIEBERMAN,279,54.81%
Benton,PRECINCT 099,President,,,Write-ins,1,0.20%
Benton,PRECINCT 099,President,,,Total,500,
Benton,PRECINCT 099,President,,,Under Votes,5,0.98%
Benton,PRECINCT 099,President,,,Over Votes,4,0.79%
Benton,PRECINCT 099,President,,,Total Votes Cast,509,
Benton,PRECINCT 100,President,,LIB,HARRY BROWNE/OLIVIER,4,0.57%
Benton,PRECINCT 100,President,,IND,PATRICK J. BUCHANAN/FOSTER,0,0.00%
Benton,PRECINCT 100,President,,REP,GEORGE W. BUSH/CHENEY,198,28.25%
Benton,PRECINCT 100,President,,PG,RALPH NADER/LADUKE,78,11.13%
Benton,PRECINCT 100,President,,REF,JOHN HAGELIN/GOLDHABER,2,0.29%
Benton,PRECINCT 100,President,,CON,HOWARD PHILLIPS/FRAZIER,1,0.14%
Benton,PRECINCT 100,President,,DEM,AL GORE/LIEBERMAN,414,59.06%
Benton,PRECINCT 100,President,,,Write-ins,2,0.29%
Benton,PRECINCT 100,President,,,Total,699,
Benton,PRECINCT 100,President,,,Under Votes,2,0.29%
Benton,PRECINCT 100,President,,,Over Votes,0,0.00%
Benton,PRECINCT 100,President,,,Total Votes Cast,701,
Benton,PRECINCT 101,President,,LIB,HARRY BROWNE/OLIVIER,3,0.43%
Benton,PRECINCT 101,President,,IND,PATRICK J. BUCHANAN/FOSTER,2,0.29%
Benton,PRECINCT 101,President,,REP,GEORGE W. BUSH/CHENEY,225,32.51%
Benton,PRECINCT 101,President,,PG,RALPH NADER/LADUKE,80,11.56%
Benton,PRECINCT 101,President,,REF,JOHN HAGELIN/GOLDHABER,2,0.29%
Benton,PRECINCT 101,President,,CON,HOWARD PHILLIPS/FRAZIER,1,0.14%
Benton,PRECINCT 101,President,,DEM,AL GORE/LIEBERMAN,368,53.18%
Benton,PRECINCT 101,President,,,Write-ins,6,0.87%
Benton,PRECINCT 101,President,,,Total,687,
Benton,PRECINCT 101,President,,,Under Votes,3,0.43%
Benton,PRECINCT 101,President,,,Over Votes,2,0.29%
Benton,PRECINCT 101,President,,,Total Votes Cast,692,
Benton,PRECINCT 102,President,,LIB,HARRY BROWNE/OLIVIER,0,0.00%
Benton,PRECINCT 102,President,,IND,PATRICK J. BUCHANAN/FOSTER,1,2.94%
Benton,PRECINCT 102,President,,REP,GEORGE W. BUSH/CHENEY,5,14.71%
Benton,PRECINCT 102,President,,PG,RALPH NADER/LADUKE,2,5.88%
Benton,PRECINCT 102,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 102,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 102,President,,DEM,AL GORE/LIEBERMAN,26,76.47%
Benton,PRECINCT 102,President,,,Write-ins,0,0.00%
Benton,PRECINCT 102,President,,,Total,34,
Benton,PRECINCT 102,President,,,Under Votes,0,0.00%
Benton,PRECINCT 102,President,,,Over Votes,0,0.00%
Benton,PRECINCT 102,President,,,Total Votes Cast,34,
Benton,PRECINCT 103,President,,LIB,HARRY BROWNE/OLIVIER,0,0.00%
Benton,PRECINCT 103,President,,IND,PATRICK J. BUCHANAN/FOSTER,2,1.83%
Benton,PRECINCT 103,President,,REP,GEORGE W. BUSH/CHENEY,32,29.36%
Benton,PRECINCT 103,President,,PG,RALPH NADER/LADUKE,10,9.17%
Benton,PRECINCT 103,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 103,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 103,President,,DEM,AL GORE/LIEBERMAN,63,57.80%
Benton,PRECINCT 103,President,,,Write-ins,0,0.00%
Benton,PRECINCT 103,President,,,Total,107,
Benton,PRECINCT 103,President,,,Under Votes,2,1.83%
Benton,PRECINCT 103,President,,,Over Votes,0,0.00%
Benton,PRECINCT 103,President,,,Total Votes Cast,109,
Benton,PRECINCT 104,President,,LIB,HARRY BROWNE/OLIVIER,2,0.94%
Benton,PRECINCT 104,President,,IND,PATRICK J. BUCHANAN/FOSTER,0,0.00%
Benton,PRECINCT 104,President,,REP,GEORGE W. BUSH/CHENEY,46,21.60%
Benton,PRECINCT 104,President,,PG,RALPH NADER/LADUKE,32,15.02%
Benton,PRECINCT 104,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 104,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 104,President,,DEM,AL GORE/LIEBERMAN,131,61.50%
Benton,PRECINCT 104,President,,,Write-ins,2,0.94%
Benton,PRECINCT 104,President,,,Total,213,
Benton,PRECINCT 104,President,,,Under Votes,0,0.00%
Benton,PRECINCT 104,President,,,Over Votes,0,0.00%
Benton,PRECINCT 104,President,,,Total Votes Cast,213,
Benton,PRECINCT 105,President,,LIB,HARRY BROWNE/OLIVIER,4,0.91%
Benton,PRECINCT 105,President,,IND,PATRICK J. BUCHANAN/FOSTER,3,0.68%
Benton,PRECINCT 105,President,,REP,GEORGE W. BUSH/CHENEY,121,27.63%
Benton,PRECINCT 105,President,,PG,RALPH NADER/LADUKE,56,12.79%
Benton,PRECINCT 105,President,,REF,JOHN HAGELIN/GOLDHABER,2,0.46%
Benton,PRECINCT 105,President,,CON,HOWARD PHILLIPS/FRAZIER,1,0.23%
Benton,PRECINCT 105,President,,DEM,AL GORE/LIEBERMAN,247,56.39%
Benton,PRECINCT 105,President,,,Write-ins,0,0.00%
Benton,PRECINCT 105,President,,,Total,434,
Benton,PRECINCT 105,President,,,Under Votes,2,0.46%
Benton,PRECINCT 105,President,,,Over Votes,2,0.46%
Benton,PRECINCT 105,President,,,Total Votes Cast,438,
Benton,PRECINCT 106,President,,LIB,HARRY BROWNE/OLIVIER,2,0.94%
Benton,PRECINCT 106,President,,IND,PATRICK J. BUCHANAN/FOSTER,2,0.94%
Benton,PRECINCT 106,President,,REP,GEORGE W. BUSH/CHENEY,52,24.41%
Benton,PRECINCT 106,President,,PG,RALPH NADER/LADUKE,21,9.86%
Benton,PRECINCT 106,President,,REF,JOHN HAGELIN/GOLDHABER,1,0.47%
Benton,PRECINCT 106,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 106,President,,DEM,AL GORE/LIEBERMAN,132,61.97%
Benton,PRECINCT 106,President,,,Write-ins,1,0.47%
Benton,PRECINCT 106,President,,,Total,211,
Benton,PRECINCT 106,President,,,Under Votes,2,0.94%
Benton,PRECINCT 106,President,,,Over Votes,0,0.00%
Benton,PRECINCT 106,President,,,Total Votes Cast,213,
Benton,PRECINCT 107,President,,LIB,HARRY BROWNE/OLIVIER,6,0.93%
Benton,PRECINCT 107,President,,IND,PATRICK J. BUCHANAN/FOSTER,1,0.16%
Benton,PRECINCT 107,President,,REP,GEORGE W. BUSH/CHENEY,114,17.76%
Benton,PRECINCT 107,President,,PG,RALPH NADER/LADUKE,95,14.80%
Benton,PRECINCT 107,President,,REF,JOHN HAGELIN/GOLDHABER,1,0.16%
Benton,PRECINCT 107,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 107,President,,DEM,AL GORE/LIEBERMAN,416,64.80%
Benton,PRECINCT 107,President,,,Write-ins,3,0.47%
Benton,PRECINCT 107,President,,,Total,636,
Benton,PRECINCT 107,President,,,Under Votes,3,0.47%
Benton,PRECINCT 107,President,,,Over Votes,3,0.47%
Benton,PRECINCT 107,President,,,Total Votes Cast,642,
Benton,PRECINCT 108,President,,LIB,HARRY BROWNE/OLIVIER,1,0.19%
Benton,PRECINCT 108,President,,IND,PATRICK J. BUCHANAN/FOSTER,0,0.00%
Benton,PRECINCT 108,President,,REP,GEORGE W. BUSH/CHENEY,179,34.89%
Benton,PRECINCT 108,President,,PG,RALPH NADER/LADUKE,36,7.02%
Benton,PRECINCT 108,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 108,President,,CON,HOWARD PHILLIPS/FRAZIER,1,0.19%
Benton,PRECINCT 108,President,,DEM,AL GORE/LIEBERMAN,289,56.34%
Benton,PRECINCT 108,President,,,Write-ins,2,0.39%
Benton,PRECINCT 108,President,,,Total,508,
Benton,PRECINCT 108,President,,,Under Votes,3,0.58%
Benton,PRECINCT 108,President,,,Over Votes,2,0.39%
Benton,PRECINCT 108,President,,,Total Votes Cast,513,
Benton,PRECINCT 109,President,,LIB,HARRY BROWNE/OLIVIER,10,1.39%
Benton,PRECINCT 109,President,,IND,PATRICK J. BUCHANAN/FOSTER,6,0.83%
Benton,PRECINCT 109,President,,REP,GEORGE W. BUSH/CHENEY,261,36.25%
Benton,PRECINCT 109,President,,PG,RALPH NADER/LADUKE,31,4.31%
Benton,PRECINCT 109,President,,REF,JOHN HAGELIN/GOLDHABER,1,0.14%
Benton,PRECINCT 109,President,,CON,HOWARD PHILLIPS/FRAZIER,1,0.14%
Benton,PRECINCT 109,President,,DEM,AL GORE/LIEBERMAN,401,55.69%
Benton,PRECINCT 109,President,,,Write-ins,3,0.42%
Benton,PRECINCT 109,President,,,Total,714,
Benton,PRECINCT 109,President,,,Under Votes,3,0.42%
Benton,PRECINCT 109,President,,,Over Votes,3,0.42%
Benton,PRECINCT 109,President,,,Total Votes Cast,720,
Benton,PRECINCT 110,President,,LIB,HARRY BROWNE/OLIVIER,0,0.00%
Benton,PRECINCT 110,President,,IND,PATRICK J. BUCHANAN/FOSTER,3,0.88%
Benton,PRECINCT 110,President,,REP,GEORGE W. BUSH/CHENEY,121,35.59%
Benton,PRECINCT 110,President,,PG,RALPH NADER/LADUKE,33,9.71%
Benton,PRECINCT 110,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 110,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 110,President,,DEM,AL GORE/LIEBERMAN,182,53.53%
Benton,PRECINCT 110,President,,,Write-ins,0,0.00%
Benton,PRECINCT 110,President,,,Total,339,
Benton,PRECINCT 110,President,,,Under Votes,1,0.29%
Benton,PRECINCT 110,President,,,Over Votes,0,0.00%
Benton,PRECINCT 110,President,,,Total Votes Cast,340,
Benton,PRECINCT 111,President,,LIB,HARRY BROWNE/OLIVIER,0,0.00%
Benton,PRECINCT 111,President,,IND,PATRICK J. BUCHANAN/FOSTER,1,0.25%
Benton,PRECINCT 111,President,,REP,GEORGE W. BUSH/CHENEY,88,22.22%
Benton,PRECINCT 111,President,,PG,RALPH NADER/LADUKE,29,7.32%
Benton,PRECINCT 111,President,,REF,JOHN HAGELIN/GOLDHABER,2,0.51%
Benton,PRECINCT 111,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 111,President,,DEM,AL GORE/LIEBERMAN,270,68.18%
Benton,PRECINCT 111,President,,,Write-ins,3,0.76%
Benton,PRECINCT 111,President,,,Total,393,
Benton,PRECINCT 111,President,,,Under Votes,3,0.76%
Benton,PRECINCT 111,President,,,Over Votes,0,0.00%
Benton,PRECINCT 111,President,,,Total Votes Cast,396,
Benton,PRECINCT 112,President,,LIB,HARRY BROWNE/OLIVIER,1,0.41%
Benton,PRECINCT 112,President,,IND,PATRICK J. BUCHANAN/FOSTER,0,0.00%
Benton,PRECINCT 112,President,,REP,GEORGE W. BUSH/CHENEY,58,24.07%
Benton,PRECINCT 112,President,,PG,RALPH NADER/LADUKE,27,11.20%
Benton,PRECINCT 112,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 112,President,,CON,HOWARD PHILLIPS/FRAZIER,1,0.41%
Benton,PRECINCT 112,President,,DEM,AL GORE/LIEBERMAN,152,63.07%
Benton,PRECINCT 112,President,,,Write-ins,0,0.00%
Benton,PRECINCT 112,President,,,Total,239,
Benton,PRECINCT 112,President,,,Under Votes,1,0.41%
Benton,PRECINCT 112,President,,,Over Votes,1,0.41%
Benton,PRECINCT 112,President,,,Total Votes Cast,241,
Benton,PRECINCT 113,President,,LIB,HARRY BROWNE/OLIVIER,2,0.36%
Benton,PRECINCT 113,President,,IND,PATRICK J. BUCHANAN/FOSTER,0,0.00%
Benton,PRECINCT 113,President,,REP,GEORGE W. BUSH/CHENEY,158,28.11%
Benton,PRECINCT 113,President,,PG,RALPH NADER/LADUKE,30,5.34%
Benton,PRECINCT 113,President,,REF,JOHN HAGELIN/GOLDHABER,0,0.00%
Benton,PRECINCT 113,President,,CON,HOWARD PHILLIPS/FRAZIER,0,0.00%
Benton,PRECINCT 113,President,,DEM,AL GORE/LIEBERMAN,365,64.95%
Benton,PRECINCT 113,President,,,Write-ins,2,0.36%
Benton,PRECINCT 113,President,,,Total,557,
Benton,PRECINCT 113,President,,,Under Votes,4,0.71%
Benton,PRECINCT 113,President,,,Over Votes,1,0.18%
