county,candidate,party,office,votes,incumbent,district
Multnomah,"Kafoury,Deborah",Democrat,"State House,18TH DISTRICT",5481,TRUE,18
Multnomah,Other,Democrat,"State House,18TH DISTRICT",76,FALSE,18
Multnomah,"Kafoury,Deborah(WI)",Republican,"State House,18TH DISTRICT",14,TRUE,18
Multnomah,Other,Republican,"State House,18TH DISTRICT",30,FALSE,18
Multnomah,"Bowman,Jo Ann A.",Democrat,"State House,19TH DISTRICT",6976,TRUE,19
Multnomah,Other,Democrat,"State House,19TH DISTRICT",75,FALSE,19
Multnomah,"Bitans,Ivars",Republican,"State House,19TH DISTRICT",1741,TRUE,19
Multnomah,Other,Republican,"State House,19TH DISTRICT",44,FALSE,19
Multnomah,"Weatherby,Mike",Democrat,"State House,20TH DISTRICT",3802,TRUE,20
Multnomah,Other,Democrat,"State House,20TH DISTRICT",60,FALSE,20
Multnomah,"Minnis,Karen",Republican,"State House,20TH DISTRICT",3797,TRUE,20
Multnomah,Other,Republican,"State House,20TH DISTRICT",61,FALSE,20
Multnomah,"Leonard,Randy",Democrat,"State House,21ST DISTRICT",3411,TRUE,21
Multnomah,Other,Democrat,"State House,21ST DISTRICT",71,FALSE,21
Multnomah,"Leonard,Randy(WI)",Republican,"State House,21ST DISTRICT",22,TRUE,21
Multnomah,Other,Republican,"State House,21ST DISTRICT",90,FALSE,21
Multnomah,"Anderson,Laurie Monnes",Democrat,"State House,22ND DISTRICT",4547,TRUE,22
Multnomah,Other,Democrat,"State House,22ND DISTRICT",86,FALSE,22
Multnomah,"Scariano,Rich",Republican,"State House,22ND DISTRICT",1523,FALSE,22
Multnomah,"Golobay,Edwin",Republican,"State House,22ND DISTRICT",2906,TRUE,22
Multnomah,Other,Republican,"State House,22ND DISTRICT",43,FALSE,22
Clackamas,"Schrader,Kurt",Democrat,"State House,23RD DISTRICT",4066,TRUE,23
Clackamas,Other,Democrat,"State House,23RD DISTRICT",3,FALSE,23
Clackamas,"Schrader,Kurt(WI)",Republican,"State House,23RD DISTRICT",108,TRUE,23
Clackamas,Other,Republican,"State House,23RD DISTRICT",103,FALSE,23
Clackamas,"Devlin,Richard",Democrat,"State House,24TH DISTRICT",3738,TRUE,24
Washington,"Devlin,Richard",Democrat,"State House,24TH DISTRICT",698,TRUE,24
Clackamas,Other,Democrat,"State House,24TH DISTRICT",1,FALSE,24
Washington,Other,Democrat,"State House,24TH DISTRICT",1,FALSE,24
Clackamas,"Schultz,Marilyn",Republican,"State House,24TH DISTRICT",1286,FALSE,24
Washington,"Schultz,Marilyn",Republican,"State House,24TH DISTRICT",211,FALSE,24
Clackamas,"Hansen,Jim",Republican,"State House,24TH DISTRICT",2500,TRUE,24
Washington,"Hansen,Jim",Republican,"State House,24TH DISTRICT",391,TRUE,24
Clackamas,"Barrett,Larry",Republican,"State House,24TH DISTRICT",1320,FALSE,24
Washington,"Barrett,Larry",Republican,"State House,24TH DISTRICT",275,FALSE,24
Clackamas,Other,Republican,"State House,24TH DISTRICT",3,FALSE,24
Washington,Other,Republican,"State House,24TH DISTRICT",0,FALSE,24
Clackamas,"Tomei,Carolyn",Democrat,"State House,25TH DISTRICT",3244,TRUE,25
Clackamas,"Gillispie,Sam",Democrat,"State House,25TH DISTRICT",2417,FALSE,25
Clackamas,Other,Democrat,"State House,25TH DISTRICT",4,FALSE,25
Clackamas,"Jones,Dick",Republican,"State House,25TH DISTRICT",2494,TRUE,25
Clackamas,Other,Republican,"State House,25TH DISTRICT",8,FALSE,25
Clackamas,"Lowe,Kathy",Democrat,"State House,26TH DISTRICT",4585,TRUE,26
Clackamas,Other,Democrat,"State House,26TH DISTRICT",5,FALSE,26
Clackamas,"Ritter,Almon S.",Republican,"State House,26TH DISTRICT",2723,TRUE,26
Clackamas,Other,Republican,"State House,26TH DISTRICT",9,FALSE,26
Clackamas,"Thorn,Jill",Democrat,"State House,27TH DISTRICT",2000,TRUE,27
Washington,"Thorn,Jill",Democrat,"State House,27TH DISTRICT",1262,TRUE,27
Clackamas,"Hedges,David",Democrat,"State House,27TH DISTRICT",1410,FALSE,27
Washington,"Hedges,David",Democrat,"State House,27TH DISTRICT",716,FALSE,27
Clackamas,Other,Democrat,"State House,27TH DISTRICT",1,FALSE,27
Washington,Other,Democrat,"State House,27TH DISTRICT",1,FALSE,27
Clackamas,"Lee,,Jr. John",Republican,"State House,27TH DISTRICT",1331,FALSE,27
Washington,"Lee,,Jr. John",Republican,"State House,27TH DISTRICT",1047,FALSE,27
Clackamas,"Krummel,Jerry",Republican,"State House,27TH DISTRICT",2406,TRUE,27
Washington,"Krummel,Jerry",Republican,"State House,27TH DISTRICT",1702,TRUE,27
Clackamas,Other,Republican,"State House,27TH DISTRICT",4,FALSE,27
Washington,Other,Republican,"State House,27TH DISTRICT",0,FALSE,27
Clackamas,"Clarke,Mike A.",Democrat,"State House,28TH DISTRICT",1332,TRUE,28
Linn,"Clarke,Mike A.",Democrat,"State House,28TH DISTRICT",383,TRUE,28
Marion,"Clarke,Mike A.",Democrat,"State House,28TH DISTRICT",1730,TRUE,28
Clackamas,Other,Democrat,"State House,28TH DISTRICT",6,FALSE,28
Linn,Other,Democrat,"State House,28TH DISTRICT",2,FALSE,28
Marion,Other,Democrat,"State House,28TH DISTRICT",36,FALSE,28
Clackamas,"Sumner,Mac",Republican,"State House,28TH DISTRICT",792,FALSE,28
Linn,"Sumner,Mac",Republican,"State House,28TH DISTRICT",144,FALSE,28
Marion,"Sumner,Mac",Republican,"State House,28TH DISTRICT",706,FALSE,28
Clackamas,"Smith,Tootie",Republican,"State House,28TH DISTRICT",1017,TRUE,28
Linn,"Smith,Tootie",Republican,"State House,28TH DISTRICT",263,TRUE,28
Marion,"Smith,Tootie",Republican,"State House,28TH DISTRICT",1288,TRUE,28
Clackamas,"Goffin,Daniel",Republican,"State House,28TH DISTRICT",159,FALSE,28
Linn,"Goffin,Daniel",Republican,"State House,28TH DISTRICT",104,FALSE,28
Marion,"Goffin,Daniel",Republican,"State House,28TH DISTRICT",566,FALSE,28
Clackamas,"Yeates,R. Walker",Republican,"State House,28TH DISTRICT",176,FALSE,28
Linn,"Yeates,R. Walker",Republican,"State House,28TH DISTRICT",68,FALSE,28
Marion,"Yeates,R. Walker",Republican,"State House,28TH DISTRICT",308,FALSE,28
Clackamas,Other,Republican,"State House,28TH DISTRICT",2,FALSE,28
Linn,Other,Republican,"State House,28TH DISTRICT",0,FALSE,28
Marion,Other,Republican,"State House,28TH DISTRICT",14,FALSE,28
Yamhill,"Nelson,Frank G.",Democrat,"State House,29TH DISTRICT",4367,TRUE,29
Yamhill,Other,Democrat,"State House,29TH DISTRICT",125,FALSE,29
Yamhill,"Nelson,Donna G.",Republican,"State House,29TH DISTRICT",3353,TRUE,29
Yamhill,"Bohnsack,Larry",Republican,"State House,29TH DISTRICT",3074,FALSE,29
Yamhill,Other,Republican,"State House,29TH DISTRICT",50,FALSE,29
Marion,"McCormick,Colby",Democrat,"State House,30TH DISTRICT",4322,TRUE,30
Marion,Other,Democrat,"State House,30TH DISTRICT",110,FALSE,30
Marion,"Bullis,Mike A.",Republican,"State House,30TH DISTRICT",2812,FALSE,30
Marion,"Doyle,Dan",Republican,"State House,30TH DISTRICT",3592,TRUE,30
Marion,Other,Republican,"State House,30TH DISTRICT",36,FALSE,30
Marion,"Kumley,Lloyd",Democrat,"State House,31ST DISTRICT",3450,TRUE,31
Polk,"Kumley,Lloyd",Democrat,"State House,31ST DISTRICT",1389,TRUE,31
Marion,Other,Democrat,"State House,31ST DISTRICT",104,FALSE,31
Polk,Other,Democrat,"State House,31ST DISTRICT",1,FALSE,31
Marion,"Winters,Jackie",Republican,"State House,31ST DISTRICT",4489,TRUE,31
Polk,"Winters,Jackie",Republican,"State House,31ST DISTRICT",2288,TRUE,31
Marion,Other,Republican,"State House,31ST DISTRICT",67,FALSE,31
Polk,Other,Republican,"State House,31ST DISTRICT",0,FALSE,31
Marion,"Bell,George",Democrat,"State House,32ND DISTRICT",4235,TRUE,32
Marion,Other,Democrat,"State House,32ND DISTRICT",46,FALSE,32
Marion,"Carlson,Janet",Republican,"State House,32ND DISTRICT",3786,TRUE,32
Marion,Other,Republican,"State House,32ND DISTRICT",59,FALSE,32
Marion,"Backlund,Vic(WI)",Democrat,"State House,33RD DISTRICT",219,TRUE,33
Marion,Other,Democrat,"State House,33RD DISTRICT",290,FALSE,33
Marion,"Backlund,Vic",Republican,"State House,33RD DISTRICT",4644,TRUE,33
Marion,Other,Republican,"State House,33RD DISTRICT",41,FALSE,33
Benton,"Slizeski,Marilyn L.",Democrat,"State House,34TH DISTRICT",1429,TRUE,34
Polk,"Slizeski,Marilyn L.",Democrat,"State House,34TH DISTRICT",2101,TRUE,34
Benton,Other,Democrat,"State House,34TH DISTRICT",34,FALSE,34
Polk,Other,Democrat,"State House,34TH DISTRICT",11,FALSE,34
Benton,"Shetterly,Lane",Republican,"State House,34TH DISTRICT",1531,TRUE,34
Polk,"Shetterly,Lane",Republican,"State House,34TH DISTRICT",3040,TRUE,34
Benton,Other,Republican,"State House,34TH DISTRICT",14,FALSE,34
Polk,Other,Republican,"State House,34TH DISTRICT",4,FALSE,34
Benton,"Wirth,Kelley",Democrat,"State House,35TH DISTRICT",4614,TRUE,35
Benton,Other,Democrat,"State House,35TH DISTRICT",75,FALSE,35
Benton,"Ringold,Debra",Republican,"State House,35TH DISTRICT",3413,TRUE,35
Benton,Other,Republican,"State House,35TH DISTRICT",27,FALSE,35
Benton,"Donovan,John",Democrat,"State House,36TH DISTRICT",922,TRUE,36
Linn,"Donovan,John",Democrat,"State House,36TH DISTRICT",3064,TRUE,36
Benton,Other,Democrat,"State House,36TH DISTRICT",12,FALSE,36
Linn,Other,Democrat,"State House,36TH DISTRICT",19,FALSE,36
Benton,"Close,Betsy L.",Republican,"State House,36TH DISTRICT",1248,TRUE,36
Linn,"Close,Betsy L.",Republican,"State House,36TH DISTRICT",3238,TRUE,36
Benton,Other,Republican,"State House,36TH DISTRICT",13,FALSE,36
Linn,Other,Republican,"State House,36TH DISTRICT",13,FALSE,36
Linn,"Workman,Lori",Democrat,"State House,37TH DISTRICT",3928,TRUE,37
Linn,Other,Democrat,"State House,37TH DISTRICT",33,FALSE,37
Linn,"Kropf,Jeff",Republican,"State House,37TH DISTRICT",4789,TRUE,37
Linn,Other,Republican,"State House,37TH DISTRICT",5,FALSE,37
Marion,"Fletcher,Irv",Democrat,"State House,38TH DISTRICT",2818,TRUE,38
Yamhill,"Fletcher,Irv",Democrat,"State House,38TH DISTRICT",932,TRUE,38
Marion,Other,Democrat,"State House,38TH DISTRICT",58,FALSE,38
Yamhill,Other,Democrat,"State House,38TH DISTRICT",24,FALSE,38
Marion,"Zauner,Cliff",Republican,"State House,38TH DISTRICT",2467,TRUE,38
Yamhill,"Zauner,Cliff",Republican,"State House,38TH DISTRICT",769,TRUE,38
Marion,"Shannon,Marylin",Republican,"State House,38TH DISTRICT",1582,FALSE,38
Yamhill,"Shannon,Marylin",Republican,"State House,38TH DISTRICT",666,FALSE,38
Marion,Other,Republican,"State House,38TH DISTRICT",7,FALSE,38
Yamhill,Other,Republican,"State House,38TH DISTRICT",10,FALSE,38
Lane,"Ackerman,Robert L.",Democrat,"State House,39TH DISTRICT",5495,TRUE,39
Lane,Other,Democrat,"State House,39TH DISTRICT",3,FALSE,39
Lane,"Bevans,Christopher D.",Republican,"State House,39TH DISTRICT",3499,TRUE,39
Lane,Other,Republican,"State House,39TH DISTRICT",4,FALSE,39
Lane,"Barnhart,Phil",Democrat,"State House,40TH DISTRICT",6780,TRUE,40
Lane,Other,Democrat,"State House,40TH DISTRICT",7,FALSE,40
Lane,"Young,William(WI)",Republican,"State House,40TH DISTRICT",70,TRUE,40
Lane,Other,Republican,"State House,40TH DISTRICT",101,FALSE,40
Lane,"Walker,Vicki L.",Democrat,"State House,41ST DISTRICT",5454,TRUE,41
Lane,Other,Democrat,"State House,41ST DISTRICT",15,FALSE,41
Lane,"Miller,Jeffrey(WI)",Republican,"State House,41ST DISTRICT",548,TRUE,41
Lane,Other,Republican,"State House,41ST DISTRICT",50,FALSE,41
Lane,"Simmons,Fred",Democrat,"State House,42ND DISTRICT",894,FALSE,42
Lane,"Morrisette,Bill",Democrat,"State House,42ND DISTRICT",4900,TRUE,42
Lane,Other,Democrat,"State House,42ND DISTRICT",0,FALSE,42
Lane,"Morrisette,Bill(WI)",Republican,"State House,42ND DISTRICT",90,TRUE,42
Lane,Other,Republican,"State House,42ND DISTRICT",39,FALSE,42
Douglas,"Kilger,Pete",Democrat,"State House,43RD DISTRICT",1039,TRUE,43
Lane,"Kilger,Pete",Democrat,"State House,43RD DISTRICT",3497,TRUE,43
Douglas,Other,Democrat,"State House,43RD DISTRICT",25,FALSE,43
Lane,Other,Democrat,"State House,43RD DISTRICT",1,FALSE,43
Douglas,"Hayden,Cedric",Republican,"State House,43RD DISTRICT",1475,TRUE,43
Lane,"Hayden,Cedric",Republican,"State House,43RD DISTRICT",2988,TRUE,43
Douglas,Other,Republican,"State House,43RD DISTRICT",21,FALSE,43
Lane,Other,Republican,"State House,43RD DISTRICT",8,FALSE,43
Lane,"King,Al",Democrat,"State House,44TH DISTRICT",5027,TRUE,44
Lane,Other,Democrat,"State House,44TH DISTRICT",11,FALSE,44
Lane,"Kemp,Ed",Republican,"State House,44TH DISTRICT",4172,TRUE,44
Lane,Other,Republican,"State House,44TH DISTRICT",8,FALSE,44
Douglas,"Lee,Charles",Democrat,"State House,45TH DISTRICT",4301,TRUE,45
Douglas,Other,Democrat,"State House,45TH DISTRICT",124,FALSE,45
Douglas,"Kruse,Jeff",Republican,"State House,45TH DISTRICT",6612,TRUE,45
Douglas,Other,Republican,"State House,45TH DISTRICT",81,FALSE,45
Douglas,"Calhoun,W. Earl",Democrat,"State House,46TH DISTRICT",2257,TRUE,46
Jackson,"Calhoun,W. Earl",Democrat,"State House,46TH DISTRICT",900,TRUE,46
Josephine,"Calhoun,W. Earl",Democrat,"State House,46TH DISTRICT",864,TRUE,46
Douglas,Other,Democrat,"State House,46TH DISTRICT",98,FALSE,46
Jackson,Other,Democrat,"State House,46TH DISTRICT",30,FALSE,46
Josephine,Other,Democrat,"State House,46TH DISTRICT",36,FALSE,46
Douglas,"Morgan,Susan",Republican,"State House,46TH DISTRICT",3029,TRUE,46
Jackson,"Morgan,Susan",Republican,"State House,46TH DISTRICT",1432,TRUE,46
Josephine,"Morgan,Susan",Republican,"State House,46TH DISTRICT",1667,TRUE,46
Douglas,Other,Republican,"State House,46TH DISTRICT",43,FALSE,46
Jackson,Other,Republican,"State House,46TH DISTRICT",10,FALSE,46
Josephine,Other,Republican,"State House,46TH DISTRICT",62,FALSE,46
Coos,"Verger,Joanne",Democrat,"State House,47TH DISTRICT",3762,TRUE,47
Douglas,"Verger,Joanne",Democrat,"State House,47TH DISTRICT",696,TRUE,47
Lane,"Verger,Joanne",Democrat,"State House,47TH DISTRICT",1279,TRUE,47
Coos,Other,Democrat,"State House,47TH DISTRICT",305,FALSE,47
Douglas,Other,Democrat,"State House,47TH DISTRICT",9,FALSE,47
Lane,Other,Democrat,"State House,47TH DISTRICT",1,FALSE,47
Coos,"Slater,Timm",Republican,"State House,47TH DISTRICT",2760,TRUE,47
Douglas,"Slater,Timm",Republican,"State House,47TH DISTRICT",459,TRUE,47
Lane,"Slater,Timm",Republican,"State House,47TH DISTRICT",1155,TRUE,47
Coos,Other,Republican,"State House,47TH DISTRICT",89,FALSE,47
Douglas,Other,Republican,"State House,47TH DISTRICT",5,FALSE,47
Lane,Other,Republican,"State House,47TH DISTRICT",1,FALSE,47
Coos,"Dodrill,Barbara",Democrat,"State House,48TH DISTRICT",3525,TRUE,48
Curry,"Dodrill,Barbara",Democrat,"State House,48TH DISTRICT",2257,TRUE,48
Coos,Other,Democrat,"State House,48TH DISTRICT",116,FALSE,48
Curry,Other,Democrat,"State House,48TH DISTRICT",115,FALSE,48
Coos,"Krieger,Wayne",Republican,"State House,48TH DISTRICT",2848,TRUE,48
Curry,"Krieger,Wayne",Republican,"State House,48TH DISTRICT",2928,TRUE,48
Coos,Other,Republican,"State House,48TH DISTRICT",68,FALSE,48
Curry,Other,Republican,"State House,48TH DISTRICT",43,FALSE,48
Josephine,"Wilson,Carl(WI)",Democrat,"State House,49TH DISTRICT",489,TRUE,49
Josephine,Other,Democrat,"State House,49TH DISTRICT",131,FALSE,49
Josephine,"Wilson,Carl",Republican,"State House,49TH DISTRICT",8551,TRUE,49
Josephine,Other,Republican,"State House,49TH DISTRICT",107,FALSE,49
Jackson,"Davidson,Barbara",Democrat,"State House,50TH DISTRICT",3702,TRUE,50
Jackson,Other,Democrat,"State House,50TH DISTRICT",55,FALSE,50
Jackson,"Patridge,Rob",Republican,"State House,50TH DISTRICT",6017,TRUE,50
Jackson,Other,Republican,"State House,50TH DISTRICT",104,FALSE,50
Jackson,"Holston,Lon",Democrat,"State House,51ST DISTRICT",3203,TRUE,51
Josephine,"Holston,Lon",Democrat,"State House,51ST DISTRICT",445,TRUE,51
Jackson,Other,Democrat,"State House,51ST DISTRICT",93,FALSE,51
Josephine,Other,Democrat,"State House,51ST DISTRICT",27,FALSE,51
Jackson,"Walker,Cherryl",Republican,"State House,51ST DISTRICT",3196,TRUE,51
Josephine,"Walker,Cherryl",Republican,"State House,51ST DISTRICT",675,TRUE,51
Jackson,"Frank,Larry",Republican,"State House,51ST DISTRICT",3225,FALSE,51
Josephine,"Frank,Larry",Republican,"State House,51ST DISTRICT",363,FALSE,51
Jackson,Other,Republican,"State House,51ST DISTRICT",20,FALSE,51
Josephine,Other,Republican,"State House,51ST DISTRICT",10,FALSE,51
Jackson,"Bates,Alan C.",Democrat,"State House,52ND DISTRICT",5690,TRUE,52
Jackson,Other,Democrat,"State House,52ND DISTRICT",79,FALSE,52
Jackson,"Hunts,Jane",Republican,"State House,52ND DISTRICT",4766,TRUE,52
Jackson,Other,Republican,"State House,52ND DISTRICT",108,FALSE,52
Klamath,"Snoozy,Wayne P.",Democrat,"State House,53RD DISTRICT",4481,TRUE,53
Klamath,Other,Democrat,"State House,53RD DISTRICT",51,FALSE,53
Klamath,"Garrard,Bill",Republican,"State House,53RD DISTRICT",6093,TRUE,53
Klamath,Other,Republican,"State House,53RD DISTRICT",85,FALSE,53
Deschutes,"Cooper,Ken",Democrat,"State House,54TH DISTRICT",4508,TRUE,54
Klamath,"Cooper,Ken",Democrat,"State House,54TH DISTRICT",322,TRUE,54
Deschutes,Other,Democrat,"State House,54TH DISTRICT",109,FALSE,54
Klamath,Other,Democrat,"State House,54TH DISTRICT",6,FALSE,54
Deschutes,"Knopp,Tim",Republican,"State House,54TH DISTRICT",6594,TRUE,54
Klamath,"Knopp,Tim",Republican,"State House,54TH DISTRICT",359,TRUE,54
Deschutes,Other,Republican,"State House,54TH DISTRICT",93,FALSE,54
Klamath,Other,Republican,"State House,54TH DISTRICT",1,FALSE,54
Deschutes,"Dunlap,Douglas",Democrat,"State House,55TH DISTRICT",2855,TRUE,55
Jefferson,"Dunlap,Douglas",Democrat,"State House,55TH DISTRICT",1277,TRUE,55
Wasco,"Dunlap,Douglas",Democrat,"State House,55TH DISTRICT",255,TRUE,55
Deschutes,Other,Democrat,"State House,55TH DISTRICT",97,FALSE,55
Jefferson,Other,Democrat,"State House,55TH DISTRICT",24,FALSE,55
Wasco,Other,Democrat,"State House,55TH DISTRICT",4,FALSE,55
Deschutes,"Westlund,Ben",Republican,"State House,55TH DISTRICT",5190,TRUE,55
Jefferson,"Westlund,Ben",Republican,"State House,55TH DISTRICT",1865,TRUE,55
Wasco,"Westlund,Ben",Republican,"State House,55TH DISTRICT",236,TRUE,55
Deschutes,Other,Republican,"State House,55TH DISTRICT",41,FALSE,55
Jefferson,Other,Republican,"State House,55TH DISTRICT",6,FALSE,55
Wasco,Other,Republican,"State House,55TH DISTRICT",0,FALSE,55
Clackamas,"Zastrow,Paul",Democrat,"State House,56TH DISTRICT",246,TRUE,56
Hood River,"Zastrow,Paul",Democrat,"State House,56TH DISTRICT",1531,TRUE,56
Multnomah,"Zastrow,Paul",Democrat,"State House,56TH DISTRICT",258,TRUE,56
Wasco,"Zastrow,Paul",Democrat,"State House,56TH DISTRICT",1035,TRUE,56
Clackamas,"Bell,Bill",Democrat,"State House,56TH DISTRICT",267,FALSE,56
Hood River,"Bell,Bill",Democrat,"State House,56TH DISTRICT",749,FALSE,56
Multnomah,"Bell,Bill",Democrat,"State House,56TH DISTRICT",288,FALSE,56
Wasco,"Bell,Bill",Democrat,"State House,56TH DISTRICT",1607,FALSE,56
Clackamas,Other,Democrat,"State House,56TH DISTRICT",1,FALSE,56
Hood River,Other,Democrat,"State House,56TH DISTRICT",5,FALSE,56
Multnomah,Other,Democrat,"State House,56TH DISTRICT",14,FALSE,56
Wasco,Other,Democrat,"State House,56TH DISTRICT",51,FALSE,56
Clackamas,"Smith,Patti",Republican,"State House,56TH DISTRICT",342,TRUE,56
Hood River,"Smith,Patti",Republican,"State House,56TH DISTRICT",1271,TRUE,56
Multnomah,"Smith,Patti",Republican,"State House,56TH DISTRICT",544,TRUE,56
Wasco,"Smith,Patti",Republican,"State House,56TH DISTRICT",641,TRUE,56
Clackamas,"McFadden,Bob",Republican,"State House,56TH DISTRICT",134,FALSE,56
Hood River,"McFadden,Bob",Republican,"State House,56TH DISTRICT",460,FALSE,56
Multnomah,"McFadden,Bob",Republican,"State House,56TH DISTRICT",147,FALSE,56
Wasco,"McFadden,Bob",Republican,"State House,56TH DISTRICT",743,FALSE,56
Clackamas,"Van,Valkenburgh M. D.",Republican,"State House,56TH DISTRICT",139,FALSE,56
Hood River,"Van,Valkenburgh M. D.",Republican,"State House,56TH DISTRICT",351,FALSE,56
Multnomah,"Van,Valkenburgh M. D.",Republican,"State House,56TH DISTRICT",106,FALSE,56
Wasco,"Van,Valkenburgh M. D.",Republican,"State House,56TH DISTRICT",979,FALSE,56
Clackamas,Other,Republican,"State House,56TH DISTRICT",0,FALSE,56
Hood River,Other,Republican,"State House,56TH DISTRICT",12,FALSE,56
Multnomah,Other,Republican,"State House,56TH DISTRICT",4,FALSE,56
Wasco,Other,Republican,"State House,56TH DISTRICT",15,FALSE,56
Morrow,"Kirkwood,Keith R.",Democrat,"State House,57TH DISTRICT",234,TRUE,57
Umatilla,"Kirkwood,Keith R.",Democrat,"State House,57TH DISTRICT",1944,TRUE,57
Morrow,Other,Democrat,"State House,57TH DISTRICT",8,FALSE,57
Umatilla,Other,Democrat,"State House,57TH DISTRICT",1,FALSE,57
Morrow,"Jenson,Bob",Republican,"State House,57TH DISTRICT",237,TRUE,57
Umatilla,"Jenson,Bob",Republican,"State House,57TH DISTRICT",2879,TRUE,57
Morrow,Other,Republican,"State House,57TH DISTRICT",2,FALSE,57
Umatilla,Other,Republican,"State House,57TH DISTRICT",0,FALSE,57
Umatilla,"Jones,Christopher",Democrat,"State House,58TH DISTRICT",771,TRUE,58
Union,"Jones,Christopher",Democrat,"State House,58TH DISTRICT",2016,TRUE,58
Wallowa,"Jones,Christopher",Democrat,"State House,58TH DISTRICT",533,TRUE,58
Umatilla,Other,Democrat,"State House,58TH DISTRICT",0,FALSE,58
Union,Other,Democrat,"State House,58TH DISTRICT",56,FALSE,58
Wallowa,Other,Democrat,"State House,58TH DISTRICT",56,FALSE,58
Umatilla,"Simmons,Mark",Republican,"State House,58TH DISTRICT",1191,TRUE,58
Union,"Simmons,Mark",Republican,"State House,58TH DISTRICT",2944,TRUE,58
Wallowa,"Simmons,Mark",Republican,"State House,58TH DISTRICT",1053,TRUE,58
Umatilla,Other,Republican,"State House,58TH DISTRICT",0,FALSE,58
Union,Other,Republican,"State House,58TH DISTRICT",32,FALSE,58
Wallowa,Other,Republican,"State House,58TH DISTRICT",7,FALSE,58
Baker,"Harrington,Linda",Democrat,"State House,59TH DISTRICT",1256,TRUE,59
Crook,"Harrington,Linda",Democrat,"State House,59TH DISTRICT",1444,TRUE,59
Gilliam,"Harrington,Linda",Democrat,"State House,59TH DISTRICT",204,TRUE,59
Grant,"Harrington,Linda",Democrat,"State House,59TH DISTRICT",606,TRUE,59
Morrow,"Harrington,Linda",Democrat,"State House,59TH DISTRICT",242,TRUE,59
Sherman,"Harrington,Linda",Democrat,"State House,59TH DISTRICT",216,TRUE,59
Wasco,"Harrington,Linda",Democrat,"State House,59TH DISTRICT",121,TRUE,59
Wheeler,"Harrington,Linda",Democrat,"State House,59TH DISTRICT",171,TRUE,59
Baker,Other,Democrat,"State House,59TH DISTRICT",19,FALSE,59
Crook,Other,Democrat,"State House,59TH DISTRICT",52,FALSE,59
Gilliam,Other,Democrat,"State House,59TH DISTRICT",8,FALSE,59
Grant,Other,Democrat,"State House,59TH DISTRICT",95,FALSE,59
Morrow,Other,Democrat,"State House,59TH DISTRICT",0,FALSE,59
Sherman,Other,Democrat,"State House,59TH DISTRICT",2,FALSE,59
Wasco,Other,Democrat,"State House,59TH DISTRICT",2,FALSE,59
Wheeler,Other,Democrat,"State House,59TH DISTRICT",3,FALSE,59
Baker,"Smith,Greg",Republican,"State House,59TH DISTRICT",1922,TRUE,59
Crook,"Smith,Greg",Republican,"State House,59TH DISTRICT",1886,TRUE,59
Gilliam,"Smith,Greg",Republican,"State House,59TH DISTRICT",255,TRUE,59
Grant,"Smith,Greg",Republican,"State House,59TH DISTRICT",1152,TRUE,59
Morrow,"Smith,Greg",Republican,"State House,59TH DISTRICT",374,TRUE,59
Sherman,"Smith,Greg",Republican,"State House,59TH DISTRICT",265,TRUE,59
Wasco,"Smith,Greg",Republican,"State House,59TH DISTRICT",239,TRUE,59
Wheeler,"Smith,Greg",Republican,"State House,59TH DISTRICT",239,TRUE,59
Baker,Other,Republican,"State House,59TH DISTRICT",6,FALSE,59
Crook,Other,Republican,"State House,59TH DISTRICT",16,FALSE,59
Gilliam,Other,Republican,"State House,59TH DISTRICT",0,FALSE,59
Grant,Other,Republican,"State House,59TH DISTRICT",22,FALSE,59
Morrow,Other,Republican,"State House,59TH DISTRICT",0,FALSE,59
Sherman,Other,Republican,"State House,59TH DISTRICT",1,FALSE,59
Wasco,Other,Republican,"State House,59TH DISTRICT",0,FALSE,59
Wheeler,Other,Republican,"State House,59TH DISTRICT",0,FALSE,59
Harney,"Butler,R. Thomas(Tom)(WI)",Democrat,"State House,60TH DISTRICT",87,TRUE,60
Klamath,"Butler,R. Thomas(Tom)(WI)",Democrat,"State House,60TH DISTRICT",21,TRUE,60
Lake,"Butler,R. Thomas(Tom)(WI)",Democrat,"State House,60TH DISTRICT",0,TRUE,60
Malheur,"Butler,R. Thomas(Tom)(WI)",Democrat,"State House,60TH DISTRICT",182,TRUE,60
Harney,Other,Democrat,"State House,60TH DISTRICT",11,FALSE,60
Klamath,Other,Democrat,"State House,60TH DISTRICT",9,FALSE,60
Lake,Other,Democrat,"State House,60TH DISTRICT",0,FALSE,60
Malheur,Other,Democrat,"State House,60TH DISTRICT",76,FALSE,60
Harney,"Butler,R. Thomas (Tom)",Republican,"State House,60TH DISTRICT",1112,TRUE,60
Klamath,"Butler,R. Thomas (Tom)",Republican,"State House,60TH DISTRICT",995,TRUE,60
Lake,"Butler,R. Thomas (Tom)",Republican,"State House,60TH DISTRICT",1098,TRUE,60
Malheur,"Butler,R. Thomas (Tom)",Republican,"State House,60TH DISTRICT",3322,TRUE,60
Harney,Other,Republican,"State House,60TH DISTRICT",2,FALSE,60
Klamath,Other,Republican,"State House,60TH DISTRICT",4,FALSE,60
Lake,Other,Republican,"State House,60TH DISTRICT",0,FALSE,60
Malheur,Other,Republican,"State House,60TH DISTRICT",41,FALSE,60
