county,precinct,office,district,party,candidate,votes,,,
Lake,GOOSE LAKE P-10,President,,DEM,Over Votes,0,,,
Lake,COGSWELL CREEK P-11,President,,DEM,Over Votes,0,,,
Lake,THOM. CRK. WESTSIDE P-12,President,,DEM,Over Votes,0,,,
Lake,CHRISTMAS VALLEY P-13,President,,DEM,Over Votes,0,,,
Lake,FORT ROCK P-14,President,,DEM,Over Votes,0,,,
Lake,WEST LAKEVIEW P-15,President,,DEM,Over Votes,0,,,
Lake,NEW PINE CREEK P-16,President,,DEM,Over Votes,0,,,
Lake,VALLEY FALLS P-18,President,,DEM,Over Votes,0,,,
Lake,NO. CENTRAL LKVW. P-20,President,,DEM,Over Votes,0,,,
Lake,SO. CENTRAL LKVW. P-21,President,,DEM,Over Votes,0,,,
Lake,SILVER LAKE P-1,President,,DEM,Under Votes,5,,,
Lake,SUMMER LAKE P-2,President,,DEM,Under Votes,2,,,
Lake,PAISLEY P-3,President,,DEM,Under Votes,12,,,
Lake,CROOKED CREEK P-4,President,,DEM,Under Votes,7,,,
Lake,NORTH WARNER P-5,President,,DEM,Under Votes,1,,,
Lake,SOUTH WARNER P-6,President,,DEM,Under Votes,0,,,
Lake,NORTH LAKEVIEW P-7,President,,DEM,Under Votes,8,,,
Lake,SOUTH LAKEVIEW P-8,President,,DEM,Under Votes,19,,,
Lake,FREMONT P-9,President,,DEM,Under Votes,10,,,
Lake,GOOSE LAKE P-10,President,,DEM,Under Votes,7,,,
Lake,COGSWELL CREEK P-11,President,,DEM,Under Votes,19,,,
Lake,THOM. CRK. WESTSIDE P-12,President,,DEM,Under Votes,21,,,
Lake,CHRISTMAS VALLEY P-13,President,,DEM,Under Votes,20,,,
Lake,FORT ROCK P-14,President,,DEM,Under Votes,1,,,
Lake,WEST LAKEVIEW P-15,President,,DEM,Under Votes,10,,,
Lake,NEW PINE CREEK P-16,President,,DEM,Under Votes,6,,,
Lake,VALLEY FALLS P-18,President,,DEM,Under Votes,2,,,
Lake,NO. CENTRAL LKVW. P-20,President,,DEM,Under Votes,15,,,
Lake,SO. CENTRAL LKVW. P-21,President,,DEM,Under Votes,8,,,
Lake,SILVER LAKE P-1,U.S. House,2,DEM,John Sweeney,2,,,
Lake,SUMMER LAKE P-2,U.S. House,2,DEM,John Sweeney,1,,,
Lake,PAISLEY P-3,U.S. House,2,DEM,John Sweeney,6,,,
Lake,CROOKED CREEK P-4,U.S. House,2,DEM,John Sweeney,8,,,
Lake,NORTH WARNER P-5,U.S. House,2,DEM,John Sweeney,1,,,
Lake,SOUTH WARNER P-6,U.S. House,2,DEM,John Sweeney,0,,,
Lake,NORTH LAKEVIEW P-7,U.S. House,2,DEM,John Sweeney,11,,,
Lake,SOUTH LAKEVIEW P-8,U.S. House,2,DEM,John Sweeney,11,,,
Lake,FREMONT P-9,U.S. House,2,DEM,John Sweeney,11,,,
Lake,GOOSE LAKE P-10,U.S. House,2,DEM,John Sweeney,3,,,
Lake,COGSWELL CREEK P-11,U.S. House,2,DEM,John Sweeney,8,,,
Lake,THOM. CRK. WESTSIDE P-12,U.S. House,2,DEM,John Sweeney,20,,,
Lake,CHRISTMAS VALLEY P-13,U.S. House,2,DEM,John Sweeney,27,,,
Lake,FORT ROCK P-14,U.S. House,2,DEM,John Sweeney,1,,,
Lake,WEST LAKEVIEW P-15,U.S. House,2,DEM,John Sweeney,8,,,
Lake,NEW PINE CREEK P-16,U.S. House,2,DEM,John Sweeney,5,,,
Lake,VALLEY FALLS P-18,U.S. House,2,DEM,John Sweeney,0,,,
Lake,NO. CENTRAL LKVW. P-20,U.S. House,2,DEM,John Sweeney,11,,,
Lake,SO. CENTRAL LKVW. P-21,U.S. House,2,DEM,John Sweeney,12,,,
Lake,SILVER LAKE P-1,U.S. House,2,DEM,Joyce B Segers,4,,,
Lake,SUMMER LAKE P-2,U.S. House,2,DEM,Joyce B Segers,6,,,
Lake,PAISLEY P-3,U.S. House,2,DEM,Joyce B Segers,10,,,
Lake,CROOKED CREEK P-4,U.S. House,2,DEM,Joyce B Segers,10,,,
Lake,NORTH WARNER P-5,U.S. House,2,DEM,Joyce B Segers,2,,,
Lake,SOUTH WARNER P-6,U.S. House,2,DEM,Joyce B Segers,0,,,
Lake,NORTH LAKEVIEW P-7,U.S. House,2,DEM,Joyce B Segers,14,,,
Lake,SOUTH LAKEVIEW P-8,U.S. House,2,DEM,Joyce B Segers,20,,,
Lake,FREMONT P-9,U.S. House,2,DEM,Joyce B Segers,19,,,
Lake,GOOSE LAKE P-10,U.S. House,2,DEM,Joyce B Segers,10,,,
Lake,COGSWELL CREEK P-11,U.S. House,2,DEM,Joyce B Segers,20,,,
Lake,THOM. CRK. WESTSIDE P-12,U.S. House,2,DEM,Joyce B Segers,23,,,
Lake,CHRISTMAS VALLEY P-13,U.S. House,2,DEM,Joyce B Segers,35,,,
Lake,FORT ROCK P-14,U.S. House,2,DEM,Joyce B Segers,3,,,
Lake,WEST LAKEVIEW P-15,U.S. House,2,DEM,Joyce B Segers,15,,,
Lake,NEW PINE CREEK P-16,U.S. House,2,DEM,Joyce B Segers,8,,,
Lake,VALLEY FALLS P-18,U.S. House,2,DEM,Joyce B Segers,0,,,
Lake,NO. CENTRAL LKVW. P-20,U.S. House,2,DEM,Joyce B Segers,7,,,
Lake,SO. CENTRAL LKVW. P-21,U.S. House,2,DEM,Joyce B Segers,19,,,
Lake,SILVER LAKE P-1,U.S. House,2,DEM,Write-ins,0,,,
Lake,SUMMER LAKE P-2,U.S. House,2,DEM,Write-ins,1,,,
Lake,PAISLEY P-3,U.S. House,2,DEM,Write-ins,4,,,
Lake,CROOKED CREEK P-4,U.S. House,2,DEM,Write-ins,1,,,
Lake,NORTH WARNER P-5,U.S. House,2,DEM,Write-ins,0,,,
Lake,SOUTH WARNER P-6,U.S. House,2,DEM,Write-ins,0,,,
Lake,NORTH LAKEVIEW P-7,U.S. House,2,DEM,Write-ins,0,,,
Lake,SOUTH LAKEVIEW P-8,U.S. House,2,DEM,Write-ins,1,,,
Lake,FREMONT P-9,U.S. House,2,DEM,Write-ins,0,,,
Lake,GOOSE LAKE P-10,U.S. House,2,DEM,Write-ins,1,,,
Lake,COGSWELL CREEK P-11,U.S. House,2,DEM,Write-ins,0,,,
Lake,THOM. CRK. WESTSIDE P-12,U.S. House,2,DEM,Write-ins,0,,,
Lake,CHRISTMAS VALLEY P-13,U.S. House,2,DEM,Write-ins,1,,,
Lake,FORT ROCK P-14,U.S. House,2,DEM,Write-ins,1,,,
Lake,WEST LAKEVIEW P-15,U.S. House,2,DEM,Write-ins,1,,,
Lake,NEW PINE CREEK P-16,U.S. House,2,DEM,Write-ins,0,,,
Lake,VALLEY FALLS P-18,U.S. House,2,DEM,Write-ins,0,,,
Lake,NO. CENTRAL LKVW. P-20,U.S. House,2,DEM,Write-ins,0,,,
Lake,SO. CENTRAL LKVW. P-21,U.S. House,2,DEM,Write-ins,1,,,
Lake,SILVER LAKE P-1,U.S. House,2,DEM,Over Votes,0,,,
Lake,SUMMER LAKE P-2,U.S. House,2,DEM,Over Votes,0,,,
Lake,PAISLEY P-3,U.S. House,2,DEM,Over Votes,0,,,
Lake,CROOKED CREEK P-4,U.S. House,2,DEM,Over Votes,0,,,
Lake,NORTH WARNER P-5,U.S. House,2,DEM,Over Votes,0,,,
Lake,SOUTH WARNER P-6,U.S. House,2,DEM,Over Votes,0,,,
Lake,NORTH LAKEVIEW P-7,U.S. House,2,DEM,Over Votes,0,,,
Lake,SOUTH LAKEVIEW P-8,U.S. House,2,DEM,Over Votes,0,,,
Lake,FREMONT P-9,U.S. House,2,DEM,Over Votes,0,,,
Lake,GOOSE LAKE P-10,U.S. House,2,DEM,Over Votes,0,,,
Lake,COGSWELL CREEK P-11,U.S. House,2,DEM,Over Votes,0,,,
Lake,THOM. CRK. WESTSIDE P-12,U.S. House,2,DEM,Over Votes,0,,,
Lake,CHRISTMAS VALLEY P-13,U.S. House,2,DEM,Over Votes,0,,,
Lake,FORT ROCK P-14,U.S. House,2,DEM,Over Votes,0,,,
Lake,WEST LAKEVIEW P-15,U.S. House,2,DEM,Over Votes,0,,,
Lake,NEW PINE CREEK P-16,U.S. House,2,DEM,Over Votes,0,,,
Lake,VALLEY FALLS P-18,U.S. House,2,DEM,Over Votes,0,,,
Lake,NO. CENTRAL LKVW. P-20,U.S. House,2,DEM,Over Votes,0,,,
Lake,SO. CENTRAL LKVW. P-21,U.S. House,2,DEM,Over Votes,0,,,
Lake,SILVER LAKE P-1,U.S. House,2,DEM,Under Votes,1,,,
Lake,SUMMER LAKE P-2,U.S. House,2,DEM,Under Votes,2,,,
Lake,PAISLEY P-3,U.S. House,2,DEM,Under Votes,8,,,
Lake,CROOKED CREEK P-4,U.S. House,2,DEM,Under Votes,6,,,
Lake,NORTH WARNER P-5,U.S. House,2,DEM,Under Votes,0,,,
Lake,SOUTH WARNER P-6,U.S. House,2,DEM,Under Votes,0,,,
Lake,NORTH LAKEVIEW P-7,U.S. House,2,DEM,Under Votes,10,,,
Lake,SOUTH LAKEVIEW P-8,U.S. House,2,DEM,Under Votes,17,,,
Lake,FREMONT P-9,U.S. House,2,DEM,Under Votes,13,,,
Lake,GOOSE LAKE P-10,U.S. House,2,DEM,Under Votes,6,,,
Lake,COGSWELL CREEK P-11,U.S. House,2,DEM,Under Votes,20,,,
Lake,THOM. CRK. WESTSIDE P-12,U.S. House,2,DEM,Under Votes,22,,,
Lake,CHRISTMAS VALLEY P-13,U.S. House,2,DEM,Under Votes,25,,,
Lake,FORT ROCK P-14,U.S. House,2,DEM,Under Votes,8,,,
Lake,WEST LAKEVIEW P-15,U.S. House,2,DEM,Under Votes,4,,,
Lake,NEW PINE CREEK P-16,U.S. House,2,DEM,Under Votes,8,,,
Lake,VALLEY FALLS P-18,U.S. House,2,DEM,Under Votes,2,,,
Lake,NO. CENTRAL LKVW. P-20,U.S. House,2,DEM,Under Votes,13,,,
Lake,SO. CENTRAL LKVW. P-21,U.S. House,2,DEM,Under Votes,16,,,
Lake,SILVER LAKE P-1,Secretary of State,,DEM,Kate Brown,6,,,
Lake,SUMMER LAKE P-2,Secretary of State,,DEM,Kate Brown,8,,,
Lake,PAISLEY P-3,Secretary of State,,DEM,Kate Brown,15,,,
Lake,CROOKED CREEK P-4,Secretary of State,,DEM,Kate Brown,14,,,
Lake,NORTH WARNER P-5,Secretary of State,,DEM,Kate Brown,3,,,
Lake,SOUTH WARNER P-6,Secretary of State,,DEM,Kate Brown,0,,,
Lake,NORTH LAKEVIEW P-7,Secretary of State,,DEM,Kate Brown,21,,,
Lake,SOUTH LAKEVIEW P-8,Secretary of State,,DEM,Kate Brown,26,,,
Lake,FREMONT P-9,Secretary of State,,DEM,Kate Brown,25,,,
Lake,GOOSE LAKE P-10,Secretary of State,,DEM,Kate Brown,11,,,
Lake,COGSWELL CREEK P-11,Secretary of State,,DEM,Kate Brown,27,,,
Lake,THOM. CRK. WESTSIDE P-12,Secretary of State,,DEM,Kate Brown,35,,,
Lake,CHRISTMAS VALLEY P-13,Secretary of State,,DEM,Kate Brown,54,,,
Lake,FORT ROCK P-14,Secretary of State,,DEM,Kate Brown,7,,,
Lake,WEST LAKEVIEW P-15,Secretary of State,,DEM,Kate Brown,21,,,
Lake,NEW PINE CREEK P-16,Secretary of State,,DEM,Kate Brown,11,,,
Lake,VALLEY FALLS P-18,Secretary of State,,DEM,Kate Brown,0,,,
Lake,NO. CENTRAL LKVW. P-20,Secretary of State,,DEM,Kate Brown,16,,,
Lake,SO. CENTRAL LKVW. P-21,Secretary of State,,DEM,Kate Brown,23,,,
Lake,SILVER LAKE P-1,Secretary of State,,DEM,Damian Wells,1,,,
Lake,SUMMER LAKE P-2,Secretary of State,,DEM,Damian Wells,0,,,
Lake,PAISLEY P-3,Secretary of State,,DEM,Damian Wells,5,,,
Lake,CROOKED CREEK P-4,Secretary of State,,DEM,Damian Wells,3,,,
Lake,NORTH WARNER P-5,Secretary of State,,DEM,Damian Wells,0,,,
Lake,SOUTH WARNER P-6,Secretary of State,,DEM,Damian Wells,0,,,
Lake,NORTH LAKEVIEW P-7,Secretary of State,,DEM,Damian Wells,8,,,
Lake,SOUTH LAKEVIEW P-8,Secretary of State,,DEM,Damian Wells,8,,,
Lake,FREMONT P-9,Secretary of State,,DEM,Damian Wells,9,,,
Lake,GOOSE LAKE P-10,Secretary of State,,DEM,Damian Wells,3,,,
Lake,COGSWELL CREEK P-11,Secretary of State,,DEM,Damian Wells,2,,,
Lake,THOM. CRK. WESTSIDE P-12,Secretary of State,,DEM,Damian Wells,11,,,
Lake,CHRISTMAS VALLEY P-13,Secretary of State,,DEM,Damian Wells,12,,,
Lake,FORT ROCK P-14,Secretary of State,,DEM,Damian Wells,0,,,
Lake,WEST LAKEVIEW P-15,Secretary of State,,DEM,Damian Wells,1,,,
Lake,NEW PINE CREEK P-16,Secretary of State,,DEM,Damian Wells,4,,,
Lake,VALLEY FALLS P-18,Secretary of State,,DEM,Damian Wells,0,,,
Lake,NO. CENTRAL LKVW. P-20,Secretary of State,,DEM,Damian Wells,7,,,
Lake,SO. CENTRAL LKVW. P-21,Secretary of State,,DEM,Damian Wells,12,,,
Lake,SILVER LAKE P-1,Secretary of State,,DEM,Write-ins,0,,,
Lake,SUMMER LAKE P-2,Secretary of State,,DEM,Write-ins,0,,,
Lake,PAISLEY P-3,Secretary of State,,DEM,Write-ins,1,,,
Lake,CROOKED CREEK P-4,Secretary of State,,DEM,Write-ins,1,,,
Lake,NORTH WARNER P-5,Secretary of State,,DEM,Write-ins,0,,,
Lake,SOUTH WARNER P-6,Secretary of State,,DEM,Write-ins,0,,,
Lake,NORTH LAKEVIEW P-7,Secretary of State,,DEM,Write-ins,0,,,
Lake,SOUTH LAKEVIEW P-8,Secretary of State,,DEM,Write-ins,0,,,
Lake,FREMONT P-9,Secretary of State,,DEM,Write-ins,0,,,
Lake,GOOSE LAKE P-10,Secretary of State,,DEM,Write-ins,0,,,
Lake,COGSWELL CREEK P-11,Secretary of State,,DEM,Write-ins,0,,,
Lake,THOM. CRK. WESTSIDE P-12,Secretary of State,,DEM,Write-ins,1,,,
Lake,CHRISTMAS VALLEY P-13,Secretary of State,,DEM,Write-ins,0,,,
Lake,FORT ROCK P-14,Secretary of State,,DEM,Write-ins,1,,,
Lake,WEST LAKEVIEW P-15,Secretary of State,,DEM,Write-ins,0,,,
Lake,NEW PINE CREEK P-16,Secretary of State,,DEM,Write-ins,0,,,
Lake,VALLEY FALLS P-18,Secretary of State,,DEM,Write-ins,0,,,
Lake,NO. CENTRAL LKVW. P-20,Secretary of State,,DEM,Write-ins,0,,,
Lake,SO. CENTRAL LKVW. P-21,Secretary of State,,DEM,Write-ins,2,,,
Lake,SILVER LAKE P-1,Secretary of State,,DEM,Over Votes,0,,,
Lake,SUMMER LAKE P-2,Secretary of State,,DEM,Over Votes,0,,,
Lake,PAISLEY P-3,Secretary of State,,DEM,Over Votes,0,,,
Lake,CROOKED CREEK P-4,Secretary of State,,DEM,Over Votes,0,,,
Lake,NORTH WARNER P-5,Secretary of State,,DEM,Over Votes,0,,,
Lake,SOUTH WARNER P-6,Secretary of State,,DEM,Over Votes,0,,,
Lake,NORTH LAKEVIEW P-7,Secretary of State,,DEM,Over Votes,0,,,
Lake,SOUTH LAKEVIEW P-8,Secretary of State,,DEM,Over Votes,0,,,
Lake,FREMONT P-9,Secretary of State,,DEM,Over Votes,0,,,
Lake,GOOSE LAKE P-10,Secretary of State,,DEM,Over Votes,0,,,
Lake,COGSWELL CREEK P-11,Secretary of State,,DEM,Over Votes,0,,,
Lake,THOM. CRK. WESTSIDE P-12,Secretary of State,,DEM,Over Votes,0,,,
Lake,CHRISTMAS VALLEY P-13,Secretary of State,,DEM,Over Votes,0,,,
Lake,FORT ROCK P-14,Secretary of State,,DEM,Over Votes,0,,,
Lake,WEST LAKEVIEW P-15,Secretary of State,,DEM,Over Votes,0,,,
Lake,NEW PINE CREEK P-16,Secretary of State,,DEM,Over Votes,0,,,
Lake,VALLEY FALLS P-18,Secretary of State,,DEM,Over Votes,0,,,
Lake,NO. CENTRAL LKVW. P-20,Secretary of State,,DEM,Over Votes,0,,,
Lake,SO. CENTRAL LKVW. P-21,Secretary of State,,DEM,Over Votes,0,,,
Lake,SILVER LAKE P-1,Secretary of State,,DEM,Under Votes,0,,,
Lake,SUMMER LAKE P-2,Secretary of State,,DEM,Under Votes,2,,,
Lake,PAISLEY P-3,Secretary of State,,DEM,Under Votes,7,,,
Lake,CROOKED CREEK P-4,Secretary of State,,DEM,Under Votes,7,,,
Lake,NORTH WARNER P-5,Secretary of State,,DEM,Under Votes,0,,,
Lake,SOUTH WARNER P-6,Secretary of State,,DEM,Under Votes,0,,,
Lake,NORTH LAKEVIEW P-7,Secretary of State,,DEM,Under Votes,6,,,
Lake,SOUTH LAKEVIEW P-8,Secretary of State,,DEM,Under Votes,15,,,
Lake,FREMONT P-9,Secretary of State,,DEM,Under Votes,9,,,
Lake,GOOSE LAKE P-10,Secretary of State,,DEM,Under Votes,6,,,
Lake,COGSWELL CREEK P-11,Secretary of State,,DEM,Under Votes,19,,,
Lake,THOM. CRK. WESTSIDE P-12,Secretary of State,,DEM,Under Votes,18,,,
Lake,CHRISTMAS VALLEY P-13,Secretary of State,,DEM,Under Votes,22,,,
Lake,FORT ROCK P-14,Secretary of State,,DEM,Under Votes,5,,,
Lake,WEST LAKEVIEW P-15,Secretary of State,,DEM,Under Votes,6,,,
Lake,NEW PINE CREEK P-16,Secretary of State,,DEM,Under Votes,6,,,
Lake,VALLEY FALLS P-18,Secretary of State,,DEM,Under Votes,2,,,
Lake,NO. CENTRAL LKVW. P-20,Secretary of State,,DEM,Under Votes,8,,,
Lake,SO. CENTRAL LKVW. P-21,Secretary of State,,DEM,Under Votes,11,,,
Lake,SILVER LAKE P-1,State Treasurer,,DEM,Ted Wheeler,5,,,
Lake,SUMMER LAKE P-2,State Treasurer,,DEM,Ted Wheeler,5,,,
Lake,PAISLEY P-3,State Treasurer,,DEM,Ted Wheeler,14,,,
Lake,CROOKED CREEK P-4,State Treasurer,,DEM,Ted Wheeler,15,,,
Lake,NORTH WARNER P-5,State Treasurer,,DEM,Ted Wheeler,3,,,
Lake,SOUTH WARNER P-6,State Treasurer,,DEM,Ted Wheeler,0,,,
Lake,NORTH LAKEVIEW P-7,State Treasurer,,DEM,Ted Wheeler,25,,,
Lake,SOUTH LAKEVIEW P-8,State Treasurer,,DEM,Ted Wheeler,27,,,
Lake,FREMONT P-9,State Treasurer,,DEM,Ted Wheeler,31,,,
Lake,GOOSE LAKE P-10,State Treasurer,,DEM,Ted Wheeler,14,,,
Lake,COGSWELL CREEK P-11,State Treasurer,,DEM,Ted Wheeler,25,,,
Lake,THOM. CRK. WESTSIDE P-12,State Treasurer,,DEM,Ted Wheeler,35,,,
Lake,CHRISTMAS VALLEY P-13,State Treasurer,,DEM,Ted Wheeler,53,,,
Lake,FORT ROCK P-14,State Treasurer,,DEM,Ted Wheeler,7,,,
Lake,WEST LAKEVIEW P-15,State Treasurer,,DEM,Ted Wheeler,24,,,
Lake,NEW PINE CREEK P-16,State Treasurer,,DEM,Ted Wheeler,13,,,
Lake,VALLEY FALLS P-18,State Treasurer,,DEM,Ted Wheeler,0,,,
Lake,NO. CENTRAL LKVW. P-20,State Treasurer,,DEM,Ted Wheeler,15,,,
Lake,SO. CENTRAL LKVW. P-21,State Treasurer,,DEM,Ted Wheeler,31,,,
Lake,SILVER LAKE P-1,State Treasurer,,DEM,Write-ins,0,,,
Lake,SUMMER LAKE P-2,State Treasurer,,DEM,Write-ins,0,,,
Lake,PAISLEY P-3,State Treasurer,,DEM,Write-ins,1,,,
Lake,CROOKED CREEK P-4,State Treasurer,,DEM,Write-ins,0,,,
Lake,NORTH WARNER P-5,State Treasurer,,DEM,Write-ins,0,,,
Lake,SOUTH WARNER P-6,State Treasurer,,DEM,Write-ins,0,,,
Lake,NORTH LAKEVIEW P-7,State Treasurer,,DEM,Write-ins,0,,,
Lake,SOUTH LAKEVIEW P-8,State Treasurer,,DEM,Write-ins,0,,,
Lake,FREMONT P-9,State Treasurer,,DEM,Write-ins,0,,,
Lake,GOOSE LAKE P-10,State Treasurer,,DEM,Write-ins,0,,,
Lake,COGSWELL CREEK P-11,State Treasurer,,DEM,Write-ins,0,,,
Lake,THOM. CRK. WESTSIDE P-12,State Treasurer,,DEM,Write-ins,0,,,
Lake,CHRISTMAS VALLEY P-13,State Treasurer,,DEM,Write-ins,2,,,
Lake,FORT ROCK P-14,State Treasurer,,DEM,Write-ins,0,,,
Lake,WEST LAKEVIEW P-15,State Treasurer,,DEM,Write-ins,0,,,
Lake,NEW PINE CREEK P-16,State Treasurer,,DEM,Write-ins,0,,,
Lake,VALLEY FALLS P-18,State Treasurer,,DEM,Write-ins,0,,,
Lake,NO. CENTRAL LKVW. P-20,State Treasurer,,DEM,Write-ins,0,,,
Lake,SO. CENTRAL LKVW. P-21,State Treasurer,,DEM,Write-ins,2,,,
Lake,SILVER LAKE P-1,State Treasurer,,DEM,Over Votes,0,,,
Lake,SUMMER LAKE P-2,State Treasurer,,DEM,Over Votes,0,,,
Lake,PAISLEY P-3,State Treasurer,,DEM,Over Votes,0,,,
Lake,CROOKED CREEK P-4,State Treasurer,,DEM,Over Votes,0,,,
Lake,NORTH WARNER P-5,State Treasurer,,DEM,Over Votes,0,,,
Lake,SOUTH WARNER P-6,State Treasurer,,DEM,Over Votes,0,,,
Lake,NORTH LAKEVIEW P-7,State Treasurer,,DEM,Over Votes,0,,,
Lake,SOUTH LAKEVIEW P-8,State Treasurer,,DEM,Over Votes,0,,,
Lake,FREMONT P-9,State Treasurer,,DEM,Over Votes,0,,,
Lake,GOOSE LAKE P-10,State Treasurer,,DEM,Over Votes,0,,,
Lake,COGSWELL CREEK P-11,State Treasurer,,DEM,Over Votes,0,,,
Lake,THOM. CRK. WESTSIDE P-12,State Treasurer,,DEM,Over Votes,0,,,
Lake,CHRISTMAS VALLEY P-13,State Treasurer,,DEM,Over Votes,0,,,
Lake,FORT ROCK P-14,State Treasurer,,DEM,Over Votes,0,,,
Lake,WEST LAKEVIEW P-15,State Treasurer,,DEM,Over Votes,0,,,
Lake,NEW PINE CREEK P-16,State Treasurer,,DEM,Over Votes,1,,,
Lake,VALLEY FALLS P-18,State Treasurer,,DEM,Over Votes,0,,,
Lake,NO. CENTRAL LKVW. P-20,State Treasurer,,DEM,Over Votes,0,,,
Lake,SO. CENTRAL LKVW. P-21,State Treasurer,,DEM,Over Votes,0,,,
Lake,SILVER LAKE P-1,State Treasurer,,DEM,Under Votes,2,,,
Lake,SUMMER LAKE P-2,State Treasurer,,DEM,Under Votes,5,,,
Lake,PAISLEY P-3,State Treasurer,,DEM,Under Votes,13,,,
Lake,CROOKED CREEK P-4,State Treasurer,,DEM,Under Votes,10,,,
Lake,NORTH WARNER P-5,State Treasurer,,DEM,Under Votes,0,,,
Lake,SOUTH WARNER P-6,State Treasurer,,DEM,Under Votes,0,,,
Lake,NORTH LAKEVIEW P-7,State Treasurer,,DEM,Under Votes,10,,,
Lake,SOUTH LAKEVIEW P-8,State Treasurer,,DEM,Under Votes,22,,,
Lake,FREMONT P-9,State Treasurer,,DEM,Under Votes,12,,,
Lake,GOOSE LAKE P-10,State Treasurer,,DEM,Under Votes,6,,,
Lake,COGSWELL CREEK P-11,State Treasurer,,DEM,Under Votes,23,,,
Lake,THOM. CRK. WESTSIDE P-12,State Treasurer,,DEM,Under Votes,30,,,
Lake,CHRISTMAS VALLEY P-13,State Treasurer,,DEM,Under Votes,33,,,
Lake,FORT ROCK P-14,State Treasurer,,DEM,Under Votes,6,,,
Lake,WEST LAKEVIEW P-15,State Treasurer,,DEM,Under Votes,4,,,
Lake,NEW PINE CREEK P-16,State Treasurer,,DEM,Under Votes,7,,,
Lake,VALLEY FALLS P-18,State Treasurer,,DEM,Under Votes,2,,,
Lake,NO. CENTRAL LKVW. P-20,State Treasurer,,DEM,Under Votes,16,,,
Lake,SO. CENTRAL LKVW. P-21,State Treasurer,,DEM,Under Votes,15,,,
Lake,SILVER LAKE P-1,Attorney General,,DEM,Dwight Holton,4,,,
Lake,SUMMER LAKE P-2,Attorney General,,DEM,Dwight Holton,3,,,
