county,precinct,office,district,party,candidate,votes,,,,
Linn,63,President,,DEM,Barack Obama,112,,,,
Linn,65,President,,DEM,Barack Obama,2,,,,
Linn,66,President,,DEM,Barack Obama,25,,,,
Linn,67,President,,DEM,Barack Obama,46,,,,
Linn,68,President,,DEM,Barack Obama,14,,,,
Linn,70,President,,DEM,Barack Obama,52,,,,
Linn,71,President,,DEM,Barack Obama,5,,,,
Linn,73,President,,DEM,Barack Obama,79,,,,
Linn,74,President,,DEM,Barack Obama,64,,,,
Linn,75,President,,DEM,Barack Obama,96,,,,
Linn,76,President,,DEM,Barack Obama,68,,,,
Linn,77,President,,DEM,Barack Obama,37,,,,
Linn,78,President,,DEM,Barack Obama,76,,,,
Linn,79,President,,DEM,Barack Obama,116,,,,
Linn,80,President,,DEM,Barack Obama,99,,,,
Linn,82,President,,DEM,Barack Obama,41,,,,
Linn,83,President,,DEM,Barack Obama,2,,,,
Linn,84,President,,DEM,Barack Obama,65,,,,
Linn,86,President,,DEM,Barack Obama,91,,,,
Linn,87,President,,DEM,Barack Obama,39,,,,
Linn,88,President,,DEM,Barack Obama,73,,,,
Linn,89,President,,DEM,Barack Obama,76,,,,
Linn,91,President,,DEM,Barack Obama,71,,,,
Linn,92,President,,DEM,Barack Obama,162,,,,
Linn,93,President,,DEM,Barack Obama,122,,,,
Linn,94,President,,DEM,Barack Obama,66,,,,
Linn,95,President,,DEM,Barack Obama,79,,,,
Linn,96,President,,DEM,Barack Obama,155,,,,
Linn,97,President,,DEM,Barack Obama,56,,,,
Linn,99,President,,DEM,Barack Obama,37,,,,
Linn,100,President,,DEM,Barack Obama,149,,,,
Linn,101,President,,DEM,Barack Obama,51,,,,
Linn,102,President,,DEM,Barack Obama,137,,,,
Linn,103,President,,DEM,Barack Obama,35,,,,
Linn,104,President,,DEM,Barack Obama,57,,,,
Linn,105,President,,DEM,Barack Obama,58,,,,
Linn,106,President,,DEM,Barack Obama,58,,,,
Linn,107,President,,DEM,Barack Obama,132,,,,
Linn,108,President,,DEM,Barack Obama,156,,,,
Linn,1,President,,DEM,Write-ins,1,,,,
Linn,3,President,,DEM,Write-ins,0,,,,
Linn,5,President,,DEM,Write-ins,6,,,,
Linn,8,President,,DEM,Write-ins,10,,,,
Linn,11,President,,DEM,Write-ins,3,,,,
Linn,14,President,,DEM,Write-ins,5,,,,
Linn,15,President,,DEM,Write-ins,2,,,,
Linn,16,President,,DEM,Write-ins,3,,,,
Linn,18,President,,DEM,Write-ins,24,,,,
Linn,19,President,,DEM,Write-ins,9,,,,
Linn,20,President,,DEM,Write-ins,5,,,,
Linn,21,President,,DEM,Write-ins,2,,,,
Linn,22,President,,DEM,Write-ins,0,,,,
Linn,23,President,,DEM,Write-ins,7,,,,
Linn,25,President,,DEM,Write-ins,5,,,,
Linn,26,President,,DEM,Write-ins,1,,,,
Linn,27,President,,DEM,Write-ins,4,,,,
Linn,28,President,,DEM,Write-ins,0,,,,
Linn,29,President,,DEM,Write-ins,13,,,,
Linn,30,President,,DEM,Write-ins,0,,,,
Linn,31,President,,DEM,Write-ins,5,,,,
Linn,32,President,,DEM,Write-ins,12,,,,
Linn,33,President,,DEM,Write-ins,0,,,,
Linn,34,President,,DEM,Write-ins,1,,,,
Linn,35,President,,DEM,Write-ins,13,,,,
Linn,36,President,,DEM,Write-ins,9,,,,
Linn,37,President,,DEM,Write-ins,5,,,,
Linn,38,President,,DEM,Write-ins,11,,,,
Linn,39,President,,DEM,Write-ins,5,,,,
Linn,41,President,,DEM,Write-ins,9,,,,
Linn,42,President,,DEM,Write-ins,13,,,,
Linn,43,President,,DEM,Write-ins,9,,,,
Linn,44,President,,DEM,Write-ins,5,,,,
Linn,45,President,,DEM,Write-ins,10,,,,
Linn,46,President,,DEM,Write-ins,14,,,,
Linn,47,President,,DEM,Write-ins,5,,,,
Linn,48,President,,DEM,Write-ins,8,,,,
Linn,49,President,,DEM,Write-ins,0,,,,
Linn,50,President,,DEM,Write-ins,9,,,,
Linn,51,President,,DEM,Write-ins,0,,,,
Linn,52,President,,DEM,Write-ins,0,,,,
Linn,53,President,,DEM,Write-ins,9,,,,
Linn,54,President,,DEM,Write-ins,6,,,,
Linn,55,President,,DEM,Write-ins,2,,,,
Linn,56,President,,DEM,Write-ins,6,,,,
Linn,57,President,,DEM,Write-ins,0,,,,
Linn,58,President,,DEM,Write-ins,3,,,,
Linn,59,President,,DEM,Write-ins,4,,,,
Linn,60,President,,DEM,Write-ins,8,,,,
Linn,61,President,,DEM,Write-ins,6,,,,
Linn,62,President,,DEM,Write-ins,12,,,,
Linn,63,President,,DEM,Write-ins,10,,,,
Linn,65,President,,DEM,Write-ins,0,,,,
Linn,66,President,,DEM,Write-ins,2,,,,
Linn,67,President,,DEM,Write-ins,5,,,,
Linn,68,President,,DEM,Write-ins,1,,,,
Linn,70,President,,DEM,Write-ins,12,,,,
Linn,71,President,,DEM,Write-ins,1,,,,
Linn,73,President,,DEM,Write-ins,8,,,,
Linn,74,President,,DEM,Write-ins,19,,,,
Linn,75,President,,DEM,Write-ins,6,,,,
Linn,76,President,,DEM,Write-ins,13,,,,
Linn,77,President,,DEM,Write-ins,3,,,,
Linn,78,President,,DEM,Write-ins,3,,,,
Linn,79,President,,DEM,Write-ins,8,,,,
Linn,80,President,,DEM,Write-ins,9,,,,
Linn,82,President,,DEM,Write-ins,2,,,,
Linn,83,President,,DEM,Write-ins,0,,,,
Linn,84,President,,DEM,Write-ins,4,,,,
Linn,86,President,,DEM,Write-ins,11,,,,
Linn,87,President,,DEM,Write-ins,3,,,,
Linn,88,President,,DEM,Write-ins,4,,,,
Linn,89,President,,DEM,Write-ins,11,,,,
Linn,91,President,,DEM,Write-ins,4,,,,
Linn,92,President,,DEM,Write-ins,19,,,,
Linn,93,President,,DEM,Write-ins,8,,,,
Linn,94,President,,DEM,Write-ins,8,,,,
Linn,95,President,,DEM,Write-ins,9,,,,
Linn,96,President,,DEM,Write-ins,4,,,,
Linn,97,President,,DEM,Write-ins,8,,,,
Linn,99,President,,DEM,Write-ins,4,,,,
Linn,100,President,,DEM,Write-ins,16,,,,
Linn,101,President,,DEM,Write-ins,3,,,,
Linn,102,President,,DEM,Write-ins,13,,,,
Linn,103,President,,DEM,Write-ins,2,,,,
Linn,104,President,,DEM,Write-ins,8,,,,
Linn,105,President,,DEM,Write-ins,5,,,,
Linn,106,President,,DEM,Write-ins,7,,,,
Linn,107,President,,DEM,Write-ins,12,,,,
Linn,108,President,,DEM,Write-ins,13,,,,
Linn,1,President,,DEM,Over Votes,0,,,,
Linn,3,President,,DEM,Over Votes,0,,,,
Linn,5,President,,DEM,Over Votes,0,,,,
Linn,8,President,,DEM,Over Votes,0,,,,
Linn,11,President,,DEM,Over Votes,0,,,,
Linn,14,President,,DEM,Over Votes,0,,,,
Linn,15,President,,DEM,Over Votes,0,,,,
Linn,16,President,,DEM,Over Votes,0,,,,
Linn,18,President,,DEM,Over Votes,0,,,,
Linn,19,President,,DEM,Over Votes,0,,,,
Linn,20,President,,DEM,Over Votes,0,,,,
Linn,21,President,,DEM,Over Votes,0,,,,
Linn,22,President,,DEM,Over Votes,0,,,,
Linn,23,President,,DEM,Over Votes,0,,,,
Linn,25,President,,DEM,Over Votes,0,,,,
Linn,26,President,,DEM,Over Votes,0,,,,
Linn,27,President,,DEM,Over Votes,0,,,,
Linn,28,President,,DEM,Over Votes,0,,,,
Linn,29,President,,DEM,Over Votes,0,,,,
Linn,30,President,,DEM,Over Votes,0,,,,
Linn,31,President,,DEM,Over Votes,0,,,,
Linn,32,President,,DEM,Over Votes,0,,,,
Linn,33,President,,DEM,Over Votes,0,,,,
Linn,34,President,,DEM,Over Votes,0,,,,
Linn,35,President,,DEM,Over Votes,0,,,,
Linn,36,President,,DEM,Over Votes,0,,,,
Linn,37,President,,DEM,Over Votes,0,,,,
Linn,38,President,,DEM,Over Votes,0,,,,
Linn,39,President,,DEM,Over Votes,0,,,,
Linn,41,President,,DEM,Over Votes,0,,,,
Linn,42,President,,DEM,Over Votes,0,,,,
Linn,43,President,,DEM,Over Votes,0,,,,
Linn,44,President,,DEM,Over Votes,0,,,,
Linn,45,President,,DEM,Over Votes,0,,,,
Linn,46,President,,DEM,Over Votes,0,,,,
Linn,47,President,,DEM,Over Votes,0,,,,
Linn,48,President,,DEM,Over Votes,0,,,,
Linn,49,President,,DEM,Over Votes,0,,,,
Linn,50,President,,DEM,Over Votes,0,,,,
Linn,51,President,,DEM,Over Votes,0,,,,
Linn,52,President,,DEM,Over Votes,0,,,,
Linn,53,President,,DEM,Over Votes,0,,,,
Linn,54,President,,DEM,Over Votes,0,,,,
Linn,55,President,,DEM,Over Votes,0,,,,
Linn,56,President,,DEM,Over Votes,0,,,,
Linn,57,President,,DEM,Over Votes,0,,,,
Linn,58,President,,DEM,Over Votes,0,,,,
Linn,59,President,,DEM,Over Votes,0,,,,
Linn,60,President,,DEM,Over Votes,0,,,,
Linn,61,President,,DEM,Over Votes,0,,,,
Linn,62,President,,DEM,Over Votes,0,,,,
Linn,63,President,,DEM,Over Votes,0,,,,
Linn,65,President,,DEM,Over Votes,0,,,,
Linn,66,President,,DEM,Over Votes,0,,,,
Linn,67,President,,DEM,Over Votes,0,,,,
Linn,68,President,,DEM,Over Votes,0,,,,
Linn,70,President,,DEM,Over Votes,0,,,,
Linn,71,President,,DEM,Over Votes,0,,,,
Linn,73,President,,DEM,Over Votes,0,,,,
Linn,74,President,,DEM,Over Votes,0,,,,
Linn,75,President,,DEM,Over Votes,0,,,,
Linn,76,President,,DEM,Over Votes,0,,,,
Linn,77,President,,DEM,Over Votes,0,,,,
Linn,78,President,,DEM,Over Votes,1,,,,
Linn,79,President,,DEM,Over Votes,0,,,,
Linn,80,President,,DEM,Over Votes,0,,,,
Linn,82,President,,DEM,Over Votes,0,,,,
Linn,83,President,,DEM,Over Votes,0,,,,
Linn,84,President,,DEM,Over Votes,0,,,,
Linn,86,President,,DEM,Over Votes,0,,,,
Linn,87,President,,DEM,Over Votes,0,,,,
Linn,88,President,,DEM,Over Votes,0,,,,
Linn,89,President,,DEM,Over Votes,0,,,,
Linn,91,President,,DEM,Over Votes,0,,,,
Linn,92,President,,DEM,Over Votes,0,,,,
Linn,93,President,,DEM,Over Votes,0,,,,
Linn,94,President,,DEM,Over Votes,0,,,,
Linn,95,President,,DEM,Over Votes,0,,,,
Linn,96,President,,DEM,Over Votes,0,,,,
Linn,97,President,,DEM,Over Votes,0,,,,
Linn,99,President,,DEM,Over Votes,0,,,,
Linn,100,President,,DEM,Over Votes,0,,,,
Linn,101,President,,DEM,Over Votes,0,,,,
Linn,102,President,,DEM,Over Votes,0,,,,
Linn,103,President,,DEM,Over Votes,0,,,,
Linn,104,President,,DEM,Over Votes,0,,,,
Linn,105,President,,DEM,Over Votes,0,,,,
Linn,106,President,,DEM,Over Votes,0,,,,
Linn,107,President,,DEM,Over Votes,0,,,,
Linn,108,President,,DEM,Over Votes,0,,,,
Linn,1,President,,DEM,Under Votes,7,,,,
Linn,3,President,,DEM,Under Votes,10,,,,
Linn,5,President,,DEM,Under Votes,16,,,,
Linn,8,President,,DEM,Under Votes,12,,,,
Linn,11,President,,DEM,Under Votes,16,,,,
Linn,14,President,,DEM,Under Votes,26,,,,
Linn,15,President,,DEM,Under Votes,6,,,,
Linn,16,President,,DEM,Under Votes,14,,,,
Linn,18,President,,DEM,Under Votes,34,,,,
Linn,19,President,,DEM,Under Votes,14,,,,
Linn,20,President,,DEM,Under Votes,8,,,,
Linn,21,President,,DEM,Under Votes,8,,,,
Linn,22,President,,DEM,Under Votes,1,,,,
Linn,23,President,,DEM,Under Votes,12,,,,
Linn,25,President,,DEM,Under Votes,16,,,,
Linn,26,President,,DEM,Under Votes,5,,,,
Linn,27,President,,DEM,Under Votes,10,,,,
Linn,28,President,,DEM,Under Votes,1,,,,
Linn,29,President,,DEM,Under Votes,21,,,,
Linn,30,President,,DEM,Under Votes,3,,,,
Linn,31,President,,DEM,Under Votes,13,,,,
Linn,32,President,,DEM,Under Votes,16,,,,
Linn,33,President,,DEM,Under Votes,2,,,,
Linn,34,President,,DEM,Under Votes,9,,,,
Linn,35,President,,DEM,Under Votes,37,,,,
Linn,36,President,,DEM,Under Votes,14,,,,
Linn,37,President,,DEM,Under Votes,21,,,,
Linn,38,President,,DEM,Under Votes,13,,,,
Linn,39,President,,DEM,Under Votes,7,,,,
Linn,41,President,,DEM,Under Votes,8,,,,
Linn,42,President,,DEM,Under Votes,21,,,,
Linn,43,President,,DEM,Under Votes,8,,,,
Linn,44,President,,DEM,Under Votes,6,,,,
Linn,45,President,,DEM,Under Votes,16,,,,
Linn,46,President,,DEM,Under Votes,21,,,,
Linn,47,President,,DEM,Under Votes,3,,,,
Linn,48,President,,DEM,Under Votes,32,,,,
Linn,49,President,,DEM,Under Votes,0,,,,
Linn,50,President,,DEM,Under Votes,12,,,,
Linn,51,President,,DEM,Under Votes,4,,,,
Linn,52,President,,DEM,Under Votes,7,,,,
Linn,53,President,,DEM,Under Votes,18,,,,
Linn,54,President,,DEM,Under Votes,9,,,,
Linn,55,President,,DEM,Under Votes,7,,,,
Linn,56,President,,DEM,Under Votes,11,,,,
Linn,57,President,,DEM,Under Votes,0,,,,
Linn,58,President,,DEM,Under Votes,2,,,,
Linn,59,President,,DEM,Under Votes,24,,,,
Linn,60,President,,DEM,Under Votes,9,,,,
Linn,61,President,,DEM,Under Votes,16,,,,
Linn,62,President,,DEM,Under Votes,21,,,,
Linn,63,President,,DEM,Under Votes,31,,,,
Linn,65,President,,DEM,Under Votes,0,,,,
Linn,66,President,,DEM,Under Votes,5,,,,
Linn,67,President,,DEM,Under Votes,9,,,,
Linn,68,President,,DEM,Under Votes,3,,,,
Linn,70,President,,DEM,Under Votes,11,,,,
Linn,71,President,,DEM,Under Votes,1,,,,
Linn,73,President,,DEM,Under Votes,20,,,,
Linn,74,President,,DEM,Under Votes,17,,,,
Linn,75,President,,DEM,Under Votes,18,,,,
Linn,76,President,,DEM,Under Votes,18,,,,
Linn,77,President,,DEM,Under Votes,13,,,,
Linn,78,President,,DEM,Under Votes,11,,,,
Linn,79,President,,DEM,Under Votes,25,,,,
Linn,80,President,,DEM,Under Votes,37,,,,
Linn,82,President,,DEM,Under Votes,8,,,,
Linn,83,President,,DEM,Under Votes,0,,,,
Linn,84,President,,DEM,Under Votes,18,,,,
Linn,86,President,,DEM,Under Votes,13,,,,
Linn,87,President,,DEM,Under Votes,4,,,,
Linn,88,President,,DEM,Under Votes,17,,,,
Linn,89,President,,DEM,Under Votes,18,,,,
Linn,91,President,,DEM,Under Votes,10,,,,
Linn,92,President,,DEM,Under Votes,29,,,,
Linn,93,President,,DEM,Under Votes,31,,,,
Linn,94,President,,DEM,Under Votes,5,,,,
Linn,95,President,,DEM,Under Votes,27,,,,
Linn,96,President,,DEM,Under Votes,14,,,,
Linn,97,President,,DEM,Under Votes,21,,,,
Linn,99,President,,DEM,Under Votes,8,,,,
Linn,100,President,,DEM,Under Votes,25,,,,
Linn,101,President,,DEM,Under Votes,19,,,,
Linn,102,President,,DEM,Under Votes,31,,,,
Linn,103,President,,DEM,Under Votes,26,,,,
Linn,104,President,,DEM,Under Votes,15,,,,
Linn,105,President,,DEM,Under Votes,13,,,,
Linn,106,President,,DEM,Under Votes,15,,,,
Linn,107,President,,DEM,Under Votes,23,,,,
Linn,108,President,,DEM,Under Votes,38,,,,
Linn,1,U.S. House,4,DEM,Peter A DeFazio,105,,,,
Linn,3,U.S. House,4,DEM,Peter A DeFazio,98,,,,
Linn,5,U.S. House,4,DEM,Peter A DeFazio,89,,,,
Linn,8,U.S. House,4,DEM,Peter A DeFazio,72,,,,
Linn,11,U.S. House,4,DEM,Peter A DeFazio,70,,,,
Linn,14,U.S. House,4,DEM,Peter A DeFazio,72,,,,
Linn,15,U.S. House,4,DEM,Peter A DeFazio,27,,,,
Linn,16,U.S. House,4,DEM,Peter A DeFazio,91,,,,
Linn,18,U.S. House,4,DEM,Peter A DeFazio,247,,,,
Linn,19,U.S. House,4,DEM,Peter A DeFazio,97,,,,
Linn,20,U.S. House,4,DEM,Peter A DeFazio,50,,,,
Linn,21,U.S. House,4,DEM,Peter A DeFazio,27,,,,
Linn,22,U.S. House,4,DEM,Peter A DeFazio,4,,,,
Linn,23,U.S. House,4,DEM,Peter A DeFazio,78,,,,
Linn,25,U.S. House,4,DEM,Peter A DeFazio,72,,,,
Linn,26,U.S. House,4,DEM,Peter A DeFazio,24,,,,
Linn,27,U.S. House,4,DEM,Peter A DeFazio,53,,,,
Linn,28,U.S. House,4,DEM,Peter A DeFazio,9,,,,
Linn,29,U.S. House,4,DEM,Peter A DeFazio,136,,,,
Linn,30,U.S. House,4,DEM,Peter A DeFazio,13,,,,
Linn,31,U.S. House,4,DEM,Peter A DeFazio,39,,,,
Linn,32,U.S. House,4,DEM,Peter A DeFazio,56,,,,
Linn,33,U.S. House,4,DEM,Peter A DeFazio,1,,,,
Linn,34,U.S. House,4,DEM,Peter A DeFazio,22,,,,
Linn,35,U.S. House,4,DEM,Peter A DeFazio,128,,,,
Linn,36,U.S. House,4,DEM,Peter A DeFazio,99,,,,
Linn,37,U.S. House,4,DEM,Peter A DeFazio,82,,,,
Linn,38,U.S. House,4,DEM,Peter A DeFazio,68,,,,
Linn,39,U.S. House,4,DEM,Peter A DeFazio,62,,,,
Linn,41,U.S. House,4,DEM,Peter A DeFazio,58,,,,
Linn,42,U.S. House,4,DEM,Peter A DeFazio,67,,,,
Linn,43,U.S. House,4,DEM,Peter A DeFazio,60,,,,
Linn,44,U.S. House,4,DEM,Peter A DeFazio,122,,,,
Linn,45,U.S. House,4,DEM,Peter A DeFazio,45,,,,
Linn,46,U.S. House,4,DEM,Peter A DeFazio,92,,,,
Linn,47,U.S. House,4,DEM,Peter A DeFazio,48,,,,
Linn,48,U.S. House,4,DEM,Peter A DeFazio,149,,,,
Linn,49,U.S. House,4,DEM,Peter A DeFazio,0,,,,
Linn,50,U.S. House,4,DEM,Peter A DeFazio,32,,,,
Linn,51,U.S. House,4,DEM,Peter A DeFazio,12,,,,
Linn,52,U.S. House,4,DEM,Peter A DeFazio,39,,,,
Linn,53,U.S. House,4,DEM,Peter A DeFazio,55,,,,
Linn,54,U.S. House,4,DEM,Peter A DeFazio,27,,,,
Linn,55,U.S. House,4,DEM,Peter A DeFazio,40,,,,
Linn,56,U.S. House,4,DEM,Peter A DeFazio,57,,,,
Linn,57,U.S. House,4,DEM,Peter A DeFazio,4,,,,
Linn,58,U.S. House,4,DEM,Peter A DeFazio,9,,,,
Linn,59,U.S. House,4,DEM,Peter A DeFazio,55,,,,
Linn,60,U.S. House,4,DEM,Peter A DeFazio,64,,,,
Linn,61,U.S. House,4,DEM,Peter A DeFazio,50,,,,
Linn,62,U.S. House,4,DEM,Peter A DeFazio,83,,,,
Linn,63,U.S. House,4,DEM,Peter A DeFazio,124,,,,
Linn,65,U.S. House,4,DEM,Peter A DeFazio,2,,,,
Linn,66,U.S. House,4,DEM,Peter A DeFazio,20,,,,
Linn,67,U.S. House,4,DEM,Peter A DeFazio,44,,,,
Linn,68,U.S. House,4,DEM,Peter A DeFazio,13,,,,
Linn,70,U.S. House,4,DEM,Peter A DeFazio,54,,,,
Linn,71,U.S. House,4,DEM,Peter A DeFazio,4,,,,
Linn,73,U.S. House,4,DEM,Peter A DeFazio,89,,,,
Linn,74,U.S. House,4,DEM,Peter A DeFazio,78,,,,
Linn,75,U.S. House,4,DEM,Peter A DeFazio,94,,,,
Linn,76,U.S. House,4,DEM,Peter A DeFazio,84,,,,
Linn,77,U.S. House,4,DEM,Peter A DeFazio,35,,,,
Linn,78,U.S. House,4,DEM,Peter A DeFazio,77,,,,
Linn,79,U.S. House,4,DEM,Peter A DeFazio,118,,,,
Linn,80,U.S. House,4,DEM,Peter A DeFazio,112,,,,
Linn,82,U.S. House,4,DEM,Peter A DeFazio,38,,,,
Linn,83,U.S. House,4,DEM,Peter A DeFazio,2,,,,
Linn,84,U.S. House,4,DEM,Peter A DeFazio,68,,,,
Linn,86,U.S. House,4,DEM,Peter A DeFazio,90,,,,
Linn,87,U.S. House,4,DEM,Peter A DeFazio,42,,,,
Linn,88,U.S. House,4,DEM,Peter A DeFazio,79,,,,
Linn,89,U.S. House,4,DEM,Peter A DeFazio,83,,,,
Linn,91,U.S. House,4,DEM,Peter A DeFazio,68,,,,
Linn,92,U.S. House,4,DEM,Peter A DeFazio,170,,,,
Linn,93,U.S. House,4,DEM,Peter A DeFazio,118,,,,
Linn,94,U.S. House,4,DEM,Peter A DeFazio,63,,,,
Linn,95,U.S. House,4,DEM,Peter A DeFazio,82,,,,
Linn,96,U.S. House,4,DEM,Peter A DeFazio,151,,,,
Linn,97,U.S. House,4,DEM,Peter A DeFazio,70,,,,
Linn,99,U.S. House,4,DEM,Peter A DeFazio,41,,,,
Linn,100,U.S. House,4,DEM,Peter A DeFazio,150,,,,
Linn,101,U.S. House,4,DEM,Peter A DeFazio,56,,,,
Linn,102,U.S. House,4,DEM,Peter A DeFazio,135,,,,
Linn,103,U.S. House,4,DEM,Peter A DeFazio,37,,,,
Linn,104,U.S. House,4,DEM,Peter A DeFazio,63,,,,
Linn,105,U.S. House,4,DEM,Peter A DeFazio,55,,,,
Linn,106,U.S. House,4,DEM,Peter A DeFazio,60,,,,
Linn,107,U.S. House,4,DEM,Peter A DeFazio,143,,,,
Linn,108,U.S. House,4,DEM,Peter A DeFazio,161,,,,
Linn,1,U.S. House,4,DEM,Matthew L Robinson,6,,,,
Linn,3,U.S. House,4,DEM,Matthew L Robinson,7,,,,
Linn,5,U.S. House,4,DEM,Matthew L Robinson,14,,,,
Linn,8,U.S. House,4,DEM,Matthew L Robinson,13,,,,
Linn,11,U.S. House,4,DEM,Matthew L Robinson,5,,,,
Linn,14,U.S. House,4,DEM,Matthew L Robinson,28,,,,
Linn,15,U.S. House,4,DEM,Matthew L Robinson,3,,,,
Linn,16,U.S. House,4,DEM,Matthew L Robinson,14,,,,
Linn,18,U.S. House,4,DEM,Matthew L Robinson,44,,,,
Linn,19,U.S. House,4,DEM,Matthew L Robinson,16,,,,
Linn,20,U.S. House,4,DEM,Matthew L Robinson,11,,,,
Linn,21,U.S. House,4,DEM,Matthew L Robinson,7,,,,
Linn,22,U.S. House,4,DEM,Matthew L Robinson,4,,,,
Linn,23,U.S. House,4,DEM,Matthew L Robinson,15,,,,
Linn,25,U.S. House,4,DEM,Matthew L Robinson,15,,,,
Linn,26,U.S. House,4,DEM,Matthew L Robinson,5,,,,
Linn,27,U.S. House,4,DEM,Matthew L Robinson,8,,,,
Linn,28,U.S. House,4,DEM,Matthew L Robinson,1,,,,
Linn,29,U.S. House,4,DEM,Matthew L Robinson,13,,,,
Linn,30,U.S. House,4,DEM,Matthew L Robinson,3,,,,
Linn,31,U.S. House,4,DEM,Matthew L Robinson,17,,,,
Linn,32,U.S. House,4,DEM,Matthew L Robinson,18,,,,
Linn,33,U.S. House,4,DEM,Matthew L Robinson,6,,,,
Linn,34,U.S. House,4,DEM,Matthew L Robinson,6,,,,
Linn,35,U.S. House,4,DEM,Matthew L Robinson,33,,,,
Linn,36,U.S. House,4,DEM,Matthew L Robinson,17,,,,
Linn,37,U.S. House,4,DEM,Matthew L Robinson,23,,,,
Linn,38,U.S. House,4,DEM,Matthew L Robinson,13,,,,
Linn,39,U.S. House,4,DEM,Matthew L Robinson,13,,,,
Linn,41,U.S. House,4,DEM,Matthew L Robinson,10,,,,
Linn,42,U.S. House,4,DEM,Matthew L Robinson,23,,,,
Linn,43,U.S. House,4,DEM,Matthew L Robinson,14,,,,
Linn,44,U.S. House,4,DEM,Matthew L Robinson,10,,,,
Linn,45,U.S. House,4,DEM,Matthew L Robinson,20,,,,
Linn,46,U.S. House,4,DEM,Matthew L Robinson,24,,,,
Linn,47,U.S. House,4,DEM,Matthew L Robinson,4,,,,
Linn,48,U.S. House,4,DEM,Matthew L Robinson,25,,,,
Linn,49,U.S. House,4,DEM,Matthew L Robinson,0,,,,
Linn,50,U.S. House,4,DEM,Matthew L Robinson,12,,,,
Linn,51,U.S. House,4,DEM,Matthew L Robinson,4,,,,
Linn,52,U.S. House,4,DEM,Matthew L Robinson,7,,,,
Linn,53,U.S. House,4,DEM,Matthew L Robinson,21,,,,
Linn,54,U.S. House,4,DEM,Matthew L Robinson,6,,,,
Linn,55,U.S. House,4,DEM,Matthew L Robinson,10,,,,
Linn,56,U.S. House,4,DEM,Matthew L Robinson,16,,,,
Linn,57,U.S. House,4,DEM,Matthew L Robinson,0,,,,
Linn,58,U.S. House,4,DEM,Matthew L Robinson,3,,,,
Linn,59,U.S. House,4,DEM,Matthew L Robinson,8,,,,
Linn,60,U.S. House,4,DEM,Matthew L Robinson,12,,,,
Linn,61,U.S. House,4,DEM,Matthew L Robinson,2,,,,
Linn,62,U.S. House,4,DEM,Matthew L Robinson,25,,,,
Linn,63,U.S. House,4,DEM,Matthew L Robinson,26,,,,
Linn,65,U.S. House,4,DEM,Matthew L Robinson,0,,,,
Linn,66,U.S. House,4,DEM,Matthew L Robinson,11,,,,
