county,office,district,party,candidate,precinct,votes
Sherman,State House,57,D,Phillip McCullough,Grass Valley #4,0
Sherman,State House,57,D,Phillip McCullough,Kent #5,0
Sherman,State House,57,D,Write-ins,Rufus #1,1
Sherman,State House,57,D,Write-ins,Wasco #2,0
Sherman,State House,57,D,Write-ins,Moro #3,0
Sherman,State House,57,D,Write-ins,Grass Valley #4,0
Sherman,State House,57,D,Write-ins,Kent #5,0
Sherman,State House,57,D,Over Votes,Rufus #1,0
Sherman,State House,57,D,Over Votes,Wasco #2,0
Sherman,State House,57,D,Over Votes,Moro #3,0
Sherman,State House,57,D,Over Votes,Grass Valley #4,0
Sherman,State House,57,D,Over Votes,Kent #5,0
Sherman,State House,57,D,Under Votes,Rufus #1,27
Sherman,State House,57,D,Under Votes,Wasco #2,60
Sherman,State House,57,D,Under Votes,Moro #3,41
Sherman,State House,57,D,Under Votes,Grass Valley #4,25
Sherman,State House,57,D,Under Votes,Kent #5,4
Sherman,President,,R,Rick Santorum,Rufus #1,6
Sherman,President,,R,Rick Santorum,Wasco #2,10
Sherman,President,,R,Rick Santorum,Moro #3,11
Sherman,President,,R,Rick Santorum,Grass Valley #4,11
Sherman,President,,R,Rick Santorum,Kent #5,5
Sherman,President,,R,Ron Paul,Rufus #1,4
Sherman,President,,R,Ron Paul,Wasco #2,11
Sherman,President,,R,Ron Paul,Moro #3,9
Sherman,President,,R,Ron Paul,Grass Valley #4,9
Sherman,President,,R,Ron Paul,Kent #5,7
Sherman,President,,R,Newt Gingrich,Rufus #1,1
Sherman,President,,R,Newt Gingrich,Wasco #2,7
Sherman,President,,R,Newt Gingrich,Moro #3,11
Sherman,President,,R,Newt Gingrich,Grass Valley #4,4
Sherman,President,,R,Newt Gingrich,Kent #5,1
Sherman,President,,R,Mitt Romney,Rufus #1,24
Sherman,President,,R,Mitt Romney,Wasco #2,86
Sherman,President,,R,Mitt Romney,Moro #3,79
Sherman,President,,R,Mitt Romney,Grass Valley #4,43
Sherman,President,,R,Mitt Romney,Kent #5,21
Sherman,President,,R,Write-ins,Rufus #1,1
Sherman,President,,R,Write-ins,Wasco #2,1
Sherman,President,,R,Write-ins,Moro #3,0
Sherman,President,,R,Write-ins,Grass Valley #4,1
Sherman,President,,R,Write-ins,Kent #5,0
Sherman,President,,R,Over Votes,Rufus #1,0
Sherman,President,,R,Over Votes,Wasco #2,0
Sherman,President,,R,Over Votes,Moro #3,0
Sherman,President,,R,Over Votes,Grass Valley #4,0
Sherman,President,,R,Over Votes,Kent #5,0
Sherman,President,,R,Under Votes,Rufus #1,2
Sherman,President,,R,Under Votes,Wasco #2,6
Sherman,President,,R,Under Votes,Moro #3,12
Sherman,President,,R,Under Votes,Grass Valley #4,7
Sherman,President,,R,Under Votes,Kent #5,6
Sherman,U.S. House,2,R,Greg Walden,Rufus #1,31
Sherman,U.S. House,2,R,Greg Walden,Wasco #2,106
Sherman,U.S. House,2,R,Greg Walden,Moro #3,116
Sherman,U.S. House,2,R,Greg Walden,Grass Valley #4,67
Sherman,U.S. House,2,R,Greg Walden,Kent #5,34
Sherman,U.S. House,2,R,Write-ins,Rufus #1,0
Sherman,U.S. House,2,R,Write-ins,Wasco #2,2
Sherman,U.S. House,2,R,Write-ins,Moro #3,0
Sherman,U.S. House,2,R,Write-ins,Grass Valley #4,0
Sherman,U.S. House,2,R,Write-ins,Kent #5,1
Sherman,U.S. House,2,R,Over Votes,Rufus #1,0
Sherman,U.S. House,2,R,Over Votes,Wasco #2,0
Sherman,U.S. House,2,R,Over Votes,Moro #3,0
Sherman,U.S. House,2,R,Over Votes,Grass Valley #4,0
Sherman,U.S. House,2,R,Over Votes,Kent #5,0
Sherman,U.S. House,2,R,Under Votes,Rufus #1,7
Sherman,U.S. House,2,R,Under Votes,Wasco #2,13
Sherman,U.S. House,2,R,Under Votes,Moro #3,6
Sherman,U.S. House,2,R,Under Votes,Grass Valley #4,8
Sherman,U.S. House,2,R,Under Votes,Kent #5,5
Sherman,Secretary of State,,R,Knute Buehler,Rufus #1,21
Sherman,Secretary of State,,R,Knute Buehler,Wasco #2,81
Sherman,Secretary of State,,R,Knute Buehler,Moro #3,84
