county,precinct_number,precinct,office,district,party,candidate,votes
Columbia,6,South Delena,President,,D,Misc.,7
Columbia,7,North Delena,President,,D,Misc.,13
Columbia,8,Goble,President,,D,Misc.,12
Columbia,9,Marshland,President,,D,Misc.,4
Columbia,10,South Milton,President,,D,Misc.,5
Columbia,11,North Milton,President,,D,Misc.,6
Columbia,12,South McNulty,President,,D,Misc.,4
Columbia,13,North McNulty,President,,D,Misc.,2
Columbia,14,Quincy,President,,D,Misc.,6
Columbia,15,Rainier 1,President,,D,Misc.,3
Columbia,16,Rainier 2,President,,D,Misc.,9
Columbia,17,West Rainier,President,,D,Misc.,7
Columbia,18,East Rainier,President,,D,Misc.,2
Columbia,19,South Warren,President,,D,Misc.,6
Columbia,20,North Warren,President,,D,Misc.,6
Columbia,21,St. Helens 1,President,,D,Misc.,5
Columbia,22,St. Helens 2,President,,D,Misc.,8
Columbia,23,St. Helens 3,President,,D,Misc.,9
Columbia,24,St. Helens 4,President,,D,Misc.,6
Columbia,25,St. Helens 5,President,,D,Misc.,5
Columbia,26,St. Helens 6,President,,D,Misc.,28
Columbia,27,St. Helens 7,President,,D,Misc.,5
Columbia,28,St. Helens 8,President,,D,Misc.,5
Columbia,29,St. Helens 9,President,,D,Misc.,9
Columbia,30,South St. Helens,President,,D,Misc.,3
Columbia,31,Scappoose 1,President,,D,Misc.,7
Columbia,32,Scappoose 2,President,,D,Misc.,6
Columbia,33,Scappoose 3,President,,D,Misc.,7
Columbia,34,Scappoose 4,President,,D,Misc.,5
Columbia,35,South Scappoose,President,,D,Misc.,7
Columbia,36,Canyon,President,,D,Misc.,3
Columbia,37,East Scappoose,President,,D,Misc.,6
Columbia,38,West Scappoose,President,,D,Misc.,6
Columbia,39,Sauvie Island,President,,D,Misc.,0
Columbia,40,Yankton,President,,D,Misc.,14
Columbia,41,Vernonia 1,President,,D,Misc.,4
Columbia,42,Vernonia 2,President,,D,Misc.,4
Columbia,43,Vernonia 3,President,,D,Misc.,2
Columbia,44,Vernonia 4,President,,D,Misc.,2
Columbia,45,Vernonia 5,President,,D,Misc.,8
Columbia,46,Apiary,President,,D,Misc.,8
Columbia,47,Chapman,President,,D,Misc.,4
Columbia,48,South Deer Island,President,,D,Misc.,4
Columbia,49,North Deer Island,President,,D,Misc.,6
Columbia,50,Prescott,President,,D,Misc.,0
Columbia,51,South Mist,President,,D,Misc.,0
Columbia,52,North Mist,President,,D,Misc.,1
Columbia,53,Columbia City,President,,D,Misc.,16
Columbia,55,East Chapman,President,,D,Misc.,7
Columbia,1,Clatskanie 1,President,,D,Over Votes,0
Columbia,2,Clatskanie 2,President,,D,Over Votes,0
Columbia,3,Clatskanie 3,President,,D,Over Votes,0
Columbia,4,North Clatskanie,President,,D,Over Votes,0
Columbia,5,South Clatskanie,President,,D,Over Votes,0
Columbia,6,South Delena,President,,D,Over Votes,0
Columbia,7,North Delena,President,,D,Over Votes,0
Columbia,8,Goble,President,,D,Over Votes,0
Columbia,9,Marshland,President,,D,Over Votes,0
Columbia,10,South Milton,President,,D,Over Votes,0
Columbia,11,North Milton,President,,D,Over Votes,0
Columbia,12,South McNulty,President,,D,Over Votes,0
Columbia,13,North McNulty,President,,D,Over Votes,0
Columbia,14,Quincy,President,,D,Over Votes,0
Columbia,15,Rainier 1,President,,D,Over Votes,0
Columbia,16,Rainier 2,President,,D,Over Votes,0
Columbia,17,West Rainier,President,,D,Over Votes,0
Columbia,18,East Rainier,President,,D,Over Votes,0
Columbia,19,South Warren,President,,D,Over Votes,0
Columbia,20,North Warren,President,,D,Over Votes,0
Columbia,21,St. Helens 1,President,,D,Over Votes,0
Columbia,22,St. Helens 2,President,,D,Over Votes,0
Columbia,23,St. Helens 3,President,,D,Over Votes,0
Columbia,24,St. Helens 4,President,,D,Over Votes,0
Columbia,25,St. Helens 5,President,,D,Over Votes,0
Columbia,26,St. Helens 6,President,,D,Over Votes,0
Columbia,27,St. Helens 7,President,,D,Over Votes,0
Columbia,28,St. Helens 8,President,,D,Over Votes,0
Columbia,29,St. Helens 9,President,,D,Over Votes,0
Columbia,30,South St. Helens,President,,D,Over Votes,0
Columbia,31,Scappoose 1,President,,D,Over Votes,0
Columbia,32,Scappoose 2,President,,D,Over Votes,0
Columbia,33,Scappoose 3,President,,D,Over Votes,0
Columbia,34,Scappoose 4,President,,D,Over Votes,0
Columbia,35,South Scappoose,President,,D,Over Votes,0
Columbia,36,Canyon,President,,D,Over Votes,0
Columbia,37,East Scappoose,President,,D,Over Votes,0
Columbia,38,West Scappoose,President,,D,Over Votes,0
Columbia,39,Sauvie Island,President,,D,Over Votes,0
Columbia,40,Yankton,President,,D,Over Votes,0
Columbia,41,Vernonia 1,President,,D,Over Votes,0
Columbia,42,Vernonia 2,President,,D,Over Votes,0
Columbia,43,Vernonia 3,President,,D,Over Votes,0
Columbia,44,Vernonia 4,President,,D,Over Votes,0
Columbia,45,Vernonia 5,President,,D,Over Votes,0
Columbia,46,Apiary,President,,D,Over Votes,0
Columbia,47,Chapman,President,,D,Over Votes,0
Columbia,48,South Deer Island,President,,D,Over Votes,0
Columbia,49,North Deer Island,President,,D,Over Votes,0
Columbia,50,Prescott,President,,D,Over Votes,0
Columbia,51,South Mist,President,,D,Over Votes,0
Columbia,52,North Mist,President,,D,Over Votes,0
Columbia,53,Columbia City,President,,D,Over Votes,0
Columbia,55,East Chapman,President,,D,Over Votes,0
Columbia,1,Clatskanie 1,President,,D,Under Votes,8
Columbia,2,Clatskanie 2,President,,D,Under Votes,10
Columbia,3,Clatskanie 3,President,,D,Under Votes,6
Columbia,4,North Clatskanie,President,,D,Under Votes,3
Columbia,5,South Clatskanie,President,,D,Under Votes,11
Columbia,6,South Delena,President,,D,Under Votes,15
Columbia,7,North Delena,President,,D,Under Votes,15
Columbia,8,Goble,President,,D,Under Votes,16
Columbia,9,Marshland,President,,D,Under Votes,12
Columbia,10,South Milton,President,,D,Under Votes,14
Columbia,11,North Milton,President,,D,Under Votes,11
Columbia,12,South McNulty,President,,D,Under Votes,10
Columbia,13,North McNulty,President,,D,Under Votes,14
Columbia,14,Quincy,President,,D,Under Votes,7
Columbia,15,Rainier 1,President,,D,Under Votes,7
Columbia,16,Rainier 2,President,,D,Under Votes,26
Columbia,17,West Rainier,President,,D,Under Votes,10
Columbia,18,East Rainier,President,,D,Under Votes,8
Columbia,19,South Warren,President,,D,Under Votes,30
Columbia,20,North Warren,President,,D,Under Votes,23
Columbia,21,St. Helens 1,President,,D,Under Votes,7
Columbia,22,St. Helens 2,President,,D,Under Votes,13
Columbia,23,St. Helens 3,President,,D,Under Votes,9
Columbia,24,St. Helens 4,President,,D,Under Votes,8
Columbia,25,St. Helens 5,President,,D,Under Votes,10
Columbia,26,St. Helens 6,President,,D,Under Votes,43
Columbia,27,St. Helens 7,President,,D,Under Votes,7
Columbia,28,St. Helens 8,President,,D,Under Votes,14
Columbia,29,St. Helens 9,President,,D,Under Votes,10
Columbia,30,South St. Helens,President,,D,Under Votes,6
Columbia,31,Scappoose 1,President,,D,Under Votes,15
Columbia,32,Scappoose 2,President,,D,Under Votes,5
Columbia,33,Scappoose 3,President,,D,Under Votes,19
Columbia,34,Scappoose 4,President,,D,Under Votes,20
Columbia,35,South Scappoose,President,,D,Under Votes,13
Columbia,36,Canyon,President,,D,Under Votes,10
Columbia,37,East Scappoose,President,,D,Under Votes,7
Columbia,38,West Scappoose,President,,D,Under Votes,6
Columbia,39,Sauvie Island,President,,D,Under Votes,1
Columbia,40,Yankton,President,,D,Under Votes,27
Columbia,41,Vernonia 1,President,,D,Under Votes,7
Columbia,42,Vernonia 2,President,,D,Under Votes,12
Columbia,43,Vernonia 3,President,,D,Under Votes,15
Columbia,44,Vernonia 4,President,,D,Under Votes,3
Columbia,45,Vernonia 5,President,,D,Under Votes,20
Columbia,46,Apiary,President,,D,Under Votes,8
Columbia,47,Chapman,President,,D,Under Votes,11
Columbia,48,South Deer Island,President,,D,Under Votes,7
Columbia,49,North Deer Island,President,,D,Under Votes,16
Columbia,50,Prescott,President,,D,Under Votes,1
Columbia,51,South Mist,President,,D,Under Votes,1
Columbia,52,North Mist,President,,D,Under Votes,0
Columbia,53,Columbia City,President,,D,Under Votes,29
Columbia,55,East Chapman,President,,D,Under Votes,7
Columbia,1,Clatskanie 1,U.S. House,1,D,Suzanne Bonamici,41
Columbia,2,Clatskanie 2,U.S. House,1,D,Suzanne Bonamici,51
Columbia,3,Clatskanie 3,U.S. House,1,D,Suzanne Bonamici,33
Columbia,4,North Clatskanie,U.S. House,1,D,Suzanne Bonamici,41
Columbia,5,South Clatskanie,U.S. House,1,D,Suzanne Bonamici,68
Columbia,6,South Delena,U.S. House,1,D,Suzanne Bonamici,64
Columbia,7,North Delena,U.S. House,1,D,Suzanne Bonamici,102
Columbia,8,Goble,U.S. House,1,D,Suzanne Bonamici,92
Columbia,9,Marshland,U.S. House,1,D,Suzanne Bonamici,45
Columbia,10,South Milton,U.S. House,1,D,Suzanne Bonamici,53
Columbia,11,North Milton,U.S. House,1,D,Suzanne Bonamici,70
Columbia,12,South McNulty,U.S. House,1,D,Suzanne Bonamici,89
Columbia,13,North McNulty,U.S. House,1,D,Suzanne Bonamici,92
Columbia,14,Quincy,U.S. House,1,D,Suzanne Bonamici,66
Columbia,15,Rainier 1,U.S. House,1,D,Suzanne Bonamici,53
Columbia,16,Rainier 2,U.S. House,1,D,Suzanne Bonamici,109
Columbia,17,West Rainier,U.S. House,1,D,Suzanne Bonamici,56
Columbia,18,East Rainier,U.S. House,1,D,Suzanne Bonamici,21
Columbia,19,South Warren,U.S. House,1,D,Suzanne Bonamici,135
Columbia,20,North Warren,U.S. House,1,D,Suzanne Bonamici,112
Columbia,21,St. Helens 1,U.S. House,1,D,Suzanne Bonamici,69
Columbia,22,St. Helens 2,U.S. House,1,D,Suzanne Bonamici,86
Columbia,23,St. Helens 3,U.S. House,1,D,Suzanne Bonamici,117
Columbia,24,St. Helens 4,U.S. House,1,D,Suzanne Bonamici,63
Columbia,25,St. Helens 5,U.S. House,1,D,Suzanne Bonamici,62
Columbia,26,St. Helens 6,U.S. House,1,D,Suzanne Bonamici,258
Columbia,27,St. Helens 7,U.S. House,1,D,Suzanne Bonamici,78
Columbia,28,St. Helens 8,U.S. House,1,D,Suzanne Bonamici,73
Columbia,29,St. Helens 9,U.S. House,1,D,Suzanne Bonamici,89
Columbia,30,South St. Helens,U.S. House,1,D,Suzanne Bonamici,37
Columbia,31,Scappoose 1,U.S. House,1,D,Suzanne Bonamici,96
Columbia,32,Scappoose 2,U.S. House,1,D,Suzanne Bonamici,107
Columbia,33,Scappoose 3,U.S. House,1,D,Suzanne Bonamici,188
Columbia,34,Scappoose 4,U.S. House,1,D,Suzanne Bonamici,148
Columbia,35,South Scappoose,U.S. House,1,D,Suzanne Bonamici,90
Columbia,36,Canyon,U.S. House,1,D,Suzanne Bonamici,70
Columbia,37,East Scappoose,U.S. House,1,D,Suzanne Bonamici,56
Columbia,38,West Scappoose,U.S. House,1,D,Suzanne Bonamici,74
Columbia,39,Sauvie Island,U.S. House,1,D,Suzanne Bonamici,5
Columbia,40,Yankton,U.S. House,1,D,Suzanne Bonamici,155
Columbia,41,Vernonia 1,U.S. House,1,D,Suzanne Bonamici,39
Columbia,42,Vernonia 2,U.S. House,1,D,Suzanne Bonamici,38
Columbia,43,Vernonia 3,U.S. House,1,D,Suzanne Bonamici,51
Columbia,44,Vernonia 4,U.S. House,1,D,Suzanne Bonamici,26
Columbia,45,Vernonia 5,U.S. House,1,D,Suzanne Bonamici,77
Columbia,46,Apiary,U.S. House,1,D,Suzanne Bonamici,70
Columbia,47,Chapman,U.S. House,1,D,Suzanne Bonamici,103
Columbia,48,South Deer Island,U.S. House,1,D,Suzanne Bonamici,45
Columbia,49,North Deer Island,U.S. House,1,D,Suzanne Bonamici,71
Columbia,50,Prescott,U.S. House,1,D,Suzanne Bonamici,7
Columbia,51,South Mist,U.S. House,1,D,Suzanne Bonamici,28
Columbia,52,North Mist,U.S. House,1,D,Suzanne Bonamici,3
Columbia,53,Columbia City,U.S. House,1,D,Suzanne Bonamici,251
Columbia,55,East Chapman,U.S. House,1,D,Suzanne Bonamici,42
Columbia,1,Clatskanie 1,U.S. House,1,D,Misc.,0
Columbia,2,Clatskanie 2,U.S. House,1,D,Misc.,0
Columbia,3,Clatskanie 3,U.S. House,1,D,Misc.,0
Columbia,4,North Clatskanie,U.S. House,1,D,Misc.,3
Columbia,5,South Clatskanie,U.S. House,1,D,Misc.,0
Columbia,6,South Delena,U.S. House,1,D,Misc.,1
Columbia,7,North Delena,U.S. House,1,D,Misc.,4
Columbia,8,Goble,U.S. House,1,D,Misc.,3
Columbia,9,Marshland,U.S. House,1,D,Misc.,3
Columbia,10,South Milton,U.S. House,1,D,Misc.,1
Columbia,11,North Milton,U.S. House,1,D,Misc.,1
Columbia,12,South McNulty,U.S. House,1,D,Misc.,0
Columbia,13,North McNulty,U.S. House,1,D,Misc.,0
Columbia,14,Quincy,U.S. House,1,D,Misc.,2
Columbia,15,Rainier 1,U.S. House,1,D,Misc.,1
Columbia,16,Rainier 2,U.S. House,1,D,Misc.,0
Columbia,17,West Rainier,U.S. House,1,D,Misc.,0
Columbia,18,East Rainier,U.S. House,1,D,Misc.,1
Columbia,19,South Warren,U.S. House,1,D,Misc.,2
Columbia,20,North Warren,U.S. House,1,D,Misc.,0
Columbia,21,St. Helens 1,U.S. House,1,D,Misc.,2
Columbia,22,St. Helens 2,U.S. House,1,D,Misc.,0
Columbia,23,St. Helens 3,U.S. House,1,D,Misc.,3
Columbia,24,St. Helens 4,U.S. House,1,D,Misc.,2
Columbia,25,St. Helens 5,U.S. House,1,D,Misc.,0
Columbia,26,St. Helens 6,U.S. House,1,D,Misc.,5
Columbia,27,St. Helens 7,U.S. House,1,D,Misc.,0
Columbia,28,St. Helens 8,U.S. House,1,D,Misc.,4
Columbia,29,St. Helens 9,U.S. House,1,D,Misc.,2
Columbia,30,South St. Helens,U.S. House,1,D,Misc.,0
Columbia,31,Scappoose 1,U.S. House,1,D,Misc.,2
Columbia,32,Scappoose 2,U.S. House,1,D,Misc.,1
Columbia,33,Scappoose 3,U.S. House,1,D,Misc.,0
Columbia,34,Scappoose 4,U.S. House,1,D,Misc.,1
Columbia,35,South Scappoose,U.S. House,1,D,Misc.,4
Columbia,36,Canyon,U.S. House,1,D,Misc.,0
Columbia,37,East Scappoose,U.S. House,1,D,Misc.,1
Columbia,38,West Scappoose,U.S. House,1,D,Misc.,2
Columbia,39,Sauvie Island,U.S. House,1,D,Misc.,0
Columbia,40,Yankton,U.S. House,1,D,Misc.,2
Columbia,41,Vernonia 1,U.S. House,1,D,Misc.,2
Columbia,42,Vernonia 2,U.S. House,1,D,Misc.,1
Columbia,43,Vernonia 3,U.S. House,1,D,Misc.,0
Columbia,44,Vernonia 4,U.S. House,1,D,Misc.,0
Columbia,45,Vernonia 5,U.S. House,1,D,Misc.,2
Columbia,46,Apiary,U.S. House,1,D,Misc.,2
Columbia,47,Chapman,U.S. House,1,D,Misc.,1
Columbia,48,South Deer Island,U.S. House,1,D,Misc.,0
Columbia,49,North Deer Island,U.S. House,1,D,Misc.,1
Columbia,50,Prescott,U.S. House,1,D,Misc.,0
Columbia,51,South Mist,U.S. House,1,D,Misc.,0
Columbia,52,North Mist,U.S. House,1,D,Misc.,0
Columbia,53,Columbia City,U.S. House,1,D,Misc.,3
Columbia,55,East Chapman,U.S. House,1,D,Misc.,0
Columbia,1,Clatskanie 1,U.S. House,1,D,Over Votes,0
Columbia,2,Clatskanie 2,U.S. House,1,D,Over Votes,0
Columbia,3,Clatskanie 3,U.S. House,1,D,Over Votes,0
Columbia,4,North Clatskanie,U.S. House,1,D,Over Votes,0
Columbia,5,South Clatskanie,U.S. House,1,D,Over Votes,0
Columbia,6,South Delena,U.S. House,1,D,Over Votes,0
Columbia,7,North Delena,U.S. House,1,D,Over Votes,0
Columbia,8,Goble,U.S. House,1,D,Over Votes,0
Columbia,9,Marshland,U.S. House,1,D,Over Votes,0
Columbia,10,South Milton,U.S. House,1,D,Over Votes,0
Columbia,11,North Milton,U.S. House,1,D,Over Votes,0
Columbia,12,South McNulty,U.S. House,1,D,Over Votes,0
Columbia,13,North McNulty,U.S. House,1,D,Over Votes,0
Columbia,14,Quincy,U.S. House,1,D,Over Votes,0
Columbia,15,Rainier 1,U.S. House,1,D,Over Votes,0
Columbia,16,Rainier 2,U.S. House,1,D,Over Votes,0
Columbia,17,West Rainier,U.S. House,1,D,Over Votes,0
Columbia,18,East Rainier,U.S. House,1,D,Over Votes,0
Columbia,19,South Warren,U.S. House,1,D,Over Votes,0
Columbia,20,North Warren,U.S. House,1,D,Over Votes,0
Columbia,21,St. Helens 1,U.S. House,1,D,Over Votes,0
Columbia,22,St. Helens 2,U.S. House,1,D,Over Votes,0
Columbia,23,St. Helens 3,U.S. House,1,D,Over Votes,0
Columbia,24,St. Helens 4,U.S. House,1,D,Over Votes,0
Columbia,25,St. Helens 5,U.S. House,1,D,Over Votes,0
Columbia,26,St. Helens 6,U.S. House,1,D,Over Votes,0
Columbia,27,St. Helens 7,U.S. House,1,D,Over Votes,0
Columbia,28,St. Helens 8,U.S. House,1,D,Over Votes,0
Columbia,29,St. Helens 9,U.S. House,1,D,Over Votes,0
Columbia,30,South St. Helens,U.S. House,1,D,Over Votes,0
Columbia,31,Scappoose 1,U.S. House,1,D,Over Votes,0
Columbia,32,Scappoose 2,U.S. House,1,D,Over Votes,0
Columbia,33,Scappoose 3,U.S. House,1,D,Over Votes,0
Columbia,34,Scappoose 4,U.S. House,1,D,Over Votes,0
Columbia,35,South Scappoose,U.S. House,1,D,Over Votes,0
Columbia,36,Canyon,U.S. House,1,D,Over Votes,0
Columbia,37,East Scappoose,U.S. House,1,D,Over Votes,0
Columbia,38,West Scappoose,U.S. House,1,D,Over Votes,0
Columbia,39,Sauvie Island,U.S. House,1,D,Over Votes,0
Columbia,40,Yankton,U.S. House,1,D,Over Votes,0
Columbia,41,Vernonia 1,U.S. House,1,D,Over Votes,0
Columbia,42,Vernonia 2,U.S. House,1,D,Over Votes,0
Columbia,43,Vernonia 3,U.S. House,1,D,Over Votes,0
Columbia,44,Vernonia 4,U.S. House,1,D,Over Votes,0
Columbia,45,Vernonia 5,U.S. House,1,D,Over Votes,0
Columbia,46,Apiary,U.S. House,1,D,Over Votes,0
Columbia,47,Chapman,U.S. House,1,D,Over Votes,0
Columbia,48,South Deer Island,U.S. House,1,D,Over Votes,0
Columbia,49,North Deer Island,U.S. House,1,D,Over Votes,0
Columbia,50,Prescott,U.S. House,1,D,Over Votes,0
Columbia,51,South Mist,U.S. House,1,D,Over Votes,0
Columbia,52,North Mist,U.S. House,1,D,Over Votes,0
Columbia,53,Columbia City,U.S. House,1,D,Over Votes,0
Columbia,55,East Chapman,U.S. House,1,D,Over Votes,0
Columbia,1,Clatskanie 1,U.S. House,1,D,Under Votes,6
Columbia,2,Clatskanie 2,U.S. House,1,D,Under Votes,9
Columbia,3,Clatskanie 3,U.S. House,1,D,Under Votes,5
Columbia,4,North Clatskanie,U.S. House,1,D,Under Votes,5
Columbia,5,South Clatskanie,U.S. House,1,D,Under Votes,15
Columbia,6,South Delena,U.S. House,1,D,Under Votes,12
Columbia,7,North Delena,U.S. House,1,D,Under Votes,28
Columbia,8,Goble,U.S. House,1,D,Under Votes,25
Columbia,9,Marshland,U.S. House,1,D,Under Votes,7
Columbia,10,South Milton,U.S. House,1,D,Under Votes,11
Columbia,11,North Milton,U.S. House,1,D,Under Votes,17
Columbia,12,South McNulty,U.S. House,1,D,Under Votes,13
Columbia,13,North McNulty,U.S. House,1,D,Under Votes,12
Columbia,14,Quincy,U.S. House,1,D,Under Votes,14
Columbia,15,Rainier 1,U.S. House,1,D,Under Votes,14
Columbia,16,Rainier 2,U.S. House,1,D,Under Votes,24
Columbia,17,West Rainier,U.S. House,1,D,Under Votes,10
Columbia,18,East Rainier,U.S. House,1,D,Under Votes,7
Columbia,19,South Warren,U.S. House,1,D,Under Votes,31
Columbia,20,North Warren,U.S. House,1,D,Under Votes,31
Columbia,21,St. Helens 1,U.S. House,1,D,Under Votes,11
Columbia,22,St. Helens 2,U.S. House,1,D,Under Votes,14
Columbia,23,St. Helens 3,U.S. House,1,D,Under Votes,18
Columbia,24,St. Helens 4,U.S. House,1,D,Under Votes,7
Columbia,25,St. Helens 5,U.S. House,1,D,Under Votes,14
Columbia,26,St. Helens 6,U.S. House,1,D,Under Votes,58
Columbia,27,St. Helens 7,U.S. House,1,D,Under Votes,13
Columbia,28,St. Helens 8,U.S. House,1,D,Under Votes,21
Columbia,29,St. Helens 9,U.S. House,1,D,Under Votes,18
Columbia,30,South St. Helens,U.S. House,1,D,Under Votes,7
Columbia,31,Scappoose 1,U.S. House,1,D,Under Votes,23
Columbia,32,Scappoose 2,U.S. House,1,D,Under Votes,14
Columbia,33,Scappoose 3,U.S. House,1,D,Under Votes,25
Columbia,34,Scappoose 4,U.S. House,1,D,Under Votes,17
Columbia,35,South Scappoose,U.S. House,1,D,Under Votes,23
Columbia,36,Canyon,U.S. House,1,D,Under Votes,11
Columbia,37,East Scappoose,U.S. House,1,D,Under Votes,10
Columbia,38,West Scappoose,U.S. House,1,D,Under Votes,13
Columbia,39,Sauvie Island,U.S. House,1,D,Under Votes,0
Columbia,40,Yankton,U.S. House,1,D,Under Votes,27
Columbia,41,Vernonia 1,U.S. House,1,D,Under Votes,15
Columbia,42,Vernonia 2,U.S. House,1,D,Under Votes,9
Columbia,43,Vernonia 3,U.S. House,1,D,Under Votes,9
Columbia,44,Vernonia 4,U.S. House,1,D,Under Votes,3
Columbia,45,Vernonia 5,U.S. House,1,D,Under Votes,19
Columbia,46,Apiary,U.S. House,1,D,Under Votes,13
Columbia,47,Chapman,U.S. House,1,D,Under Votes,15
Columbia,48,South Deer Island,U.S. House,1,D,Under Votes,13
Columbia,49,North Deer Island,U.S. House,1,D,Under Votes,18
Columbia,50,Prescott,U.S. House,1,D,Under Votes,0
Columbia,51,South Mist,U.S. House,1,D,Under Votes,1
Columbia,52,North Mist,U.S. House,1,D,Under Votes,0
Columbia,53,Columbia City,U.S. House,1,D,Under Votes,33
Columbia,55,East Chapman,U.S. House,1,D,Under Votes,8
Columbia,1,Clatskanie 1,Secretary of State,,D,Kate Brown,37
Columbia,2,Clatskanie 2,Secretary of State,,D,Kate Brown,44
Columbia,3,Clatskanie 3,Secretary of State,,D,Kate Brown,32
Columbia,4,North Clatskanie,Secretary of State,,D,Kate Brown,40
Columbia,5,South Clatskanie,Secretary of State,,D,Kate Brown,58
Columbia,6,South Delena,Secretary of State,,D,Kate Brown,52
Columbia,7,North Delena,Secretary of State,,D,Kate Brown,88
Columbia,8,Goble,Secretary of State,,D,Kate Brown,87
Columbia,9,Marshland,Secretary of State,,D,Kate Brown,35
Columbia,10,South Milton,Secretary of State,,D,Kate Brown,46
Columbia,11,North Milton,Secretary of State,,D,Kate Brown,62
Columbia,12,South McNulty,Secretary of State,,D,Kate Brown,73
Columbia,13,North McNulty,Secretary of State,,D,Kate Brown,85
Columbia,14,Quincy,Secretary of State,,D,Kate Brown,66
Columbia,15,Rainier 1,Secretary of State,,D,Kate Brown,46
Columbia,16,Rainier 2,Secretary of State,,D,Kate Brown,88
Columbia,17,West Rainier,Secretary of State,,D,Kate Brown,47
Columbia,18,East Rainier,Secretary of State,,D,Kate Brown,15
Columbia,19,South Warren,Secretary of State,,D,Kate Brown,121
Columbia,20,North Warren,Secretary of State,,D,Kate Brown,93
Columbia,21,St. Helens 1,Secretary of State,,D,Kate Brown,59
Columbia,22,St. Helens 2,Secretary of State,,D,Kate Brown,74
Columbia,23,St. Helens 3,Secretary of State,,D,Kate Brown,104
Columbia,24,St. Helens 4,Secretary of State,,D,Kate Brown,52
Columbia,25,St. Helens 5,Secretary of State,,D,Kate Brown,57
Columbia,26,St. Helens 6,Secretary of State,,D,Kate Brown,238
Columbia,27,St. Helens 7,Secretary of State,,D,Kate Brown,65
Columbia,28,St. Helens 8,Secretary of State,,D,Kate Brown,73
Columbia,29,St. Helens 9,Secretary of State,,D,Kate Brown,84
Columbia,30,South St. Helens,Secretary of State,,D,Kate Brown,33
Columbia,31,Scappoose 1,Secretary of State,,D,Kate Brown,90
Columbia,32,Scappoose 2,Secretary of State,,D,Kate Brown,98
Columbia,33,Scappoose 3,Secretary of State,,D,Kate Brown,165
Columbia,34,Scappoose 4,Secretary of State,,D,Kate Brown,130
