county,precinct,office,district,party,candidate,votes,percent
Benton,PRECINCT 07,U.S. Senate,,DEM,GREG HAVEN,4,0.43%
Benton,PRECINCT 07,U.S. Senate,,DEM,BILL BRADBURY,847,90.39%
Benton,PRECINCT 07,U.S. Senate,,DEM,Write-Ins,2,0.21%
Benton,PRECINCT 07,U.S. Senate,,DEM,Total,868,
Benton,PRECINCT 07,U.S. Senate,,DEM,Under-Votes,68,7.26%
Benton,PRECINCT 07,U.S. Senate,,DEM,Over-Votes,1,0.11%
Benton,PRECINCT 07,U.S. Senate,,DEM,Total Votes Cast,937,
Benton,PRECINCT 08,U.S. Senate,,DEM,CRAIG HANSON,26,2.84%
Benton,PRECINCT 08,U.S. Senate,,DEM,GREG HAVEN,22,2.40%
Benton,PRECINCT 08,U.S. Senate,,DEM,BILL BRADBURY,782,85.46%
Benton,PRECINCT 08,U.S. Senate,,DEM,Write-Ins,8,0.87%
Benton,PRECINCT 08,U.S. Senate,,DEM,Total,838,
Benton,PRECINCT 08,U.S. Senate,,DEM,Under-Votes,77,8.42%
Benton,PRECINCT 08,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 08,U.S. Senate,,DEM,Total Votes Cast,915,
Benton,PRECINCT 09,U.S. Senate,,DEM,CRAIG HANSON,42,6.55%
Benton,PRECINCT 09,U.S. Senate,,DEM,GREG HAVEN,23,3.59%
Benton,PRECINCT 09,U.S. Senate,,DEM,BILL BRADBURY,499,77.85%
Benton,PRECINCT 09,U.S. Senate,,DEM,Write-Ins,6,0.94%
Benton,PRECINCT 09,U.S. Senate,,DEM,Total,570,
Benton,PRECINCT 09,U.S. Senate,,DEM,Under-Votes,71,11.08%
Benton,PRECINCT 09,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 09,U.S. Senate,,DEM,Total Votes Cast,641,
Benton,PRECINCT 10,U.S. Senate,,DEM,CRAIG HANSON,27,7.83%
Benton,PRECINCT 10,U.S. Senate,,DEM,GREG HAVEN,16,4.64%
Benton,PRECINCT 10,U.S. Senate,,DEM,BILL BRADBURY,258,74.78%
Benton,PRECINCT 10,U.S. Senate,,DEM,Write-Ins,6,1.74%
Benton,PRECINCT 10,U.S. Senate,,DEM,Total,307,
Benton,PRECINCT 10,U.S. Senate,,DEM,Under-Votes,38,11.01%
Benton,PRECINCT 10,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 10,U.S. Senate,,DEM,Total Votes Cast,345,
Benton,PRECINCT 11,U.S. Senate,,DEM,CRAIG HANSON,29,4.80%
Benton,PRECINCT 11,U.S. Senate,,DEM,GREG HAVEN,18,2.98%
Benton,PRECINCT 11,U.S. Senate,,DEM,BILL BRADBURY,466,77.15%
Benton,PRECINCT 11,U.S. Senate,,DEM,Write-Ins,8,1.32%
Benton,PRECINCT 11,U.S. Senate,,DEM,Total,521,
Benton,PRECINCT 11,U.S. Senate,,DEM,Under-Votes,81,13.41%
Benton,PRECINCT 11,U.S. Senate,,DEM,Over-Votes,2,0.33%
Benton,PRECINCT 11,U.S. Senate,,DEM,Total Votes Cast,604,
Benton,PRECINCT 12,U.S. Senate,,DEM,CRAIG HANSON,3,15.00%
Benton,PRECINCT 12,U.S. Senate,,DEM,GREG HAVEN,1,5.00%
Benton,PRECINCT 12,U.S. Senate,,DEM,BILL BRADBURY,13,65.00%
Benton,PRECINCT 12,U.S. Senate,,DEM,Write-Ins,2,10.00%
Benton,PRECINCT 12,U.S. Senate,,DEM,Total,19,
Benton,PRECINCT 12,U.S. Senate,,DEM,Under-Votes,1,5.00%
Benton,PRECINCT 12,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 12,U.S. Senate,,DEM,Total Votes Cast,20,
Benton,PRECINCT 13,U.S. Senate,,DEM,CRAIG HANSON,6,13.64%
Benton,PRECINCT 13,U.S. Senate,,DEM,GREG HAVEN,4,9.09%
Benton,PRECINCT 13,U.S. Senate,,DEM,BILL BRADBURY,31,70.45%
Benton,PRECINCT 13,U.S. Senate,,DEM,Write-Ins,1,2.27%
Benton,PRECINCT 13,U.S. Senate,,DEM,Total,42,
Benton,PRECINCT 13,U.S. Senate,,DEM,Under-Votes,2,4.55%
Benton,PRECINCT 13,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 13,U.S. Senate,,DEM,Total Votes Cast,44,
Benton,PRECINCT 14,U.S. Senate,,DEM,CRAIG HANSON,6,6.45%
Benton,PRECINCT 14,U.S. Senate,,DEM,GREG HAVEN,7,7.53%
Benton,PRECINCT 14,U.S. Senate,,DEM,BILL BRADBURY,68,73.12%
Benton,PRECINCT 14,U.S. Senate,,DEM,Write-Ins,1,1.08%
Benton,PRECINCT 14,U.S. Senate,,DEM,Total,82,
Benton,PRECINCT 14,U.S. Senate,,DEM,Under-Votes,11,11.83%
Benton,PRECINCT 14,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 14,U.S. Senate,,DEM,Total Votes Cast,93,
Benton,PRECINCT 15,U.S. Senate,,DEM,CRAIG HANSON,25,4.47%
Benton,PRECINCT 15,U.S. Senate,,DEM,GREG HAVEN,10,1.79%
Benton,PRECINCT 15,U.S. Senate,,DEM,BILL BRADBURY,439,78.53%
Benton,PRECINCT 15,U.S. Senate,,DEM,Write-Ins,7,1.25%
Benton,PRECINCT 15,U.S. Senate,,DEM,Total,481,
Benton,PRECINCT 15,U.S. Senate,,DEM,Under-Votes,78,13.95%
Benton,PRECINCT 15,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 15,U.S. Senate,,DEM,Total Votes Cast,559,
Benton,PRECINCT 16,U.S. Senate,,DEM,CRAIG HANSON,11,2.42%
Benton,PRECINCT 16,U.S. Senate,,DEM,GREG HAVEN,10,2.20%
Benton,PRECINCT 16,U.S. Senate,,DEM,BILL BRADBURY,389,85.49%
Benton,PRECINCT 16,U.S. Senate,,DEM,Write-Ins,5,1.10%
Benton,PRECINCT 16,U.S. Senate,,DEM,Total,415,
Benton,PRECINCT 16,U.S. Senate,,DEM,Under-Votes,40,8.79%
Benton,PRECINCT 16,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 16,U.S. Senate,,DEM,Total Votes Cast,455,
Benton,PRECINCT 17,U.S. Senate,,DEM,CRAIG HANSON,29,4.39%
Benton,PRECINCT 17,U.S. Senate,,DEM,GREG HAVEN,17,2.58%
Benton,PRECINCT 17,U.S. Senate,,DEM,BILL BRADBURY,536,81.21%
Benton,PRECINCT 17,U.S. Senate,,DEM,Write-Ins,2,0.30%
Benton,PRECINCT 17,U.S. Senate,,DEM,Total,584,
Benton,PRECINCT 17,U.S. Senate,,DEM,Under-Votes,76,11.52%
Benton,PRECINCT 17,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 17,U.S. Senate,,DEM,Total Votes Cast,660,
Benton,PRECINCT 18,U.S. Senate,,DEM,CRAIG HANSON,16,6.99%
Benton,PRECINCT 18,U.S. Senate,,DEM,GREG HAVEN,10,4.37%
Benton,PRECINCT 18,U.S. Senate,,DEM,BILL BRADBURY,163,71.18%
Benton,PRECINCT 18,U.S. Senate,,DEM,Write-Ins,6,2.62%
Benton,PRECINCT 18,U.S. Senate,,DEM,Total,195,
Benton,PRECINCT 18,U.S. Senate,,DEM,Under-Votes,34,14.85%
Benton,PRECINCT 18,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 18,U.S. Senate,,DEM,Total Votes Cast,229,
Benton,PRECINCT 19,U.S. Senate,,DEM,CRAIG HANSON,22,5.24%
Benton,PRECINCT 19,U.S. Senate,,DEM,GREG HAVEN,14,3.33%
Benton,PRECINCT 19,U.S. Senate,,DEM,BILL BRADBURY,323,76.90%
Benton,PRECINCT 19,U.S. Senate,,DEM,Write-Ins,4,0.95%
Benton,PRECINCT 19,U.S. Senate,,DEM,Total,363,
Benton,PRECINCT 19,U.S. Senate,,DEM,Under-Votes,56,13.33%
Benton,PRECINCT 19,U.S. Senate,,DEM,Over-Votes,1,0.24%
Benton,PRECINCT 19,U.S. Senate,,DEM,Total Votes Cast,420,
Benton,PRECINCT 20,U.S. Senate,,DEM,CRAIG HANSON,15,5.95%
Benton,PRECINCT 20,U.S. Senate,,DEM,GREG HAVEN,11,4.37%
Benton,PRECINCT 20,U.S. Senate,,DEM,BILL BRADBURY,180,71.43%
Benton,PRECINCT 20,U.S. Senate,,DEM,Write-Ins,9,3.57%
Benton,PRECINCT 20,U.S. Senate,,DEM,Total,215,
Benton,PRECINCT 20,U.S. Senate,,DEM,Under-Votes,37,14.68%
Benton,PRECINCT 20,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 20,U.S. Senate,,DEM,Total Votes Cast,252,
Benton,PRECINCT 01,U.S. Senate,,REP,GORDON H. SMITH,518,82.48%
Benton,PRECINCT 01,U.S. Senate,,REP,Write-Ins,13,2.07%
Benton,PRECINCT 01,U.S. Senate,,REP,Total,531,
Benton,PRECINCT 01,U.S. Senate,,REP,Under-Votes,97,15.45%
Benton,PRECINCT 01,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 01,U.S. Senate,,REP,Total Votes Cast,628,
Benton,PRECINCT 02,U.S. Senate,,REP,GORDON H. SMITH,98,86.73%
Benton,PRECINCT 02,U.S. Senate,,REP,Write-Ins,3,2.65%
Benton,PRECINCT 02,U.S. Senate,,REP,Total,101,
Benton,PRECINCT 02,U.S. Senate,,REP,Under-Votes,12,10.62%
Benton,PRECINCT 02,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 02,U.S. Senate,,REP,Total Votes Cast,113,
Benton,PRECINCT 03,U.S. Senate,,REP,GORDON H. SMITH,254,79.38%
Benton,PRECINCT 03,U.S. Senate,,REP,Write-Ins,8,2.50%
Benton,PRECINCT 03,U.S. Senate,,REP,Total,262,
Benton,PRECINCT 03,U.S. Senate,,REP,Under-Votes,58,18.13%
Benton,PRECINCT 03,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 03,U.S. Senate,,REP,Total Votes Cast,320,
Benton,PRECINCT 04,U.S. Senate,,REP,GORDON H. SMITH,150,80.65%
Benton,PRECINCT 04,U.S. Senate,,REP,Write-Ins,4,2.15%
Benton,PRECINCT 04,U.S. Senate,,REP,Total,154,
Benton,PRECINCT 04,U.S. Senate,,REP,Under-Votes,32,17.20%
Benton,PRECINCT 04,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 04,U.S. Senate,,REP,Total Votes Cast,186,
Benton,PRECINCT 05,U.S. Senate,,REP,GORDON H. SMITH,150,75.00%
Benton,PRECINCT 05,U.S. Senate,,REP,Write-Ins,4,2.00%
Benton,PRECINCT 05,U.S. Senate,,REP,Total,154,
Benton,PRECINCT 05,U.S. Senate,,REP,Under-Votes,46,23.00%
Benton,PRECINCT 05,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 05,U.S. Senate,,REP,Total Votes Cast,200,
Benton,PRECINCT 06,U.S. Senate,,REP,GORDON H. SMITH,421,84.88%
Benton,PRECINCT 06,U.S. Senate,,REP,Write-Ins,10,2.02%
Benton,PRECINCT 06,U.S. Senate,,REP,Total,431,
Benton,PRECINCT 06,U.S. Senate,,REP,Under-Votes,65,13.10%
Benton,PRECINCT 06,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 06,U.S. Senate,,REP,Total Votes Cast,496,
Benton,PRECINCT 07,U.S. Senate,,REP,GORDON H. SMITH,518,86.33%
Benton,PRECINCT 07,U.S. Senate,,REP,Write-Ins,10,1.67%
Benton,PRECINCT 07,U.S. Senate,,REP,Total,528,
Benton,PRECINCT 07,U.S. Senate,,REP,Under-Votes,72,12.00%
Benton,PRECINCT 07,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 07,U.S. Senate,,REP,Total Votes Cast,600,
Benton,PRECINCT 08,U.S. Senate,,REP,GORDON H. SMITH,651,87.38%
Benton,PRECINCT 08,U.S. Senate,,REP,Write-Ins,3,0.40%
Benton,PRECINCT 08,U.S. Senate,,REP,Total,654,
Benton,PRECINCT 08,U.S. Senate,,REP,Under-Votes,90,12.08%
Benton,PRECINCT 08,U.S. Senate,,REP,Over-Votes,1,0.13%
Benton,PRECINCT 08,U.S. Senate,,REP,Total Votes Cast,745,
Benton,PRECINCT 09,U.S. Senate,,REP,GORDON H. SMITH,508,89.12%
Benton,PRECINCT 09,U.S. Senate,,REP,Write-Ins,7,1.23%
Benton,PRECINCT 09,U.S. Senate,,REP,Total,515,
Benton,PRECINCT 09,U.S. Senate,,REP,Under-Votes,54,9.47%
Benton,PRECINCT 09,U.S. Senate,,REP,Over-Votes,1,0.18%
Benton,PRECINCT 09,U.S. Senate,,REP,Total Votes Cast,570,
Benton,PRECINCT 10,U.S. Senate,,REP,GORDON H. SMITH,307,87.46%
Benton,PRECINCT 10,U.S. Senate,,REP,Write-Ins,4,1.14%
Benton,PRECINCT 10,U.S. Senate,,REP,Total,311,
Benton,PRECINCT 10,U.S. Senate,,REP,Under-Votes,40,11.40%
Benton,PRECINCT 10,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 10,U.S. Senate,,REP,Total Votes Cast,351,
Benton,PRECINCT 11,U.S. Senate,,REP,GORDON H. SMITH,836,88.65%
Benton,PRECINCT 11,U.S. Senate,,REP,Write-Ins,11,1.17%
Benton,PRECINCT 11,U.S. Senate,,REP,Total,847,
Benton,PRECINCT 11,U.S. Senate,,REP,Under-Votes,96,10.18%
Benton,PRECINCT 11,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 11,U.S. Senate,,REP,Total Votes Cast,943,
Benton,PRECINCT 12,U.S. Senate,,REP,GORDON H. SMITH,54,90.00%
Benton,PRECINCT 12,U.S. Senate,,REP,Write-Ins,1,1.67%
Benton,PRECINCT 12,U.S. Senate,,REP,Total,55,
Benton,PRECINCT 12,U.S. Senate,,REP,Under-Votes,5,8.33%
Benton,PRECINCT 12,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 12,U.S. Senate,,REP,Total Votes Cast,60,
Benton,PRECINCT 13,U.S. Senate,,REP,GORDON H. SMITH,35,76.09%
Benton,PRECINCT 13,U.S. Senate,,REP,Write-Ins,1,2.17%
Benton,PRECINCT 13,U.S. Senate,,REP,Total,36,
Benton,PRECINCT 13,U.S. Senate,,REP,Under-Votes,10,21.74%
Benton,PRECINCT 13,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 13,U.S. Senate,,REP,Total Votes Cast,46,
Benton,PRECINCT 14,U.S. Senate,,REP,GORDON H. SMITH,86,84.31%
Benton,PRECINCT 14,U.S. Senate,,REP,Write-Ins,0,0.00%
Benton,PRECINCT 14,U.S. Senate,,REP,Total,86,
Benton,PRECINCT 14,U.S. Senate,,REP,Under-Votes,16,15.69%
Benton,PRECINCT 14,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 14,U.S. Senate,,REP,Total Votes Cast,102,
Benton,PRECINCT 15,U.S. Senate,,REP,GORDON H. SMITH,424,86.89%
Benton,PRECINCT 15,U.S. Senate,,REP,Write-Ins,5,1.02%
Benton,PRECINCT 15,U.S. Senate,,REP,Total,429,
Benton,PRECINCT 15,U.S. Senate,,REP,Under-Votes,59,12.09%
Benton,PRECINCT 15,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 15,U.S. Senate,,REP,Total Votes Cast,488,
Benton,PRECINCT 16,U.S. Senate,,REP,GORDON H. SMITH,352,83.81%
Benton,PRECINCT 16,U.S. Senate,,REP,Write-Ins,9,2.14%
Benton,PRECINCT 16,U.S. Senate,,REP,Total,361,
Benton,PRECINCT 16,U.S. Senate,,REP,Under-Votes,59,14.05%
Benton,PRECINCT 16,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 16,U.S. Senate,,REP,Total Votes Cast,420,
Benton,PRECINCT 17,U.S. Senate,,REP,GORDON H. SMITH,454,82.40%
Benton,PRECINCT 17,U.S. Senate,,REP,Write-Ins,11,2.00%
Benton,PRECINCT 17,U.S. Senate,,REP,Total,465,
Benton,PRECINCT 17,U.S. Senate,,REP,Under-Votes,86,15.61%
Benton,PRECINCT 17,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 17,U.S. Senate,,REP,Total Votes Cast,551,
Benton,PRECINCT 18,U.S. Senate,,REP,GORDON H. SMITH,300,89.02%
Benton,PRECINCT 18,U.S. Senate,,REP,Write-Ins,1,0.30%
Benton,PRECINCT 18,U.S. Senate,,REP,Total,301,
Benton,PRECINCT 18,U.S. Senate,,REP,Under-Votes,36,10.68%
Benton,PRECINCT 18,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 18,U.S. Senate,,REP,Total Votes Cast,337,
Benton,PRECINCT 19,U.S. Senate,,REP,GORDON H. SMITH,332,83.63%
Benton,PRECINCT 19,U.S. Senate,,REP,Write-Ins,5,1.26%
Benton,PRECINCT 19,U.S. Senate,,REP,Total,337,
Benton,PRECINCT 19,U.S. Senate,,REP,Under-Votes,59,14.86%
Benton,PRECINCT 19,U.S. Senate,,REP,Over-Votes,1,0.25%
Benton,PRECINCT 19,U.S. Senate,,REP,Total Votes Cast,397,
Benton,PRECINCT 20,U.S. Senate,,REP,GORDON H. SMITH,225,88.93%
Benton,PRECINCT 20,U.S. Senate,,REP,Write-Ins,4,1.58%
Benton,PRECINCT 20,U.S. Senate,,REP,Total,229,
Benton,PRECINCT 20,U.S. Senate,,REP,Under-Votes,24,9.49%
Benton,PRECINCT 20,U.S. Senate,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 20,U.S. Senate,,REP,Total Votes Cast,253,
Benton,PRECINCT 01,U.S. House,4,DEM,PETER A. DEFAZIO,2,50.00%
Benton,PRECINCT 01,U.S. House,4,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 01,U.S. House,4,DEM,Total,2,
Benton,PRECINCT 01,U.S. House,4,DEM,Under-Votes,2,50.00%
Benton,PRECINCT 01,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 01,U.S. House,4,DEM,Total Votes Cast,4,
Benton,PRECINCT 03,U.S. House,4,DEM,PETER A. DEFAZIO,379,89.18%
Benton,PRECINCT 03,U.S. House,4,DEM,Write-Ins,1,0.24%
Benton,PRECINCT 03,U.S. House,4,DEM,Total,380,
Benton,PRECINCT 03,U.S. House,4,DEM,Under-Votes,45,10.59%
Benton,PRECINCT 03,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 03,U.S. House,4,DEM,Total Votes Cast,425,
Benton,PRECINCT 04,U.S. House,4,DEM,PETER A. DEFAZIO,68,90.67%
Benton,PRECINCT 04,U.S. House,4,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 04,U.S. House,4,DEM,Total,68,
Benton,PRECINCT 04,U.S. House,4,DEM,Under-Votes,7,9.33%
Benton,PRECINCT 04,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 04,U.S. House,4,DEM,Total Votes Cast,75,
Benton,PRECINCT 05,U.S. House,4,DEM,PETER A. DEFAZIO,438,91.82%
Benton,PRECINCT 05,U.S. House,4,DEM,Write-Ins,2,0.42%
Benton,PRECINCT 05,U.S. House,4,DEM,Total,440,
Benton,PRECINCT 05,U.S. House,4,DEM,Under-Votes,37,7.76%
Benton,PRECINCT 05,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 05,U.S. House,4,DEM,Total Votes Cast,477,
Benton,PRECINCT 06,U.S. House,4,DEM,PETER A. DEFAZIO,735,91.53%
Benton,PRECINCT 06,U.S. House,4,DEM,Write-Ins,4,0.50%
Benton,PRECINCT 06,U.S. House,4,DEM,Total,739,
Benton,PRECINCT 06,U.S. House,4,DEM,Under-Votes,64,7.97%
Benton,PRECINCT 06,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 06,U.S. House,4,DEM,Total Votes Cast,803,
Benton,PRECINCT 07,U.S. House,4,DEM,PETER A. DEFAZIO,779,90.90%
Benton,PRECINCT 07,U.S. House,4,DEM,Write-Ins,1,0.12%
Benton,PRECINCT 07,U.S. House,4,DEM,Total,780,
Benton,PRECINCT 07,U.S. House,4,DEM,Under-Votes,77,8.98%
Benton,PRECINCT 07,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 07,U.S. House,4,DEM,Total Votes Cast,857,
Benton,PRECINCT 08,U.S. House,4,DEM,PETER A. DEFAZIO,829,90.60%
Benton,PRECINCT 08,U.S. House,4,DEM,Write-Ins,2,0.22%
Benton,PRECINCT 08,U.S. House,4,DEM,Total,831,
Benton,PRECINCT 08,U.S. House,4,DEM,Under-Votes,84,9.18%
Benton,PRECINCT 08,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 08,U.S. House,4,DEM,Total Votes Cast,915,
Benton,PRECINCT 09,U.S. House,4,DEM,PETER A. DEFAZIO,570,88.92%
Benton,PRECINCT 09,U.S. House,4,DEM,Write-Ins,5,0.78%
Benton,PRECINCT 09,U.S. House,4,DEM,Total,575,
Benton,PRECINCT 09,U.S. House,4,DEM,Under-Votes,66,10.30%
Benton,PRECINCT 09,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 09,U.S. House,4,DEM,Total Votes Cast,641,
Benton,PRECINCT 10,U.S. House,4,DEM,PETER A. DEFAZIO,303,91.54%
Benton,PRECINCT 10,U.S. House,4,DEM,Write-Ins,1,0.30%
Benton,PRECINCT 10,U.S. House,4,DEM,Total,304,
Benton,PRECINCT 10,U.S. House,4,DEM,Under-Votes,27,8.16%
Benton,PRECINCT 10,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 10,U.S. House,4,DEM,Total Votes Cast,331,
Benton,PRECINCT 11,U.S. House,4,DEM,PETER A. DEFAZIO,153,91.07%
Benton,PRECINCT 11,U.S. House,4,DEM,Write-Ins,2,1.19%
Benton,PRECINCT 11,U.S. House,4,DEM,Total,155,
Benton,PRECINCT 11,U.S. House,4,DEM,Under-Votes,13,7.74%
Benton,PRECINCT 11,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 11,U.S. House,4,DEM,Total Votes Cast,168,
Benton,PRECINCT 13,U.S. House,4,DEM,PETER A. DEFAZIO,40,90.91%
Benton,PRECINCT 13,U.S. House,4,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 13,U.S. House,4,DEM,Total,40,
Benton,PRECINCT 13,U.S. House,4,DEM,Under-Votes,4,9.09%
Benton,PRECINCT 13,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 13,U.S. House,4,DEM,Total Votes Cast,44,
Benton,PRECINCT 14,U.S. House,4,DEM,PETER A. DEFAZIO,88,94.62%
Benton,PRECINCT 14,U.S. House,4,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 14,U.S. House,4,DEM,Total,88,
Benton,PRECINCT 14,U.S. House,4,DEM,Under-Votes,5,5.38%
Benton,PRECINCT 14,U.S. House,4,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 14,U.S. House,4,DEM,Total Votes Cast,93,
Benton,PRECINCT 15,U.S. House,4,DEM,PETER A. DEFAZIO,506,91.01%
Benton,PRECINCT 15,U.S. House,4,DEM,Write-Ins,2,0.36%
Benton,PRECINCT 15,U.S. House,4,DEM,Total,508,
Benton,PRECINCT 15,U.S. House,4,DEM,Under-Votes,47,8.45%
Benton,PRECINCT 15,U.S. House,4,DEM,Over-Votes,1,0.18%
Benton,PRECINCT 15,U.S. House,4,DEM,Total Votes Cast,556,
Benton,PRECINCT 16,U.S. House,4,DEM,PETER A. DEFAZIO,230,88.80%
Benton,PRECINCT 16,U.S. House,4,DEM,Write-Ins,1,0.39%
