county,precinct,office,district,party,candidate,total_ballots,votes,over_votes_with_candidate,under_votes_without_candidate,votes_for_others
Multnomah,5102,President,,DEM,Hillary Clinton,1288,465,0,37,786
Multnomah,5103,President,,DEM,Hillary Clinton,657,271,0,17,369
Multnomah,5104,President,,DEM,Hillary Clinton,1094,462,0,32,600
Multnomah,5105,President,,DEM,Hillary Clinton,89,36,0,6,47
Multnomah,5106,President,,DEM,Hillary Clinton,461,197,0,13,251
Multnomah,5107,President,,DEM,Hillary Clinton,168,92,0,4,72
Multnomah,5202,President,,DEM,Hillary Clinton,837,301,0,37,499
Multnomah,5203,President,,DEM,Hillary Clinton,408,198,0,10,200
Multnomah,5204,President,,DEM,Hillary Clinton,739,327,0,28,384
Multnomah,2701,President,,DEM,Bernie Sanders,295,71,0,3,221
Multnomah,2702,President,,DEM,Bernie Sanders,332,116,0,2,214
Multnomah,3101,President,,DEM,Bernie Sanders,511,251,0,4,256
Multnomah,3102,President,,DEM,Bernie Sanders,718,379,0,5,334
Multnomah,3103,President,,DEM,Bernie Sanders,216,109,0,6,101
Multnomah,3301,President,,DEM,Bernie Sanders,4550,2116,0,26,2408
Multnomah,3303,President,,DEM,Bernie Sanders,1223,444,0,12,767
Multnomah,3304,President,,DEM,Bernie Sanders,281,135,0,1,145
Multnomah,3501,President,,DEM,Bernie Sanders,396,206,0,2,188
Multnomah,3502,President,,DEM,Bernie Sanders,2240,1142,0,32,1066
Multnomah,3602,President,,DEM,Bernie Sanders,2631,1485,0,22,1124
Multnomah,3603,President,,DEM,Bernie Sanders,3386,1910,0,24,1452
Multnomah,3604,President,,DEM,Bernie Sanders,55,21,0,1,33
Multnomah,3605,President,,DEM,Bernie Sanders,1103,437,0,14,652
Multnomah,3606,President,,DEM,Bernie Sanders,932,508,0,4,420
Multnomah,3607,President,,DEM,Bernie Sanders,2910,1322,1,28,1559
Multnomah,3608,President,,DEM,Bernie Sanders,1900,841,0,15,1044
Multnomah,3609,President,,DEM,Bernie Sanders,245,72,0,3,170
Multnomah,3610,President,,DEM,Bernie Sanders,1770,818,0,18,934
Multnomah,3611,President,,DEM,Bernie Sanders,2628,1324,0,29,1275
Multnomah,3612,President,,DEM,Bernie Sanders,2547,1460,0,21,1066
Multnomah,3801,President,,DEM,Bernie Sanders,37,16,0,0,21
Multnomah,3802,President,,DEM,Bernie Sanders,4380,2194,0,43,2143
Multnomah,3803,President,,DEM,Bernie Sanders,2937,1644,1,19,1273
Multnomah,3804,President,,DEM,Bernie Sanders,579,279,0,6,294
Multnomah,3805,President,,DEM,Bernie Sanders,398,191,0,2,205
Multnomah,3806,President,,DEM,Bernie Sanders,762,329,0,2,431
Multnomah,3807,President,,DEM,Bernie Sanders,363,130,0,3,230
Multnomah,3808,President,,DEM,Bernie Sanders,80,53,0,1,26
Multnomah,4101,President,,DEM,Bernie Sanders,4583,2653,1,34,1895
Multnomah,4102,President,,DEM,Bernie Sanders,2258,1513,1,24,720
Multnomah,4103,President,,DEM,Bernie Sanders,1968,851,0,18,1099
Multnomah,4203,President,,DEM,Bernie Sanders,4794,3623,1,26,1144
Multnomah,4204,President,,DEM,Bernie Sanders,4768,3106,0,41,1621
Multnomah,4205,President,,DEM,Bernie Sanders,2405,1517,0,13,875
Multnomah,4207,President,,DEM,Bernie Sanders,3002,2080,0,20,902
Multnomah,4208,President,,DEM,Bernie Sanders,1694,1125,1,14,554
Multnomah,4209,President,,DEM,Bernie Sanders,3805,2677,0,30,1098
Multnomah,4210,President,,DEM,Bernie Sanders,5177,3524,1,35,1617
Multnomah,4301,President,,DEM,Bernie Sanders,5010,3234,0,38,1738
Multnomah,4302,President,,DEM,Bernie Sanders,4904,3143,0,46,1715
Multnomah,4304,President,,DEM,Bernie Sanders,4227,2283,0,41,1903
Multnomah,4305,President,,DEM,Bernie Sanders,4844,3041,0,41,1762
Multnomah,4306,President,,DEM,Bernie Sanders,1066,626,0,11,429
Multnomah,4310,President,,DEM,Bernie Sanders,4446,2594,1,28,1823
Multnomah,4401,President,,DEM,Bernie Sanders,4107,2772,0,30,1305
Multnomah,4402,President,,DEM,Bernie Sanders,4212,2613,0,30,1569
Multnomah,4403,President,,DEM,Bernie Sanders,3999,2608,2,44,1345
Multnomah,4404,President,,DEM,Bernie Sanders,4344,2722,1,47,1574
Multnomah,4409,President,,DEM,Bernie Sanders,758,493,0,5,260
Multnomah,4501,President,,DEM,Bernie Sanders,5737,2610,0,56,3071
Multnomah,4502,President,,DEM,Bernie Sanders,2260,1405,0,24,831
Multnomah,4503,President,,DEM,Bernie Sanders,2116,1079,0,16,1021
Multnomah,4505,President,,DEM,Bernie Sanders,3853,2267,1,32,1553
Multnomah,4506,President,,DEM,Bernie Sanders,1301,846,1,19,435
Multnomah,4508,President,,DEM,Bernie Sanders,1916,1284,0,17,615
Multnomah,4509,President,,DEM,Bernie Sanders,829,471,0,14,344
Multnomah,4510,President,,DEM,Bernie Sanders,780,395,0,12,373
Multnomah,4511,President,,DEM,Bernie Sanders,789,499,0,13,277
Multnomah,4512,President,,DEM,Bernie Sanders,245,126,0,1,118
Multnomah,4601,President,,DEM,Bernie Sanders,5328,3181,0,43,2104
Multnomah,4602,President,,DEM,Bernie Sanders,2077,901,0,18,1158
Multnomah,4604,President,,DEM,Bernie Sanders,2155,1510,1,18,626
Multnomah,4605,President,,DEM,Bernie Sanders,2448,1615,0,27,806
Multnomah,4606,President,,DEM,Bernie Sanders,4789,3370,1,46,1372
Multnomah,4607,President,,DEM,Bernie Sanders,1170,612,0,17,541
Multnomah,4608,President,,DEM,Bernie Sanders,528,367,0,3,158
Multnomah,4701,President,,DEM,Bernie Sanders,820,335,0,20,465
Multnomah,4702,President,,DEM,Bernie Sanders,277,148,0,5,124
Multnomah,4703,President,,DEM,Bernie Sanders,754,391,0,22,341
Multnomah,4704,President,,DEM,Bernie Sanders,1290,582,0,34,674
Multnomah,4705,President,,DEM,Bernie Sanders,1803,1091,0,34,678
Multnomah,4706,President,,DEM,Bernie Sanders,1030,563,0,25,442
Multnomah,4707,President,,DEM,Bernie Sanders,604,358,0,11,235
Multnomah,4708,President,,DEM,Bernie Sanders,1174,669,1,23,481
Multnomah,4709,President,,DEM,Bernie Sanders,628,357,0,20,251
Multnomah,4710,President,,DEM,Bernie Sanders,972,602,0,21,349
Multnomah,4801,President,,DEM,Bernie Sanders,430,262,0,6,162
Multnomah,4802,President,,DEM,Bernie Sanders,15,12,0,0,3
Multnomah,4803,President,,DEM,Bernie Sanders,2360,1647,0,29,684
Multnomah,4804,President,,DEM,Bernie Sanders,479,316,0,7,156
Multnomah,4805,President,,DEM,Bernie Sanders,263,171,0,5,87
Multnomah,4806,President,,DEM,Bernie Sanders,464,260,0,9,195
Multnomah,4807,President,,DEM,Bernie Sanders,822,495,0,8,319
Multnomah,4901,President,,DEM,Bernie Sanders,12,8,0,0,4
Multnomah,4902,President,,DEM,Bernie Sanders,7,3,0,0,4
Multnomah,4903,President,,DEM,Bernie Sanders,1216,574,0,35,607
Multnomah,4904,President,,DEM,Bernie Sanders,1975,1057,0,42,876
Multnomah,4905,President,,DEM,Bernie Sanders,57,31,0,1,25
Multnomah,4906,President,,DEM,Bernie Sanders,321,176,0,5,140
Multnomah,4907,President,,DEM,Bernie Sanders,96,34,0,1,61
Multnomah,4908,President,,DEM,Bernie Sanders,517,267,0,9,241
Multnomah,4909,President,,DEM,Bernie Sanders,1159,605,0,19,535
Multnomah,4910,President,,DEM,Bernie Sanders,908,455,0,15,438
Multnomah,4911,President,,DEM,Bernie Sanders,1001,550,0,21,430
Multnomah,5001,President,,DEM,Bernie Sanders,1019,582,0,13,424
Multnomah,5002,President,,DEM,Bernie Sanders,1602,887,0,37,678
Multnomah,5003,President,,DEM,Bernie Sanders,299,141,0,6,152
Multnomah,5004,President,,DEM,Bernie Sanders,1832,988,0,29,815
Multnomah,5006,President,,DEM,Bernie Sanders,833,423,0,16,394
Multnomah,5007,President,,DEM,Bernie Sanders,960,518,1,17,424
Multnomah,5008,President,,DEM,Bernie Sanders,968,432,0,27,509
Multnomah,5009,President,,DEM,Bernie Sanders,268,142,0,10,116
Multnomah,5101,President,,DEM,Bernie Sanders,222,126,0,1,95
Multnomah,5102,President,,DEM,Bernie Sanders,1288,765,0,37,486
Multnomah,5103,President,,DEM,Bernie Sanders,657,361,0,17,279
Multnomah,5104,President,,DEM,Bernie Sanders,1094,564,0,32,498
Multnomah,5105,President,,DEM,Bernie Sanders,89,43,0,6,40
Multnomah,5106,President,,DEM,Bernie Sanders,461,240,0,13,208
Multnomah,5107,President,,DEM,Bernie Sanders,168,69,0,4,95
Multnomah,5202,President,,DEM,Bernie Sanders,837,485,0,37,315
Multnomah,5203,President,,DEM,Bernie Sanders,408,193,0,10,205
Multnomah,5204,President,,DEM,Bernie Sanders,739,363,0,28,348
Multnomah,2701,President,,DEM,Write-ins,295,0,0,3,292
Multnomah,2702,President,,DEM,Write-ins,332,1,0,2,329
Multnomah,3101,President,,DEM,Write-ins,511,3,0,4,504
Multnomah,3102,President,,DEM,Write-ins,718,6,0,5,707
Multnomah,3103,President,,DEM,Write-ins,216,3,0,6,207
Multnomah,3301,President,,DEM,Write-ins,4550,8,0,26,4516
Multnomah,3303,President,,DEM,Write-ins,1223,7,0,12,1204
Multnomah,3304,President,,DEM,Write-ins,281,1,0,1,279
Multnomah,3501,President,,DEM,Write-ins,396,4,0,2,390
Multnomah,3502,President,,DEM,Write-ins,2240,10,0,32,2198
Multnomah,3602,President,,DEM,Write-ins,2631,11,0,22,2598
Multnomah,3603,President,,DEM,Write-ins,3386,13,0,24,3349
Multnomah,3604,President,,DEM,Write-ins,55,0,0,1,54
Multnomah,3605,President,,DEM,Write-ins,1103,6,0,14,1083
Multnomah,3606,President,,DEM,Write-ins,932,1,0,4,927
Multnomah,3607,President,,DEM,Write-ins,2910,8,0,28,2874
Multnomah,3608,President,,DEM,Write-ins,1900,5,0,15,1880
Multnomah,3609,President,,DEM,Write-ins,245,3,0,3,239
Multnomah,3610,President,,DEM,Write-ins,1770,10,0,18,1742
Multnomah,3611,President,,DEM,Write-ins,2628,11,0,29,2588
Multnomah,3612,President,,DEM,Write-ins,2547,8,0,21,2518
Multnomah,3801,President,,DEM,Write-ins,37,0,0,0,37
Multnomah,3802,President,,DEM,Write-ins,4380,19,0,43,4318
Multnomah,3803,President,,DEM,Write-ins,2937,8,1,19,2909
Multnomah,3804,President,,DEM,Write-ins,579,4,0,6,569
Multnomah,3805,President,,DEM,Write-ins,398,2,0,2,394
Multnomah,3806,President,,DEM,Write-ins,762,10,0,2,750
Multnomah,3807,President,,DEM,Write-ins,363,3,0,3,357
Multnomah,3808,President,,DEM,Write-ins,80,0,0,1,79
Multnomah,4101,President,,DEM,Write-ins,4583,13,0,34,4536
Multnomah,4102,President,,DEM,Write-ins,2258,10,0,24,2224
Multnomah,4103,President,,DEM,Write-ins,1968,10,0,18,1940
Multnomah,4203,President,,DEM,Write-ins,4794,10,0,26,4758
Multnomah,4204,President,,DEM,Write-ins,4768,7,0,41,4720
Multnomah,4205,President,,DEM,Write-ins,2405,6,0,13,2386
Multnomah,4207,President,,DEM,Write-ins,3002,8,0,20,2974
Multnomah,4208,President,,DEM,Write-ins,1694,3,1,14,1676
Multnomah,4209,President,,DEM,Write-ins,3805,15,0,30,3760
Multnomah,4210,President,,DEM,Write-ins,5177,37,0,35,5105
Multnomah,4301,President,,DEM,Write-ins,5010,11,0,38,4961
Multnomah,4302,President,,DEM,Write-ins,4904,14,0,46,4844
Multnomah,4304,President,,DEM,Write-ins,4227,6,0,41,4180
Multnomah,4305,President,,DEM,Write-ins,4844,15,0,41,4788
Multnomah,4306,President,,DEM,Write-ins,1066,1,0,11,1054
Multnomah,4310,President,,DEM,Write-ins,4446,15,0,28,4403
Multnomah,4401,President,,DEM,Write-ins,4107,34,0,30,4043
Multnomah,4402,President,,DEM,Write-ins,4212,31,0,30,4151
Multnomah,4403,President,,DEM,Write-ins,3999,19,0,44,3936
Multnomah,4404,President,,DEM,Write-ins,4344,33,1,47,4263
Multnomah,4409,President,,DEM,Write-ins,758,10,0,5,743
Multnomah,4501,President,,DEM,Write-ins,5737,26,0,56,5655
Multnomah,4502,President,,DEM,Write-ins,2260,15,0,24,2221
Multnomah,4503,President,,DEM,Write-ins,2116,6,0,16,2094
Multnomah,4505,President,,DEM,Write-ins,3853,16,1,32,3804
Multnomah,4506,President,,DEM,Write-ins,1301,14,0,19,1268
Multnomah,4508,President,,DEM,Write-ins,1916,16,0,17,1883
Multnomah,4509,President,,DEM,Write-ins,829,9,0,14,806
Multnomah,4510,President,,DEM,Write-ins,780,9,0,12,759
Multnomah,4511,President,,DEM,Write-ins,789,12,0,13,764
Multnomah,4512,President,,DEM,Write-ins,245,6,0,1,238
Multnomah,4601,President,,DEM,Write-ins,5328,19,0,43,5266
Multnomah,4602,President,,DEM,Write-ins,2077,7,0,18,2052
Multnomah,4604,President,,DEM,Write-ins,2155,14,0,18,2123
Multnomah,4605,President,,DEM,Write-ins,2448,12,0,27,2409
Multnomah,4606,President,,DEM,Write-ins,4789,31,0,46,4712
Multnomah,4607,President,,DEM,Write-ins,1170,18,0,17,1135
Multnomah,4608,President,,DEM,Write-ins,528,4,0,3,521
Multnomah,4701,President,,DEM,Write-ins,820,19,0,20,781
Multnomah,4702,President,,DEM,Write-ins,277,8,0,5,264
Multnomah,4703,President,,DEM,Write-ins,754,12,0,22,720
Multnomah,4704,President,,DEM,Write-ins,1290,36,0,34,1220
Multnomah,4705,President,,DEM,Write-ins,1803,26,0,34,1743
Multnomah,4706,President,,DEM,Write-ins,1030,37,0,25,968
Multnomah,4707,President,,DEM,Write-ins,604,12,0,11,581
Multnomah,4708,President,,DEM,Write-ins,1174,20,0,23,1131
Multnomah,4709,President,,DEM,Write-ins,628,8,0,20,600
Multnomah,4710,President,,DEM,Write-ins,972,22,0,21,929
Multnomah,4801,President,,DEM,Write-ins,430,6,0,6,418
Multnomah,4802,President,,DEM,Write-ins,15,0,0,0,15
Multnomah,4803,President,,DEM,Write-ins,2360,26,0,29,2305
Multnomah,4804,President,,DEM,Write-ins,479,5,0,7,467
Multnomah,4805,President,,DEM,Write-ins,263,9,0,5,249
Multnomah,4806,President,,DEM,Write-ins,464,8,0,9,447
Multnomah,4807,President,,DEM,Write-ins,822,8,0,8,806
Multnomah,4901,President,,DEM,Write-ins,12,0,0,0,12
Multnomah,4902,President,,DEM,Write-ins,7,0,0,0,7
Multnomah,4903,President,,DEM,Write-ins,1216,16,0,35,1165
Multnomah,4904,President,,DEM,Write-ins,1975,47,0,42,1886
Multnomah,4905,President,,DEM,Write-ins,57,1,0,1,55
Multnomah,4906,President,,DEM,Write-ins,321,10,0,5,306
Multnomah,4907,President,,DEM,Write-ins,96,1,0,1,94
Multnomah,4908,President,,DEM,Write-ins,517,13,0,9,495
Multnomah,4909,President,,DEM,Write-ins,1159,27,0,19,1113
Multnomah,4910,President,,DEM,Write-ins,908,14,0,15,879
Multnomah,4911,President,,DEM,Write-ins,1001,18,0,21,962
Multnomah,5001,President,,DEM,Write-ins,1019,22,0,13,984
Multnomah,5002,President,,DEM,Write-ins,1602,20,0,37,1545
Multnomah,5003,President,,DEM,Write-ins,299,4,0,6,289
Multnomah,5004,President,,DEM,Write-ins,1832,24,0,29,1779
Multnomah,5006,President,,DEM,Write-ins,833,18,0,16,799
Multnomah,5007,President,,DEM,Write-ins,960,31,0,17,912
Multnomah,5008,President,,DEM,Write-ins,968,15,0,27,926
Multnomah,5009,President,,DEM,Write-ins,268,2,0,10,256
Multnomah,5101,President,,DEM,Write-ins,222,8,0,1,213
Multnomah,5102,President,,DEM,Write-ins,1288,21,0,37,1230
Multnomah,5103,President,,DEM,Write-ins,657,8,0,17,632
Multnomah,5104,President,,DEM,Write-ins,1094,36,0,32,1026
Multnomah,5105,President,,DEM,Write-ins,89,4,0,6,79
Multnomah,5106,President,,DEM,Write-ins,461,11,0,13,437
Multnomah,5107,President,,DEM,Write-ins,168,3,0,4,161
Multnomah,5202,President,,DEM,Write-ins,837,14,0,37,786
Multnomah,5203,President,,DEM,Write-ins,408,7,0,10,391
Multnomah,5204,President,,DEM,Write-ins,739,21,0,28,690
Multnomah,2701,U.S. Senate,,DEM,Ron Wyden,295,262,0,17,16
Multnomah,2702,U.S. Senate,,DEM,Ron Wyden,332,298,0,21,13
Multnomah,3101,U.S. Senate,,DEM,Ron Wyden,511,423,0,33,55
Multnomah,3102,U.S. Senate,,DEM,Ron Wyden,718,600,0,30,88
Multnomah,3103,U.S. Senate,,DEM,Ron Wyden,216,183,0,5,28
Multnomah,3301,U.S. Senate,,DEM,Ron Wyden,4550,3664,0,387,499
Multnomah,3303,U.S. Senate,,DEM,Ron Wyden,1223,1018,0,110,95
Multnomah,3304,U.S. Senate,,DEM,Ron Wyden,281,242,0,20,19
Multnomah,3501,U.S. Senate,,DEM,Ron Wyden,396,313,0,25,58
Multnomah,3502,U.S. Senate,,DEM,Ron Wyden,2240,1914,0,121,205
Multnomah,3602,U.S. Senate,,DEM,Ron Wyden,2631,1986,0,264,381
Multnomah,3603,U.S. Senate,,DEM,Ron Wyden,3386,2527,0,307,552
Multnomah,3604,U.S. Senate,,DEM,Ron Wyden,55,52,0,2,1
Multnomah,3605,U.S. Senate,,DEM,Ron Wyden,1103,929,0,75,99
Multnomah,3606,U.S. Senate,,DEM,Ron Wyden,932,766,0,68,98
Multnomah,3607,U.S. Senate,,DEM,Ron Wyden,2910,2486,0,177,247
Multnomah,3608,U.S. Senate,,DEM,Ron Wyden,1900,1507,0,164,229
Multnomah,3609,U.S. Senate,,DEM,Ron Wyden,245,215,0,16,14
Multnomah,3610,U.S. Senate,,DEM,Ron Wyden,1770,1502,0,96,172
Multnomah,3611,U.S. Senate,,DEM,Ron Wyden,2628,2221,1,146,260
Multnomah,3612,U.S. Senate,,DEM,Ron Wyden,2547,1882,2,256,407
Multnomah,3801,U.S. Senate,,DEM,Ron Wyden,37,31,0,0,6
Multnomah,3802,U.S. Senate,,DEM,Ron Wyden,4380,3670,0,305,405
Multnomah,3803,U.S. Senate,,DEM,Ron Wyden,2937,2407,0,197,333
Multnomah,3804,U.S. Senate,,DEM,Ron Wyden,579,494,0,44,41
Multnomah,3805,U.S. Senate,,DEM,Ron Wyden,398,340,0,28,30
Multnomah,3806,U.S. Senate,,DEM,Ron Wyden,762,642,1,40,79
Multnomah,3807,U.S. Senate,,DEM,Ron Wyden,363,327,0,17,19
Multnomah,3808,U.S. Senate,,DEM,Ron Wyden,80,49,0,10,21
Multnomah,4101,U.S. Senate,,DEM,Ron Wyden,4583,3715,0,344,524
Multnomah,4102,U.S. Senate,,DEM,Ron Wyden,2258,1721,0,217,320
Multnomah,4103,U.S. Senate,,DEM,Ron Wyden,1968,1694,0,119,155
Multnomah,4203,U.S. Senate,,DEM,Ron Wyden,4794,3383,1,557,853
Multnomah,4204,U.S. Senate,,DEM,Ron Wyden,4768,3670,1,418,679
Multnomah,4205,U.S. Senate,,DEM,Ron Wyden,2405,1865,0,229,311
Multnomah,4207,U.S. Senate,,DEM,Ron Wyden,3002,2207,0,339,456
Multnomah,4208,U.S. Senate,,DEM,Ron Wyden,1694,1284,0,175,235
Multnomah,4209,U.S. Senate,,DEM,Ron Wyden,3805,2755,0,397,653
Multnomah,4210,U.S. Senate,,DEM,Ron Wyden,5177,3924,1,455,797
Multnomah,4301,U.S. Senate,,DEM,Ron Wyden,5010,3848,1,499,662
Multnomah,4302,U.S. Senate,,DEM,Ron Wyden,4904,3675,0,519,710
Multnomah,4304,U.S. Senate,,DEM,Ron Wyden,4227,3424,0,357,446
Multnomah,4305,U.S. Senate,,DEM,Ron Wyden,4844,3786,1,407,650
Multnomah,4306,U.S. Senate,,DEM,Ron Wyden,1066,844,1,83,138
Multnomah,4310,U.S. Senate,,DEM,Ron Wyden,4446,3504,1,406,535
Multnomah,4401,U.S. Senate,,DEM,Ron Wyden,4107,3027,0,368,712
Multnomah,4402,U.S. Senate,,DEM,Ron Wyden,4212,3253,1,355,603
Multnomah,4403,U.S. Senate,,DEM,Ron Wyden,3999,3164,1,336,498
Multnomah,4404,U.S. Senate,,DEM,Ron Wyden,4344,3424,1,350,569
Multnomah,4409,U.S. Senate,,DEM,Ron Wyden,758,583,0,50,125
