Crook,PRECINCT 01,State House,55,party,candidate,votes
Crook,PRECINCT 09,Governor,,,Write-ins,0
Crook,PRECINCT 01,State House,55,REP,George Gilman,193
Crook,PRECINCT 10,State House,55,REP,George Gilman,184
Crook,PRECINCT 11,State House,55,REP,George Gilman,742
Crook,PRECINCT 12,State House,55,REP,George Gilman,48
Crook,PRECINCT 13,State House,55,REP,George Gilman,325
Crook,PRECINCT 14,State House,55,REP,George Gilman,130
Crook,PRECINCT 15,State House,55,REP,George Gilman,405
Crook,PRECINCT 16,State House,55,REP,George Gilman,278
Crook,PRECINCT 17,State House,55,REP,George Gilman,866
Crook,PRECINCT 02,State House,55,REP,George Gilman,176
Crook,PRECINCT 03,State House,55,REP,George Gilman,74
Crook,PRECINCT 04,State House,55,REP,George Gilman,443
Crook,PRECINCT 05,State House,55,REP,George Gilman,777
Crook,PRECINCT 06,State House,55,REP,George Gilman,310
Crook,PRECINCT 07,State House,55,REP,George Gilman,115
Crook,PRECINCT 08,State House,55,REP,George Gilman,268
Crook,PRECINCT 09,State House,55,REP,George Gilman,101
Crook,PRECINCT 01,State House,55,,Write-ins,0
Crook,PRECINCT 10,State House,55,,Write-ins,0
Crook,PRECINCT 11,State House,55,,Write-ins,0
Crook,PRECINCT 12,State House,55,,Write-ins,0
Crook,PRECINCT 13,State House,55,,Write-ins,0
Crook,PRECINCT 14,State House,55,,Write-ins,0
Crook,PRECINCT 15,State House,55,,Write-ins,0
Crook,PRECINCT 16,State House,55,,Write-ins,0
Crook,PRECINCT 17,State House,55,,Write-ins,0
Crook,PRECINCT 02,State House,55,,Write-ins,0
Crook,PRECINCT 03,State House,55,,Write-ins,0
Crook,PRECINCT 04,State House,55,,Write-ins,0
Crook,PRECINCT 05,State House,55,,Write-ins,0
Crook,PRECINCT 06,State House,55,,Write-ins,0
Crook,PRECINCT 07,State House,55,,Write-ins,0
Crook,PRECINCT 08,State House,55,,Write-ins,0
Crook,PRECINCT 09,State House,55,,Write-ins,0
